,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-26.86,130.37,1011.72,0.0,0.13,1020.4387070765199,389.65,-1.0,-1.0,-1.0,-1.0
1,10.0,-33.69,20.02,1031.74,0.0,0.18,1032.4840163896001,361.81666666666666,-1.0,-1.0,-1.0,-1.0
2,20.0,20.51,137.7,1008.3,0.0,0.13,1017.8658261774975,388.8366666666666,-1.0,-1.0,-1.0,-1.0
3,30.0,-135.25,97.17,1000.98,0.0,0.16,1014.7391447066581,411.1333333333334,-1.0,-1.0,-1.0,-1.0
4,40.0,-126.46,65.43,997.07,0.0,0.14,1007.1850879555356,396.32,-1.0,-1.0,-1.0,-1.0
5,50.0,-28.32,-31.25,947.27,0.0,0.15,948.208330378931,335.61333333333334,-1.0,-1.0,-1.0,-1.0
6,60.0,-107.91,55.18,875.0,0.0,0.15,883.354062932865,346.03,-1.0,-1.0,-1.0,-1.0
7,70.0,-70.8,64.45,829.1,0.0,0.18,834.6096407902319,321.45,-1.0,-1.0,-1.0,-1.0
8,80.0,-39.06,-16.11,853.03,0.0,0.13,854.0757557734559,302.73333333333335,-1.0,-1.0,-1.0,-1.0
9,90.0,-39.55,-36.62,857.91,0.0,0.18,859.6015326882567,311.36,-1.0,-1.0,-1.0,-1.0
10,100.0,-79.1,-34.67,818.85,0.0,0.13,823.3918516720943,310.87333333333333,-1.0,-1.0,-1.0,-1.0
11,110.0,-87.4,4.88,862.3,0.0,0.16,866.7317141999594,318.1933333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,-134.28,73.73,961.91,0.0,0.15,974.0318677538223,389.97333333333336,-1.0,-1.0,-1.0,-1.0
13,130.0,-176.27,-45.41,1020.02,0.0,0.18,1036.1341522216126,413.9,-1.0,-1.0,-1.0,-1.0
14,140.0,-162.6,-71.29,1052.73,0.0,0.13,1067.5961207310563,428.8733333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,-165.53,-47.36,1037.6,0.0,0.16,1051.7874835250702,416.82999999999987,-1.0,-1.0,-1.0,-1.0
16,160.0,-222.66,-40.53,954.1,0.0,0.15,980.5748143308597,405.76333333333326,-1.0,-1.0,-1.0,-1.0
17,170.0,-216.31,-38.57,903.32,0.0,0.18,929.6583691873053,386.06666666666666,-1.0,-1.0,-1.0,-1.0
18,180.0,-178.71,4.39,844.73,0.0,0.14,863.4380748496095,342.61,-1.0,-1.0,-1.0,-1.0
19,190.0,-152.83,29.79,788.09,0.0,0.18,803.3245303736219,323.57,-1.0,-1.0,-1.0,-1.0
20,200.0,-149.41,59.57,817.87,0.0,0.16,833.5366038153334,342.2833333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,-126.46,114.75,931.64,0.0,0.17,947.160379080544,390.95,-1.0,-1.0,-1.0,-1.0
22,220.0,-152.34,46.39,1032.23,0.0,0.17,1044.4416118673173,410.32,-1.0,-1.0,-1.0,-1.0
23,230.0,-160.16,13.67,1052.73,0.0,0.16,1064.9312406911538,408.8533333333333,-1.0,-1.0,-1.0,-1.0
24,240.0,-136.72,18.55,1037.11,0.0,0.13,1046.2473956956833,397.46,-1.0,-1.0,-1.0,-1.0
25,250.0,-124.02,38.57,948.24,0.0,0.18,957.0933616424263,370.2766666666666,-1.0,-1.0,-1.0,-1.0
26,260.0,-99.61,66.41,879.39,0.0,0.13,887.5016688998393,348.47,-1.0,-1.0,-1.0,-1.0
27,270.0,-100.59,104.49,855.96,0.0,0.15,868.1612925027239,353.68,-1.0,-1.0,-1.0,-1.0
28,280.0,-150.88,89.84,830.57,0.0,0.12,848.9302238111211,357.09666666666664,-1.0,-1.0,-1.0,-1.0
29,290.0,-213.87,77.64,840.82,0.0,0.15,871.0606287165091,377.44333333333327,-1.0,-1.0,-1.0,-1.0
30,300.0,-233.89,83.01,934.08,0.0,0.0,966.488819697362,416.9933333333333,-1.0,-1.0,-1.0,-1.0
31,310.0,-245.61,73.24,1032.71,0.0,0.13,1064.0386805938963,450.52,-1.0,-1.0,-1.0,-1.0
32,320.0,-271.97,54.69,1107.91,0.0,0.13,1142.113499219758,478.19000000000005,-1.0,-1.0,-1.0,-1.0
33,330.0,-218.26,58.59,1098.63,0.0,0.18,1121.6318881879206,458.4933333333333,-1.0,-1.0,-1.0,-1.0
34,340.0,-230.47,78.12,1071.78,0.0,0.13,1099.0593813347848,460.1233333333333,-1.0,-1.0,-1.0,-1.0
35,350.0,-210.45,9.77,1036.13,0.0,0.23,1057.3315621412237,418.78333333333336,-1.0,-1.0,-1.0,-1.0
36,360.0,-189.94,14.16,998.54,0.0,0.12,1016.5430835926236,400.88,-1.0,-1.0,-1.0,-1.0
37,370.0,-186.52,15.63,970.7,0.0,0.18,988.581052468638,390.9500000000001,-1.0,-1.0,-1.0,-1.0
38,380.0,-185.55,84.47,976.07,0.0,0.16,997.13420776744,415.36333333333334,-1.0,-1.0,-1.0,-1.0
39,390.0,-204.1,69.34,986.82,0.0,0.17,1010.0883911816827,420.0866666666666,-1.0,-1.0,-1.0,-1.0
40,400.0,-176.76,45.9,999.51,0.0,0.18,1016.0566655949854,407.39,-1.0,-1.0,-1.0,-1.0
41,410.0,-164.06,31.25,1024.41,0.0,0.16,1037.9345327138892,406.57333333333327,-1.0,-1.0,-1.0,-1.0
42,420.0,-162.6,33.2,1057.62,0.0,0.12,1070.5610979294922,417.8066666666666,-1.0,-1.0,-1.0,-1.0
43,430.0,-173.34,10.25,1068.85,0.0,0.16,1082.86293712547,417.48,-1.0,-1.0,-1.0,-1.0
44,440.0,-235.35,-16.6,1093.75,0.0,0.14,1118.9076123612708,448.56666666666666,-1.0,-1.0,-1.0,-1.0
45,450.0,-282.23,-56.15,1018.55,0.0,0.16,1058.4189614231218,452.31,-1.0,-1.0,-1.0,-1.0
46,460.0,-368.16,-62.99,911.13,0.0,0.12,984.7169149557652,447.42666666666673,-1.0,-1.0,-1.0,-1.0
47,470.0,-392.09,-27.34,851.07,0.0,0.2,937.444498943804,423.5,-1.0,-1.0,-1.0,-1.0
48,480.0,-350.1,16.6,804.69,0.0,0.13,877.7081326386352,390.46333333333337,-1.0,-1.0,-1.0,-1.0
49,490.0,-301.27,63.48,766.6,0.0,0.18,826.1167491946886,377.1166666666666,-1.0,-1.0,-1.0,-1.0
50,500.0,-269.04,117.68,771.97,0.0,0.21,825.9350972685445,386.23,-1.0,-1.0,-1.0,-1.0
51,510.0,-244.63,168.95,795.41,0.0,0.16,849.1554672143376,402.9966666666666,-1.0,-1.0,-1.0,-1.0
52,520.0,-213.87,190.92,828.12,0.0,0.13,876.3410053740497,410.97,-1.0,-1.0,-1.0,-1.0
53,530.0,-210.45,231.45,866.21,0.0,0.16,920.9658349254872,436.0366666666667,-1.0,-1.0,-1.0,-1.0
54,540.0,-235.35,217.77,873.54,0.0,0.15,930.5297023738684,442.22,-1.0,-1.0,-1.0,-1.0
55,550.0,-325.68,179.69,859.37,0.0,0.16,936.4148415098939,454.91333333333336,-1.0,-1.0,-1.0,-1.0
56,560.0,-311.04,185.55,796.87,0.0,0.14,875.3150752728985,431.15333333333336,-1.0,-1.0,-1.0,-1.0
57,570.0,-295.9,281.25,756.35,0.0,0.19,859.490369346859,444.5,-1.0,-1.0,-1.0,-1.0
58,580.0,-384.77,394.53,704.1,0.0,0.17,894.1245348384082,494.4666666666667,-1.0,-1.0,-1.0,-1.0
59,590.0,-440.92,405.27,733.89,0.0,0.21,947.2321528537764,526.6933333333333,-1.0,-1.0,-1.0,-1.0
60,600.0,-429.2,414.06,758.3,0.0,0.2,964.7161310976404,533.8533333333334,-1.0,-1.0,-1.0,-1.0
61,610.0,-479.0,399.9,810.55,0.0,0.28,1022.9136388278337,563.15,-1.0,-1.0,-1.0,-1.0
62,620.0,-531.25,362.3,822.75,0.0,0.29,1044.2247914122706,572.1,-1.0,-1.0,-1.0,-1.0
63,630.0,-594.73,276.37,794.43,0.0,0.38,1030.147161671574,555.1766666666666,-1.0,-1.0,-1.0,-1.0
64,640.0,-589.84,270.51,755.86,0.0,0.37,996.1983865174648,538.7366666666667,-1.0,-1.0,-1.0,-1.0
65,650.0,-586.91,278.81,723.14,0.0,0.45,972.177876625466,529.62,-1.0,-1.0,-1.0,-1.0
66,660.0,-586.43,311.52,717.29,0.0,0.47,977.4711245862967,538.4133333333333,-1.0,-1.0,-1.0,-1.0
67,670.0,-618.65,376.95,767.09,0.0,0.52,1055.1048256453005,587.5633333333334,-1.0,-1.0,-1.0,-1.0
68,680.0,-641.11,432.62,829.59,0.0,0.52,1134.1964841243334,634.44,-1.0,-1.0,-1.0,-1.0
69,690.0,-645.51,484.86,880.86,0.0,0.54,1194.8584515749135,670.41,-1.0,-1.0,-1.0,-1.0
70,700.0,-621.58,524.41,903.32,0.0,0.45,1215.464753458528,683.1033333333334,-1.0,-1.0,-1.0,-1.0
71,710.0,-611.33,549.8,895.51,0.0,0.43,1215.7066130444466,685.5466666666667,-1.0,-1.0,-1.0,-1.0
72,720.0,-590.82,542.48,864.75,0.0,0.36,1179.4682637951732,666.0166666666668,-1.0,-1.0,-1.0,-1.0
73,730.0,-556.64,534.18,844.24,0.0,0.34,1143.6509693083813,645.02,-1.0,-1.0,-1.0,-1.0
74,740.0,-539.55,528.81,823.73,0.0,0.28,1117.7143335843912,630.6966666666666,-1.0,-1.0,-1.0,-1.0
75,750.0,-563.48,511.23,820.31,0.0,0.29,1118.8272071236022,631.6733333333333,-1.0,-1.0,-1.0,-1.0
76,760.0,-604.0,465.82,772.46,0.0,0.23,1085.586810899985,614.0933333333334,-1.0,-1.0,-1.0,-1.0
77,770.0,-597.66,436.04,750.0,0.0,0.23,1053.4839140679844,594.5666666666667,-1.0,-1.0,-1.0,-1.0
78,780.0,-622.56,428.22,720.7,0.0,0.21,1044.2039130361463,590.4933333333332,-1.0,-1.0,-1.0,-1.0
79,790.0,-642.58,492.19,694.34,0.0,0.23,1066.4277228673309,609.7033333333334,-1.0,-1.0,-1.0,-1.0
80,800.0,-636.23,508.79,657.71,0.0,0.26,1047.014002341898,600.91,-1.0,-1.0,-1.0,-1.0
81,810.0,-640.14,473.63,688.96,0.03,0.35,1052.9817083406529,600.91,-1.0,-1.0,-1.0,-1.0
82,820.0,-622.07,417.97,707.52,0.05,0.43,1030.657341796972,582.52,-1.0,-1.0,-1.0,-1.0
