,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-296.87,-896.48,427.73,0.0,0.1,1036.7068728430424,540.36,-1.0,-1.0,-1.0,-1.0
1,10.0,-269.04,-892.09,404.3,0.0,0.0,1015.7093972687268,521.8100000000002,-1.0,-1.0,-1.0,-1.0
2,20.0,-277.34,-893.07,404.3,0.0,0.1,1018.7983070755467,524.9033333333333,-1.0,-1.0,-1.0,-1.0
3,30.0,-280.76,-890.62,415.53,0.0,0.0,1022.1033914922698,528.97,-1.0,-1.0,-1.0,-1.0
4,40.0,-292.48,-901.37,421.87,0.0,0.13,1037.2977991878706,538.5733333333333,-1.0,-1.0,-1.0,-1.0
5,50.0,-301.27,-891.6,419.92,0.0,0.0,1030.5566356586137,537.5966666666667,-1.0,-1.0,-1.0,-1.0
6,60.0,-289.06,-898.93,431.15,0.0,0.1,1038.0371626295466,539.7133333333333,-1.0,-1.0,-1.0,-1.0
7,70.0,-291.99,-886.23,428.71,0.0,0.0,1026.8661242343132,535.6433333333333,-1.0,-1.0,-1.0,-1.0
8,80.0,-302.25,-884.28,420.9,0.0,0.1,1024.920968123884,535.81,-1.0,-1.0,-1.0,-1.0
9,90.0,-286.13,-888.67,418.95,0.0,0.0,1023.2906958924233,531.25,-1.0,-1.0,-1.0,-1.0
10,100.0,-289.06,-881.35,418.46,0.0,0.12,1017.5668418831267,529.6233333333333,-1.0,-1.0,-1.0,-1.0
11,110.0,-294.43,-869.63,407.23,0.0,0.0,1004.3812198065036,523.7633333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,-291.99,-883.79,412.11,0.0,0.1,1017.9280801215773,529.2966666666666,-1.0,-1.0,-1.0,-1.0
13,130.0,-291.02,-876.46,417.48,0.0,0.0,1013.491155560817,528.32,-1.0,-1.0,-1.0,-1.0
14,140.0,-290.53,-859.37,429.2,0.0,0.13,1003.5622142149434,526.3666666666667,-1.0,-1.0,-1.0,-1.0
15,150.0,-303.22,-892.09,418.46,0.0,0.0,1030.9586354941696,537.9233333333333,-1.0,-1.0,-1.0,-1.0
16,160.0,-271.97,-877.44,422.85,0.0,0.1,1011.271851185427,524.0866666666667,-1.0,-1.0,-1.0,-1.0
17,170.0,-295.9,-869.63,437.99,0.0,0.01,1017.6681124020738,534.5066666666668,-1.0,-1.0,-1.0,-1.0
18,180.0,-276.86,-862.79,437.01,0.0,0.12,1005.999892544726,525.5533333333334,-1.0,-1.0,-1.0,-1.0
19,190.0,-294.43,-891.11,418.46,0.0,0.0,1027.557700861611,534.6666666666666,-1.0,-1.0,-1.0,-1.0
20,200.0,-271.48,-902.34,424.8,0.0,0.13,1033.6217422248817,532.8733333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,-284.18,-876.95,439.94,0.0,0.0,1021.4434778782428,533.69,-1.0,-1.0,-1.0,-1.0
22,220.0,-276.86,-879.39,422.36,0.0,0.1,1014.0839222174858,526.2033333333334,-1.0,-1.0,-1.0,-1.0
23,230.0,-282.23,-896.97,437.01,0.0,0.0,1036.9120955510164,538.7366666666667,-1.0,-1.0,-1.0,-1.0
24,240.0,-279.3,-897.46,430.66,0.0,0.1,1033.881510232193,535.8066666666667,-1.0,-1.0,-1.0,-1.0
25,250.0,-281.74,-875.0,443.36,0.0,0.0,1020.5736216461801,533.3666666666667,-1.0,-1.0,-1.0,-1.0
26,260.0,-318.36,-902.83,450.2,0.0,0.1,1057.8918368623517,557.13,-1.0,-1.0,-1.0,-1.0
27,270.0,-318.36,-918.95,474.12,0.0,0.0,1081.9482272733756,570.4766666666667,-1.0,-1.0,-1.0,-1.0
28,280.0,-285.64,-922.85,474.12,0.0,0.11,1076.119002016041,560.87,-1.0,-1.0,-1.0,-1.0
29,290.0,-320.8,-957.03,495.61,0.0,0.0,1124.4769152810563,591.1466666666666,-1.0,-1.0,-1.0,-1.0
30,300.0,-298.83,-975.1,496.58,0.0,0.11,1134.3328767606095,590.17,-1.0,-1.0,-1.0,-1.0
31,310.0,-286.62,-969.24,489.75,0.0,0.0,1123.1350161489936,581.87,-1.0,-1.0,-1.0,-1.0
32,320.0,-285.16,-974.61,482.91,0.0,0.11,1124.4478404087938,580.8933333333333,-1.0,-1.0,-1.0,-1.0
33,330.0,-282.71,-969.24,483.4,0.0,0.0,1119.3867435788222,578.4499999999998,-1.0,-1.0,-1.0,-1.0
34,340.0,-266.6,-957.03,478.52,0.0,0.1,1102.7072917596943,567.3833333333333,-1.0,-1.0,-1.0,-1.0
35,350.0,-239.26,-936.04,473.63,0.0,0.0,1075.9840175857632,549.6433333333333,-1.0,-1.0,-1.0,-1.0
36,360.0,-237.3,-914.55,462.89,0.0,0.1,1052.131239247272,538.2466666666667,-1.0,-1.0,-1.0,-1.0
37,370.0,-221.19,-892.58,461.43,0.0,0.0,1028.8545657185955,525.0666666666667,-1.0,-1.0,-1.0,-1.0
38,380.0,-242.19,-862.79,468.75,0.0,0.1,1011.33038256546,524.5766666666667,-1.0,-1.0,-1.0,-1.0
39,390.0,-255.86,-857.91,463.38,0.0,0.0,1008.0649443860252,525.7166666666667,-1.0,-1.0,-1.0,-1.0
40,400.0,-264.65,-858.4,472.66,0.0,0.12,1015.0357915364364,531.9033333333333,-1.0,-1.0,-1.0,-1.0
41,410.0,-265.62,-830.08,458.98,0.0,0.0,985.0124015462953,518.2266666666667,-1.0,-1.0,-1.0,-1.0
42,420.0,-277.34,-839.36,465.33,0.0,0.1,998.9868337971228,527.3433333333334,-1.0,-1.0,-1.0,-1.0
43,430.0,-270.51,-810.06,476.07,0.0,0.0,977.7604556331779,518.88,-1.0,-1.0,-1.0,-1.0
44,440.0,-268.07,-820.31,458.98,0.0,0.1,977.4623580476131,515.7866666666666,-1.0,-1.0,-1.0,-1.0
45,450.0,-277.34,-800.29,454.59,0.0,0.0,961.2666788149893,510.74,-1.0,-1.0,-1.0,-1.0
46,460.0,-277.34,-822.27,449.71,0.0,0.1,977.3865727540973,516.4399999999998,-1.0,-1.0,-1.0,-1.0
47,470.0,-275.88,-808.11,452.15,0.0,0.0,966.2252164997557,512.0466666666666,-1.0,-1.0,-1.0,-1.0
48,480.0,-277.34,-797.85,439.94,0.0,0.1,952.3808595829717,505.04333333333335,-1.0,-1.0,-1.0,-1.0
49,490.0,-271.97,-775.39,461.43,0.0,0.0,942.3985239271125,502.93000000000006,-1.0,-1.0,-1.0,-1.0
50,500.0,-278.32,-815.43,402.34,0.0,0.1,950.9288001212288,498.69666666666666,-1.0,-1.0,-1.0,-1.0
51,510.0,-264.16,-739.26,418.46,0.0,0.0,889.603633535745,473.96,-1.0,-1.0,-1.0,-1.0
52,520.0,-333.5,-698.73,445.8,0.0,0.1,893.4111611682497,492.67666666666673,-1.0,-1.0,-1.0,-1.0
53,530.0,-399.9,-922.85,387.21,0.0,0.01,1077.7308182473023,569.9866666666667,-1.0,-1.0,-1.0,-1.0
54,540.0,-300.29,-642.09,383.3,0.0,0.1,805.836548066666,441.8933333333334,-1.0,-1.0,-1.0,-1.0
55,550.0,-289.06,-775.88,397.95,0.0,0.0,918.6455576009716,487.63000000000005,-1.0,-1.0,-1.0,-1.0
56,560.0,-320.8,-792.97,390.14,0.0,0.1,940.171941987209,501.3033333333333,-1.0,-1.0,-1.0,-1.0
57,570.0,-338.38,-763.18,383.79,0.0,0.0,918.8250654504374,495.1166666666666,-1.0,-1.0,-1.0,-1.0
58,580.0,-335.94,-755.86,369.14,0.0,0.1,905.7838388931433,486.98,-1.0,-1.0,-1.0,-1.0
59,590.0,-355.47,-754.88,374.51,0.0,0.0,914.5821315770387,494.95333333333326,-1.0,-1.0,-1.0,-1.0
60,600.0,-353.03,-763.67,364.75,0.0,0.1,916.9867023572368,493.81666666666666,-1.0,-1.0,-1.0,-1.0
61,610.0,-369.14,-764.16,356.93,0.0,0.0,920.6540447421061,496.7433333333333,-1.0,-1.0,-1.0,-1.0
62,620.0,-376.95,-769.04,356.93,0.0,0.1,927.8538942096433,500.97333333333336,-1.0,-1.0,-1.0,-1.0
63,630.0,-375.49,-767.09,347.66,0.0,0.0,922.1102340826719,496.7466666666666,-1.0,-1.0,-1.0,-1.0
64,640.0,-391.6,-780.27,339.36,0.0,0.1,936.6627154424373,503.7433333333333,-1.0,-1.0,-1.0,-1.0
65,650.0,-382.32,-782.71,345.21,0.0,0.0,937.002385589279,503.41333333333336,-1.0,-1.0,-1.0,-1.0
66,660.0,-382.32,-796.87,340.33,0.0,0.1,947.0981407436084,506.50666666666666,-1.0,-1.0,-1.0,-1.0
67,670.0,-383.79,-811.52,334.96,0.0,0.0,958.153263366566,510.09,-1.0,-1.0,-1.0,-1.0
68,680.0,-387.7,-828.61,342.77,0.0,0.1,976.9324925500226,519.6933333333333,-1.0,-1.0,-1.0,-1.0
69,690.0,-382.81,-826.17,349.12,0.0,0.0,975.1846693831892,519.3666666666667,-1.0,-1.0,-1.0,-1.0
70,700.0,-386.23,-836.43,345.7,0.0,0.09,984.0209590247556,522.7866666666666,-1.0,-1.0,-1.0,-1.0
71,710.0,-390.62,-859.37,336.43,0.0,0.0,1002.1406718619896,528.8066666666667,-1.0,-1.0,-1.0,-1.0
72,720.0,-421.39,-877.44,332.03,0.0,0.1,1028.4524328329435,543.62,-1.0,-1.0,-1.0,-1.0
73,730.0,-445.8,-912.11,305.18,0.0,0.0,1060.1024122696826,554.3633333333332,-1.0,-1.0,-1.0,-1.0
74,740.0,-479.49,-917.48,283.69,0.0,0.1,1073.3872677649942,560.22,-1.0,-1.0,-1.0,-1.0
75,750.0,-477.54,-954.1,246.09,0.0,0.0,1094.948194984585,559.2433333333332,-1.0,-1.0,-1.0,-1.0
76,760.0,-503.91,-977.05,222.66,0.0,0.1,1121.6637045924238,567.8733333333333,-1.0,-1.0,-1.0,-1.0
77,770.0,-478.03,-1029.79,178.22,0.0,0.0,1149.2356126573873,562.0133333333333,-1.0,-1.0,-1.0,-1.0
