,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-351.07,37.6,898.93,0.39,24.99,965.7841631544804,429.2,-1.0,-1.0,-1.0,-1.0
1,10.0,-363.77,28.32,897.46,0.0,0.0,968.7956889354947,429.85,-1.0,-1.0,-1.0,-1.0
2,20.0,-353.52,2.44,911.13,0.37,24.99,977.3127549049997,422.3633333333333,-1.0,-1.0,-1.0,-1.0
3,30.0,-347.17,23.93,907.23,0.0,0.0,971.682009044111,426.11,-1.0,-1.0,-1.0,-1.0
4,40.0,-347.17,36.62,911.62,0.36,24.99,976.1757309521682,431.8033333333333,-1.0,-1.0,-1.0,-1.0
5,50.0,-373.05,29.3,921.87,0.0,0.0,994.9216498800296,441.4066666666667,-1.0,-1.0,-1.0,-1.0
6,60.0,-355.47,29.79,896.97,0.37,24.99,965.2986822222437,427.41,-1.0,-1.0,-1.0,-1.0
7,70.0,-372.07,22.46,892.09,0.0,0.0,966.8325111414076,428.8733333333333,-1.0,-1.0,-1.0,-1.0
8,80.0,-395.51,17.09,914.06,0.39,24.99,996.105371835731,442.22,-1.0,-1.0,-1.0,-1.0
9,90.0,-404.79,11.23,917.97,0.0,0.0,1003.3194794779976,444.66333333333336,-1.0,-1.0,-1.0,-1.0
10,100.0,-411.62,10.74,948.73,0.39,24.99,1034.2315915209708,457.03,-1.0,-1.0,-1.0,-1.0
11,110.0,-392.58,25.88,949.71,0.0,0.0,1027.977584823716,456.05666666666673,-1.0,-1.0,-1.0,-1.0
12,120.0,-383.79,10.74,954.1,0.39,24.99,1028.4536555917336,449.54333333333335,-1.0,-1.0,-1.0,-1.0
13,130.0,-386.72,16.6,948.73,0.0,0.0,1024.6543472312994,450.68333333333334,-1.0,-1.0,-1.0,-1.0
14,140.0,-373.54,9.28,944.34,0.39,24.99,1015.5768240758548,442.3866666666667,-1.0,-1.0,-1.0,-1.0
15,150.0,-357.42,21.97,932.62,0.0,0.0,999.005406241628,437.3366666666666,-1.0,-1.0,-1.0,-1.0
16,160.0,-346.19,22.95,926.27,0.39,24.99,989.1159343069952,431.8033333333333,-1.0,-1.0,-1.0,-1.0
17,170.0,-354.0,21.97,935.55,0.0,0.0,1000.5261033076547,437.17333333333335,-1.0,-1.0,-1.0,-1.0
18,180.0,-322.75,14.65,934.57,0.37,24.99,988.8393549510457,423.99,-1.0,-1.0,-1.0,-1.0
19,190.0,-329.1,27.34,938.96,0.0,0.0,995.3392221750332,431.8,-1.0,-1.0,-1.0,-1.0
20,200.0,-338.87,17.58,955.08,0.38,24.99,1013.5678268867853,437.17666666666673,-1.0,-1.0,-1.0,-1.0
21,210.0,-333.01,13.67,952.64,0.0,0.0,1009.2598766422847,433.1066666666666,-1.0,-1.0,-1.0,-1.0
22,220.0,-337.89,21.0,952.15,0.37,24.99,1010.5445436001324,437.01333333333326,-1.0,-1.0,-1.0,-1.0
23,230.0,-344.73,6.84,928.71,0.0,0.0,990.6502019381007,426.76,-1.0,-1.0,-1.0,-1.0
24,240.0,-334.96,10.25,936.04,0.38,24.99,994.2203707931154,427.08333333333326,-1.0,-1.0,-1.0,-1.0
25,250.0,-333.01,7.81,938.48,0.0,0.0,995.8420389800784,426.4333333333333,-1.0,-1.0,-1.0,-1.0
26,260.0,-337.4,10.25,934.08,0.39,24.99,993.2015248175971,427.2433333333333,-1.0,-1.0,-1.0,-1.0
27,270.0,-345.7,6.84,944.82,0.0,0.0,1006.1014402136597,432.4533333333334,-1.0,-1.0,-1.0,-1.0
28,280.0,-341.31,15.63,946.78,0.39,24.99,1006.5431840711058,434.57333333333327,-1.0,-1.0,-1.0,-1.0
29,290.0,-348.63,6.84,955.08,0.0,0.0,1016.7435610319842,436.85,-1.0,-1.0,-1.0,-1.0
30,300.0,-349.61,-2.93,939.94,0.37,24.99,1002.8573879670032,430.82666666666665,-1.0,-1.0,-1.0,-1.0
