,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,186.04,129.39,-648.44,0.0,7.51,686.8967078826336,321.29,-1.0,-1.0,-1.0,-1.0
1,10.0,-107.42,157.71,-564.94,0.0,8.1,596.2958192877089,276.69,-1.0,-1.0,-1.0,-1.0
2,20.0,-265.62,213.87,-309.08,0.0,7.45,460.24429132798593,262.8566666666666,-1.0,-1.0,-1.0,-1.0
3,30.0,-39.55,199.71,-95.21,0.0,8.12,224.75148653568453,111.49,-1.0,-1.0,-1.0,-1.0
4,40.0,225.1,228.03,52.25,0.0,7.43,324.6502016016624,168.46,-1.0,-1.0,-1.0,-1.0
5,50.0,347.66,149.41,163.57,0.0,8.14,412.245034657787,220.21333333333337,-1.0,-1.0,-1.0,-1.0
6,60.0,410.64,-16.11,248.54,0.0,7.26,480.2675018153946,225.09666666666664,-1.0,-1.0,-1.0,-1.0
7,70.0,502.44,-125.49,157.23,0.0,8.53,541.2161921081075,261.72,-1.0,-1.0,-1.0,-1.0
8,80.0,668.95,-239.75,-119.63,0.0,5.99,720.6146695009753,342.77666666666664,-1.0,-1.0,-1.0,-1.0
9,90.0,869.63,-299.8,-331.05,0.0,10.58,977.6146886171463,500.16,-1.0,-1.0,-1.0,-1.0
10,100.0,750.49,-370.61,-207.03,0.0,5.6,862.2345580525058,442.71,-1.0,-1.0,-1.0,-1.0
11,110.0,646.48,-482.42,-108.4,0.0,11.08,813.8894315568916,412.43333333333334,-1.0,-1.0,-1.0,-1.0
12,120.0,709.47,-756.84,28.32,0.0,5.55,1037.7651414939703,498.21,-1.0,-1.0,-1.0,-1.0
13,130.0,855.47,-1329.59,155.27,0.0,11.55,1588.6306247520224,780.11,-1.0,-1.0,-1.0,-1.0
14,140.0,663.57,-1700.68,-58.11,0.0,5.29,1826.4759454753303,807.4533333333335,-1.0,-1.0,-1.0,-1.0
15,150.0,671.87,-1930.66,-379.39,0.0,11.43,2079.1330175339913,993.9733333333335,-1.0,-1.0,-1.0,-1.0
16,160.0,755.37,-2000.0,-633.79,0.0,5.27,2229.859547370641,1129.72,-1.0,-1.0,-1.0,-1.0
17,170.0,1059.08,-2000.0,-607.42,0.05,11.43,2343.204963890269,1222.1666666666667,-1.0,-1.0,-1.0,-1.0
18,180.0,1007.81,-2000.0,-391.11,0.23,4.46,2273.466082482869,1132.9733333333334,-1.0,-1.0,-1.0,-1.0
19,190.0,1120.12,-2000.0,99.61,0.4,10.91,2294.469648197596,1073.2433333333333,-1.0,-1.0,-1.0,-1.0
20,200.0,1291.99,-1996.09,546.87,0.52,4.3,2439.811518355465,1278.3166666666666,-1.0,-1.0,-1.0,-1.0
21,210.0,1586.43,-1982.42,734.37,0.6,10.75,2643.113410014788,1434.406666666667,-1.0,-1.0,-1.0,-1.0
22,220.0,1650.88,-1816.89,705.57,0.64,4.41,2554.275449398518,1391.1133333333335,-1.0,-1.0,-1.0,-1.0
23,230.0,1652.83,-1595.7,547.36,0.64,10.64,2361.717271076282,1265.2966666666666,-1.0,-1.0,-1.0,-1.0
24,240.0,1506.35,-1313.96,368.65,0.64,4.43,2032.6052313717976,1062.9866666666667,-1.0,-1.0,-1.0,-1.0
25,250.0,1452.15,-1030.76,204.59,0.62,10.72,1792.501846079942,895.8333333333335,-1.0,-1.0,-1.0,-1.0
26,260.0,1311.04,-755.37,88.38,0.62,4.61,1515.6585179056658,718.2633333333333,-1.0,-1.0,-1.0,-1.0
27,270.0,1145.51,-469.73,30.76,0.62,10.82,1238.4609846902727,548.6666666666666,-1.0,-1.0,-1.0,-1.0
28,280.0,1030.76,-250.98,46.88,0.63,4.84,1061.9109531406104,442.87333333333333,-1.0,-1.0,-1.0,-1.0
29,290.0,890.62,-13.67,165.53,0.65,10.52,905.9751840972244,356.6066666666666,-1.0,-1.0,-1.0,-1.0
30,300.0,840.33,91.8,190.92,0.68,6.71,866.6211371181759,374.35,-1.0,-1.0,-1.0,-1.0
31,310.0,626.46,101.56,221.68,0.71,8.59,672.241465248909,316.56666666666666,-1.0,-1.0,-1.0,-1.0
32,320.0,464.84,110.35,176.27,0.75,8.02,509.2391000306242,250.48666666666665,-1.0,-1.0,-1.0,-1.0
33,330.0,428.71,71.29,51.76,0.79,8.69,437.6683970770565,183.92,-1.0,-1.0,-1.0,-1.0
34,340.0,440.43,30.27,-78.61,0.84,8.02,448.4131910414769,183.1033333333333,-1.0,-1.0,-1.0,-1.0
35,350.0,313.48,46.88,-151.86,0.89,8.62,351.46678989628595,170.74,-1.0,-1.0,-1.0,-1.0
36,360.0,256.84,1.46,-200.68,0.95,7.78,325.946896901934,152.9933333333333,-1.0,-1.0,-1.0,-1.0
