,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,529.79,94.73,818.85,0.46,8.16,979.8808802604527,481.1233333333333,-1.0,-1.0,-1.0,-1.0
1,10.0,533.2,84.96,822.75,0.45,8.17,984.0924774125654,480.3033333333333,-1.0,-1.0,-1.0,-1.0
2,20.0,527.83,88.87,825.68,0.46,8.07,983.9968740804007,480.79333333333335,-1.0,-1.0,-1.0,-1.0
3,30.0,516.6,101.56,829.59,0.46,8.27,982.5525745220964,482.58333333333326,-1.0,-1.0,-1.0,-1.0
4,40.0,530.76,85.45,821.29,0.45,8.06,981.593166337256,479.16666666666674,-1.0,-1.0,-1.0,-1.0
5,50.0,528.32,94.73,826.17,0.45,8.01,985.2170645091363,483.07333333333327,-1.0,-1.0,-1.0,-1.0
6,60.0,535.64,95.7,829.1,0.45,8.07,991.7033374956444,486.8133333333333,-1.0,-1.0,-1.0,-1.0
7,70.0,529.79,91.31,831.05,0.45,8.15,989.7772793411656,484.05,-1.0,-1.0,-1.0,-1.0
8,80.0,521.48,99.61,825.68,0.45,7.94,981.6369007428357,482.25666666666666,-1.0,-1.0,-1.0,-1.0
9,90.0,510.74,87.4,837.4,0.45,8.11,984.7501549124021,478.51333333333326,-1.0,-1.0,-1.0,-1.0
10,100.0,511.72,93.26,823.24,0.45,8.2,973.7961201401453,476.07333333333327,-1.0,-1.0,-1.0,-1.0
11,110.0,521.0,89.84,830.57,0.45,8.3,984.5601812484598,480.47,-1.0,-1.0,-1.0,-1.0
12,120.0,522.46,100.1,824.22,0.45,8.02,980.9806674955424,482.2600000000001,-1.0,-1.0,-1.0,-1.0
13,130.0,527.34,92.77,823.73,0.45,8.28,982.4585799920523,481.28,-1.0,-1.0,-1.0,-1.0
14,140.0,540.04,96.68,820.8,0.45,8.06,987.2704107791341,485.84,-1.0,-1.0,-1.0,-1.0
15,150.0,541.99,82.03,821.29,0.46,8.21,987.4205512850136,481.77,-1.0,-1.0,-1.0,-1.0
16,160.0,540.53,97.66,815.43,0.45,8.17,983.1766074312386,484.54,-1.0,-1.0,-1.0,-1.0
17,170.0,530.76,85.94,822.27,0.45,8.37,982.4560112798944,479.6566666666667,-1.0,-1.0,-1.0,-1.0
18,180.0,529.79,94.73,815.43,0.45,8.11,977.0247191857532,479.9833333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,540.04,97.66,812.99,0.45,8.2,980.8839978815026,483.5633333333333,-1.0,-1.0,-1.0,-1.0
20,200.0,534.67,103.52,814.94,0.45,8.11,980.1610086613323,484.3766666666667,-1.0,-1.0,-1.0,-1.0
21,210.0,539.06,98.63,821.29,0.45,8.11,987.335213896476,486.32666666666665,-1.0,-1.0,-1.0,-1.0
22,220.0,535.16,100.1,823.24,0.45,8.21,986.9854777047127,486.16666666666674,-1.0,-1.0,-1.0,-1.0
23,230.0,528.32,98.63,828.61,0.45,8.39,987.6459038542104,485.18666666666667,-1.0,-1.0,-1.0,-1.0
24,240.0,531.74,88.87,833.01,0.45,8.15,992.2454155096913,484.54,-1.0,-1.0,-1.0,-1.0
25,250.0,522.95,93.75,829.1,0.45,8.25,984.7195412908186,481.93333333333334,-1.0,-1.0,-1.0,-1.0
26,260.0,537.11,107.42,827.64,0.45,8.14,992.4788048618468,490.72333333333336,-1.0,-1.0,-1.0,-1.0
27,270.0,542.48,88.87,824.22,0.46,8.21,990.7174348420441,485.19000000000005,-1.0,-1.0,-1.0,-1.0
28,280.0,539.06,91.31,813.96,0.47,8.1,980.5376490986972,481.44333333333327,-1.0,-1.0,-1.0,-1.0
29,290.0,538.57,78.12,827.15,0.47,8.36,990.1199431382038,481.28,-1.0,-1.0,-1.0,-1.0
30,300.0,540.04,103.03,820.31,0.48,8.03,987.5053815549563,487.7933333333333,-1.0,-1.0,-1.0,-1.0
31,310.0,534.67,93.75,832.03,0.48,8.23,993.4460188153153,486.81666666666666,-1.0,-1.0,-1.0,-1.0
32,320.0,529.3,87.4,826.17,0.48,7.97,985.0655404083528,480.95666666666665,-1.0,-1.0,-1.0,-1.0
33,330.0,526.37,101.56,824.22,0.49,8.16,983.2183983734236,484.05,-1.0,-1.0,-1.0,-1.0
34,340.0,541.99,94.24,825.2,0.49,8.11,991.7607461983963,487.1433333333334,-1.0,-1.0,-1.0,-1.0
35,350.0,527.83,100.59,821.78,0.48,8.49,981.8580474793697,483.4,-1.0,-1.0,-1.0,-1.0
36,360.0,533.2,98.14,806.64,0.48,8.17,971.9062656449953,479.32666666666665,-1.0,-1.0,-1.0,-1.0
37,370.0,525.39,105.47,827.15,0.48,8.16,985.5636435563154,486.0033333333333,-1.0,-1.0,-1.0,-1.0
38,380.0,539.55,94.24,828.12,0.48,8.01,992.8635930982664,487.3033333333333,-1.0,-1.0,-1.0,-1.0
39,390.0,529.79,95.21,823.73,0.48,8.12,984.0088927951821,482.91,-1.0,-1.0,-1.0,-1.0
40,400.0,540.04,83.01,813.48,0.48,8.11,979.9405962097908,478.8433333333333,-1.0,-1.0,-1.0,-1.0
41,410.0,534.67,79.59,816.41,0.47,8.28,979.1485408762044,476.89,-1.0,-1.0,-1.0,-1.0
42,420.0,542.97,104.0,819.82,0.46,8.11,988.805973535759,488.93,-1.0,-1.0,-1.0,-1.0
43,430.0,543.95,86.91,826.17,0.46,8.29,992.9712077900347,485.67666666666673,-1.0,-1.0,-1.0,-1.0
44,440.0,541.02,94.24,819.34,0.46,8.11,986.3578729852568,484.8666666666666,-1.0,-1.0,-1.0,-1.0
45,450.0,529.79,101.56,831.54,0.45,8.27,991.1864856322445,487.63,-1.0,-1.0,-1.0,-1.0
46,460.0,523.93,75.2,825.2,0.45,8.0,980.3635677135294,474.7766666666666,-1.0,-1.0,-1.0,-1.0
47,470.0,529.79,88.38,827.15,0.45,8.14,986.2381005619279,481.77333333333326,-1.0,-1.0,-1.0,-1.0
48,480.0,537.11,95.21,834.47,0.43,8.06,996.9414612202664,488.93,-1.0,-1.0,-1.0,-1.0
49,490.0,534.67,93.26,830.08,0.44,8.34,991.7672322173182,486.0033333333333,-1.0,-1.0,-1.0,-1.0
50,500.0,534.18,90.82,820.31,0.44,8.2,983.1098824139647,481.77,-1.0,-1.0,-1.0,-1.0
51,510.0,537.6,88.38,831.54,0.44,8.23,994.1245173518256,485.84,-1.0,-1.0,-1.0,-1.0
52,520.0,538.09,99.12,815.92,0.44,7.95,982.3904869755203,484.3766666666667,-1.0,-1.0,-1.0,-1.0
53,530.0,534.18,90.33,820.8,0.44,8.12,983.4736505367084,481.77,-1.0,-1.0,-1.0,-1.0
54,540.0,549.32,98.14,822.75,0.44,7.91,994.1335345415123,490.07,-1.0,-1.0,-1.0,-1.0
55,550.0,533.2,92.77,824.71,0.44,8.26,986.4355513666363,483.56,-1.0,-1.0,-1.0,-1.0
56,560.0,540.53,99.12,827.15,0.44,8.11,993.0632295075676,488.9333333333333,-1.0,-1.0,-1.0,-1.0
57,570.0,550.78,91.31,835.94,0.44,8.31,1005.2322160078237,492.67666666666673,-1.0,-1.0,-1.0,-1.0
58,580.0,533.2,82.52,821.78,0.44,8.1,983.0738318152914,479.16666666666674,-1.0,-1.0,-1.0,-1.0
59,590.0,520.51,85.45,829.59,0.45,8.29,983.0828707184354,478.5166666666667,-1.0,-1.0,-1.0,-1.0
60,600.0,529.3,91.8,818.85,0.44,8.11,979.3370474458728,479.9833333333333,-1.0,-1.0,-1.0,-1.0
61,610.0,534.18,95.21,831.05,0.45,8.21,992.5005385388966,486.8133333333333,-1.0,-1.0,-1.0,-1.0
62,620.0,532.71,102.05,820.31,0.45,7.94,983.4137698344476,485.02333333333326,-1.0,-1.0,-1.0,-1.0
63,630.0,536.62,89.36,825.68,0.45,8.3,988.7839482920423,483.88666666666666,-1.0,-1.0,-1.0,-1.0
64,640.0,531.25,100.1,820.31,0.45,8.08,982.4230598881524,483.88666666666666,-1.0,-1.0,-1.0,-1.0
65,650.0,541.99,95.21,834.96,0.45,8.27,999.9881528298224,490.72,-1.0,-1.0,-1.0,-1.0
66,660.0,531.25,76.66,827.15,0.45,7.97,986.0428188471327,478.3533333333333,-1.0,-1.0,-1.0,-1.0
67,670.0,522.46,96.68,820.8,0.45,8.11,977.7648561898717,479.98,-1.0,-1.0,-1.0,-1.0
68,680.0,523.93,90.82,820.8,0.45,8.11,977.9895486660376,478.51666666666665,-1.0,-1.0,-1.0,-1.0
69,690.0,536.62,91.8,824.22,0.45,8.33,987.7888806825067,484.2133333333333,-1.0,-1.0,-1.0,-1.0
70,700.0,524.9,83.5,822.75,0.45,8.16,979.4946771167264,477.05,-1.0,-1.0,-1.0,-1.0
71,710.0,525.88,97.17,827.64,0.46,8.28,985.3830488190873,483.5633333333333,-1.0,-1.0,-1.0,-1.0
72,720.0,547.85,93.26,820.8,0.45,8.2,991.2364451027817,487.3033333333333,-1.0,-1.0,-1.0,-1.0
73,730.0,540.04,83.5,821.78,0.45,8.28,986.8828805891812,481.77333333333326,-1.0,-1.0,-1.0,-1.0
74,740.0,541.99,92.77,820.8,0.45,8.01,987.9635990257941,485.18666666666667,-1.0,-1.0,-1.0,-1.0
75,750.0,534.18,91.31,822.75,0.45,8.25,985.1920376251526,482.7466666666666,-1.0,-1.0,-1.0,-1.0
76,760.0,548.34,96.19,811.04,0.45,8.14,983.7251411344532,485.19,-1.0,-1.0,-1.0,-1.0
77,770.0,539.06,87.4,817.87,0.45,8.37,983.430618040744,481.44333333333327,-1.0,-1.0,-1.0,-1.0
78,780.0,521.0,98.14,820.8,0.45,8.03,977.1310554884641,479.98,-1.0,-1.0,-1.0,-1.0
79,790.0,531.25,101.56,822.27,0.44,8.24,984.2098094410561,485.0266666666666,-1.0,-1.0,-1.0,-1.0
80,800.0,527.83,91.8,833.98,0.44,8.11,991.2388154728404,484.5366666666667,-1.0,-1.0,-1.0,-1.0
81,810.0,522.95,101.56,825.2,0.44,8.11,982.2149337594091,483.23666666666674,-1.0,-1.0,-1.0,-1.0
82,820.0,541.02,105.47,830.57,0.44,7.98,996.8315234782657,492.3533333333333,-1.0,-1.0,-1.0,-1.0
83,830.0,533.69,98.14,823.73,0.44,8.23,986.4013324200247,485.18666666666667,-1.0,-1.0,-1.0,-1.0
84,840.0,529.79,92.77,812.01,0.45,8.04,973.9835507337892,478.19,-1.0,-1.0,-1.0,-1.0
85,850.0,539.55,97.66,821.78,0.45,8.33,987.9139873997127,486.32999999999987,-1.0,-1.0,-1.0,-1.0
86,860.0,533.2,84.47,821.29,0.44,8.11,982.829936967734,479.65333333333336,-1.0,-1.0,-1.0,-1.0
87,870.0,529.3,103.03,833.98,0.45,8.33,993.124519534182,488.77,-1.0,-1.0,-1.0,-1.0
88,880.0,540.04,96.19,826.17,0.44,8.11,991.6917800405528,487.4666666666667,-1.0,-1.0,-1.0,-1.0
89,890.0,533.69,93.26,821.29,0.44,8.21,983.8900892884328,482.7466666666666,-1.0,-1.0,-1.0,-1.0
90,900.0,530.76,81.05,815.92,0.45,8.04,976.7296076704137,475.91,-1.0,-1.0,-1.0,-1.0
91,910.0,537.6,93.75,825.68,0.44,8.26,989.7223271706059,485.67666666666673,-1.0,-1.0,-1.0,-1.0
92,920.0,537.11,92.77,811.52,0.45,8.01,977.5776876545414,480.4666666666667,-1.0,-1.0,-1.0,-1.0
93,930.0,540.04,95.7,835.45,0.45,8.23,999.3890103958521,490.3966666666667,-1.0,-1.0,-1.0,-1.0
94,940.0,550.29,101.56,818.36,0.45,8.11,991.3862049171353,490.07,-1.0,-1.0,-1.0,-1.0
95,950.0,529.79,91.8,825.2,0.46,8.32,984.9161000308604,482.26333333333326,-1.0,-1.0,-1.0,-1.0
96,960.0,529.79,89.36,822.75,0.47,8.15,982.6394131114424,480.6333333333334,-1.0,-1.0,-1.0,-1.0
97,970.0,549.32,78.61,825.68,0.47,8.39,994.8263450974748,484.5366666666667,-1.0,-1.0,-1.0,-1.0
98,980.0,545.9,102.54,820.31,0.47,8.1,990.6713671546181,489.58333333333326,-1.0,-1.0,-1.0,-1.0
99,990.0,544.92,88.38,826.17,0.48,8.47,993.632577817374,486.49,-1.0,-1.0,-1.0,-1.0
100,1000.0,541.02,94.73,821.78,0.48,8.3,988.4324871735043,485.8433333333333,0.6721233295718282,0.6681035774946771,-1.0,-1.0
101,1010.0,530.76,93.75,828.12,0.48,8.15,988.0677985340884,484.21,-1.0,-1.0,-1.0,-1.0
102,1020.0,529.3,96.19,814.94,0.48,8.11,976.4928108798345,480.1433333333334,-1.0,-1.0,-1.0,-1.0
103,1030.0,525.39,90.82,825.68,0.48,8.25,982.8684484202347,480.63,-1.0,-1.0,-1.0,-1.0
104,1040.0,527.83,100.59,818.36,0.47,8.04,978.9974190977216,482.2600000000001,-1.0,-1.0,-1.0,-1.0
105,1050.0,540.04,107.42,824.71,0.47,8.25,991.6293874729613,490.72333333333336,-1.0,-1.0,-1.0,-1.0
106,1060.0,537.6,94.73,821.29,0.47,7.98,986.1565783383487,484.54,-1.0,-1.0,-1.0,-1.0
107,1070.0,523.93,98.14,827.15,0.46,8.17,984.0280620998567,483.07333333333327,-1.0,-1.0,-1.0,-1.0
108,1080.0,542.97,96.68,827.64,0.46,8.03,994.5609146251423,489.0966666666666,-1.0,-1.0,-1.0,-1.0
109,1090.0,530.76,94.24,814.94,0.46,8.22,977.0949589471844,479.98,-1.0,-1.0,-1.0,-1.0
110,1100.0,536.13,104.49,822.75,0.45,8.17,987.5581499334606,487.79,-1.0,-1.0,-1.0,-1.0
111,1110.0,548.34,98.14,819.82,0.44,8.13,991.1675174257882,488.7666666666667,-1.0,-1.0,-1.0,-1.0
112,1120.0,546.87,91.31,821.78,0.44,8.01,991.3257191256564,486.65333333333336,-1.0,-1.0,-1.0,-1.0
113,1130.0,543.95,94.73,822.27,0.44,8.22,990.4460249301826,486.98333333333335,-1.0,-1.0,-1.0,-1.0
114,1140.0,539.06,93.26,809.57,0.43,8.09,977.0807009147197,480.63,-1.0,-1.0,-1.0,-1.0
115,1150.0,540.04,86.91,816.89,0.43,8.1,983.1102795719307,481.28,-1.0,-1.0,-1.0,-1.0
116,1160.0,536.13,89.36,822.75,0.43,8.0,986.0720810366755,482.7466666666666,-1.0,-1.0,-1.0,-1.0
117,1170.0,543.46,81.54,813.96,0.43,8.14,982.1040804313973,479.65333333333336,-1.0,-1.0,-1.0,-1.0
118,1180.0,541.5,89.36,825.2,0.43,7.95,991.0411190258453,485.3533333333333,-1.0,-1.0,-1.0,-1.0
119,1190.0,536.62,91.8,832.03,0.42,8.18,994.3149326546393,486.81666666666666,-1.0,-1.0,-1.0,-1.0
120,1200.0,529.79,101.07,818.36,0.42,8.12,980.1049324434604,483.07333333333327,-1.0,-1.0,-1.0,-1.0
121,1210.0,541.02,95.21,821.29,0.42,8.07,988.0712770848062,485.84,-1.0,-1.0,-1.0,-1.0
122,1220.0,544.92,99.12,824.22,0.42,7.98,993.026278202143,489.42,-1.0,-1.0,-1.0,-1.0
123,1230.0,537.6,87.89,831.05,0.42,8.13,993.6712306391887,485.51333333333326,-1.0,-1.0,-1.0,-1.0
124,1240.0,551.27,89.84,832.03,0.42,7.89,1002.1196332773848,491.0466666666666,-1.0,-1.0,-1.0,-1.0
125,1250.0,536.62,96.68,824.71,0.42,8.11,988.6630522579469,486.0033333333333,-1.0,-1.0,-1.0,-1.0
126,1260.0,529.3,80.08,819.34,0.42,7.98,978.7182086790863,476.24,-1.0,-1.0,-1.0,-1.0
127,1270.0,537.6,102.05,821.78,0.43,8.26,987.2944499489502,487.14333333333326,-1.0,-1.0,-1.0,-1.0
128,1280.0,538.57,95.21,811.04,0.43,8.11,978.2169854383023,481.60666666666674,-1.0,-1.0,-1.0,-1.0
129,1290.0,538.57,100.59,834.47,0.43,8.28,998.2565671709854,491.21,-1.0,-1.0,-1.0,-1.0
130,1300.0,541.02,101.56,821.29,0.44,7.91,988.7033620353476,487.95666666666665,-1.0,-1.0,-1.0,-1.0
131,1310.0,532.23,99.61,819.82,0.43,8.26,982.4946602399423,483.8866666666667,-1.0,-1.0,-1.0,-1.0
132,1320.0,535.64,98.63,815.43,0.43,8.2,980.5937851118576,483.2333333333333,-1.0,-1.0,-1.0,-1.0
133,1330.0,532.71,90.33,818.85,0.44,8.31,981.0477947072712,480.63000000000005,-1.0,-1.0,-1.0,-1.0
134,1340.0,545.41,113.28,828.61,0.44,8.02,998.4482753753447,495.76666666666665,-1.0,-1.0,-1.0,-1.0
135,1350.0,533.2,92.77,812.99,0.44,8.3,976.6582068461822,479.65333333333336,-1.0,-1.0,-1.0,-1.0
136,1360.0,541.02,99.12,822.75,0.44,8.13,989.6691251625464,487.63,-1.0,-1.0,-1.0,-1.0
137,1370.0,539.06,90.33,815.43,0.44,8.31,981.6676002598842,481.6066666666666,-1.0,-1.0,-1.0,-1.0
138,1380.0,547.85,110.84,825.2,0.43,8.15,996.6845880718736,494.63000000000005,-1.0,-1.0,-1.0,-1.0
139,1390.0,537.11,100.59,815.92,0.43,8.31,982.0035369590073,484.54,-1.0,-1.0,-1.0,-1.0
140,1400.0,540.53,83.01,818.36,0.43,8.11,984.2644109181233,480.6333333333334,-1.0,-1.0,-1.0,-1.0
141,1410.0,528.81,83.5,823.73,0.43,8.27,982.417110498387,478.68,-1.0,-1.0,-1.0,-1.0
142,1420.0,539.55,109.37,832.03,0.43,8.12,997.6722509421617,493.64999999999986,-1.0,-1.0,-1.0,-1.0
143,1430.0,538.09,88.87,820.31,0.43,8.17,985.0620392137746,482.42333333333335,-1.0,-1.0,-1.0,-1.0
144,1440.0,541.99,92.77,824.71,0.43,7.92,991.2144153007463,486.49,-1.0,-1.0,-1.0,-1.0
145,1450.0,539.55,95.21,836.43,0.42,8.14,999.8971404599574,490.3966666666667,-1.0,-1.0,-1.0,-1.0
146,1460.0,531.25,97.66,822.75,0.43,8.02,984.2162367081737,483.88666666666666,-1.0,-1.0,-1.0,-1.0
147,1470.0,533.2,100.59,818.36,0.43,8.31,981.9030897700648,484.05,-1.0,-1.0,-1.0,-1.0
148,1480.0,526.37,97.17,829.59,0.42,7.97,987.282610957977,484.3766666666667,-1.0,-1.0,-1.0,-1.0
149,1490.0,514.16,103.03,820.31,0.43,8.29,973.5934380428002,479.16666666666674,-1.0,-1.0,-1.0,-1.0
150,1500.0,537.11,94.24,825.2,0.42,7.97,989.1023049715332,485.5166666666667,0.684639279707059,0.6769723081842978,-1.0,-1.0
151,1510.0,537.11,97.17,826.17,0.42,8.17,990.1949454021667,486.81666666666666,-1.0,-1.0,-1.0,-1.0
152,1520.0,537.11,87.89,817.38,0.43,8.07,981.9989147651843,480.79333333333335,-1.0,-1.0,-1.0,-1.0
153,1530.0,523.44,93.75,831.05,0.42,8.14,986.6218113340084,482.7466666666666,-1.0,-1.0,-1.0,-1.0
154,1540.0,536.62,92.77,819.34,0.42,8.03,983.811634867163,482.91,-1.0,-1.0,-1.0,-1.0
155,1550.0,543.46,87.4,828.61,0.42,8.29,994.7773940435117,486.49,-1.0,-1.0,-1.0,-1.0
156,1560.0,532.23,98.63,818.85,0.42,8.14,981.5864568646003,483.23666666666674,-1.0,-1.0,-1.0,-1.0
157,1570.0,524.9,88.38,835.94,0.42,8.4,991.0230663309508,483.07333333333327,-1.0,-1.0,-1.0,-1.0
158,1580.0,520.51,95.7,820.31,0.42,8.15,976.2159833766297,478.84,-1.0,-1.0,-1.0,-1.0
159,1590.0,544.92,108.89,830.08,0.42,8.25,998.9132319175676,494.63,-1.0,-1.0,-1.0,-1.0
160,1600.0,533.2,109.86,818.36,0.43,8.11,982.8960012127428,487.14,-1.0,-1.0,-1.0,-1.0
161,1610.0,543.95,98.63,820.8,0.44,8.21,989.607053026604,487.79333333333335,-1.0,-1.0,-1.0,-1.0
162,1620.0,540.53,87.89,826.17,0.44,8.18,991.1882777252763,484.8633333333333,-1.0,-1.0,-1.0,-1.0
163,1630.0,533.69,99.61,808.59,0.44,8.24,973.9429943790344,480.63000000000005,-1.0,-1.0,-1.0,-1.0
164,1640.0,546.39,88.38,831.54,0.45,8.11,998.9053148822466,488.77,-1.0,-1.0,-1.0,-1.0
165,1650.0,528.32,87.89,818.85,0.46,8.29,978.4487707591032,478.3533333333333,-1.0,-1.0,-1.0,-1.0
166,1660.0,521.97,89.84,829.1,0.46,8.11,983.834699784471,480.3033333333333,-1.0,-1.0,-1.0,-1.0
167,1670.0,529.3,103.52,824.71,0.46,8.2,985.404213762048,485.8433333333333,-1.0,-1.0,-1.0,-1.0
168,1680.0,542.48,100.59,826.66,0.47,8.2,993.8660141588502,489.91,-1.0,-1.0,-1.0,-1.0
169,1690.0,522.46,98.14,812.5,0.47,8.21,970.9542528873337,477.7,-1.0,-1.0,-1.0,-1.0
170,1700.0,539.06,94.24,822.75,0.46,8.0,988.1216644219477,485.35,-1.0,-1.0,-1.0,-1.0
171,1710.0,535.16,85.94,815.43,0.46,8.14,979.1363511278702,478.8433333333333,-1.0,-1.0,-1.0,-1.0
172,1720.0,550.78,92.77,822.75,0.46,7.93,994.425685408417,488.76666666666665,-1.0,-1.0,-1.0,-1.0
173,1730.0,542.48,96.19,821.78,0.46,8.12,989.3732535802652,486.81666666666666,-1.0,-1.0,-1.0,-1.0
174,1740.0,534.18,83.5,820.8,0.45,7.91,982.8698603579213,479.4933333333333,-1.0,-1.0,-1.0,-1.0
175,1750.0,544.92,91.31,820.8,0.45,8.29,989.4382054984537,485.67666666666673,-1.0,-1.0,-1.0,-1.0
176,1760.0,537.11,98.14,827.15,0.44,7.92,991.1083362579492,487.4666666666667,-1.0,-1.0,-1.0,-1.0
177,1770.0,535.64,106.45,813.48,0.44,8.35,979.7915709476173,485.19000000000005,-1.0,-1.0,-1.0,-1.0
178,1780.0,543.95,105.96,812.99,0.43,8.11,983.901348815012,487.6333333333334,-1.0,-1.0,-1.0,-1.0
179,1790.0,540.53,95.21,820.31,0.43,8.12,986.9884098103684,485.35,-1.0,-1.0,-1.0,-1.0
180,1800.0,538.09,92.77,822.75,0.42,7.9,987.4536361267805,484.5366666666667,-1.0,-1.0,-1.0,-1.0
181,1810.0,539.55,97.17,828.12,0.42,8.15,993.145984133249,488.28,-1.0,-1.0,-1.0,-1.0
182,1820.0,534.67,89.84,815.92,0.41,7.99,979.626806952525,480.14333333333326,-1.0,-1.0,-1.0,-1.0
183,1830.0,532.71,99.61,833.01,0.41,8.29,993.7845623172057,488.44333333333327,-1.0,-1.0,-1.0,-1.0
184,1840.0,549.32,101.56,823.24,0.41,8.15,994.8824018948168,491.37333333333333,-1.0,-1.0,-1.0,-1.0
185,1850.0,542.48,92.77,819.34,0.4,8.25,987.0201917387508,484.86333333333334,-1.0,-1.0,-1.0,-1.0
186,1860.0,531.25,90.33,805.18,0.41,8.03,968.8657821390947,475.5866666666666,-1.0,-1.0,-1.0,-1.0
187,1870.0,546.87,90.82,819.82,0.4,8.36,989.6564564029277,485.8366666666668,-1.0,-1.0,-1.0,-1.0
188,1880.0,534.18,89.36,821.29,0.4,8.2,983.7940567517168,481.61,-1.0,-1.0,-1.0,-1.0
189,1890.0,521.0,91.31,827.15,0.41,8.36,981.812425364438,479.82,-1.0,-1.0,-1.0,-1.0
190,1900.0,528.81,104.98,818.85,0.41,8.04,980.3959093141913,484.2133333333333,-1.0,-1.0,-1.0,-1.0
191,1910.0,530.76,116.21,833.5,0.41,8.25,994.9538641062711,493.49,-1.0,-1.0,-1.0,-1.0
192,1920.0,541.99,81.54,824.22,0.41,8.11,989.8184379470813,482.58333333333326,-1.0,-1.0,-1.0,-1.0
193,1930.0,540.53,108.89,814.45,0.41,8.26,983.543855402493,487.95666666666665,-1.0,-1.0,-1.0,-1.0
194,1940.0,547.85,104.98,817.87,0.41,7.9,989.9857371699857,490.23333333333335,-1.0,-1.0,-1.0,-1.0
195,1950.0,548.83,93.26,814.94,0.41,8.2,986.9341417237526,485.67666666666673,-1.0,-1.0,-1.0,-1.0
196,1960.0,543.95,95.7,821.78,0.42,8.11,990.132547136998,487.1433333333334,-1.0,-1.0,-1.0,-1.0
197,1970.0,537.11,89.36,824.22,0.42,8.22,987.8314482238354,483.5633333333333,-1.0,-1.0,-1.0,-1.0
198,1980.0,546.87,89.36,818.36,0.42,7.95,988.314269906086,484.86333333333334,-1.0,-1.0,-1.0,-1.0
199,1990.0,530.76,90.33,830.08,0.43,8.1,989.3929921421519,483.72333333333336,-1.0,-1.0,-1.0,-1.0
200,2000.0,542.48,96.19,816.41,0.43,7.99,984.9174354228886,485.0266666666666,0.6767895413580269,0.6720610517181707,-1.0,-1.0
201,2010.0,521.97,102.05,815.43,0.43,8.27,973.5465927730424,479.81666666666666,-1.0,-1.0,-1.0,-1.0
202,2020.0,549.32,104.0,802.25,0.43,7.99,977.8412575157587,485.19000000000005,-1.0,-1.0,-1.0,-1.0
203,2030.0,542.48,100.1,827.15,0.43,8.09,994.2241612936187,489.91,-1.0,-1.0,-1.0,-1.0
204,2040.0,527.83,86.43,828.61,0.43,8.04,986.2399230917397,480.95666666666665,-1.0,-1.0,-1.0,-1.0
205,2050.0,536.13,98.63,814.45,0.43,8.04,980.0469663745712,483.07,-1.0,-1.0,-1.0,-1.0
