,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-401.86,-94.24,482.91,0.53,3.52,635.2752988272092,326.33666666666664,-1.0,-1.0,-1.0,-1.0
1,10.0,-199.71,-62.01,665.04,0.53,3.22,697.1423999442294,308.92,-1.0,-1.0,-1.0,-1.0
2,20.0,-62.5,-73.24,790.04,0.54,3.02,795.8853869747828,308.5933333333333,-1.0,-1.0,-1.0,-1.0
3,30.0,-93.26,-122.07,794.92,0.54,3.18,809.6272715885996,336.75,-1.0,-1.0,-1.0,-1.0
4,40.0,-387.7,-124.02,614.75,0.54,3.08,737.2989983039446,375.49,-1.0,-1.0,-1.0,-1.0
5,50.0,-616.7,-111.33,395.02,0.52,3.22,740.7793593911753,374.35000000000014,-1.0,-1.0,-1.0,-1.0
6,60.0,-820.8,-174.8,336.91,0.52,3.06,904.3096970065068,444.17,-1.0,-1.0,-1.0,-1.0
7,70.0,-1115.23,-225.59,417.97,0.54,3.22,1212.1582907772404,586.2633333333333,-1.0,-1.0,-1.0,-1.0
8,80.0,-1169.43,-305.66,637.21,0.55,3.03,1366.3934808831607,704.1,-1.0,-1.0,-1.0,-1.0
9,90.0,-1365.23,-375.0,794.92,0.58,3.2,1623.6920149153902,845.0500000000002,-1.0,-1.0,-1.0,-1.0
10,100.0,-1326.66,-425.78,911.62,0.62,3.06,1665.0424584376221,888.02,-1.0,-1.0,-1.0,-1.0
11,110.0,-1314.45,-446.78,963.38,0.66,3.2,1689.820166556193,908.2033333333335,-1.0,-1.0,-1.0,-1.0
12,120.0,-1106.45,-476.07,909.18,0.7,3.11,1509.1330358189102,830.5666666666666,-1.0,-1.0,-1.0,-1.0
13,130.0,-934.57,-425.29,675.78,0.74,3.22,1229.2157163817913,678.5466666666667,-1.0,-1.0,-1.0,-1.0
14,140.0,-917.48,-293.95,506.35,0.76,3.11,1088.3779101948,572.5933333333334,-1.0,-1.0,-1.0,-1.0
15,150.0,-768.55,-202.64,487.79,0.79,3.2,932.5616098682166,486.32666666666665,-1.0,-1.0,-1.0,-1.0
16,160.0,-514.65,-96.19,400.88,0.8,3.09,659.4102766866771,337.2399999999999,-1.0,-1.0,-1.0,-1.0
17,170.0,-283.2,0.0,329.59,0.79,3.18,434.5478202683796,204.2633333333333,-1.0,-1.0,-1.0,-1.0
18,180.0,-233.4,48.83,411.62,0.77,3.09,475.7004869663263,231.28333333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,-120.12,46.88,537.6,0.73,3.24,552.8474552713434,234.86666666666667,-1.0,-1.0,-1.0,-1.0
20,200.0,-118.16,3.42,688.48,0.66,3.17,698.5543589442414,270.02000000000004,-1.0,-1.0,-1.0,-1.0
21,210.0,-182.62,-84.47,766.6,0.59,3.27,792.5659627437958,344.5633333333333,-1.0,-1.0,-1.0,-1.0
22,220.0,-291.5,-150.88,737.3,0.52,3.12,807.0615307397571,393.2266666666666,-1.0,-1.0,-1.0,-1.0
23,230.0,-547.85,-188.48,590.82,0.44,3.33,827.4857130488721,442.3833333333334,-1.0,-1.0,-1.0,-1.0
24,240.0,-798.83,-199.71,338.38,0.39,3.09,890.2328220190492,445.64,-1.0,-1.0,-1.0,-1.0
25,250.0,-668.95,-231.45,459.96,0.35,3.38,844.172024293627,453.4533333333334,-1.0,-1.0,-1.0,-1.0
26,260.0,-945.31,-315.92,584.47,0.33,3.19,1155.431358151578,615.2333333333332,-1.0,-1.0,-1.0,-1.0
27,270.0,-1027.34,-329.59,710.45,0.33,3.33,1291.8189680446715,689.1266666666667,-1.0,-1.0,-1.0,-1.0
28,280.0,-950.2,-357.42,797.36,0.35,3.23,1290.895838555536,701.66,-1.0,-1.0,-1.0,-1.0
29,290.0,-878.91,-361.82,847.66,0.36,3.5,1273.5477910545799,696.13,-1.0,-1.0,-1.0,-1.0
30,300.0,-762.7,-391.6,907.71,0.39,2.98,1248.5989324438813,687.3366666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-660.64,-398.44,910.64,0.41,3.42,1193.509469086861,656.5733333333333,-1.0,-1.0,-1.0,-1.0
32,320.0,-570.31,-409.67,815.92,0.43,3.22,1076.4796567515803,598.6333333333333,-1.0,-1.0,-1.0,-1.0
33,330.0,-769.53,-376.95,576.17,0.43,3.33,1032.5887818003837,574.2166666666667,-1.0,-1.0,-1.0,-1.0
34,340.0,-1141.11,-235.35,210.94,0.44,3.22,1184.068130725593,529.1333333333333,-1.0,-1.0,-1.0,-1.0
35,350.0,-1284.18,-110.84,90.33,0.46,3.2,1292.1158179126205,495.1166666666666,-1.0,-1.0,-1.0,-1.0
36,360.0,-1521.0,49.8,-109.86,0.47,3.03,1525.7752978731826,560.2199999999998,-1.0,-1.0,-1.0,-1.0
37,370.0,-1693.36,244.14,-234.86,0.48,3.23,1726.913908913817,724.12,-1.0,-1.0,-1.0,-1.0
38,380.0,-1572.75,146.97,-132.81,0.49,3.03,1585.1754601620605,617.51,-1.0,-1.0,-1.0,-1.0
39,390.0,-1687.01,63.96,163.09,0.48,3.19,1696.0813570698785,638.02,-1.0,-1.0,-1.0,-1.0
40,400.0,-1816.89,-95.21,427.25,0.47,3.03,1868.8758061198184,779.7833333333334,-1.0,-1.0,-1.0,-1.0
41,410.0,-1963.87,-146.48,550.78,0.43,3.17,2044.8961772422574,887.0433333333334,-1.0,-1.0,-1.0,-1.0
42,420.0,-1897.95,-245.61,494.63,0.37,2.92,1976.663176036828,879.3966666666665,-1.0,-1.0,-1.0,-1.0
43,430.0,-1627.44,-374.51,460.94,0.31,3.03,1732.4215356835068,820.9633333333333,-1.0,-1.0,-1.0,-1.0
44,440.0,-1271.0,-638.67,637.7,0.24,2.96,1558.846258904322,849.1233333333333,-1.0,-1.0,-1.0,-1.0
45,450.0,-1137.21,-896.48,636.72,0.18,3.08,1581.8771548069085,890.1366666666668,-1.0,-1.0,-1.0,-1.0
46,460.0,-1089.84,-928.71,701.66,0.14,2.99,1594.5470345210892,906.7366666666667,-1.0,-1.0,-1.0,-1.0
47,470.0,-745.12,-916.5,436.52,0.12,3.22,1259.2560402078682,699.38,-1.0,-1.0,-1.0,-1.0
48,480.0,-118.65,-696.78,286.62,0.11,2.95,762.7130622324491,367.35,-1.0,-1.0,-1.0,-1.0
49,490.0,627.93,-447.75,418.46,0.12,3.09,877.4308628034462,498.0466666666666,-1.0,-1.0,-1.0,-1.0
50,500.0,1010.74,-251.46,725.1,0.14,2.99,1269.093175933115,662.4333333333334,-1.0,-1.0,-1.0,-1.0
51,510.0,1306.15,-49.32,975.59,0.18,3.12,1631.023032639331,777.02,-1.0,-1.0,-1.0,-1.0
52,520.0,1434.57,39.55,1010.74,0.22,3.17,1755.3206644371278,828.2866666666665,-1.0,-1.0,-1.0,-1.0
53,530.0,1422.85,-9.77,748.05,0.28,3.23,1607.5373643869061,726.89,-1.0,-1.0,-1.0,-1.0
54,540.0,1677.25,-78.12,-54.69,0.32,3.09,1679.9587176475495,603.3533333333334,-1.0,-1.0,-1.0,-1.0
55,550.0,812.99,-111.33,280.27,0.38,3.23,867.1207423998112,401.53,-1.0,-1.0,-1.0,-1.0
56,560.0,232.42,-155.76,239.26,0.44,3.12,368.1379926060335,209.14666666666665,-1.0,-1.0,-1.0,-1.0
57,570.0,-407.23,-337.4,316.89,0.48,3.31,616.5178870073438,353.84,-1.0,-1.0,-1.0,-1.0
58,580.0,-436.52,-437.01,389.16,0.53,3.29,730.0499682213541,420.8966666666667,-1.0,-1.0,-1.0,-1.0
59,590.0,-569.34,-540.04,338.38,0.58,3.31,854.5713905812668,482.5866666666668,-1.0,-1.0,-1.0,-1.0
60,600.0,-1022.95,-530.76,249.02,0.62,3.17,1179.0436126369545,600.91,-1.0,-1.0,-1.0,-1.0
61,610.0,-1421.39,-515.14,-58.59,0.64,3.25,1512.994229929513,665.0400000000002,-1.0,-1.0,-1.0,-1.0
62,620.0,-1396.48,-187.5,30.76,0.66,3.11,1409.3469473483099,538.2466666666667,-1.0,-1.0,-1.0,-1.0
63,630.0,-1261.72,-168.46,100.59,0.67,3.27,1276.8846768992098,510.25666666666666,-1.0,-1.0,-1.0,-1.0
64,640.0,-1361.82,-235.35,273.44,0.65,3.06,1408.7983420277012,623.5366666666666,-1.0,-1.0,-1.0,-1.0
65,650.0,-1602.05,-219.73,217.77,0.63,3.24,1631.6461774232794,679.85,-1.0,-1.0,-1.0,-1.0
66,660.0,-1864.75,-79.1,9.77,0.58,3.05,1866.452470704786,651.2066666666666,-1.0,-1.0,-1.0,-1.0
67,670.0,-1879.39,-44.92,-56.64,0.52,3.2,1880.7798031933457,660.3166666666667,-1.0,-1.0,-1.0,-1.0
68,680.0,-1984.38,-100.1,125.49,0.44,3.04,1990.8620581295932,736.6566666666665,-1.0,-1.0,-1.0,-1.0
69,690.0,-1827.15,-212.89,346.19,0.37,3.22,1871.8030854499627,795.41,-1.0,-1.0,-1.0,-1.0
70,700.0,-1651.86,-369.63,513.67,0.31,3.03,1768.9331998128134,845.0533333333333,-1.0,-1.0,-1.0,-1.0
71,710.0,-1351.07,-402.34,474.12,0.26,3.2,1487.2986905460516,742.5099999999999,-1.0,-1.0,-1.0,-1.0
72,720.0,-1130.37,-377.93,441.89,0.23,2.96,1271.1546695426168,650.0633333333334,-1.0,-1.0,-1.0,-1.0
73,730.0,-979.49,-388.67,425.29,0.22,3.03,1136.3699279284015,597.8166666666667,-1.0,-1.0,-1.0,-1.0
74,740.0,-471.68,-261.72,337.4,0.23,2.84,636.2532049428121,356.93333333333334,-1.0,-1.0,-1.0,-1.0
75,750.0,-178.22,-174.8,308.59,0.25,2.89,396.9196348128926,220.53666666666663,-1.0,-1.0,-1.0,-1.0
