,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-81.54,-73.24,943.36,0.0,0.02,949.7057222108333,366.04666666666674,-1.0,-1.0,-1.0,-1.0
1,10.0,-108.89,-72.27,940.92,0.18,9.8,949.9528574618847,374.0266666666666,-1.0,-1.0,-1.0,-1.0
2,20.0,-131.84,-64.45,959.96,0.0,0.05,971.1121406408223,385.41666666666674,-1.0,-1.0,-1.0,-1.0
3,30.0,-139.65,-68.36,964.84,0.16,8.3,977.2877967620387,390.95,-1.0,-1.0,-1.0,-1.0
4,40.0,-129.88,-71.78,986.82,0.0,0.6,997.9152745599198,396.16,-1.0,-1.0,-1.0,-1.0
5,50.0,-136.72,-90.33,1018.07,0.17,8.98,1031.1733085180201,415.04,-1.0,-1.0,-1.0,-1.0
6,60.0,-112.79,-91.31,1026.37,0.0,0.0,1036.5782542094928,410.15666666666664,-1.0,-1.0,-1.0,-1.0
7,70.0,-98.63,-72.27,1034.67,0.12,7.52,1041.8698760881805,401.85666666666674,-1.0,-1.0,-1.0,-1.0
8,80.0,-94.73,-68.36,1032.23,0.0,0.0,1038.8193468548802,398.44,-1.0,-1.0,-1.0,-1.0
9,90.0,-74.71,-66.89,994.63,0.14,8.59,999.6722928540132,378.7433333333333,-1.0,-1.0,-1.0,-1.0
10,100.0,-81.05,-66.41,971.19,0.0,1.75,976.8261906296332,372.8833333333334,-1.0,-1.0,-1.0,-1.0
11,110.0,-99.12,-74.22,958.5,0.14,8.26,966.4655362712112,377.28,-1.0,-1.0,-1.0,-1.0
12,120.0,-159.18,-61.04,970.21,0.0,0.0,985.0744124684186,396.81,-1.0,-1.0,-1.0,-1.0
13,130.0,-178.71,-65.43,993.16,0.16,8.36,1011.2295162820357,412.4333333333333,-1.0,-1.0,-1.0,-1.0
14,140.0,-176.76,-63.48,996.58,0.0,0.0,1014.1230223202707,412.27333333333326,-1.0,-1.0,-1.0,-1.0
15,150.0,-197.27,-61.52,1001.46,0.14,9.27,1022.5567440978521,420.08333333333326,-1.0,-1.0,-1.0,-1.0
16,160.0,-184.57,-70.8,985.35,0.0,0.0,1004.9842523144333,413.57333333333327,-1.0,-1.0,-1.0,-1.0
17,170.0,-191.89,-80.57,991.21,0.15,9.07,1012.8230650513443,421.22333333333336,-1.0,-1.0,-1.0,-1.0
18,180.0,-181.64,-94.24,982.42,0.0,0.2,1003.505517473621,419.4333333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,-171.87,-87.89,984.37,0.13,8.34,1003.1192580645633,414.71,-1.0,-1.0,-1.0,-1.0
20,200.0,-208.5,-103.03,967.29,0.0,0.0,994.8554543248983,426.27333333333326,-1.0,-1.0,-1.0,-1.0
21,210.0,-245.12,-83.5,959.47,0.15,8.3,993.8001536023227,429.36333333333334,-1.0,-1.0,-1.0,-1.0
22,220.0,-212.89,-89.84,998.05,0.0,0.0,1024.4496962760054,433.5933333333333,-1.0,-1.0,-1.0,-1.0
23,230.0,-223.14,-93.26,1004.88,0.15,8.86,1033.572784858425,440.42666666666673,-1.0,-1.0,-1.0,-1.0
24,240.0,-252.93,-89.36,1009.28,0.0,0.0,1044.3203114466364,450.52333333333326,-1.0,-1.0,-1.0,-1.0
25,250.0,-271.97,-81.05,970.21,0.15,9.15,1010.8631101687309,441.07666666666665,-1.0,-1.0,-1.0,-1.0
26,260.0,-257.32,-97.17,932.13,0.0,0.0,971.8651800532828,428.8733333333333,-1.0,-1.0,-1.0,-1.0
27,270.0,-262.21,-110.84,918.95,0.14,8.76,962.0336232169853,430.66666666666674,-1.0,-1.0,-1.0,-1.0
28,280.0,-261.23,-104.49,913.09,0.0,0.0,955.4541439022597,426.27,-1.0,-1.0,-1.0,-1.0
29,290.0,-328.12,-122.07,943.36,0.15,9.09,1006.2265693669592,464.51666666666665,-1.0,-1.0,-1.0,-1.0
30,300.0,-335.94,-110.35,1016.11,0.01,1.23,1075.8774736000378,487.4666666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-314.94,-112.3,1040.04,0.16,8.23,1092.4658782772121,489.0933333333333,-1.0,-1.0,-1.0,-1.0
32,320.0,-287.11,-116.7,1063.48,0.0,0.26,1107.7187154237306,489.0966666666666,-1.0,-1.0,-1.0,-1.0
33,330.0,-207.52,-119.14,1076.66,0.16,9.28,1102.9304808554346,467.77333333333337,-1.0,-1.0,-1.0,-1.0
