,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,410.64,129.39,887.7,0.31,11.04,986.5993471009393,475.91,-1.0,-1.0,-1.0,-1.0
1,10.0,402.83,113.77,876.46,0.32,11.02,971.2866484205373,464.3533333333333,-1.0,-1.0,-1.0,-1.0
2,20.0,451.66,105.47,877.44,0.34,10.94,992.4825590910907,478.19000000000005,-1.0,-1.0,-1.0,-1.0
3,30.0,459.96,128.42,888.18,0.36,10.96,1008.4238247879707,492.18666666666667,-1.0,-1.0,-1.0,-1.0
4,40.0,450.2,99.12,871.58,0.36,10.99,985.9799748473596,473.6333333333334,-1.0,-1.0,-1.0,-1.0
5,50.0,430.66,120.12,878.91,0.37,10.93,986.093118371688,476.5633333333333,-1.0,-1.0,-1.0,-1.0
6,60.0,450.2,109.86,884.77,0.38,11.04,998.7828655418554,481.61,-1.0,-1.0,-1.0,-1.0
7,70.0,418.46,98.14,886.72,0.39,10.54,985.3997105743435,467.77333333333337,-1.0,-1.0,-1.0,-1.0
8,80.0,423.83,106.45,887.7,0.4,11.02,989.4315344681512,472.66,-1.0,-1.0,-1.0,-1.0
9,90.0,435.55,101.07,853.52,0.41,11.04,963.543116731161,463.38,-1.0,-1.0,-1.0,-1.0
10,100.0,453.12,89.84,882.81,0.42,10.96,996.3646200563323,475.25666666666666,-1.0,-1.0,-1.0,-1.0
11,110.0,425.29,107.91,880.86,0.44,10.97,984.0886605382667,471.3533333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,432.13,103.03,889.65,0.46,11.0,994.3986324910146,474.93666666666667,-1.0,-1.0,-1.0,-1.0
13,130.0,422.85,125.0,886.72,0.47,11.04,990.3027218482235,478.19000000000005,-1.0,-1.0,-1.0,-1.0
14,140.0,430.18,118.65,895.51,0.49,11.51,1000.5352642460934,481.4466666666667,-1.0,-1.0,-1.0,-1.0
15,150.0,423.34,109.86,883.79,0.5,11.04,986.0886062114296,472.32999999999987,-1.0,-1.0,-1.0,-1.0
16,160.0,421.39,134.77,884.77,0.5,11.93,989.2170833037607,480.31,-1.0,-1.0,-1.0,-1.0
17,170.0,410.64,114.26,887.7,0.5,10.97,984.7293268710949,470.8666666666666,-1.0,-1.0,-1.0,-1.0
18,180.0,417.97,118.16,876.46,0.5,10.99,978.1834378581557,470.86333333333334,-1.0,-1.0,-1.0,-1.0
19,190.0,438.96,128.91,888.67,0.49,11.16,999.518903573114,485.51333333333326,-1.0,-1.0,-1.0,-1.0
20,200.0,428.22,122.07,890.62,0.48,10.34,995.7296006948877,480.3033333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,429.69,115.23,893.55,0.47,10.96,998.169851027369,479.49,-1.0,-1.0,-1.0,-1.0
22,220.0,431.15,119.14,868.16,0.46,10.97,976.6199095349224,472.81666666666666,-1.0,-1.0,-1.0,-1.0
23,230.0,443.85,104.49,910.16,0.45,11.02,1017.99420833323,486.16666666666674,-1.0,-1.0,-1.0,-1.0
24,240.0,410.64,110.84,871.09,0.45,11.05,969.3856318823794,464.19000000000005,-1.0,-1.0,-1.0,-1.0
25,250.0,439.45,120.61,885.25,0.44,11.25,995.6558828731944,481.77,-1.0,-1.0,-1.0,-1.0
26,260.0,435.06,106.93,865.23,0.44,11.04,974.3378168787253,469.07333333333327,-1.0,-1.0,-1.0,-1.0
27,270.0,434.57,96.68,885.25,0.44,11.04,990.8913511581378,472.16666666666674,-1.0,-1.0,-1.0,-1.0
28,280.0,449.22,111.33,884.77,0.44,11.04,998.5043466104692,481.77333333333337,-1.0,-1.0,-1.0,-1.0
29,290.0,449.71,104.0,878.42,0.44,10.97,992.3088130718178,477.3766666666667,-1.0,-1.0,-1.0,-1.0
30,300.0,429.69,101.56,875.49,0.44,10.98,980.5257109326607,468.91333333333336,-1.0,-1.0,-1.0,-1.0
31,310.0,445.8,102.05,867.68,0.44,11.04,980.8263989616104,471.8433333333333,-1.0,-1.0,-1.0,-1.0
32,320.0,438.48,109.86,875.98,0.44,10.98,985.7357102185147,474.77333333333337,-1.0,-1.0,-1.0,-1.0
33,330.0,436.04,115.72,888.67,0.44,11.23,996.6224806314576,480.14333333333326,-1.0,-1.0,-1.0,-1.0
34,340.0,420.41,118.16,877.93,0.44,10.99,980.5444602872427,472.16666666666674,-1.0,-1.0,-1.0,-1.0
35,350.0,423.34,131.35,879.39,0.44,11.02,984.7823872308034,478.0266666666666,-1.0,-1.0,-1.0,-1.0
36,360.0,428.22,124.02,878.91,0.44,11.04,985.5131236569099,477.05,-1.0,-1.0,-1.0,-1.0
37,370.0,417.97,121.09,878.42,0.44,11.05,980.2976106264873,472.4933333333333,-1.0,-1.0,-1.0,-1.0
38,380.0,423.34,118.16,888.18,0.44,11.0,990.9804506648958,476.56,-1.0,-1.0,-1.0,-1.0
39,390.0,425.78,113.77,880.86,0.44,11.02,984.9601823931768,473.47,-1.0,-1.0,-1.0,-1.0
40,400.0,417.97,130.86,873.54,0.44,11.04,977.1874907611128,474.1233333333333,-1.0,-1.0,-1.0,-1.0
41,410.0,430.66,132.32,869.14,0.44,11.04,978.9693343511839,477.3733333333333,-1.0,-1.0,-1.0,-1.0
42,420.0,429.69,125.0,884.28,0.44,11.02,991.0648891470224,479.6566666666667,-1.0,-1.0,-1.0,-1.0
43,430.0,433.59,120.12,886.23,0.43,10.93,993.8977389047627,479.98,-1.0,-1.0,-1.0,-1.0
44,440.0,427.25,111.82,867.19,0.43,10.91,973.172528897112,468.7533333333333,-1.0,-1.0,-1.0,-1.0
45,450.0,424.32,114.26,886.72,0.43,11.07,989.6338557264501,475.10000000000014,-1.0,-1.0,-1.0,-1.0
46,460.0,414.55,106.93,879.88,0.43,10.98,978.5062809200563,467.12000000000006,-1.0,-1.0,-1.0,-1.0
47,470.0,423.34,103.03,875.98,0.43,10.97,978.3521333855208,467.45,-1.0,-1.0,-1.0,-1.0
48,480.0,428.22,108.4,879.39,0.44,11.0,984.0984201288001,472.0033333333333,-1.0,-1.0,-1.0,-1.0
49,490.0,424.8,115.72,866.7,0.44,11.04,972.1188447921376,469.07333333333327,-1.0,-1.0,-1.0,-1.0
50,500.0,351.07,94.24,885.74,0.45,10.83,957.4271095493381,443.6833333333333,-1.0,-1.0,-1.0,-1.0
51,510.0,461.43,104.98,876.95,0.46,11.04,996.4836916879273,481.12000000000006,-1.0,-1.0,-1.0,-1.0
52,520.0,439.94,103.52,867.19,0.47,11.03,977.8967686315359,470.2166666666667,-1.0,-1.0,-1.0,-1.0
53,530.0,438.96,104.49,883.79,0.49,11.01,992.3148723061647,475.7466666666666,-1.0,-1.0,-1.0,-1.0
54,540.0,448.24,109.86,878.91,0.51,10.99,992.70897311347,479.0033333333333,-1.0,-1.0,-1.0,-1.0
55,550.0,457.52,120.12,875.98,0.53,10.66,995.5372043273924,484.54,-1.0,-1.0,-1.0,-1.0
