,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,664.55,407.71,262.21,0.39,15.33,822.5619920103287,444.82333333333327,-1.0,-1.0,-1.0,-1.0
1,10.0,676.76,401.86,278.81,0.36,15.35,835.0033372987201,452.4766666666666,-1.0,-1.0,-1.0,-1.0
2,20.0,697.27,387.21,296.39,0.32,15.33,850.8607812680051,460.29,-1.0,-1.0,-1.0,-1.0
3,30.0,732.91,397.46,347.17,0.3,15.33,903.1381558764972,492.51333333333326,-1.0,-1.0,-1.0,-1.0
4,40.0,750.0,361.82,377.44,0.27,15.23,914.2618147992401,496.42,-1.0,-1.0,-1.0,-1.0
5,50.0,759.77,339.84,460.94,0.25,15.28,951.4238603797992,520.1833333333333,-1.0,-1.0,-1.0,-1.0
6,60.0,792.97,340.82,540.53,0.24,15.26,1018.3969629766184,558.1066666666667,-1.0,-1.0,-1.0,-1.0
7,70.0,829.59,320.8,625.49,0.23,15.32,1087.3683590209896,591.96,-1.0,-1.0,-1.0,-1.0
8,80.0,850.1,312.01,681.15,0.23,15.2,1133.130871788427,614.4200000000002,-1.0,-1.0,-1.0,-1.0
9,90.0,836.91,294.92,727.54,0.24,15.35,1147.4801114180584,619.79,-1.0,-1.0,-1.0,-1.0
10,100.0,852.05,272.95,766.11,0.25,15.23,1177.8860034400616,630.37,-1.0,-1.0,-1.0,-1.0
11,110.0,809.08,266.11,823.73,0.27,15.24,1184.8865310231188,632.9733333333334,-1.0,-1.0,-1.0,-1.0
12,120.0,818.85,255.37,868.65,0.3,15.25,1220.7710603958467,647.6233333333333,-1.0,-1.0,-1.0,-1.0
13,130.0,769.53,276.86,885.25,0.33,15.34,1205.1951887557468,643.88,-1.0,-1.0,-1.0,-1.0
14,140.0,760.25,269.53,897.46,0.37,15.23,1206.6734997504502,642.4133333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,729.0,294.92,876.95,0.4,15.27,1177.9049659883433,633.6233333333333,-1.0,-1.0,-1.0,-1.0
16,160.0,728.52,299.32,832.03,0.44,15.26,1145.6909590722971,619.9566666666666,-1.0,-1.0,-1.0,-1.0
17,170.0,728.52,314.94,756.35,0.46,15.33,1096.3548314756495,599.9366666666666,-1.0,-1.0,-1.0,-1.0
18,180.0,736.33,339.36,666.99,0.49,15.28,1049.867962460042,580.8933333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,715.33,368.16,591.8,0.5,15.25,998.7322136088333,558.43,-1.0,-1.0,-1.0,-1.0
20,200.0,700.68,386.23,516.11,0.51,15.24,952.1006288202943,534.34,-1.0,-1.0,-1.0,-1.0
21,210.0,698.73,403.32,435.06,0.51,15.25,916.6066980444776,512.37,-1.0,-1.0,-1.0,-1.0
22,220.0,666.99,419.92,384.28,0.5,15.22,876.8577905795216,490.3966666666667,-1.0,-1.0,-1.0,-1.0
23,230.0,665.04,432.62,321.78,0.49,15.34,856.1428820004286,473.14666666666665,-1.0,-1.0,-1.0,-1.0
24,240.0,642.09,430.66,260.25,0.46,15.23,815.7681448794137,444.33333333333326,-1.0,-1.0,-1.0,-1.0
25,250.0,644.53,431.15,225.59,0.44,15.25,807.5890610328993,433.75666666666666,-1.0,-1.0,-1.0,-1.0
26,260.0,656.74,435.55,205.57,0.4,15.2,814.4140562392081,432.62,-1.0,-1.0,-1.0,-1.0
27,270.0,673.83,420.41,208.5,0.36,15.28,821.1356081671286,434.2466666666666,-1.0,-1.0,-1.0,-1.0
28,280.0,694.34,402.34,235.35,0.33,15.25,836.2865141206095,444.01,-1.0,-1.0,-1.0,-1.0
29,290.0,695.31,391.6,273.44,0.29,15.27,843.5496367730829,453.45,-1.0,-1.0,-1.0,-1.0
30,300.0,699.22,366.7,297.36,0.25,15.17,843.6826820552857,454.42666666666673,-1.0,-1.0,-1.0,-1.0
31,310.0,749.02,343.75,357.91,0.22,15.23,898.4957378863852,483.56,-1.0,-1.0,-1.0,-1.0
32,320.0,797.85,349.61,428.71,0.19,15.19,970.8676731151368,525.39,-1.0,-1.0,-1.0,-1.0
33,330.0,796.87,343.26,500.98,0.17,15.25,1001.9032812103172,547.0366666666667,-1.0,-1.0,-1.0,-1.0
34,340.0,775.39,309.08,568.85,0.16,15.25,1010.1239631847172,551.1066666666667,-1.0,-1.0,-1.0,-1.0
35,350.0,810.06,300.29,602.54,0.15,15.23,1053.2928079598757,570.9633333333333,-1.0,-1.0,-1.0,-1.0
36,360.0,831.05,295.9,660.64,0.16,15.16,1102.1098502871662,595.8633333333332,-1.0,-1.0,-1.0,-1.0
37,370.0,834.47,280.27,689.94,0.17,15.25,1118.440278870535,601.5600000000002,-1.0,-1.0,-1.0,-1.0
38,380.0,808.59,284.18,739.75,0.2,15.25,1132.168769662898,610.84,-1.0,-1.0,-1.0,-1.0
39,390.0,786.13,279.79,782.71,0.22,15.28,1144.0794400302805,616.21,-1.0,-1.0,-1.0,-1.0
40,400.0,741.21,297.85,803.22,0.26,15.14,1132.8147487563888,614.0933333333334,-1.0,-1.0,-1.0,-1.0
41,410.0,740.23,314.45,815.92,0.31,15.22,1145.6634330378185,623.5333333333333,-1.0,-1.0,-1.0,-1.0
42,420.0,737.79,316.89,794.92,0.35,15.24,1129.8898895910168,616.5333333333333,-1.0,-1.0,-1.0,-1.0
43,430.0,727.54,318.85,750.0,0.39,15.3,1092.4649990274288,598.7966666666666,-1.0,-1.0,-1.0,-1.0
44,440.0,735.84,314.45,711.43,0.44,15.18,1070.7343055118763,587.2399999999999,-1.0,-1.0,-1.0,-1.0
45,450.0,705.57,326.17,676.27,0.47,15.25,1030.3188859280413,569.3366666666667,-1.0,-1.0,-1.0,-1.0
46,460.0,694.34,333.01,629.39,0.52,15.23,994.5528984423102,552.2466666666667,-1.0,-1.0,-1.0,-1.0
47,470.0,677.25,337.89,580.08,0.55,15.3,953.5879723444502,531.74,-1.0,-1.0,-1.0,-1.0
48,480.0,675.29,337.89,555.66,0.59,15.17,937.5202780740264,522.9466666666666,-1.0,-1.0,-1.0,-1.0
49,490.0,682.13,345.7,526.86,0.62,15.2,928.6502498249812,518.23,-1.0,-1.0,-1.0,-1.0
50,500.0,687.01,345.7,492.68,0.66,15.22,913.3590819059062,508.46333333333337,-1.0,-1.0,-1.0,-1.0
51,510.0,704.1,347.17,476.56,0.68,15.3,918.364444270356,509.2766666666666,-1.0,-1.0,-1.0,-1.0
52,520.0,698.73,342.77,460.45,0.71,15.2,904.2837432465544,500.65,-1.0,-1.0,-1.0,-1.0
53,530.0,702.15,361.82,451.66,0.72,15.23,909.9038908038583,505.21,-1.0,-1.0,-1.0,-1.0
54,540.0,691.89,334.47,408.2,0.73,15.17,870.1776789828615,478.1866666666667,-1.0,-1.0,-1.0,-1.0
55,550.0,717.77,347.17,403.81,0.72,15.28,893.7467750431326,489.58333333333326,-1.0,-1.0,-1.0,-1.0
56,560.0,714.36,338.87,424.8,0.71,15.2,897.5511832202105,492.67666666666673,-1.0,-1.0,-1.0,-1.0
57,570.0,725.1,333.01,445.8,0.69,15.22,914.0039989518647,501.3033333333333,-1.0,-1.0,-1.0,-1.0
58,580.0,728.03,337.4,454.1,0.66,15.2,921.9941707516376,506.50999999999993,-1.0,-1.0,-1.0,-1.0
59,590.0,710.94,340.33,476.07,0.63,15.3,920.8163972258529,509.1133333333333,-1.0,-1.0,-1.0,-1.0
60,600.0,757.81,312.5,447.75,0.59,15.25,934.0301433037372,506.02,-1.0,-1.0,-1.0,-1.0
61,610.0,797.85,323.24,435.06,0.56,15.28,964.5340448631143,518.7166666666667,-1.0,-1.0,-1.0,-1.0
62,620.0,809.57,324.22,429.2,0.53,15.25,971.9747081586024,520.9966666666667,-1.0,-1.0,-1.0,-1.0
63,630.0,872.07,341.31,405.27,0.5,15.34,1020.4128448329137,539.5500000000002,-1.0,-1.0,-1.0,-1.0
64,640.0,906.74,351.07,399.9,0.47,15.37,1051.3551172177743,552.57,-1.0,-1.0,-1.0,-1.0
65,650.0,948.73,350.1,394.53,0.45,15.39,1085.5010565632813,564.4533333333333,-1.0,-1.0,-1.0,-1.0
66,660.0,916.02,335.94,398.93,0.44,15.41,1054.0841849207302,550.2966666666667,-1.0,-1.0,-1.0,-1.0
67,670.0,949.71,342.77,396.48,0.43,15.55,1084.7288819792714,562.9866666666667,-1.0,-1.0,-1.0,-1.0
68,680.0,932.13,336.91,400.39,0.42,15.61,1068.9653114577666,556.4766666666667,-1.0,-1.0,-1.0,-1.0
69,690.0,891.11,344.24,409.18,0.41,15.72,1039.2336032384635,548.1766666666666,-1.0,-1.0,-1.0,-1.0
70,700.0,913.57,369.63,403.81,0.41,15.72,1065.03474023151,562.3366666666667,-1.0,-1.0,-1.0,-1.0
71,710.0,880.37,370.61,412.11,0.41,15.86,1040.3065707280714,554.3633333333332,-1.0,-1.0,-1.0,-1.0
72,720.0,878.42,377.93,404.3,0.41,15.92,1038.2250581160135,553.55,-1.0,-1.0,-1.0,-1.0
73,730.0,909.18,377.44,393.55,0.41,15.99,1060.165472225916,560.0566666666666,-1.0,-1.0,-1.0,-1.0
74,740.0,911.13,397.95,392.58,0.41,16.01,1068.943934825396,567.2199999999998,-1.0,-1.0,-1.0,-1.0
75,750.0,918.95,391.11,377.93,0.42,16.12,1067.8329548670054,562.6633333333333,-1.0,-1.0,-1.0,-1.0
76,760.0,934.08,406.25,381.35,0.43,16.38,1087.6453150728873,573.8933333333333,-1.0,-1.0,-1.0,-1.0
77,770.0,920.9,413.09,370.61,0.43,16.29,1075.1985538494741,568.1999999999998,-1.0,-1.0,-1.0,-1.0
78,780.0,955.08,410.16,359.86,0.44,16.19,1099.9582953912386,575.0333333333333,-1.0,-1.0,-1.0,-1.0
79,790.0,931.15,414.06,350.1,0.45,16.23,1077.5230930703992,565.1033333333334,-1.0,-1.0,-1.0,-1.0
80,800.0,940.92,403.81,361.82,0.45,16.35,1085.958873484627,568.85,-1.0,-1.0,-1.0,-1.0
81,810.0,908.2,399.9,334.96,0.46,16.42,1047.3516370350503,547.6866666666666,-1.0,-1.0,-1.0,-1.0
82,820.0,893.55,393.55,351.56,0.46,16.45,1037.7416049287026,546.2199999999998,-1.0,-1.0,-1.0,-1.0
83,830.0,878.91,401.37,321.29,0.46,16.5,1018.2376584570027,533.8566666666667,-1.0,-1.0,-1.0,-1.0
84,840.0,890.62,392.09,338.87,0.47,16.67,1030.422937147655,540.5266666666666,-1.0,-1.0,-1.0,-1.0
85,850.0,896.97,398.93,323.24,0.47,16.51,1033.5300786140672,539.7133333333334,-1.0,-1.0,-1.0,-1.0
