,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-340.33,55.18,1136.23,0.25,0.0,1187.387027973609,510.58,-1.0,-1.0,-1.0,-1.0
1,10.0,-722.66,69.82,1364.75,0.25,0.0,1545.8508564864853,719.0766666666667,-1.0,-1.0,-1.0,-1.0
2,20.0,-829.1,-85.94,1462.89,0.26,0.0,1683.6982050533882,792.6433333333334,-1.0,-1.0,-1.0,-1.0
3,30.0,-1178.22,-208.98,1583.5,0.27,0.0,1984.7788941844376,990.2333333333332,-1.0,-1.0,-1.0,-1.0
4,40.0,-1228.52,-251.46,1646.0,0.29,0.0,2069.2533730792848,1041.9933333333333,-1.0,-1.0,-1.0,-1.0
5,50.0,-1068.85,-268.07,1575.2,0.31,0.0,1922.3831271107224,970.7066666666666,-1.0,-1.0,-1.0,-1.0
6,60.0,-762.21,-394.53,1393.07,0.34,0.0,1636.2340999685835,849.9366666666666,-1.0,-1.0,-1.0,-1.0
7,70.0,-176.27,-359.86,1120.12,0.37,0.0,1189.6382420299035,552.0833333333334,-1.0,-1.0,-1.0,-1.0
8,80.0,441.41,-297.36,739.26,0.39,0.0,910.9177269655037,492.67666666666673,-1.0,-1.0,-1.0,-1.0
9,90.0,944.82,-280.76,503.91,0.42,0.0,1106.9942629029294,576.4966666666667,-1.0,-1.0,-1.0,-1.0
10,100.0,1272.95,-247.07,365.23,0.45,0.0,1347.1593225376128,628.4166666666666,-1.0,-1.0,-1.0,-1.0
11,110.0,1451.17,-55.66,177.73,0.47,0.0,1463.072232461542,561.5200000000002,-1.0,-1.0,-1.0,-1.0
12,120.0,1711.91,122.07,203.61,0.49,0.0,1728.2922105651,679.1966666666667,-1.0,-1.0,-1.0,-1.0
13,130.0,1370.12,198.73,366.7,0.49,0.0,1432.1980719509436,645.1833333333333,-1.0,-1.0,-1.0,-1.0
14,140.0,873.54,172.85,489.75,0.47,0.0,1016.2698050222687,512.0466666666666,-1.0,-1.0,-1.0,-1.0
15,150.0,174.32,59.08,448.24,0.45,0.0,484.5585685962018,227.2133333333333,-1.0,-1.0,-1.0,-1.0
16,160.0,-497.07,-63.48,430.66,0.43,0.0,660.7392306349003,330.40333333333336,-1.0,-1.0,-1.0,-1.0
17,170.0,-1012.7,-109.37,522.95,0.4,0.0,1144.9889909514416,548.34,-1.0,-1.0,-1.0,-1.0
18,180.0,-1391.11,-166.5,645.02,0.39,0.0,1542.3877860317746,734.21,-1.0,-1.0,-1.0,-1.0
19,190.0,-1297.85,-183.59,775.39,0.38,0.0,1522.9410897011085,752.2766666666665,-1.0,-1.0,-1.0,-1.0
20,200.0,-961.91,-249.02,950.2,0.37,0.0,1374.8315709569665,720.3766666666667,-1.0,-1.0,-1.0,-1.0
21,210.0,-645.02,-268.07,1117.19,0.37,0.0,1317.5833261695445,676.76,-1.0,-1.0,-1.0,-1.0
22,220.0,-64.45,-281.74,1084.47,0.37,0.0,1122.3218838639832,476.8866666666667,-1.0,-1.0,-1.0,-1.0
