,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-324.22,-67.87,971.68,0.0,0.0,1026.5899705822183,454.59,-1.0,-1.0,-1.0,-1.0
1,10.0,-258.3,-64.94,950.68,0.3,20.88,987.2834223261324,424.64,-1.0,-1.0,-1.0,-1.0
2,20.0,-271.97,-73.24,951.66,0.0,0.0,992.4658856101804,432.29,-1.0,-1.0,-1.0,-1.0
3,30.0,-306.15,-72.27,963.87,0.3,21.26,1013.9014509803208,447.43,-1.0,-1.0,-1.0,-1.0
4,40.0,-315.43,-72.75,961.43,0.0,0.0,1014.4635490248036,449.87,-1.0,-1.0,-1.0,-1.0
5,50.0,-315.43,-76.66,965.82,0.31,20.75,1018.911729690065,452.6366666666667,-1.0,-1.0,-1.0,-1.0
6,60.0,-330.08,-88.87,965.82,0.0,0.0,1024.5286505022686,461.59,-1.0,-1.0,-1.0,-1.0
7,70.0,-350.59,-72.75,970.21,0.29,20.82,1034.1727876423745,464.51666666666665,-1.0,-1.0,-1.0,-1.0
8,80.0,-330.57,-83.5,1001.46,0.0,0.0,1057.9087420472524,471.8433333333333,-1.0,-1.0,-1.0,-1.0
9,90.0,-297.36,-95.7,1032.23,0.29,20.33,1078.461975453933,475.0966666666666,-1.0,-1.0,-1.0,-1.0
10,100.0,-273.44,-89.36,1071.29,0.0,0.0,1109.2415910431776,478.03,-1.0,-1.0,-1.0,-1.0
11,110.0,-261.72,-72.27,1089.36,0.3,20.41,1122.6867421057398,474.45,-1.0,-1.0,-1.0,-1.0
12,120.0,-281.74,-63.48,1082.03,0.0,0.0,1119.9089511652276,475.75,-1.0,-1.0,-1.0,-1.0
13,130.0,-274.9,-60.55,1083.01,0.29,20.37,1118.9937321540276,472.82,-1.0,-1.0,-1.0,-1.0
14,140.0,-264.65,-46.88,1055.18,0.0,0.0,1088.8719802162236,455.57,-1.0,-1.0,-1.0,-1.0
15,150.0,-271.97,-32.23,1022.46,0.28,20.72,1058.5040885135966,442.22,-1.0,-1.0,-1.0,-1.0
16,160.0,-285.64,-54.69,989.26,0.0,0.0,1031.1239272269847,443.19666666666666,-1.0,-1.0,-1.0,-1.0
17,170.0,-312.01,-34.18,965.82,0.3,20.69,1015.5426061470783,437.3366666666666,-1.0,-1.0,-1.0,-1.0
18,180.0,-327.64,-47.85,936.52,0.0,0.0,993.3314162453537,437.3366666666666,-1.0,-1.0,-1.0,-1.0
19,190.0,-308.59,-42.97,925.29,0.3,20.14,976.3379502508341,425.6166666666666,-1.0,-1.0,-1.0,-1.0
20,200.0,-303.71,-49.8,930.18,0.0,0.0,979.772747375635,427.8966666666667,-1.0,-1.0,-1.0,-1.0
21,210.0,-334.47,-53.71,929.69,0.31,20.8,989.4839266506557,439.29,-1.0,-1.0,-1.0,-1.0
22,220.0,-334.96,-47.36,941.89,0.0,0.0,1000.7986527269107,441.40333333333336,-1.0,-1.0,-1.0,-1.0
23,230.0,-332.52,-30.76,937.5,0.29,20.68,995.1994664387636,433.5933333333333,-1.0,-1.0,-1.0,-1.0
24,240.0,-340.82,-45.41,957.52,0.0,0.0,1017.3813891063666,447.91666666666674,-1.0,-1.0,-1.0,-1.0
25,250.0,-342.77,-44.43,928.71,0.28,20.88,990.9427641897388,438.6366666666667,-1.0,-1.0,-1.0,-1.0
26,260.0,-396.0,-54.69,939.45,0.0,0.0,1020.9668450052627,463.38000000000005,-1.0,-1.0,-1.0,-1.0
27,270.0,-399.41,-41.99,931.15,0.29,20.64,1014.0669754508328,457.51666666666665,-1.0,-1.0,-1.0,-1.0
28,280.0,-394.53,-44.43,925.29,0.0,0.0,1006.8711585401579,454.75,-1.0,-1.0,-1.0,-1.0
29,290.0,-389.65,-29.3,931.15,0.29,20.34,1009.8148023276348,450.0333333333333,-1.0,-1.0,-1.0,-1.0
30,300.0,-387.7,-25.88,924.8,0.0,0.0,1003.1132061736599,446.12666666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-360.84,-15.14,929.69,0.3,20.66,997.3756670883846,435.22333333333336,-1.0,-1.0,-1.0,-1.0
32,320.0,-348.14,-26.86,926.76,0.0,0.0,990.3570148183935,433.92,-1.0,-1.0,-1.0,-1.0
33,330.0,-311.04,-18.55,930.66,0.3,21.19,981.4367120196797,420.08333333333326,-1.0,-1.0,-1.0,-1.0
34,340.0,-312.99,-29.79,929.69,0.0,0.0,981.4141227331102,424.1566666666667,-1.0,-1.0,-1.0,-1.0
35,350.0,-314.94,-16.6,932.62,0.31,20.88,984.5013092931872,421.3866666666667,-1.0,-1.0,-1.0,-1.0
36,360.0,-318.85,-34.18,932.13,0.0,0.0,985.7484120200244,428.3866666666667,-1.0,-1.0,-1.0,-1.0
37,370.0,-362.79,-36.62,935.55,0.31,20.8,1004.0973115191574,444.98666666666674,-1.0,-1.0,-1.0,-1.0
38,380.0,-389.16,-52.73,962.89,0.0,0.0,1039.895721022065,468.26,-1.0,-1.0,-1.0,-1.0
39,390.0,-417.97,-34.18,962.4,0.28,20.75,1049.8004349875266,471.51666666666665,-1.0,-1.0,-1.0,-1.0
40,400.0,-423.83,-43.95,963.87,0.0,0.0,1053.8542822895392,477.2166666666667,-1.0,-1.0,-1.0,-1.0
41,410.0,-433.59,-52.25,954.1,0.3,20.39,1049.3031785904395,479.98,-1.0,-1.0,-1.0,-1.0
42,420.0,-409.67,-40.53,944.82,0.0,0.0,1030.6100243059932,465.00666666666666,-1.0,-1.0,-1.0,-1.0
43,430.0,-368.65,-46.39,925.29,0.3,20.9,997.1040260173461,446.7766666666666,-1.0,-1.0,-1.0,-1.0
44,440.0,-362.3,-44.92,928.71,0.0,0.0,997.888450930263,445.31,-1.0,-1.0,-1.0,-1.0
45,450.0,-390.62,-22.46,933.59,0.31,20.41,1012.2641572731892,448.89,-1.0,-1.0,-1.0,-1.0
46,460.0,-383.79,4.39,925.29,0.0,0.0,1001.7363027763344,437.82333333333327,-1.0,-1.0,-1.0,-1.0
47,470.0,-392.09,-3.42,935.55,0.31,20.72,1014.3964052578259,443.68666666666667,-1.0,-1.0,-1.0,-1.0
48,480.0,-401.86,-19.53,940.43,0.0,0.0,1022.8790081920737,453.94,-1.0,-1.0,-1.0,-1.0
49,490.0,-400.39,-24.9,945.8,0.29,20.94,1027.3605998382457,457.03,-1.0,-1.0,-1.0,-1.0
50,500.0,-400.88,-21.97,930.66,0.0,0.0,1013.5657309222722,451.17,-1.0,-1.0,-1.0,-1.0
51,510.0,-375.0,-24.9,926.27,0.3,20.92,999.6104855892619,442.05666666666673,-1.0,-1.0,-1.0,-1.0
52,520.0,-380.37,-17.58,921.87,0.0,0.0,997.4140014056351,439.94,-1.0,-1.0,-1.0,-1.0
53,530.0,-401.37,-22.46,936.04,0.3,20.8,1018.7115441085373,453.29,-1.0,-1.0,-1.0,-1.0
54,540.0,-406.25,-20.51,937.01,0.0,0.0,1021.4927619420513,454.59,-1.0,-1.0,-1.0,-1.0
55,550.0,-417.97,-20.02,912.11,0.31,21.13,1003.5160055524776,450.0333333333333,-1.0,-1.0,-1.0,-1.0
56,560.0,-401.86,-7.81,885.25,0.0,0.0,972.2242633261114,431.64,-1.0,-1.0,-1.0,-1.0
57,570.0,-386.72,-31.25,870.61,0.3,20.26,953.1477813015148,429.5266666666666,-1.0,-1.0,-1.0,-1.0
