,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-756.84,162.6,575.68,0.0,0.16,964.7035855639804,498.3733333333333,-1.0,-1.0,-1.0,-1.0
1,10.0,-773.93,182.62,568.36,0.0,0.18,977.4204821365263,508.3033333333333,-1.0,-1.0,-1.0,-1.0
2,20.0,-798.34,144.04,552.25,0.0,0.13,981.3635104791699,498.21,-1.0,-1.0,-1.0,-1.0
3,30.0,-812.99,193.85,560.06,0.0,0.18,1006.080397483223,522.3000000000002,-1.0,-1.0,-1.0,-1.0
4,40.0,-777.34,155.76,529.79,0.0,0.13,953.5177488122599,487.63,-1.0,-1.0,-1.0,-1.0
5,50.0,-784.18,181.64,556.64,0.0,0.18,978.6620722190064,507.48666666666674,-1.0,-1.0,-1.0,-1.0
6,60.0,-788.57,144.04,587.4,0.0,0.14,993.7952135626333,506.67,-1.0,-1.0,-1.0,-1.0
7,70.0,-789.06,127.93,614.26,0.0,0.18,1008.1156263544376,510.41666666666674,-1.0,-1.0,-1.0,-1.0
8,80.0,-798.83,141.11,649.9,0.0,0.19,1039.4284059039371,529.9466666666667,-1.0,-1.0,-1.0,-1.0
9,90.0,-792.48,141.6,636.23,0.0,0.16,1026.0914790114964,523.4366666666666,-1.0,-1.0,-1.0,-1.0
10,100.0,-778.32,118.65,610.35,0.0,0.14,996.1862112075232,502.44000000000005,-1.0,-1.0,-1.0,-1.0
11,110.0,-771.0,154.3,581.05,0.0,0.2,977.6853238644836,502.1166666666666,-1.0,-1.0,-1.0,-1.0
12,120.0,-758.79,135.74,556.15,0.0,0.16,950.5211382183984,483.56,-1.0,-1.0,-1.0,-1.0
13,130.0,-740.23,155.76,534.18,0.0,0.24,926.039903513882,476.72333333333336,-1.0,-1.0,-1.0,-1.0
14,140.0,-735.35,163.57,537.6,0.0,0.2,925.4774591528418,478.84,-1.0,-1.0,-1.0,-1.0
15,150.0,-717.29,155.76,560.06,0.0,0.23,923.2731585505992,477.70333333333326,-1.0,-1.0,-1.0,-1.0
16,160.0,-771.97,120.61,587.89,0.0,0.13,977.8032036662593,493.49,-1.0,-1.0,-1.0,-1.0
17,170.0,-793.95,98.14,634.77,0.0,0.19,1021.235043954133,508.9533333333334,-1.0,-1.0,-1.0,-1.0
18,180.0,-817.87,129.39,662.6,0.0,0.15,1060.5149074859814,536.62,-1.0,-1.0,-1.0,-1.0
19,190.0,-847.66,129.39,641.11,0.0,0.2,1070.6499333582383,539.3866666666668,-1.0,-1.0,-1.0,-1.0
20,200.0,-853.03,92.29,637.7,0.0,0.15,1069.0364423161636,527.6733333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,-832.52,110.35,598.63,0.0,0.18,1031.3217489222266,513.8333333333334,-1.0,-1.0,-1.0,-1.0
22,220.0,-826.17,109.37,570.31,0.0,0.21,1009.8376908691812,501.95,-1.0,-1.0,-1.0,-1.0
23,230.0,-823.73,124.51,554.69,0.0,0.16,1000.8570572764123,500.97666666666674,-1.0,-1.0,-1.0,-1.0
24,240.0,-795.41,118.65,549.32,0.0,0.13,973.9134217167357,487.79333333333335,-1.0,-1.0,-1.0,-1.0
25,250.0,-780.76,150.88,554.2,0.0,0.2,969.272197063343,495.28,-1.0,-1.0,-1.0,-1.0
26,260.0,-771.97,136.72,549.8,0.0,0.14,957.5542174206116,486.16333333333336,-1.0,-1.0,-1.0,-1.0
27,270.0,-790.04,158.69,577.64,0.0,0.23,991.4704671849788,508.79,-1.0,-1.0,-1.0,-1.0
28,280.0,-812.99,134.77,583.98,0.0,0.14,1010.0239271423227,510.58,-1.0,-1.0,-1.0,-1.0
29,290.0,-815.92,122.56,590.82,0.0,0.22,1014.7978480465947,509.7666666666667,-1.0,-1.0,-1.0,-1.0
30,300.0,-828.12,155.76,615.23,0.0,0.14,1043.3368894561333,533.0366666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-842.29,136.72,604.98,0.0,0.18,1046.0141504300982,527.9966666666667,-1.0,-1.0,-1.0,-1.0
32,320.0,-836.91,112.3,598.63,0.0,0.2,1035.0785066843964,515.9466666666666,-1.0,-1.0,-1.0,-1.0
33,330.0,-822.27,139.16,582.03,0.0,0.19,1016.9819956125084,514.4866666666667,-1.0,-1.0,-1.0,-1.0
34,340.0,-793.95,117.68,541.02,0.0,0.14,967.9399905469346,484.2166666666667,-1.0,-1.0,-1.0,-1.0
35,350.0,-772.46,164.55,530.27,0.0,0.18,951.2925033868396,489.0933333333333,-1.0,-1.0,-1.0,-1.0
36,360.0,-750.49,179.69,521.97,0.0,0.16,931.6525195049924,484.05,-1.0,-1.0,-1.0,-1.0
37,370.0,-757.32,184.57,557.13,0.0,0.16,958.1197754978238,499.67333333333335,-1.0,-1.0,-1.0,-1.0
38,380.0,-708.98,186.52,591.8,0.0,0.13,942.1621892222166,495.76666666666665,-1.0,-1.0,-1.0,-1.0
39,390.0,-711.91,164.06,618.16,0.0,0.17,957.0022556399748,498.04333333333335,-1.0,-1.0,-1.0,-1.0
40,400.0,-771.48,172.85,639.16,0.0,0.14,1016.6533423443803,527.83,-1.0,-1.0,-1.0,-1.0
41,410.0,-756.35,166.02,625.98,0.0,0.16,995.7303466802647,516.1166666666667,-1.0,-1.0,-1.0,-1.0
