,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,328.12,274.9,901.37,0.44,13.43,997.847995087428,501.4633333333333,-1.0,-1.0,-1.0,-1.0
1,10.0,318.85,265.14,907.23,0.44,13.48,997.5123132072104,497.07333333333327,-1.0,-1.0,-1.0,-1.0
2,20.0,334.96,260.25,896.0,0.44,13.44,991.3345873619058,497.07,-1.0,-1.0,-1.0,-1.0
3,30.0,345.21,265.62,884.28,0.44,13.45,985.7357896008444,498.37,-1.0,-1.0,-1.0,-1.0
4,40.0,326.66,261.72,904.79,0.45,13.67,996.9197851883572,497.72333333333336,-1.0,-1.0,-1.0,-1.0
5,50.0,331.05,270.02,903.81,0.45,13.5,999.688661034024,501.62666666666667,-1.0,-1.0,-1.0,-1.0
6,60.0,333.98,279.3,891.6,0.45,13.49,992.2205855554499,501.6266666666667,-1.0,-1.0,-1.0,-1.0
7,70.0,314.94,264.16,889.65,0.45,13.44,980.0228730493997,489.58333333333326,-1.0,-1.0,-1.0,-1.0
8,80.0,301.27,258.79,894.04,0.46,13.18,978.2859493011232,484.7,-1.0,-1.0,-1.0,-1.0
9,90.0,301.27,263.67,889.65,0.46,13.57,975.5832123914392,484.86333333333334,-1.0,-1.0,-1.0,-1.0
10,100.0,298.83,268.07,890.62,0.47,13.53,976.9160036564044,485.84,-1.0,-1.0,-1.0,-1.0
11,110.0,284.67,260.74,889.65,0.47,13.53,969.7935239008352,478.3533333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,285.64,269.04,888.18,0.47,13.51,970.9976537561766,480.9533333333334,-1.0,-1.0,-1.0,-1.0
13,130.0,267.58,248.05,892.09,0.47,13.57,963.8217817625828,469.24,-1.0,-1.0,-1.0,-1.0
14,140.0,281.74,243.16,911.62,0.47,13.56,984.659960392419,478.84,-1.0,-1.0,-1.0,-1.0
15,150.0,281.25,255.86,924.32,0.46,13.54,999.466539960193,487.1433333333334,-1.0,-1.0,-1.0,-1.0
16,160.0,284.67,246.58,922.85,0.45,13.57,996.7401004273883,484.7,-1.0,-1.0,-1.0,-1.0
17,170.0,296.87,243.65,934.08,0.45,13.6,1009.9517640956919,491.5333333333333,-1.0,-1.0,-1.0,-1.0
18,180.0,290.53,246.09,933.11,0.45,13.56,1007.800695127762,489.91,-1.0,-1.0,-1.0,-1.0
19,190.0,310.55,247.56,937.01,0.44,13.55,1017.700838262404,498.3733333333333,-1.0,-1.0,-1.0,-1.0
20,200.0,312.01,249.51,917.48,0.44,13.6,1000.6872791237033,493.0,-1.0,-1.0,-1.0,-1.0
21,210.0,300.78,250.98,932.62,0.43,13.62,1011.5530797738693,494.79333333333335,-1.0,-1.0,-1.0,-1.0
22,220.0,312.99,236.82,930.18,0.43,13.57,1009.5946141397546,493.32999999999987,-1.0,-1.0,-1.0,-1.0
23,230.0,312.01,259.77,934.08,0.44,13.57,1018.4970001919496,501.9533333333334,-1.0,-1.0,-1.0,-1.0
24,240.0,297.85,261.72,936.04,0.43,13.57,1016.5544070535527,498.5366666666667,-1.0,-1.0,-1.0,-1.0
25,250.0,303.22,267.58,936.52,0.43,13.59,1020.1034923967273,502.44,-1.0,-1.0,-1.0,-1.0
26,260.0,316.89,273.44,943.85,0.43,13.57,1032.4928707744184,511.39333333333326,-1.0,-1.0,-1.0,-1.0
27,270.0,332.03,283.2,924.8,0.43,13.59,1022.5953260698973,513.3433333333334,-1.0,-1.0,-1.0,-1.0
28,280.0,314.94,281.25,904.3,0.43,13.58,998.0216711574952,500.16333333333336,-1.0,-1.0,-1.0,-1.0
29,290.0,303.71,292.97,889.16,0.42,13.58,984.2137423344583,495.28,-1.0,-1.0,-1.0,-1.0
30,300.0,301.76,277.83,887.7,0.42,13.57,977.8854209466464,489.0966666666666,-1.0,-1.0,-1.0,-1.0
31,310.0,259.28,278.81,875.98,0.42,13.59,955.1450648461728,471.3566666666666,-1.0,-1.0,-1.0,-1.0
32,320.0,271.97,287.11,858.4,0.42,13.59,945.1192480316968,472.4933333333333,-1.0,-1.0,-1.0,-1.0
33,330.0,331.05,290.04,850.1,0.43,13.57,957.2812095199613,490.3966666666667,-1.0,-1.0,-1.0,-1.0
34,340.0,366.7,306.64,842.77,0.43,13.58,968.8953774789102,505.37,-1.0,-1.0,-1.0,-1.0
35,350.0,374.02,308.11,868.65,0.44,13.58,994.6735921899203,516.9266666666666,-1.0,-1.0,-1.0,-1.0
36,360.0,395.51,310.06,863.77,0.45,13.57,999.3317650310132,523.1133333333332,-1.0,-1.0,-1.0,-1.0
37,370.0,369.63,305.18,855.96,0.45,13.54,981.0345003617357,510.25666666666666,-1.0,-1.0,-1.0,-1.0
38,380.0,342.77,304.69,857.91,0.45,13.54,972.7984565674433,501.79,-1.0,-1.0,-1.0,-1.0
39,390.0,304.69,283.2,871.09,0.45,13.59,965.3165409335944,486.32666666666665,-1.0,-1.0,-1.0,-1.0
40,400.0,275.39,273.44,883.3,0.45,13.56,964.7942659966423,477.37666666666667,-1.0,-1.0,-1.0,-1.0
41,410.0,248.54,271.0,909.67,0.45,13.54,981.179209166195,476.40333333333336,-1.0,-1.0,-1.0,-1.0
42,420.0,238.77,274.9,924.32,0.44,13.68,993.45286012976,479.33,-1.0,-1.0,-1.0,-1.0
43,430.0,240.23,290.04,934.08,0.43,13.51,1007.1440318544317,488.1166666666666,-1.0,-1.0,-1.0,-1.0
44,440.0,257.81,270.02,919.43,0.43,13.52,992.3347829235856,482.41999999999985,-1.0,-1.0,-1.0,-1.0
45,450.0,250.49,285.64,913.57,0.42,13.57,989.4167951879532,483.23333333333335,-1.0,-1.0,-1.0,-1.0
46,460.0,243.65,272.46,913.09,0.41,13.28,983.5309462340268,476.4,-1.0,-1.0,-1.0,-1.0
47,470.0,230.96,283.2,915.04,0.41,13.57,985.3136369704823,476.39999999999986,-1.0,-1.0,-1.0,-1.0
48,480.0,210.94,280.76,930.66,0.4,13.51,994.7109614355318,474.12,-1.0,-1.0,-1.0,-1.0
49,490.0,199.22,265.14,924.8,0.4,13.41,982.4677439997713,463.0533333333333,-1.0,-1.0,-1.0,-1.0
50,500.0,183.11,284.18,929.69,0.39,13.44,989.2477144780271,465.66,-1.0,-1.0,-1.0,-1.0
51,510.0,184.57,289.06,926.76,0.39,13.46,988.1831136484776,466.7966666666666,-1.0,-1.0,-1.0,-1.0
52,520.0,193.36,287.6,932.13,0.38,13.43,994.4687961419403,471.03,-1.0,-1.0,-1.0,-1.0
