,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-57.13,139.16,1001.95,0.32,6.05,1013.1797199904863,399.41333333333336,-1.0,-1.0,-1.0,-1.0
1,10.0,-46.88,126.95,1001.46,0.29,5.63,1010.5623031263336,391.76333333333326,-1.0,-1.0,-1.0,-1.0
2,20.0,-64.45,143.55,995.61,0.27,6.15,1007.9680932946242,401.2033333333334,-1.0,-1.0,-1.0,-1.0
3,30.0,-41.5,144.04,1012.21,0.26,5.58,1023.249165990376,399.25,-1.0,-1.0,-1.0,-1.0
4,40.0,-53.22,142.09,1010.74,0.25,6.02,1022.0652054052127,402.01666666666665,-1.0,-1.0,-1.0,-1.0
5,50.0,-45.41,143.07,993.65,0.25,5.68,1004.9235868960386,394.0433333333333,-1.0,-1.0,-1.0,-1.0
6,60.0,-70.8,143.55,996.09,0.26,6.11,1008.8679450750728,403.48,-1.0,-1.0,-1.0,-1.0
7,70.0,-75.68,147.95,995.61,0.27,5.58,1009.3839393412203,406.41333333333336,-1.0,-1.0,-1.0,-1.0
8,80.0,-76.17,145.51,1010.25,0.29,6.0,1023.5136010332252,410.6433333333334,-1.0,-1.0,-1.0,-1.0
9,90.0,-78.61,160.64,998.05,0.31,5.53,1013.9470125208712,412.4333333333333,-1.0,-1.0,-1.0,-1.0
10,100.0,-71.29,136.72,1009.77,0.33,5.96,1021.4744614526593,405.92666666666673,-1.0,-1.0,-1.0,-1.0
11,110.0,-62.99,151.86,1001.46,0.34,5.67,1014.8651788784558,405.43666666666667,-1.0,-1.0,-1.0,-1.0
12,120.0,-48.34,152.34,1002.93,0.36,5.96,1015.5849625216,401.20333333333326,-1.0,-1.0,-1.0,-1.0
13,130.0,-42.97,158.2,1004.88,0.38,5.63,1018.1637762658817,402.01666666666665,-1.0,-1.0,-1.0,-1.0
14,140.0,-45.41,162.11,994.14,0.4,5.99,1008.2936376869587,400.5533333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,-44.43,165.53,983.89,0.42,5.6,998.706031773114,397.95,-1.0,-1.0,-1.0,-1.0
16,160.0,-43.95,173.83,974.61,0.43,6.01,990.9657529400298,397.46333333333337,-1.0,-1.0,-1.0,-1.0
17,170.0,-56.15,167.48,985.84,0.43,5.66,1001.5402530602553,403.1566666666667,-1.0,-1.0,-1.0,-1.0
18,180.0,-81.05,187.99,994.14,0.44,5.93,1014.9993508372307,421.06,-1.0,-1.0,-1.0,-1.0
19,190.0,-92.29,181.64,982.91,0.44,5.8,1003.8040654430524,418.94666666666666,-1.0,-1.0,-1.0,-1.0
20,200.0,-84.47,169.92,989.26,0.43,6.07,1007.295058510663,414.55,-1.0,-1.0,-1.0,-1.0
21,210.0,-101.56,195.31,987.3,0.43,5.58,1011.5442252813267,428.05666666666673,-1.0,-1.0,-1.0,-1.0
22,220.0,-86.43,188.96,987.3,0.42,6.04,1008.928796546119,420.8966666666667,-1.0,-1.0,-1.0,-1.0
23,230.0,-94.24,187.99,985.35,0.41,5.76,1007.5395973360055,422.5266666666666,-1.0,-1.0,-1.0,-1.0
24,240.0,-93.75,207.52,980.96,0.41,5.91,1007.0432634698473,427.41,-1.0,-1.0,-1.0,-1.0
25,250.0,-74.71,200.68,982.91,0.39,5.79,1005.9652651061067,419.4333333333333,-1.0,-1.0,-1.0,-1.0
26,260.0,-70.31,207.52,980.47,0.38,5.86,1004.6539042874416,419.43333333333334,-1.0,-1.0,-1.0,-1.0
27,270.0,-64.94,193.85,998.54,0.37,5.68,1019.2532353149536,419.11,-1.0,-1.0,-1.0,-1.0
28,280.0,-71.78,197.75,983.89,0.36,5.96,1006.1296949200932,417.80666666666673,-1.0,-1.0,-1.0,-1.0
29,290.0,-73.73,202.15,984.86,0.35,5.76,1008.0922353634115,420.2466666666666,-1.0,-1.0,-1.0,-1.0
30,300.0,-83.01,201.66,980.47,0.35,5.89,1004.4296075883067,421.71333333333337,-1.0,-1.0,-1.0,-1.0
31,310.0,-93.75,209.47,967.29,0.35,5.66,994.1411808691963,423.5033333333333,-1.0,-1.0,-1.0,-1.0
32,320.0,-104.49,204.1,967.77,0.34,6.13,994.562086045914,425.45333333333326,-1.0,-1.0,-1.0,-1.0
33,330.0,-89.84,222.17,973.63,0.34,5.76,1002.6894391585063,428.5466666666666,-1.0,-1.0,-1.0,-1.0
34,340.0,-112.3,228.03,962.4,0.33,6.02,995.4007890794542,434.2433333333333,-1.0,-1.0,-1.0,-1.0
35,350.0,-95.7,228.52,956.05,0.33,5.72,987.6292233930707,426.75666666666666,-1.0,-1.0,-1.0,-1.0
36,360.0,-101.07,239.75,958.01,0.33,6.11,992.7126308756224,432.94333333333327,-1.0,-1.0,-1.0,-1.0
37,370.0,-100.1,234.86,958.01,0.33,5.59,991.4445973931172,430.99,-1.0,-1.0,-1.0,-1.0
38,380.0,-83.98,244.63,942.87,0.32,6.0,977.7015465877099,423.82666666666665,-1.0,-1.0,-1.0,-1.0
39,390.0,-91.31,238.28,953.12,0.33,5.72,986.6876957274781,427.57,-1.0,-1.0,-1.0,-1.0
40,400.0,-87.4,242.68,937.99,0.33,5.91,972.8091192520759,422.69000000000005,-1.0,-1.0,-1.0,-1.0
41,410.0,-102.05,230.96,948.73,0.33,5.55,981.7562513169956,427.2466666666666,-1.0,-1.0,-1.0,-1.0
42,420.0,-81.05,239.26,938.96,0.33,5.96,972.3478450122673,419.75666666666666,-1.0,-1.0,-1.0,-1.0
43,430.0,-105.96,256.84,938.48,0.33,5.57,978.7435913455575,433.76,-1.0,-1.0,-1.0,-1.0
44,440.0,-120.12,263.67,946.29,0.33,5.97,989.6542059729753,443.36,-1.0,-1.0,-1.0,-1.0
45,450.0,-118.65,255.37,930.66,0.33,5.57,972.3269486134793,434.89333333333326,-1.0,-1.0,-1.0,-1.0
