,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-971.68,-145.51,247.07,0.53,5.94,1013.1035324190711,454.7533333333333,-1.0,-1.0,-1.0,-1.0
1,10.0,-799.32,-196.78,462.4,0.5,5.94,944.1655526442385,486.16666666666674,-1.0,-1.0,-1.0,-1.0
2,20.0,-541.5,-283.69,480.47,0.47,5.94,777.5305055108771,435.22,-1.0,-1.0,-1.0,-1.0
3,30.0,-215.82,-270.51,428.71,0.47,5.96,550.9502669025579,305.0133333333333,-1.0,-1.0,-1.0,-1.0
4,40.0,-113.77,-201.17,370.61,0.48,5.96,436.7662462919954,228.51666666666665,-1.0,-1.0,-1.0,-1.0
5,50.0,-167.97,-116.7,508.79,0.5,5.99,548.3612632197866,264.4866666666667,-1.0,-1.0,-1.0,-1.0
6,60.0,-377.93,-189.94,732.91,0.52,5.99,846.206450341759,433.5933333333333,-1.0,-1.0,-1.0,-1.0
7,70.0,-666.02,-180.66,1173.83,0.54,6.01,1361.6525051935973,673.5033333333333,-1.0,-1.0,-1.0,-1.0
8,80.0,-838.87,-85.45,1434.57,0.55,6.07,1664.0299469360516,786.2966666666665,-1.0,-1.0,-1.0,-1.0
9,90.0,-979.49,-143.55,1163.57,0.54,5.96,1527.7114935418924,762.2033333333333,-1.0,-1.0,-1.0,-1.0
10,100.0,-1345.7,-84.96,753.42,0.51,6.05,1544.5932759144073,728.0266666666665,-1.0,-1.0,-1.0,-1.0
11,110.0,-1239.26,-174.8,457.52,0.48,5.99,1332.5332783836955,623.86,-1.0,-1.0,-1.0,-1.0
12,120.0,-990.72,-166.99,386.23,0.45,6.07,1076.3760455342733,514.6466666666666,-1.0,-1.0,-1.0,-1.0
13,130.0,-802.73,-209.96,409.67,0.43,5.97,925.358397271025,474.12000000000006,-1.0,-1.0,-1.0,-1.0
14,140.0,-519.53,-263.18,323.73,0.43,6.07,666.315425455542,368.8133333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,-194.82,-217.77,220.21,0.45,6.04,365.8839288626927,210.93333333333337,-1.0,-1.0,-1.0,-1.0
16,160.0,-1.95,-166.5,220.21,0.48,6.07,276.07697585999455,129.5533333333333,-1.0,-1.0,-1.0,-1.0
17,170.0,-255.37,-40.53,364.75,0.5,6.02,447.10074960796027,220.21666666666667,-1.0,-1.0,-1.0,-1.0
18,180.0,-558.11,-140.62,576.17,0.52,5.99,814.3909536580081,424.9666666666667,-1.0,-1.0,-1.0,-1.0
19,190.0,-628.91,-248.05,1134.28,0.54,6.06,1320.472532467071,670.4133333333333,-1.0,-1.0,-1.0,-1.0
20,200.0,-1075.2,-137.7,1607.42,0.54,6.15,1938.766459994602,940.1066666666667,-1.0,-1.0,-1.0,-1.0
21,210.0,-1427.25,-181.15,1174.32,0.51,6.09,1857.1174834673225,927.5733333333334,-1.0,-1.0,-1.0,-1.0
22,220.0,-1708.98,-146.97,589.36,0.46,6.13,1813.7138779035683,815.1033333333335,-1.0,-1.0,-1.0,-1.0
23,230.0,-1462.4,-161.62,203.61,0.39,6.15,1485.3254917693964,609.21,-1.0,-1.0,-1.0,-1.0
24,240.0,-1094.73,-150.39,29.3,0.33,6.24,1105.4001153428562,424.8066666666666,-1.0,-1.0,-1.0,-1.0
25,250.0,-600.59,-144.04,2.44,0.29,6.16,617.6259574370234,249.0233333333333,-1.0,-1.0,-1.0,-1.0
26,260.0,-59.57,-211.91,-68.85,0.28,6.2,230.6398827176254,113.44333333333334,-1.0,-1.0,-1.0,-1.0
27,270.0,118.65,-138.67,-68.85,0.28,6.12,195.0577194063337,108.72333333333331,-1.0,-1.0,-1.0,-1.0
28,280.0,-174.8,-97.66,76.17,0.31,6.14,214.22974700073755,116.21000000000002,-1.0,-1.0,-1.0,-1.0
29,290.0,-543.95,-130.37,388.67,0.36,6.04,681.1331061547369,354.33,-1.0,-1.0,-1.0,-1.0
30,300.0,-833.5,-185.55,996.58,0.41,6.09,1312.372945812279,671.8766666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-1357.91,-208.98,1259.77,0.45,6.03,1864.031293031316,942.22,-1.0,-1.0,-1.0,-1.0
32,320.0,-1727.54,-106.93,1156.74,0.49,6.02,2081.7963166698128,997.07,-1.0,-1.0,-1.0,-1.0
33,330.0,-1922.36,-183.11,672.36,0.5,5.99,2044.765319370416,925.9433333333333,-1.0,-1.0,-1.0,-1.0
34,340.0,-1540.04,-143.07,139.65,0.5,6.09,1552.963086811789,607.5866666666667,-1.0,-1.0,-1.0,-1.0
35,350.0,-1114.75,-153.81,-33.69,0.5,5.99,1125.8153022143554,434.08333333333326,-1.0,-1.0,-1.0,-1.0
36,360.0,-876.95,-186.04,76.66,0.5,6.05,899.738261773945,379.8833333333334,-1.0,-1.0,-1.0,-1.0
37,370.0,-584.47,-214.36,147.95,0.52,6.02,639.8785767628106,315.5933333333333,-1.0,-1.0,-1.0,-1.0
38,380.0,-279.79,-228.52,172.85,0.54,6.01,400.4759131333618,227.05333333333337,-1.0,-1.0,-1.0,-1.0
39,390.0,-236.82,-162.11,251.95,0.57,6.05,381.8928737224616,216.96,-1.0,-1.0,-1.0,-1.0
40,400.0,-416.99,-172.36,430.18,0.6,6.01,623.4127542006179,339.8433333333333,-1.0,-1.0,-1.0,-1.0
41,410.0,-597.17,-208.5,775.39,0.63,5.95,1000.656739846387,527.02,-1.0,-1.0,-1.0,-1.0
42,420.0,-834.96,-178.22,1048.34,0.65,5.94,1352.0123245000393,687.1733333333333,-1.0,-1.0,-1.0,-1.0
43,430.0,-1310.06,-182.13,934.08,0.66,5.97,1619.2387059664798,808.7566666666668,-1.0,-1.0,-1.0,-1.0
44,440.0,-1491.21,-171.39,663.57,0.64,5.97,1641.160242359045,775.39,-1.0,-1.0,-1.0,-1.0
45,450.0,-1420.41,-138.67,356.45,0.61,5.9,1471.00324251852,638.5100000000001,-1.0,-1.0,-1.0,-1.0
46,460.0,-1149.41,-136.23,174.32,0.57,5.99,1170.5081902319182,486.65333333333336,-1.0,-1.0,-1.0,-1.0
47,470.0,-989.26,-122.07,130.37,0.54,5.96,1005.2525898499342,413.89999999999986,-1.0,-1.0,-1.0,-1.0
48,480.0,-796.39,-169.43,223.63,0.51,5.93,844.3659952295567,396.4833333333333,-1.0,-1.0,-1.0,-1.0
49,490.0,-651.86,-145.02,277.83,0.49,5.98,723.2853993410899,358.23666666666674,-1.0,-1.0,-1.0,-1.0
50,500.0,-609.37,-122.56,354.98,0.48,5.96,715.7957466344711,362.3033333333333,-1.0,-1.0,-1.0,-1.0
51,510.0,-618.16,-178.71,543.46,0.47,5.97,842.2635106069832,446.7766666666666,-1.0,-1.0,-1.0,-1.0
52,520.0,-640.14,-210.94,833.01,0.47,5.98,1071.5318769406722,561.3633333333332,-1.0,-1.0,-1.0,-1.0
53,530.0,-756.35,-194.34,916.99,0.47,6.0,1204.4517500506195,622.5600000000002,-1.0,-1.0,-1.0,-1.0
54,540.0,-1051.76,-203.61,753.42,0.46,5.97,1309.6937909679498,669.5966666666667,-1.0,-1.0,-1.0,-1.0
55,550.0,-1221.68,-196.29,554.69,0.44,5.93,1355.9914389847747,657.5533333333334,-1.0,-1.0,-1.0,-1.0
56,560.0,-1163.09,-142.09,376.46,0.41,6.0,1230.7274465940864,560.5466666666666,-1.0,-1.0,-1.0,-1.0
57,570.0,-1066.89,-154.79,326.66,0.38,5.87,1126.4639238786126,516.1133333333332,-1.0,-1.0,-1.0,-1.0
58,580.0,-902.34,-177.73,312.5,0.34,5.96,971.3195552957843,464.19,-1.0,-1.0,-1.0,-1.0
59,590.0,-697.75,-172.36,358.4,0.32,5.9,803.1273822377119,409.5033333333333,-1.0,-1.0,-1.0,-1.0
60,600.0,-683.11,-186.04,393.55,0.3,5.97,810.0196023553998,420.9,-1.0,-1.0,-1.0,-1.0
61,610.0,-724.61,-163.09,324.71,0.29,6.59,810.6137084333079,404.1366666666667,-1.0,-1.0,-1.0,-1.0
62,620.0,-721.68,-136.23,336.43,0.3,5.93,807.8154369656472,398.1133333333333,-1.0,-1.0,-1.0,-1.0
63,630.0,-763.67,-139.16,465.33,0.31,5.95,905.0355702401978,456.0533333333333,-1.0,-1.0,-1.0,-1.0
64,640.0,-814.94,-166.02,597.66,0.32,5.96,1024.1520002421516,526.2066666666666,-1.0,-1.0,-1.0,-1.0
65,650.0,-837.4,-166.5,592.29,0.33,5.88,1039.1190759965866,532.0633333333334,-1.0,-1.0,-1.0,-1.0
66,660.0,-1003.91,-168.46,637.7,0.34,5.92,1201.1974649074148,603.3566666666667,-1.0,-1.0,-1.0,-1.0
67,670.0,-987.3,-153.81,553.22,0.34,5.86,1142.1344817927527,564.7766666666666,-1.0,-1.0,-1.0,-1.0
68,680.0,-920.41,-177.73,496.58,0.34,5.96,1060.8177116734053,531.5733333333333,-1.0,-1.0,-1.0,-1.0
69,690.0,-750.49,-153.32,372.07,0.35,5.9,851.5740410557382,425.2933333333333,-1.0,-1.0,-1.0,-1.0
70,700.0,-619.14,-158.2,327.15,0.35,5.92,717.9057752240193,368.1633333333333,-1.0,-1.0,-1.0,-1.0
71,710.0,-437.99,-173.34,349.12,0.36,5.98,586.316271392838,320.1500000000001,-1.0,-1.0,-1.0,-1.0
72,720.0,-606.93,-163.09,453.61,0.37,5.96,775.064129669281,407.8766666666667,-1.0,-1.0,-1.0,-1.0
73,730.0,-878.42,-134.28,558.59,0.39,5.96,1049.6073565386248,523.7633333333333,-1.0,-1.0,-1.0,-1.0
74,740.0,-1190.43,-128.91,620.61,0.41,5.96,1348.6653198996407,646.6500000000002,-1.0,-1.0,-1.0,-1.0
75,750.0,-1439.94,-171.39,489.26,0.42,5.94,1530.4172905779653,700.1966666666667,-1.0,-1.0,-1.0,-1.0
76,760.0,-1651.37,-134.28,218.75,0.43,5.99,1671.1988384988779,668.1333333333333,-1.0,-1.0,-1.0,-1.0
77,770.0,-1299.32,-105.47,-46.39,0.43,5.94,1304.4188036823145,483.72666666666674,-1.0,-1.0,-1.0,-1.0
78,780.0,-933.11,-97.66,29.3,0.43,5.98,938.6640707409654,353.3566666666666,-1.0,-1.0,-1.0,-1.0
79,790.0,-512.21,-168.95,377.44,0.42,5.94,658.3039876835018,352.86666666666673,-1.0,-1.0,-1.0,-1.0
80,800.0,-63.48,-232.42,666.5,0.41,6.01,708.7108132376703,320.8,-1.0,-1.0,-1.0,-1.0
81,810.0,-61.04,-223.14,767.09,0.4,5.96,801.2143341828079,350.4233333333333,-1.0,-1.0,-1.0,-1.0
82,820.0,-571.78,-159.67,809.08,0.39,5.94,1003.5124930463,513.51,-1.0,-1.0,-1.0,-1.0
83,830.0,-983.4,-188.48,810.55,0.38,5.86,1288.2513624677445,660.81,-1.0,-1.0,-1.0,-1.0
84,840.0,-1332.52,-149.9,747.07,0.38,5.91,1534.9896238411513,743.1633333333334,-1.0,-1.0,-1.0,-1.0
85,850.0,-1593.75,-216.8,558.59,0.39,5.96,1702.6638219566426,789.7133333333333,-1.0,-1.0,-1.0,-1.0
86,860.0,-1436.04,-238.28,402.83,0.4,5.93,1510.3841395155073,692.3833333333333,-1.0,-1.0,-1.0,-1.0
87,870.0,-1237.79,-210.94,401.86,0.41,5.96,1318.374463989651,616.8633333333332,-1.0,-1.0,-1.0,-1.0
88,880.0,-462.4,-230.96,284.18,0.42,6.29,589.8428214363553,325.84666666666664,-1.0,-1.0,-1.0,-1.0
89,890.0,-99.61,-193.85,495.61,0.43,5.91,541.414117566212,263.0233333333333,-1.0,-1.0,-1.0,-1.0
90,900.0,-172.36,-209.96,719.73,0.44,5.99,769.2869712272528,367.35000000000014,-1.0,-1.0,-1.0,-1.0
91,910.0,-146.97,-154.79,686.04,0.44,5.8,718.478257569427,329.26666666666665,-1.0,-1.0,-1.0,-1.0
92,920.0,-497.56,-214.84,728.52,0.43,5.98,907.9997629955636,480.30666666666673,-1.0,-1.0,-1.0,-1.0
93,930.0,-717.77,-203.61,581.05,0.43,5.92,945.6584518207403,500.81,-1.0,-1.0,-1.0,-1.0
94,940.0,-1012.7,-206.05,464.36,0.44,5.95,1132.9819513566842,561.0366666666667,-1.0,-1.0,-1.0,-1.0
95,950.0,-955.08,-196.78,375.98,0.43,5.96,1045.1129772421737,509.28,-1.0,-1.0,-1.0,-1.0
96,960.0,-1253.42,-145.02,434.57,0.44,5.96,1334.519981753739,611.0033333333333,-1.0,-1.0,-1.0,-1.0
97,970.0,-1551.27,-133.79,519.04,0.45,5.87,1641.26198353584,734.6999999999998,-1.0,-1.0,-1.0,-1.0
98,980.0,-1416.02,-175.29,558.59,0.45,5.84,1532.2734783973779,716.6333333333333,-1.0,-1.0,-1.0,-1.0
99,990.0,-1309.57,-194.82,569.82,0.45,5.78,1441.3962847530865,691.4033333333333,-1.0,-1.0,-1.0,-1.0
100,1000.0,-1308.59,-206.05,573.73,0.46,5.74,1443.617159602919,696.1233333333333,3.478185003519713,3.14706182871331,-1.0,-1.0
101,1010.0,-628.91,-205.08,503.42,0.46,5.57,831.2744979247227,445.8033333333333,-1.0,-1.0,-1.0,-1.0
102,1020.0,-354.98,-167.97,546.87,0.47,5.57,673.2692761443967,356.60666666666674,-1.0,-1.0,-1.0,-1.0
103,1030.0,-144.04,-208.5,571.29,0.5,5.37,624.9736280036143,307.9433333333333,-1.0,-1.0,-1.0,-1.0
104,1040.0,-17.09,-209.47,487.79,0.53,5.29,531.1391843010643,238.11666666666667,-1.0,-1.0,-1.0,-1.0
