,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-561.04,-567.87,549.8,0.0,0.01,969.2895638043359,559.5699999999998,-1.0,-1.0,-1.0,-1.0
1,10.0,-583.98,-647.46,521.97,0.0,0.0,1016.2134484939667,584.47,-1.0,-1.0,-1.0,-1.0
2,20.0,-532.71,-626.95,524.41,0.0,0.0,975.6290763912276,561.3566666666667,-1.0,-1.0,-1.0,-1.0
3,30.0,-536.62,-625.98,548.83,0.0,0.0,990.4677449064154,570.4766666666667,-1.0,-1.0,-1.0,-1.0
4,40.0,-500.0,-639.16,545.41,0.0,0.01,977.7512841720026,561.5233333333332,-1.0,-1.0,-1.0,-1.0
5,50.0,-470.21,-662.11,561.52,0.0,0.0,987.315454452122,564.6133333333332,-1.0,-1.0,-1.0,-1.0
6,60.0,-555.66,-706.05,564.45,0.0,0.01,1061.069479628926,608.72,-1.0,-1.0,-1.0,-1.0
7,70.0,-472.66,-696.78,567.38,0.0,0.0,1015.2979407050917,578.94,-1.0,-1.0,-1.0,-1.0
8,80.0,-503.42,-713.38,579.1,0.0,0.0,1047.7115685149229,598.6333333333333,-1.0,-1.0,-1.0,-1.0
9,90.0,-475.1,-710.94,581.05,0.0,0.01,1033.8156489916369,589.03,-1.0,-1.0,-1.0,-1.0
10,100.0,-502.93,-646.0,492.68,0.0,0.0,955.5041430051468,547.2033333333334,-1.0,-1.0,-1.0,-1.0
11,110.0,-486.33,-724.12,546.39,0.0,0.0,1029.2758014254491,585.6133333333332,-1.0,-1.0,-1.0,-1.0
12,120.0,-414.55,-609.86,531.25,0.0,0.0,908.8495390327267,518.5533333333334,-1.0,-1.0,-1.0,-1.0
13,130.0,-432.13,-665.04,554.2,0.0,0.01,967.5495741821193,550.4566666666667,-1.0,-1.0,-1.0,-1.0
14,140.0,-507.81,-652.34,577.64,0.0,0.0,1008.507035820772,579.2633333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,-472.66,-632.81,569.34,0.0,0.0,973.6549734377164,558.27,-1.0,-1.0,-1.0,-1.0
16,160.0,-523.93,-646.0,581.54,0.0,0.0,1014.8928103499403,583.8233333333333,-1.0,-1.0,-1.0,-1.0
17,170.0,-472.66,-672.85,625.0,0.0,0.0,1032.8405482454687,590.17,-1.0,-1.0,-1.0,-1.0
18,180.0,-467.77,-708.5,650.39,0.0,0.01,1069.480329412374,608.8866666666668,-1.0,-1.0,-1.0,-1.0
19,190.0,-396.48,-683.11,673.34,0.0,0.0,1037.8932594925163,584.3100000000002,-1.0,-1.0,-1.0,-1.0
20,200.0,-538.09,-619.14,626.46,0.0,0.0,1032.1469465633272,594.5633333333334,-1.0,-1.0,-1.0,-1.0
21,210.0,-472.17,-749.51,593.26,0.0,0.0,1066.1459452626548,604.98,-1.0,-1.0,-1.0,-1.0
22,220.0,-424.32,-673.83,598.63,0.0,0.01,996.2189559529573,565.5933333333334,-1.0,-1.0,-1.0,-1.0
23,230.0,-516.6,-611.82,629.88,0.0,0.0,1018.7973727881321,586.1,-1.0,-1.0,-1.0,-1.0
24,240.0,-428.71,-666.5,658.2,0.0,0.0,1030.1658866901,584.47,-1.0,-1.0,-1.0,-1.0
25,250.0,-366.7,-623.05,694.34,0.0,0.0,1002.3812788056247,561.3633333333332,-1.0,-1.0,-1.0,-1.0
26,260.0,-389.16,-662.6,690.92,0.0,0.0,1033.3705588993719,580.8933333333333,-1.0,-1.0,-1.0,-1.0
27,270.0,-383.79,-645.51,674.8,0.0,0.0,1009.6202078999803,568.0333333333333,-1.0,-1.0,-1.0,-1.0
28,280.0,-411.13,-632.32,698.24,0.0,0.01,1027.811051166507,580.5633333333334,-1.0,-1.0,-1.0,-1.0
29,290.0,-382.81,-652.34,716.31,0.0,0.0,1041.7250058436728,583.82,-1.0,-1.0,-1.0,-1.0
30,300.0,-427.73,-655.27,679.2,0.0,0.0,1036.1681165718235,587.4,-1.0,-1.0,-1.0,-1.0
