,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,1027.34,305.66,-118.65,0.73,0.0,1078.3938676105313,483.8833333333334,-1.0,-1.0,-1.0,-1.0
1,10.0,1039.55,281.74,-138.67,0.76,0.0,1085.942447370025,486.65333333333336,-1.0,-1.0,-1.0,-1.0
2,20.0,1028.32,289.06,-163.09,0.77,0.0,1080.5535868711004,493.49,-1.0,-1.0,-1.0,-1.0
3,30.0,1016.11,287.11,-167.97,0.76,0.0,1069.1705219935686,490.3966666666667,-1.0,-1.0,-1.0,-1.0
4,40.0,995.12,297.36,-187.01,0.73,0.0,1055.3006794748121,493.16333333333336,-1.0,-1.0,-1.0,-1.0
5,50.0,998.54,303.22,-196.29,0.7,0.0,1061.8635807390704,499.35,-1.0,-1.0,-1.0,-1.0
6,60.0,1008.3,290.04,-188.96,0.66,0.0,1066.0665894774118,495.76666666666665,-1.0,-1.0,-1.0,-1.0
7,70.0,999.02,302.73,-186.52,0.62,0.0,1060.4131853669114,496.09,-1.0,-1.0,-1.0,-1.0
8,80.0,1003.42,279.79,-191.89,0.58,0.0,1059.2242031789117,491.7,-1.0,-1.0,-1.0,-1.0
9,90.0,1012.21,274.9,-208.98,0.54,0.0,1069.4913438172373,498.6966666666667,-1.0,-1.0,-1.0,-1.0
10,100.0,1010.74,293.95,-233.4,0.5,0.0,1078.1825031505566,512.6966666666667,-1.0,-1.0,-1.0,-1.0
11,110.0,1000.0,295.9,-242.68,0.46,0.0,1070.7242373272402,512.86,-1.0,-1.0,-1.0,-1.0
12,120.0,981.93,298.34,-227.54,0.42,0.0,1051.174453694533,502.6033333333333,-1.0,-1.0,-1.0,-1.0
13,130.0,944.82,324.71,-237.3,0.38,0.0,1026.855737920376,502.2766666666666,-1.0,-1.0,-1.0,-1.0
14,140.0,979.0,337.89,-251.46,0.35,0.0,1065.759252223503,522.7833333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,1008.79,337.89,-249.02,0.33,0.0,1092.6288832902048,531.9,-1.0,-1.0,-1.0,-1.0
16,160.0,1025.39,320.31,-202.64,0.31,0.0,1093.1999441090363,516.1133333333332,-1.0,-1.0,-1.0,-1.0
17,170.0,1038.57,299.32,-203.12,0.3,0.0,1099.7626297069746,513.67,-1.0,-1.0,-1.0,-1.0
18,180.0,1047.85,306.64,-192.87,0.29,0.0,1108.70038739057,515.7866666666665,-1.0,-1.0,-1.0,-1.0
19,190.0,1032.71,315.43,-210.94,0.29,0.0,1100.2189384845185,519.6933333333334,-1.0,-1.0,-1.0,-1.0
20,200.0,1051.76,332.52,-214.84,0.29,0.0,1123.7993030786236,533.04,-1.0,-1.0,-1.0,-1.0
21,210.0,1065.43,349.12,-204.1,0.3,0.0,1139.5975909504198,539.5500000000002,-1.0,-1.0,-1.0,-1.0
22,220.0,1077.64,364.26,-224.12,0.31,0.0,1159.4063530962733,555.34,-1.0,-1.0,-1.0,-1.0
23,230.0,1100.1,371.58,-223.14,0.32,0.0,1182.4056689647591,564.9399999999998,-1.0,-1.0,-1.0,-1.0
24,240.0,1089.84,386.72,-239.75,0.33,0.0,1181.0095878103614,572.1033333333334,-1.0,-1.0,-1.0,-1.0
25,250.0,1104.0,426.27,-280.76,0.34,0.0,1216.2846256119494,603.6766666666666,-1.0,-1.0,-1.0,-1.0
26,260.0,1132.32,494.63,-378.42,0.35,0.0,1292.288325297416,668.4566666666666,-1.0,-1.0,-1.0,-1.0
27,270.0,1128.91,553.22,-509.28,0.36,0.0,1356.413017815739,730.4699999999998,-1.0,-1.0,-1.0,-1.0
28,280.0,1122.07,593.26,-652.83,0.36,0.0,1427.300081062143,789.3866666666668,-1.0,-1.0,-1.0,-1.0
29,290.0,1032.23,499.02,-786.13,0.36,0.0,1390.1511105631644,772.46,-1.0,-1.0,-1.0,-1.0
30,300.0,1149.9,680.18,-945.8,0.35,0.0,1636.9033210302923,925.2933333333334,-1.0,-1.0,-1.0,-1.0
31,310.0,1176.76,583.01,-1153.32,0.34,0.0,1747.801985380495,971.03,-1.0,-1.0,-1.0,-1.0
32,320.0,1287.11,690.92,-1267.09,0.33,0.0,1933.7889405516828,1081.7066666666667,-1.0,-1.0,-1.0,-1.0
33,330.0,1250.98,538.09,-1333.5,0.31,0.0,1905.9680108805605,1040.8566666666668,-1.0,-1.0,-1.0,-1.0
34,340.0,1215.33,459.96,-1296.88,0.28,0.0,1835.8888705202176,990.7233333333335,-1.0,-1.0,-1.0,-1.0
35,350.0,1189.45,377.44,-1229.49,0.25,0.0,1751.82702233982,932.1266666666667,-1.0,-1.0,-1.0,-1.0
36,360.0,1175.29,297.36,-1152.83,0.21,0.0,1672.9454750827954,875.16,-1.0,-1.0,-1.0,-1.0
