,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,13660.0,666.5,546.87,-602.05,0.0,0.12,1051.5480252465884,605.14,-1.0,-1.0,-1.0,-1.0
1,13670.0,688.96,540.53,-577.15,0.0,0.16,1048.7805704722032,602.2133333333333,-1.0,-1.0,-1.0,-1.0
2,13680.0,718.75,536.62,-557.13,0.0,0.16,1055.9149699668055,604.1666666666666,-1.0,-1.0,-1.0,-1.0
3,13690.0,742.19,526.86,-527.34,0.0,0.13,1051.9101346122682,598.7966666666667,-1.0,-1.0,-1.0,-1.0
4,13700.0,773.44,517.58,-509.77,0.0,0.0,1061.1144815240248,600.2633333333333,-1.0,-1.0,-1.0,-1.0
5,13710.0,768.55,517.58,-510.25,0.0,0.1,1057.786945183197,598.7933333333334,-1.0,-1.0,-1.0,-1.0
6,13720.0,783.2,514.65,-521.0,0.0,0.11,1072.2443110131198,606.2833333333333,-1.0,-1.0,-1.0,-1.0
7,13730.0,791.02,513.18,-534.67,0.0,0.11,1083.9457374333826,612.9566666666666,-1.0,-1.0,-1.0,-1.0
8,13740.0,791.5,480.96,-575.68,0.0,0.0,1090.5054947133465,616.0466666666666,-1.0,-1.0,-1.0,-1.0
9,13750.0,770.02,491.21,-605.96,0.0,0.15,1096.086486596747,622.3966666666666,-1.0,-1.0,-1.0,-1.0
10,13760.0,776.37,469.24,-602.05,0.0,0.0,1088.7611110799282,615.8866666666668,-1.0,-1.0,-1.0,-1.0
11,13770.0,768.07,463.87,-619.63,0.0,0.0,1090.4348851261134,617.19,-1.0,-1.0,-1.0,-1.0
12,13780.0,759.28,466.8,-601.07,0.0,0.1,1075.031861527834,609.0500000000002,-1.0,-1.0,-1.0,-1.0
13,13790.0,753.91,450.68,-593.26,0.0,0.13,1059.929326936471,599.2833333333333,-1.0,-1.0,-1.0,-1.0
14,13800.0,758.3,432.13,-565.92,0.0,0.15,1040.2022271174003,585.4499999999998,-1.0,-1.0,-1.0,-1.0
15,13810.0,743.65,438.48,-562.5,0.0,0.13,1030.3816200321119,581.5433333333334,-1.0,-1.0,-1.0,-1.0
16,13820.0,741.7,423.34,-545.9,0.0,0.14,1013.579032734991,570.3133333333334,-1.0,-1.0,-1.0,-1.0
