,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,161.62,194.34,707.03,0.47,0.0,750.853168668815,354.33,-1.0,-1.0,-1.0,-1.0
1,10.0,289.55,248.54,825.68,0.48,0.0,909.5926541589923,454.59,-1.0,-1.0,-1.0,-1.0
2,20.0,310.06,235.35,953.61,0.49,0.0,1029.9994457280065,499.67333333333335,-1.0,-1.0,-1.0,-1.0
3,30.0,258.79,199.71,992.19,0.51,0.0,1044.65178136066,483.5633333333333,-1.0,-1.0,-1.0,-1.0
4,40.0,165.04,94.24,933.11,0.53,0.0,952.2676363817053,397.4633333333333,-1.0,-1.0,-1.0,-1.0
5,50.0,5.37,48.34,920.9,0.54,0.0,922.1834971956504,324.87,-1.0,-1.0,-1.0,-1.0
6,60.0,-148.44,41.02,966.31,0.56,0.0,978.5050281424208,385.25666666666666,-1.0,-1.0,-1.0,-1.0
7,70.0,-467.77,-69.34,1012.7,0.56,0.0,1117.6663627845296,516.6033333333334,-1.0,-1.0,-1.0,-1.0
8,80.0,-627.93,-105.96,1009.77,0.55,0.0,1193.8002594236611,581.2199999999998,-1.0,-1.0,-1.0,-1.0
9,90.0,-792.97,-101.56,1059.08,0.53,0.0,1326.9386952304915,651.2033333333333,-1.0,-1.0,-1.0,-1.0
10,100.0,-838.87,-108.4,1067.38,0.51,0.0,1361.8933516615755,671.5500000000002,-1.0,-1.0,-1.0,-1.0
11,110.0,-830.08,-116.7,1082.03,0.47,0.0,1368.7368692703506,676.27,-1.0,-1.0,-1.0,-1.0
12,120.0,-751.95,-91.31,1094.73,0.44,0.0,1331.2400578032498,645.9966666666667,-1.0,-1.0,-1.0,-1.0
13,130.0,-734.86,-85.94,1106.45,0.42,0.0,1331.0283639727593,642.4166666666666,-1.0,-1.0,-1.0,-1.0
14,140.0,-629.39,-71.78,1056.15,0.4,0.0,1231.5587533690789,585.7733333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,-568.36,-72.27,1008.3,0.38,0.0,1159.7089861253985,549.6433333333333,-1.0,-1.0,-1.0,-1.0
16,160.0,-548.34,-69.34,904.3,0.37,0.0,1059.8317230579578,507.32666666666665,-1.0,-1.0,-1.0,-1.0
17,170.0,-449.22,-29.79,799.8,0.37,0.0,917.8050405723427,426.27,-1.0,-1.0,-1.0,-1.0
18,180.0,-330.08,3.91,768.55,0.37,0.0,836.4431821707915,367.51333333333326,-1.0,-1.0,-1.0,-1.0
19,190.0,-189.45,27.34,732.42,0.37,0.0,757.0190450048135,316.4033333333333,-1.0,-1.0,-1.0,-1.0
20,200.0,-61.04,63.96,700.2,0.37,0.0,705.7597347539743,275.06666666666666,-1.0,-1.0,-1.0,-1.0
21,210.0,29.3,97.66,647.46,0.39,0.0,655.4391025869604,258.14000000000004,-1.0,-1.0,-1.0,-1.0
22,220.0,98.14,136.23,630.86,0.4,0.0,652.8203520877702,288.41,-1.0,-1.0,-1.0,-1.0
23,230.0,167.97,167.97,648.44,0.42,0.0,690.5811142798506,328.12666666666667,-1.0,-1.0,-1.0,-1.0
24,240.0,121.09,150.88,674.32,0.44,0.0,701.5233601955106,315.43,-1.0,-1.0,-1.0,-1.0
25,250.0,132.81,180.18,631.35,0.46,0.0,669.8553209462473,314.7800000000001,-1.0,-1.0,-1.0,-1.0
26,260.0,70.8,193.36,667.97,0.47,0.0,698.9883049808487,310.7100000000001,-1.0,-1.0,-1.0,-1.0
27,270.0,-30.27,184.08,811.52,0.49,0.0,832.6862732746349,341.95666666666665,-1.0,-1.0,-1.0,-1.0
28,280.0,-165.04,144.53,896.48,0.5,0.0,922.9320196525853,402.01666666666665,-1.0,-1.0,-1.0,-1.0
29,290.0,-299.8,77.15,882.32,0.51,0.0,935.0511990794943,419.75666666666666,-1.0,-1.0,-1.0,-1.0
30,300.0,-499.02,37.6,893.55,0.51,0.0,1024.1417494175303,476.72333333333336,-1.0,-1.0,-1.0,-1.0
31,310.0,-740.72,-12.7,920.41,0.51,0.0,1181.5168117720546,557.9433333333333,-1.0,-1.0,-1.0,-1.0
32,320.0,-893.07,-53.22,951.66,0.51,0.0,1306.1635230322427,632.65,-1.0,-1.0,-1.0,-1.0
