,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-634.28,-889.16,242.68,0.0,0.05,1118.8432447845407,588.7066666666667,-1.0,-1.0,-1.0,-1.0
1,10.0,-596.19,-867.19,282.23,0.0,0.07,1089.5479728309351,581.87,-1.0,-1.0,-1.0,-1.0
2,20.0,-601.07,-844.73,303.22,0.0,0.06,1080.1834502527802,583.0066666666668,-1.0,-1.0,-1.0,-1.0
3,30.0,-576.17,-803.22,295.41,0.0,0.06,1031.6982627687223,558.2666666666668,-1.0,-1.0,-1.0,-1.0
4,40.0,-576.66,-771.48,255.37,0.0,0.07,996.4597246753128,534.5033333333332,-1.0,-1.0,-1.0,-1.0
5,50.0,-573.73,-750.49,222.17,0.0,0.05,970.4436417948236,515.4633333333334,-1.0,-1.0,-1.0,-1.0
6,60.0,-604.98,-732.42,203.61,0.0,0.02,971.5435599601283,513.6700000000002,-1.0,-1.0,-1.0,-1.0
7,70.0,-618.65,-732.42,216.31,0.0,0.01,982.831061271468,522.4599999999998,-1.0,-1.0,-1.0,-1.0
8,80.0,-651.37,-748.05,240.23,0.0,0.07,1020.5744129165693,546.5500000000002,-1.0,-1.0,-1.0,-1.0
9,90.0,-685.55,-779.79,263.67,0.0,0.06,1071.2483911306472,576.3366666666667,-1.0,-1.0,-1.0,-1.0
10,100.0,-721.68,-797.85,260.74,0.0,0.06,1106.9652173849004,593.4233333333333,-1.0,-1.0,-1.0,-1.0
11,110.0,-703.12,-806.64,233.4,0.0,0.07,1095.2266359069251,581.0533333333334,-1.0,-1.0,-1.0,-1.0
12,120.0,-692.87,-799.8,233.89,0.0,0.07,1083.7220164783957,575.52,-1.0,-1.0,-1.0,-1.0
13,130.0,-682.62,-831.54,231.93,0.0,0.04,1100.5545697056552,582.03,-1.0,-1.0,-1.0,-1.0
14,140.0,-686.52,-831.05,256.35,0.0,0.07,1108.0023174163491,591.3066666666667,-1.0,-1.0,-1.0,-1.0
15,150.0,-690.92,-850.59,253.91,0.0,0.06,1124.8751408934238,598.4733333333334,-1.0,-1.0,-1.0,-1.0
16,160.0,-692.38,-875.0,270.51,0.0,0.07,1148.124873217195,612.63,-1.0,-1.0,-1.0,-1.0
