,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,1825.68,-855.47,72.27,0.96,11.04,2017.4635898077563,917.8066666666667,-1.0,-1.0,-1.0,-1.0
1,10.0,1552.25,-879.39,-258.79,0.96,10.94,1802.7143696936569,896.81,-1.0,-1.0,-1.0,-1.0
2,20.0,1148.93,-731.93,-555.66,0.96,11.03,1471.2306771543342,812.1733333333333,-1.0,-1.0,-1.0,-1.0
3,30.0,883.79,-572.75,-758.3,0.96,10.96,1297.7465918275416,738.2800000000002,-1.0,-1.0,-1.0,-1.0
4,40.0,691.41,-372.56,-911.62,0.96,10.98,1203.2870672038325,658.5300000000002,-1.0,-1.0,-1.0,-1.0
5,50.0,538.09,-149.41,-965.33,0.96,11.0,1115.2247330022772,550.9433333333333,-1.0,-1.0,-1.0,-1.0
6,60.0,331.05,-50.29,-883.3,0.96,11.04,944.6385957603044,421.5466666666666,-1.0,-1.0,-1.0,-1.0
7,70.0,215.82,41.99,-801.76,0.96,11.03,831.3606498385643,353.19,-1.0,-1.0,-1.0,-1.0
8,80.0,105.47,91.8,-702.15,0.67,11.03,715.9369968090767,299.8066666666667,-1.0,-1.0,-1.0,-1.0
9,90.0,69.82,165.04,-634.28,0.36,10.93,659.1086044044637,289.7133333333333,-1.0,-1.0,-1.0,-1.0
10,100.0,40.53,233.4,-546.39,0.08,10.91,595.5336035858934,273.44,-1.0,-1.0,-1.0,-1.0
11,110.0,49.32,264.65,-474.61,0.0,10.84,545.6434156113312,262.86,-1.0,-1.0,-1.0,-1.0
12,120.0,82.52,313.96,-403.81,0.0,10.75,518.1148020468049,266.7633333333333,-1.0,-1.0,-1.0,-1.0
13,130.0,104.0,330.08,-304.69,0.0,10.64,461.09088312392396,246.25666666666663,-1.0,-1.0,-1.0,-1.0
14,140.0,82.03,396.0,-256.35,0.0,10.66,478.81128161312165,244.7933333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,43.46,433.11,-207.03,0.0,10.58,482.01085527195335,227.86666666666667,-1.0,-1.0,-1.0,-1.0
16,160.0,10.25,476.07,-199.71,0.0,10.64,516.3640106552741,228.67666666666665,-1.0,-1.0,-1.0,-1.0
17,170.0,-3.42,510.25,-231.93,0.0,10.64,560.4982460275857,248.53333333333333,-1.0,-1.0,-1.0,-1.0
18,180.0,45.41,525.39,-202.64,0.0,10.43,564.9422004063779,257.81333333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,102.05,528.81,-156.74,0.0,10.61,560.9114423864073,262.5333333333333,-1.0,-1.0,-1.0,-1.0
20,200.0,198.73,557.13,-116.7,0.0,10.63,602.9148694467569,290.8533333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,238.28,544.43,-53.71,0.0,10.68,596.7127846795307,278.8066666666667,-1.0,-1.0,-1.0,-1.0
22,220.0,294.43,547.36,21.97,0.0,10.75,621.9121122795408,287.92,-1.0,-1.0,-1.0,-1.0
23,230.0,364.75,540.04,113.77,0.0,10.74,661.5356203561529,339.52,-1.0,-1.0,-1.0,-1.0
24,240.0,406.25,578.12,193.36,0.0,10.65,732.5639129113582,392.57666666666665,-1.0,-1.0,-1.0,-1.0
25,250.0,433.59,633.3,299.32,0.0,10.76,823.8092257919911,455.4033333333333,-1.0,-1.0,-1.0,-1.0
26,260.0,451.17,636.23,431.64,0.0,10.74,891.434838560845,506.3466666666666,-1.0,-1.0,-1.0,-1.0
27,270.0,455.08,650.88,541.99,0.0,10.74,961.5070155230278,549.3166666666667,-1.0,-1.0,-1.0,-1.0
28,280.0,450.2,667.48,584.47,0.0,10.72,994.8943518283737,567.3833333333333,-1.0,-1.0,-1.0,-1.0
29,290.0,415.04,656.25,554.69,0.0,10.69,954.2553432913018,541.9933333333332,-1.0,-1.0,-1.0,-1.0
30,300.0,431.15,652.83,482.91,0.0,10.64,919.3907762752465,522.2966666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,447.75,650.88,433.11,0.0,10.64,900.949004661196,510.58000000000015,-1.0,-1.0,-1.0,-1.0
32,320.0,495.12,644.04,382.81,0.09,10.69,898.0394379424547,507.32333333333327,-1.0,-1.0,-1.0,-1.0
33,330.0,514.16,683.59,318.85,0.22,10.22,912.8642375512364,505.5333333333333,-1.0,-1.0,-1.0,-1.0
34,340.0,533.2,676.27,332.52,0.34,10.72,923.1537809595973,513.9966666666667,-1.0,-1.0,-1.0,-1.0
35,350.0,551.76,710.45,364.75,0.44,10.64,970.6806182262013,542.32,-1.0,-1.0,-1.0,-1.0
36,360.0,606.45,713.38,413.57,0.53,10.67,1023.5881846719412,577.8,-1.0,-1.0,-1.0,-1.0
37,370.0,631.35,706.54,453.12,0.59,10.63,1050.2948769274274,597.0033333333333,-1.0,-1.0,-1.0,-1.0
38,380.0,640.14,693.36,490.23,0.62,10.64,1063.4156111793734,607.91,-1.0,-1.0,-1.0,-1.0
39,390.0,644.04,686.52,493.65,0.64,10.64,1062.9146506187597,608.07,-1.0,-1.0,-1.0,-1.0
40,400.0,625.49,684.08,439.45,0.63,10.69,1025.8262469833771,583.0066666666668,-1.0,-1.0,-1.0,-1.0
41,410.0,634.28,705.08,374.51,0.6,10.62,1019.6600732106757,571.2900000000002,-1.0,-1.0,-1.0,-1.0
42,420.0,628.42,742.19,333.01,0.56,10.68,1027.9364535806676,567.8733333333333,-1.0,-1.0,-1.0,-1.0
43,430.0,623.05,765.62,273.93,0.51,10.55,1024.40369571766,554.2,-1.0,-1.0,-1.0,-1.0
44,440.0,643.07,779.79,223.63,0.47,10.64,1035.1916952429633,548.83,-1.0,-1.0,-1.0,-1.0
45,450.0,664.55,784.67,201.66,0.43,10.64,1047.8551746305402,550.2933333333333,-1.0,-1.0,-1.0,-1.0
46,460.0,676.27,744.14,200.68,0.41,10.64,1025.3574571338524,540.3633333333332,-1.0,-1.0,-1.0,-1.0
47,470.0,711.91,736.82,228.03,0.39,10.61,1049.6271916256744,558.92,-1.0,-1.0,-1.0,-1.0
48,480.0,728.52,736.82,236.33,0.39,10.64,1062.7779503264076,567.2233333333334,-1.0,-1.0,-1.0,-1.0
49,490.0,738.77,731.45,252.44,0.4,10.66,1069.8252983548296,574.22,-1.0,-1.0,-1.0,-1.0
50,500.0,729.98,720.7,254.39,0.41,10.64,1056.8791617304223,568.3566666666667,-1.0,-1.0,-1.0,-1.0
51,510.0,746.58,705.57,269.04,0.42,10.65,1061.881934538864,573.73,-1.0,-1.0,-1.0,-1.0
52,520.0,781.74,682.62,256.35,0.44,10.68,1069.0195575853606,573.57,-1.0,-1.0,-1.0,-1.0
53,530.0,794.43,646.0,235.35,0.46,10.64,1050.6305951189504,558.5933333333332,-1.0,-1.0,-1.0,-1.0
54,540.0,877.93,597.17,200.2,0.47,10.64,1080.4874519400953,558.4333333333333,-1.0,-1.0,-1.0,-1.0
55,550.0,960.45,595.21,156.74,0.48,10.64,1140.7482518943436,570.8000000000002,-1.0,-1.0,-1.0,-1.0
56,560.0,1057.62,575.68,125.0,0.49,10.71,1210.6165895113118,586.0999999999998,-1.0,-1.0,-1.0,-1.0
57,570.0,1123.05,550.78,95.21,0.5,10.68,1254.4579925210726,589.68,-1.0,-1.0,-1.0,-1.0
58,580.0,1158.2,534.67,75.68,0.51,10.71,1277.8993353547062,589.5166666666668,-1.0,-1.0,-1.0,-1.0
59,590.0,1135.25,517.09,90.33,0.52,10.69,1250.7334406259392,580.89,-1.0,-1.0,-1.0,-1.0
60,600.0,1085.94,500.49,110.84,0.53,10.77,1200.8502942915077,565.7566666666668,-1.0,-1.0,-1.0,-1.0
61,610.0,1022.95,494.14,149.41,0.53,10.56,1145.829127837131,555.5000000000001,-1.0,-1.0,-1.0,-1.0
62,620.0,972.66,486.82,199.22,0.53,10.74,1105.7801754417558,552.9,-1.0,-1.0,-1.0,-1.0
63,630.0,948.24,478.03,207.03,0.53,10.65,1081.9118260745652,544.4333333333333,-1.0,-1.0,-1.0,-1.0
64,640.0,925.29,470.21,208.01,0.52,10.75,1058.5495681828036,534.5033333333333,-1.0,-1.0,-1.0,-1.0
65,650.0,925.29,475.59,189.94,0.51,10.64,1057.5559728922149,530.2733333333333,-1.0,-1.0,-1.0,-1.0
66,660.0,970.7,446.29,99.12,0.49,10.68,1072.9669279619013,505.37000000000006,-1.0,-1.0,-1.0,-1.0
67,670.0,990.72,479.49,65.92,0.48,10.59,1102.6251515814427,512.0433333333334,-1.0,-1.0,-1.0,-1.0
68,680.0,1014.65,516.11,54.2,0.46,10.68,1139.6586307311502,528.32,-1.0,-1.0,-1.0,-1.0
69,690.0,1017.09,486.82,72.27,0.45,10.63,1129.9065153365566,525.3933333333333,-1.0,-1.0,-1.0,-1.0
70,700.0,970.7,452.64,92.77,0.43,10.66,1075.0570833681343,505.37000000000006,-1.0,-1.0,-1.0,-1.0
71,710.0,888.18,434.57,140.14,0.42,10.64,998.6761321369403,487.63,-1.0,-1.0,-1.0,-1.0
72,720.0,826.17,392.09,185.06,0.4,10.72,933.0266023002772,467.77333333333326,-1.0,-1.0,-1.0,-1.0
73,730.0,851.56,364.26,230.47,0.39,10.6,954.4402559091901,482.0966666666666,-1.0,-1.0,-1.0,-1.0
74,740.0,888.67,352.05,217.29,0.39,10.72,980.249210915265,486.0033333333333,-1.0,-1.0,-1.0,-1.0
75,750.0,977.05,348.14,193.36,0.39,10.64,1055.0906367227417,506.18333333333334,-1.0,-1.0,-1.0,-1.0
76,760.0,1042.97,342.29,164.06,0.39,10.69,1109.8939357434115,516.4399999999998,-1.0,-1.0,-1.0,-1.0
77,770.0,1075.68,342.29,152.34,0.41,10.69,1139.0598676540226,523.4366666666666,-1.0,-1.0,-1.0,-1.0
78,780.0,1144.53,339.84,116.21,0.42,10.67,1199.5602988595447,533.5266666666666,-1.0,-1.0,-1.0,-1.0
79,790.0,1179.69,347.66,96.68,0.45,10.72,1233.646219181172,541.3433333333334,-1.0,-1.0,-1.0,-1.0
80,800.0,1152.34,351.07,120.61,0.49,10.69,1210.654530656867,541.3399999999998,-1.0,-1.0,-1.0,-1.0
81,810.0,1103.03,346.19,167.97,0.52,10.66,1168.21942198373,539.0633333333334,-1.0,-1.0,-1.0,-1.0
82,820.0,1058.11,331.05,206.05,0.56,10.69,1127.673479824723,531.7366666666667,-1.0,-1.0,-1.0,-1.0
