,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,251.95,-835.45,167.97,0.36,11.77,888.6334598134373,418.4566666666667,-1.0,-1.0,-1.0,-1.0
1,10.0,281.25,-846.68,204.59,0.36,11.79,915.3281668341687,444.17333333333323,-1.0,-1.0,-1.0,-1.0
2,20.0,275.88,-850.1,208.01,0.36,11.93,917.6317041711234,444.66333333333336,-1.0,-1.0,-1.0,-1.0
3,30.0,268.07,-859.37,207.52,0.37,11.9,923.8197184516034,444.98666666666674,-1.0,-1.0,-1.0,-1.0
4,40.0,235.84,-878.91,205.08,0.37,11.9,932.8242600297227,439.94333333333327,-1.0,-1.0,-1.0,-1.0
5,50.0,231.45,-867.68,175.29,0.37,11.97,914.966813059359,424.8066666666666,-1.0,-1.0,-1.0,-1.0
6,60.0,232.42,-873.54,169.92,0.38,12.19,919.7630099107053,425.29333333333335,-1.0,-1.0,-1.0,-1.0
7,70.0,230.96,-849.12,153.81,0.39,12.07,893.311150775585,411.2966666666666,-1.0,-1.0,-1.0,-1.0
8,80.0,237.3,-848.14,159.67,0.39,11.82,895.0682982320401,415.0366666666667,-1.0,-1.0,-1.0,-1.0
9,90.0,228.03,-849.12,171.39,0.39,12.08,895.754981789105,416.18,-1.0,-1.0,-1.0,-1.0
10,100.0,240.72,-840.82,153.81,0.39,11.79,888.0213437187194,411.7833333333333,-1.0,-1.0,-1.0,-1.0
11,110.0,245.61,-856.45,160.64,0.39,11.78,905.3375526288523,420.89999999999986,-1.0,-1.0,-1.0,-1.0
12,120.0,236.33,-852.54,177.73,0.39,11.76,902.365930983656,422.2,-1.0,-1.0,-1.0,-1.0
13,130.0,257.81,-867.68,186.52,0.39,11.52,924.1884488025156,437.3366666666666,-1.0,-1.0,-1.0,-1.0
14,140.0,243.65,-900.39,198.73,0.38,11.65,953.7091210112233,447.59,-1.0,-1.0,-1.0,-1.0
15,150.0,264.16,-937.5,184.57,0.39,11.53,991.3389130363036,462.07666666666665,-1.0,-1.0,-1.0,-1.0
16,160.0,255.37,-962.89,184.57,0.39,11.6,1013.132308190791,467.61,-1.0,-1.0,-1.0,-1.0
17,170.0,242.19,-980.96,183.59,0.39,11.94,1026.9585219472108,468.91333333333336,-1.0,-1.0,-1.0,-1.0
18,180.0,229.98,-1000.98,186.04,0.39,12.01,1043.773271548951,472.33333333333326,-1.0,-1.0,-1.0,-1.0
