,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,458.5,254.39,831.54,0.55,4.46,983.0540644847566,514.81,-1.0,-1.0,-1.0,-1.0
1,10.0,174.8,240.72,997.07,0.59,4.58,1040.5045618833203,470.86333333333334,-1.0,-1.0,-1.0,-1.0
2,20.0,-11.23,263.18,1274.41,0.63,4.49,1301.3495584968707,516.2733333333333,-1.0,-1.0,-1.0,-1.0
3,30.0,-78.61,362.79,1286.13,0.66,4.45,1338.6285866886305,575.8433333333334,-1.0,-1.0,-1.0,-1.0
4,40.0,-338.87,406.25,1162.11,0.66,4.43,1276.8600516501406,635.7433333333332,-1.0,-1.0,-1.0,-1.0
5,50.0,-490.23,370.61,1131.84,0.64,4.47,1287.920420911168,664.2266666666667,-1.0,-1.0,-1.0,-1.0
6,60.0,-500.0,321.29,1086.91,0.59,4.4,1238.7899790521394,636.0666666666667,-1.0,-1.0,-1.0,-1.0
7,70.0,-190.92,232.91,886.72,0.53,4.55,936.4666960976242,436.85,-1.0,-1.0,-1.0,-1.0
8,80.0,161.62,127.93,757.81,0.47,4.46,785.3426675025366,349.11999999999995,-1.0,-1.0,-1.0,-1.0
9,90.0,465.33,108.89,698.73,0.44,4.48,846.5297714197653,424.31666666666666,-1.0,-1.0,-1.0,-1.0
10,100.0,614.26,152.34,723.14,0.42,4.4,960.965286990118,496.58,-1.0,-1.0,-1.0,-1.0
11,110.0,486.33,239.26,697.75,0.42,4.5,883.5254829375325,474.44666666666666,-1.0,-1.0,-1.0,-1.0
12,120.0,111.33,286.13,862.3,0.44,4.41,915.3283759394768,419.92,-1.0,-1.0,-1.0,-1.0
13,130.0,-172.36,280.76,1275.39,0.46,4.51,1317.2523673541075,576.1700000000002,-1.0,-1.0,-1.0,-1.0
14,140.0,-184.08,419.43,1443.36,0.48,4.5,1514.2968866440951,682.29,-1.0,-1.0,-1.0,-1.0
15,150.0,-442.87,410.16,1370.61,0.48,4.61,1497.643760912454,741.2133333333333,-1.0,-1.0,-1.0,-1.0
16,160.0,-581.54,342.29,1192.87,0.45,4.47,1370.5072245705235,705.5666666666666,-1.0,-1.0,-1.0,-1.0
