,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-413.09,-477.05,839.36,0.0,0.1,1050.1167840768946,576.5,-1.0,-1.0,-1.0,-1.0
1,10.0,-404.3,-483.89,823.73,0.0,0.15,1037.3712618922889,570.64,-1.0,-1.0,-1.0,-1.0
2,20.0,-394.53,-472.17,808.59,0.0,0.1,1016.078844332466,558.43,-1.0,-1.0,-1.0,-1.0
3,30.0,-417.97,-479.98,801.76,0.0,0.17,1023.6692917637024,566.57,-1.0,-1.0,-1.0,-1.0
4,40.0,-427.73,-474.12,784.18,0.0,0.1,1011.2769154390896,562.01,-1.0,-1.0,-1.0,-1.0
5,50.0,-422.85,-482.91,799.32,0.0,0.16,1025.1422598839638,568.36,-1.0,-1.0,-1.0,-1.0
6,60.0,-412.6,-459.96,798.34,0.0,0.1,1009.5289580789647,556.9666666666667,-1.0,-1.0,-1.0,-1.0
7,70.0,-404.79,-455.08,798.83,0.0,0.16,1004.53079564541,552.9,-1.0,-1.0,-1.0,-1.0
8,80.0,-412.11,-483.89,803.71,0.0,0.15,1024.6628461596526,566.57,-1.0,-1.0,-1.0,-1.0
9,90.0,-398.44,-484.86,812.5,0.0,0.14,1026.6449742729958,565.2666666666668,-1.0,-1.0,-1.0,-1.0
10,100.0,-392.09,-477.05,802.73,0.0,0.1,1012.7619283424907,557.29,-1.0,-1.0,-1.0,-1.0
11,110.0,-391.11,-476.56,804.69,0.0,0.2,1013.7072860545098,557.4533333333334,-1.0,-1.0,-1.0,-1.0
12,120.0,-398.93,-474.61,804.2,0.0,0.1,1015.4493768770553,559.2466666666667,-1.0,-1.0,-1.0,-1.0
13,130.0,-401.86,-471.68,799.8,0.0,0.16,1011.7576399513867,557.78,-1.0,-1.0,-1.0,-1.0
14,140.0,-403.81,-465.33,794.43,0.0,0.1,1005.342503776698,554.5233333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,-422.36,-465.33,804.2,0.0,0.16,1020.6162934717436,563.9633333333334,-1.0,-1.0,-1.0,-1.0
16,160.0,-445.8,-471.19,792.97,0.0,0.1,1024.479905610647,569.9866666666667,-1.0,-1.0,-1.0,-1.0
17,170.0,-469.73,-458.5,783.2,0.0,0.0,1021.8956712404648,570.4766666666667,-1.0,-1.0,-1.0,-1.0
18,180.0,-465.82,-451.66,779.3,0.0,0.15,1014.0480846587108,565.5933333333334,-1.0,-1.0,-1.0,-1.0
19,190.0,-490.23,-460.45,792.97,0.0,0.16,1039.7793401967554,581.2166666666667,-1.0,-1.0,-1.0,-1.0
20,200.0,-482.91,-456.05,773.93,0.0,0.0,1019.8780885478419,570.9633333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,-471.68,-451.66,792.97,0.0,0.16,1027.2683188437188,572.1033333333334,-1.0,-1.0,-1.0,-1.0
22,220.0,-461.43,-464.84,779.79,0.0,0.1,1018.3645293312213,568.6866666666666,-1.0,-1.0,-1.0,-1.0
23,230.0,-449.71,-470.21,771.97,0.0,0.16,1009.5911098558664,563.9633333333333,-1.0,-1.0,-1.0,-1.0
24,240.0,-448.73,-451.66,768.07,0.0,0.1,997.6406634655588,556.1533333333333,-1.0,-1.0,-1.0,-1.0
25,250.0,-436.04,-475.1,775.88,0.0,0.17,1008.8808978268942,562.34,-1.0,-1.0,-1.0,-1.0
26,260.0,-441.41,-474.61,778.32,0.0,0.1,1012.8570790590351,564.7800000000002,-1.0,-1.0,-1.0,-1.0
27,270.0,-433.11,-483.4,774.9,0.0,0.16,1010.806530499284,563.8033333333333,-1.0,-1.0,-1.0,-1.0
28,280.0,-430.18,-483.4,750.98,0.0,0.16,991.3129439284044,554.8533333333334,-1.0,-1.0,-1.0,-1.0
29,290.0,-440.92,-490.72,763.18,0.0,0.23,1008.7914934217081,564.94,-1.0,-1.0,-1.0,-1.0
30,300.0,-433.11,-482.91,772.95,0.0,0.1,1009.0778179605376,562.99,-1.0,-1.0,-1.0,-1.0
31,310.0,-425.78,-483.4,780.27,0.0,0.15,1011.8228309837648,563.15,-1.0,-1.0,-1.0,-1.0
32,320.0,-436.52,-477.05,784.18,0.0,0.13,1016.3978971347784,565.9166666666666,-1.0,-1.0,-1.0,-1.0
33,330.0,-434.08,-473.14,791.5,0.0,0.21,1019.1953473206204,566.24,-1.0,-1.0,-1.0,-1.0
34,340.0,-444.34,-454.1,808.11,0.0,0.1,1027.9526339768777,568.85,-1.0,-1.0,-1.0,-1.0
35,350.0,-426.27,-469.73,803.22,0.0,0.2,1023.4816823959284,566.4066666666666,-1.0,-1.0,-1.0,-1.0
36,360.0,-442.38,-462.4,784.18,0.0,0.09,1012.1522102925034,562.9866666666667,-1.0,-1.0,-1.0,-1.0
37,370.0,-431.15,-450.68,775.39,0.0,0.15,995.1042342388057,552.4066666666666,-1.0,-1.0,-1.0,-1.0
38,380.0,-430.66,-442.38,761.23,0.0,0.09,980.1220397991265,544.7566666666668,-1.0,-1.0,-1.0,-1.0
39,390.0,-435.55,-454.1,766.6,0.0,0.16,991.7591302831552,552.0833333333334,-1.0,-1.0,-1.0,-1.0
40,400.0,-432.13,-453.61,775.39,0.0,0.1,996.8590778540364,553.71,-1.0,-1.0,-1.0,-1.0
41,410.0,-444.82,-463.87,786.62,0.0,0.22,1015.7810953645476,565.1033333333334,-1.0,-1.0,-1.0,-1.0
42,420.0,-455.57,-468.26,787.6,0.0,0.1,1023.2913624672104,570.4766666666667,-1.0,-1.0,-1.0,-1.0
43,430.0,-469.73,-460.94,790.04,0.0,0.15,1028.2388623758586,573.57,-1.0,-1.0,-1.0,-1.0
44,440.0,-460.45,-464.36,791.02,0.0,0.1,1026.33184326513,571.9433333333333,-1.0,-1.0,-1.0,-1.0
45,450.0,-473.14,-461.91,785.16,0.0,0.16,1026.4981896233428,573.4033333333333,-1.0,-1.0,-1.0,-1.0
46,460.0,-465.33,-460.94,789.55,0.0,0.1,1025.8591009490533,571.9399999999998,-1.0,-1.0,-1.0,-1.0
47,470.0,-477.05,-466.31,789.06,0.0,0.16,1033.265407434121,577.4733333333334,-1.0,-1.0,-1.0,-1.0
48,480.0,-469.24,-464.36,769.53,0.0,0.1,1013.8998018048924,567.71,-1.0,-1.0,-1.0,-1.0
49,490.0,-454.1,-465.33,775.88,0.0,0.16,1012.2887894766001,565.1033333333334,-1.0,-1.0,-1.0,-1.0
50,500.0,-430.66,-470.21,775.39,0.0,0.1,1003.8899998505813,558.7533333333333,-1.0,-1.0,-1.0,-1.0
51,510.0,-445.31,-466.31,783.2,0.0,0.16,1014.4694436995134,564.94,-1.0,-1.0,-1.0,-1.0
52,520.0,-429.2,-474.61,766.6,0.0,0.1,998.5704041778928,556.8033333333333,-1.0,-1.0,-1.0,-1.0
53,530.0,-437.99,-468.26,765.14,0.0,0.16,998.2694462418449,557.13,-1.0,-1.0,-1.0,-1.0
54,540.0,-429.69,-458.98,785.16,0.0,0.1,1005.8689587118196,557.9433333333333,-1.0,-1.0,-1.0,-1.0
55,550.0,-459.47,-460.45,772.95,0.0,0.16,1010.2368959308507,564.2900000000002,-1.0,-1.0,-1.0,-1.0
56,560.0,-442.87,-481.45,770.02,0.0,0.1,1010.3755439439335,564.78,-1.0,-1.0,-1.0,-1.0
57,570.0,-440.92,-475.59,787.11,0.0,0.17,1019.8717794899513,567.8733333333333,-1.0,-1.0,-1.0,-1.0
58,580.0,-439.45,-458.5,772.95,0.0,0.1,1000.395049467959,556.9666666666667,-1.0,-1.0,-1.0,-1.0
59,590.0,-432.13,-457.03,778.32,0.0,0.17,1000.6971470929657,555.8266666666667,-1.0,-1.0,-1.0,-1.0
60,600.0,-435.55,-453.61,777.83,0.0,0.1,1000.2426423123543,555.6633333333334,-1.0,-1.0,-1.0,-1.0
61,610.0,-439.94,-459.96,777.83,0.0,0.17,1005.0521947142844,559.2433333333332,-1.0,-1.0,-1.0,-1.0
62,620.0,-444.34,-465.82,769.04,0.0,0.1,1002.9201511586053,559.7333333333332,-1.0,-1.0,-1.0,-1.0
63,630.0,-431.64,-460.45,773.44,0.0,0.18,998.2668609645419,555.1766666666666,-1.0,-1.0,-1.0,-1.0
64,640.0,-437.99,-467.29,791.02,0.0,0.1,1017.795571124182,565.4333333333333,-1.0,-1.0,-1.0,-1.0
65,650.0,-459.96,-462.4,785.16,0.0,0.18,1020.7120980962261,569.1733333333333,-1.0,-1.0,-1.0,-1.0
66,660.0,-471.68,-459.96,777.83,0.0,0.1,1019.345247156232,569.8233333333334,-1.0,-1.0,-1.0,-1.0
67,670.0,-455.57,-463.38,778.81,0.0,0.14,1014.3027483941862,565.92,-1.0,-1.0,-1.0,-1.0
68,680.0,-461.43,-453.12,787.6,0.0,0.1,1019.0923114713406,567.3833333333333,-1.0,-1.0,-1.0,-1.0
69,690.0,-440.92,-458.5,792.48,0.0,0.15,1016.1974447911192,563.9666666666667,-1.0,-1.0,-1.0,-1.0
70,700.0,-440.43,-453.61,783.69,0.0,0.1,1006.9312951239523,559.2433333333332,-1.0,-1.0,-1.0,-1.0
71,710.0,-442.38,-452.15,786.13,0.0,0.13,1009.029268059158,560.2199999999998,-1.0,-1.0,-1.0,-1.0
72,720.0,-415.53,-456.54,781.74,0.0,0.1,996.0980775505993,551.27,-1.0,-1.0,-1.0,-1.0
73,730.0,-416.02,-471.68,775.88,0.0,0.16,998.7714639495863,554.5266666666666,-1.0,-1.0,-1.0,-1.0
74,740.0,-420.41,-467.77,769.04,0.0,0.1,993.466588567527,552.4066666666666,-1.0,-1.0,-1.0,-1.0
75,750.0,-450.68,-456.54,768.55,0.0,0.16,1001.1045582255632,558.59,-1.0,-1.0,-1.0,-1.0
76,760.0,-444.34,-468.26,778.81,0.0,0.1,1011.5584408723007,563.8033333333333,-1.0,-1.0,-1.0,-1.0
77,770.0,-437.01,-467.29,788.57,0.0,0.13,1015.4704964202556,564.29,-1.0,-1.0,-1.0,-1.0
78,780.0,-440.43,-457.52,790.53,0.0,0.09,1014.0220984771485,562.8266666666667,-1.0,-1.0,-1.0,-1.0
79,790.0,-435.06,-463.38,794.43,0.0,0.16,1017.4071224932524,564.29,-1.0,-1.0,-1.0,-1.0
80,800.0,-425.78,-475.59,791.02,0.0,0.06,1016.458113696772,564.13,-1.0,-1.0,-1.0,-1.0
81,810.0,-437.99,-477.05,784.18,0.0,0.16,1017.0300954249092,566.4066666666666,-1.0,-1.0,-1.0,-1.0
