,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,74.22,204.1,1051.27,0.36,6.41,1073.4682255660857,443.19666666666666,-1.0,-1.0,-1.0,-1.0
1,10.0,90.82,207.03,1045.41,0.39,6.16,1069.5755052356053,447.7533333333334,-1.0,-1.0,-1.0,-1.0
2,20.0,81.05,217.77,1015.14,0.41,6.44,1041.3943033260744,437.98666666666674,-1.0,-1.0,-1.0,-1.0
3,30.0,72.75,229.98,1018.55,0.45,6.15,1046.7222484498932,440.42666666666673,-1.0,-1.0,-1.0,-1.0
4,40.0,86.91,234.37,1006.84,0.49,6.52,1037.4051429407896,442.70666666666665,-1.0,-1.0,-1.0,-1.0
5,50.0,98.14,233.4,1003.42,0.53,6.15,1034.8713523912045,444.98666666666674,-1.0,-1.0,-1.0,-1.0
6,60.0,83.5,265.14,1008.3,0.58,6.44,1045.9160385040473,452.3133333333333,-1.0,-1.0,-1.0,-1.0
7,70.0,75.68,265.14,1012.21,0.62,6.24,1049.0928300679593,451.01,-1.0,-1.0,-1.0,-1.0
8,80.0,84.47,262.21,1003.91,0.66,6.47,1041.0209186659026,450.19666666666666,-1.0,-1.0,-1.0,-1.0
9,90.0,80.57,261.23,975.1,0.69,6.28,1012.6957330807708,438.9666666666667,-1.0,-1.0,-1.0,-1.0
10,100.0,78.12,299.8,977.54,0.72,6.29,1025.4595194350677,451.82,-1.0,-1.0,-1.0,-1.0
11,110.0,91.31,277.34,965.82,0.73,6.33,1008.9912111113754,444.82333333333327,-1.0,-1.0,-1.0,-1.0
12,120.0,86.43,297.85,963.87,0.73,6.16,1012.536490354792,449.3833333333334,-1.0,-1.0,-1.0,-1.0
13,130.0,87.89,312.99,963.38,0.71,6.19,1016.7538623482086,454.7533333333333,-1.0,-1.0,-1.0,-1.0
14,140.0,98.14,322.27,937.5,0.69,6.16,996.1905753920782,452.63666666666666,-1.0,-1.0,-1.0,-1.0
15,150.0,90.82,338.87,929.2,0.66,6.14,993.223937136032,452.96333333333337,-1.0,-1.0,-1.0,-1.0
16,160.0,97.66,337.4,911.13,0.62,6.43,976.4907129614701,448.73,-1.0,-1.0,-1.0,-1.0
17,170.0,114.75,367.68,903.81,0.57,6.28,982.4605137103474,462.08,-1.0,-1.0,-1.0,-1.0
18,180.0,104.98,366.21,895.51,0.53,6.29,973.1745601894862,455.56666666666666,-1.0,-1.0,-1.0,-1.0
19,190.0,88.38,389.16,876.46,0.49,6.17,963.0361683758301,451.33333333333326,-1.0,-1.0,-1.0,-1.0
20,200.0,110.35,393.55,872.07,0.44,6.34,963.1016612486972,458.6566666666667,-1.0,-1.0,-1.0,-1.0
21,210.0,109.37,406.25,853.52,0.4,6.12,951.5761923251337,456.38,-1.0,-1.0,-1.0,-1.0
22,220.0,111.82,427.73,845.21,0.36,6.54,953.8535576282137,461.5866666666666,-1.0,-1.0,-1.0,-1.0
23,230.0,95.7,434.08,826.17,0.32,6.29,938.1581984399006,451.9833333333333,-1.0,-1.0,-1.0,-1.0
24,240.0,76.66,461.91,813.96,0.29,6.32,939.02528469685,450.84333333333336,-1.0,-1.0,-1.0,-1.0
25,250.0,68.85,473.63,812.99,0.27,6.34,943.407886070495,451.82333333333327,-1.0,-1.0,-1.0,-1.0
26,260.0,45.41,467.77,812.01,0.24,6.39,938.2063105202394,441.73,-1.0,-1.0,-1.0,-1.0
27,270.0,51.27,470.7,811.04,0.23,6.05,939.1341674649047,444.3366666666666,-1.0,-1.0,-1.0,-1.0
28,280.0,44.92,490.23,788.09,0.22,6.45,929.20886102103,441.08,-1.0,-1.0,-1.0,-1.0
29,290.0,34.18,512.21,750.0,0.21,6.15,908.8604714146173,432.13,-1.0,-1.0,-1.0,-1.0
30,300.0,27.34,537.6,735.35,0.21,6.54,911.3181980515916,433.43,-1.0,-1.0,-1.0,-1.0
31,310.0,30.76,537.6,733.4,0.22,6.22,909.8546574041372,433.92,-1.0,-1.0,-1.0,-1.0
32,320.0,43.46,546.39,730.96,0.23,6.54,913.6374145688212,440.27,-1.0,-1.0,-1.0,-1.0
33,330.0,44.43,555.66,695.8,0.24,6.31,891.5546536808611,431.9633333333333,-1.0,-1.0,-1.0,-1.0
34,340.0,25.39,545.9,700.68,0.26,6.32,888.5966039210367,423.99,-1.0,-1.0,-1.0,-1.0
35,350.0,17.58,573.24,664.06,0.27,6.32,877.4330957970527,418.29333333333335,-1.0,-1.0,-1.0,-1.0
36,360.0,10.74,619.63,649.41,0.29,6.28,897.6580822339873,426.5933333333333,-1.0,-1.0,-1.0,-1.0
37,370.0,11.23,600.1,676.76,0.3,6.37,904.5718437470847,429.36333333333334,-1.0,-1.0,-1.0,-1.0
38,380.0,-7.81,624.51,685.55,0.32,6.45,927.3901760855568,439.29,-1.0,-1.0,-1.0,-1.0
39,390.0,-31.25,641.11,699.71,0.33,6.33,949.5223423911624,457.35666666666674,-1.0,-1.0,-1.0,-1.0
40,400.0,-40.53,631.35,687.99,0.34,6.22,934.6527395241507,453.29,-1.0,-1.0,-1.0,-1.0
41,410.0,-62.99,667.97,667.48,0.35,6.35,946.404359351752,466.1466666666667,-1.0,-1.0,-1.0,-1.0
