,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,216.31,110.35,952.64,0.59,5.32,983.102287760536,426.4333333333333,-1.0,-1.0,-1.0,-1.0
1,10.0,233.4,118.16,955.08,0.57,5.26,990.2601435986404,435.54666666666674,-1.0,-1.0,-1.0,-1.0
2,20.0,221.68,102.54,943.36,0.54,5.36,974.466296800459,422.5266666666666,-1.0,-1.0,-1.0,-1.0
3,30.0,222.17,106.93,957.52,0.52,5.24,988.7558263797994,428.8733333333333,-1.0,-1.0,-1.0,-1.0
4,40.0,239.26,114.26,955.08,0.49,5.18,991.2005355123656,436.2,-1.0,-1.0,-1.0,-1.0
5,50.0,215.82,108.89,957.52,0.46,5.18,987.562582776403,427.41,-1.0,-1.0,-1.0,-1.0
6,60.0,215.33,100.59,960.94,0.44,5.27,989.8944593238209,425.62000000000006,-1.0,-1.0,-1.0,-1.0
7,70.0,221.19,101.56,969.73,0.42,5.22,999.8078428378124,430.82666666666665,-1.0,-1.0,-1.0,-1.0
8,80.0,208.01,109.86,957.52,0.41,5.37,985.9928651364572,425.13,-1.0,-1.0,-1.0,-1.0
9,90.0,225.59,108.89,965.82,0.4,5.19,997.7756023274974,433.43333333333334,-1.0,-1.0,-1.0,-1.0
10,100.0,225.1,116.21,962.4,0.39,5.3,995.1826636854163,434.57,-1.0,-1.0,-1.0,-1.0
11,110.0,225.59,109.37,954.59,0.38,5.13,986.9623666077647,429.85000000000014,-1.0,-1.0,-1.0,-1.0
12,120.0,211.43,107.42,966.31,0.37,5.27,994.9857875366864,428.38666666666666,-1.0,-1.0,-1.0,-1.0
13,130.0,208.5,104.49,958.5,0.37,5.18,986.4647282594548,423.83,-1.0,-1.0,-1.0,-1.0
14,140.0,220.21,103.03,971.68,0.37,5.31,1001.6334895559352,431.64,-1.0,-1.0,-1.0,-1.0
15,150.0,225.59,107.91,958.5,0.37,5.21,990.58450734907,430.66666666666674,-1.0,-1.0,-1.0,-1.0
16,160.0,237.79,112.79,959.96,0.37,5.19,995.3837801571814,436.8466666666666,-1.0,-1.0,-1.0,-1.0
17,170.0,231.45,96.68,953.12,0.38,5.4,985.5728584432508,427.08333333333326,-1.0,-1.0,-1.0,-1.0
18,180.0,227.54,97.17,969.24,0.38,5.23,1000.3212674436148,431.31666666666666,-1.0,-1.0,-1.0,-1.0
19,190.0,225.1,96.68,942.87,0.39,5.29,974.1770215417731,421.55,-1.0,-1.0,-1.0,-1.0
20,200.0,222.66,108.89,958.5,0.4,5.27,990.0286650900567,430.01666666666665,-1.0,-1.0,-1.0,-1.0
21,210.0,223.14,116.21,953.12,0.41,5.19,985.7656709888004,430.82333333333327,-1.0,-1.0,-1.0,-1.0
22,220.0,215.82,117.19,966.31,0.41,5.28,997.0289788165636,433.1066666666666,-1.0,-1.0,-1.0,-1.0
23,230.0,225.59,116.21,958.5,0.42,5.26,991.5230013469177,433.4333333333333,-1.0,-1.0,-1.0,-1.0
24,240.0,218.75,112.79,966.31,0.43,5.28,997.1600486882736,432.6166666666666,-1.0,-1.0,-1.0,-1.0
25,250.0,212.4,105.96,965.33,0.43,5.19,994.0841465892113,427.8966666666667,-1.0,-1.0,-1.0,-1.0
26,260.0,223.63,108.4,961.43,0.43,5.29,993.0300004531584,431.15333333333336,-1.0,-1.0,-1.0,-1.0
27,270.0,215.33,113.28,962.89,0.44,5.17,993.1548315343384,430.5,-1.0,-1.0,-1.0,-1.0
28,280.0,221.68,110.35,968.75,0.44,5.36,999.8978484825336,433.5933333333333,-1.0,-1.0,-1.0,-1.0
29,290.0,219.73,99.61,956.05,0.44,5.15,986.019790622886,425.13,-1.0,-1.0,-1.0,-1.0
30,300.0,219.24,109.86,953.12,0.44,5.18,984.1611309130228,427.4066666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,226.56,111.33,951.17,0.44,5.19,984.097643224492,429.68666666666667,-1.0,-1.0,-1.0,-1.0
32,320.0,212.4,122.07,960.45,0.44,5.22,991.2008108350196,431.64,-1.0,-1.0,-1.0,-1.0
33,330.0,210.45,104.0,963.38,0.43,5.26,991.5675604314616,425.94333333333327,-1.0,-1.0,-1.0,-1.0
34,340.0,224.61,107.42,960.45,0.43,5.32,992.1960043257584,430.82666666666665,-1.0,-1.0,-1.0,-1.0
35,350.0,225.1,114.26,958.5,0.43,5.12,991.1849512578366,432.62000000000006,-1.0,-1.0,-1.0,-1.0
36,360.0,219.24,94.73,964.36,0.42,5.22,993.4939154821233,426.11,-1.0,-1.0,-1.0,-1.0
37,370.0,233.4,116.21,968.75,0.42,5.19,1003.2232486341212,439.4533333333334,-1.0,-1.0,-1.0,-1.0
38,380.0,232.42,99.12,959.47,0.41,5.28,992.1827007663459,430.3366666666666,-1.0,-1.0,-1.0,-1.0
39,390.0,217.77,101.07,970.21,0.41,5.22,999.4730421076899,429.68333333333334,-1.0,-1.0,-1.0,-1.0
40,400.0,210.94,109.37,957.03,0.41,5.22,986.0851390219811,425.78,-1.0,-1.0,-1.0,-1.0
41,410.0,217.77,103.52,953.61,0.41,5.24,983.6219778959802,424.9666666666667,-1.0,-1.0,-1.0,-1.0
42,420.0,218.26,104.98,965.33,0.4,5.24,995.2488316496533,429.52333333333337,-1.0,-1.0,-1.0,-1.0
43,430.0,215.82,112.79,953.61,0.4,5.19,984.21130282069,427.4066666666667,-1.0,-1.0,-1.0,-1.0
44,440.0,211.91,114.26,957.03,0.4,5.24,986.8473116951781,427.73333333333335,-1.0,-1.0,-1.0,-1.0
45,450.0,229.49,97.66,968.75,0.39,5.24,1000.3397913709123,431.9666666666667,-1.0,-1.0,-1.0,-1.0
46,460.0,215.82,117.68,960.45,0.39,5.25,991.4086227686341,431.31666666666666,-1.0,-1.0,-1.0,-1.0
47,470.0,210.45,114.75,952.15,0.39,5.19,981.8586392653476,425.7833333333333,-1.0,-1.0,-1.0,-1.0
48,480.0,224.12,111.82,964.84,0.39,5.27,996.8197993619507,433.5933333333333,-1.0,-1.0,-1.0,-1.0
49,490.0,210.45,105.47,967.77,0.39,5.18,995.987899675493,427.8966666666667,-1.0,-1.0,-1.0,-1.0
50,500.0,219.73,120.12,961.91,0.39,5.19,993.9723011231247,433.92,-1.0,-1.0,-1.0,-1.0
51,510.0,223.14,108.89,968.75,0.39,5.18,1000.0625251453032,433.5933333333333,-1.0,-1.0,-1.0,-1.0
52,520.0,218.26,103.03,964.84,0.4,5.22,994.5696728233777,428.71,-1.0,-1.0,-1.0,-1.0
53,530.0,230.47,98.14,958.98,0.4,5.16,991.1561536407874,429.1966666666667,-1.0,-1.0,-1.0,-1.0
54,540.0,221.19,112.3,955.08,0.4,5.32,986.7695336298137,429.52333333333337,-1.0,-1.0,-1.0,-1.0
55,550.0,222.66,101.56,961.43,0.4,5.18,992.0884809834253,428.55,-1.0,-1.0,-1.0,-1.0
56,560.0,222.17,97.66,961.91,0.4,5.3,992.0523335993923,427.2466666666666,-1.0,-1.0,-1.0,-1.0
57,570.0,218.75,111.33,959.47,0.4,5.26,990.3679176447508,429.85,-1.0,-1.0,-1.0,-1.0
58,580.0,211.91,110.35,961.43,0.4,5.37,990.67180009325,427.8966666666667,-1.0,-1.0,-1.0,-1.0
59,590.0,220.7,104.49,955.57,0.4,5.24,986.276165685859,426.92,-1.0,-1.0,-1.0,-1.0
60,600.0,221.19,93.26,966.8,0.4,5.33,996.1549496438794,427.08333333333326,-1.0,-1.0,-1.0,-1.0
61,610.0,218.75,103.03,948.73,0.4,5.11,979.0584029055673,423.5033333333333,-1.0,-1.0,-1.0,-1.0
62,620.0,227.05,104.49,962.89,0.4,5.01,994.799987283876,431.47666666666674,-1.0,-1.0,-1.0,-1.0
63,630.0,225.59,105.96,947.75,0.4,5.18,979.9736895447757,426.4333333333333,-1.0,-1.0,-1.0,-1.0
64,640.0,216.31,105.47,968.26,0.4,5.49,997.7180787176303,430.01333333333326,-1.0,-1.0,-1.0,-1.0
65,650.0,224.12,113.77,960.45,0.4,5.17,992.7928232012962,432.78,-1.0,-1.0,-1.0,-1.0
66,660.0,222.66,104.98,954.59,0.4,5.18,985.8196306120101,427.41,-1.0,-1.0,-1.0,-1.0
67,670.0,219.73,106.93,949.22,0.4,5.18,980.1703455012296,425.29333333333335,-1.0,-1.0,-1.0,-1.0
68,680.0,227.05,101.56,956.54,0.41,5.27,988.3495877977588,428.3833333333334,-1.0,-1.0,-1.0,-1.0
69,690.0,218.26,114.75,952.15,0.41,5.27,983.562205760266,428.38666666666666,-1.0,-1.0,-1.0,-1.0
70,700.0,222.66,102.05,955.57,0.41,5.22,986.4612019740056,426.76,-1.0,-1.0,-1.0,-1.0
71,710.0,237.3,124.02,949.22,0.41,5.19,986.2610500268173,436.8466666666666,-1.0,-1.0,-1.0,-1.0
72,720.0,226.07,114.26,960.45,0.41,5.29,993.2910927819701,433.5933333333333,-1.0,-1.0,-1.0,-1.0
73,730.0,215.82,117.68,967.29,0.41,5.18,998.0364717283632,433.5966666666666,-1.0,-1.0,-1.0,-1.0
74,740.0,222.17,108.89,961.43,0.42,5.29,992.7558541252727,430.83,-1.0,-1.0,-1.0,-1.0
75,750.0,215.82,113.28,970.21,0.43,5.11,1000.3589730191858,433.1033333333333,-1.0,-1.0,-1.0,-1.0
76,760.0,217.77,105.47,965.82,0.44,5.21,995.6686025982742,429.68666666666667,-1.0,-1.0,-1.0,-1.0
77,770.0,220.7,120.61,964.36,0.46,5.24,996.617013551344,435.22333333333336,-1.0,-1.0,-1.0,-1.0
78,780.0,229.0,103.52,956.54,0.48,5.37,989.0026097033312,429.68666666666667,-1.0,-1.0,-1.0,-1.0
