,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-437.5,-530.27,712.4,0.0,0.12,990.0031731767328,560.0566666666667,-1.0,-1.0,-1.0,-1.0
1,10.0,-492.68,-497.56,625.49,0.0,0.3,938.9021653505757,538.5766666666667,-1.0,-1.0,-1.0,-1.0
2,20.0,-537.11,-442.38,551.76,0.0,0.13,888.0463468198043,510.41666666666674,-1.0,-1.0,-1.0,-1.0
3,30.0,-573.24,-389.65,504.88,0.0,0.29,857.5167838007603,489.25666666666666,-1.0,-1.0,-1.0,-1.0
4,40.0,-611.33,-339.36,469.73,0.0,0.12,842.3395107674813,473.47333333333336,-1.0,-1.0,-1.0,-1.0
5,50.0,-687.99,-311.52,481.93,0.0,0.29,895.8970227654518,493.8133333333333,-1.0,-1.0,-1.0,-1.0
6,60.0,-739.26,-308.11,486.82,0.0,0.13,937.2464094889881,511.39666666666665,-1.0,-1.0,-1.0,-1.0
7,70.0,-750.49,-301.27,519.04,0.0,0.29,960.9377579219166,523.6,-1.0,-1.0,-1.0,-1.0
8,80.0,-790.04,-291.5,528.81,0.0,0.13,994.371896073094,536.7833333333333,-1.0,-1.0,-1.0,-1.0
9,90.0,-784.67,-301.76,573.73,0.0,0.33,1017.8075551890936,553.3866666666668,-1.0,-1.0,-1.0,-1.0
10,100.0,-775.39,-299.8,589.84,0.0,0.11,1019.3237550945233,555.0100000000001,-1.0,-1.0,-1.0,-1.0
11,110.0,-729.0,-295.41,618.16,0.0,0.29,1000.4148408035537,547.5233333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,-688.96,-262.7,666.02,0.0,0.1,993.6094866696876,539.2266666666667,-1.0,-1.0,-1.0,-1.0
13,130.0,-640.14,-281.74,695.8,0.0,0.29,986.5567835659537,539.2266666666667,-1.0,-1.0,-1.0,-1.0
14,140.0,-612.79,-277.34,718.26,0.0,0.16,984.0358160656552,536.13,-1.0,-1.0,-1.0,-1.0
15,150.0,-559.08,-273.44,768.07,0.0,0.27,988.5703843935443,533.5300000000002,-1.0,-1.0,-1.0,-1.0
16,160.0,-516.11,-250.98,786.62,0.0,0.1,973.720451104936,517.9033333333333,-1.0,-1.0,-1.0,-1.0
17,170.0,-446.29,-226.07,796.87,0.0,0.28,940.8954277176607,489.7433333333333,-1.0,-1.0,-1.0,-1.0
18,180.0,-445.31,-215.33,764.16,0.0,0.0,910.2793585487918,474.9333333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,-457.03,-226.56,724.12,0.0,0.26,885.7514487145927,469.23666666666674,-1.0,-1.0,-1.0,-1.0
20,200.0,-496.09,-232.91,703.12,0.0,0.1,891.4763544817102,477.3733333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,-584.96,-231.45,673.83,0.0,0.23,921.8428136076128,496.7466666666667,-1.0,-1.0,-1.0,-1.0
22,220.0,-631.35,-267.58,703.61,0.0,0.13,982.4809977806187,534.18,-1.0,-1.0,-1.0,-1.0
23,230.0,-685.55,-290.04,723.63,0.0,0.3,1038.1437188559205,566.4066666666666,-1.0,-1.0,-1.0,-1.0
24,240.0,-704.59,-327.64,736.82,0.0,0.12,1070.8402075473261,589.6833333333334,-1.0,-1.0,-1.0,-1.0
25,250.0,-674.8,-321.78,743.65,0.0,0.26,1054.4727264846638,580.0766666666667,-1.0,-1.0,-1.0,-1.0
26,260.0,-667.97,-323.24,738.28,0.0,0.1,1046.76901793089,576.4966666666667,-1.0,-1.0,-1.0,-1.0
27,270.0,-667.97,-305.66,735.35,0.0,0.3,1039.3996243024144,569.66,-1.0,-1.0,-1.0,-1.0
28,280.0,-648.44,-297.36,709.47,0.0,0.1,1006.1039131719943,551.7566666666668,-1.0,-1.0,-1.0,-1.0
29,290.0,-639.65,-277.34,678.71,0.0,0.29,972.9937626727112,531.9,-1.0,-1.0,-1.0,-1.0
30,300.0,-628.42,-262.21,673.83,0.0,0.18,957.9731986856416,521.4866666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-622.07,-251.46,671.87,0.0,0.25,949.5327869010106,515.1333333333333,-1.0,-1.0,-1.0,-1.0
32,320.0,-611.33,-238.77,652.83,0.0,0.09,925.701080641046,500.97666666666674,-1.0,-1.0,-1.0,-1.0
33,330.0,-611.82,-238.77,641.11,0.0,0.26,917.8000094791893,497.23333333333335,-1.0,-1.0,-1.0,-1.0
34,340.0,-630.86,-225.59,612.79,0.0,0.1,907.9574724622294,489.7466666666666,-1.0,-1.0,-1.0,-1.0
35,350.0,-652.83,-204.1,590.82,0.0,0.25,903.8318932744077,482.58333333333326,-1.0,-1.0,-1.0,-1.0
36,360.0,-659.18,-203.12,587.89,0.0,0.07,906.306051452819,483.3966666666667,-1.0,-1.0,-1.0,-1.0
37,370.0,-679.2,-188.96,601.07,0.0,0.23,926.4467963677138,489.7433333333333,-1.0,-1.0,-1.0,-1.0
38,380.0,-682.62,-204.1,630.86,0.0,0.1,951.6360722461079,505.86,-1.0,-1.0,-1.0,-1.0
39,390.0,-705.08,-251.95,695.8,0.0,0.23,1022.1322071532626,550.9433333333333,-1.0,-1.0,-1.0,-1.0
40,400.0,-679.69,-295.9,765.14,0.0,0.08,1065.3518318846598,580.2433333333332,-1.0,-1.0,-1.0,-1.0
41,410.0,-626.46,-323.73,847.66,0.0,0.23,1102.6244692097123,599.2833333333333,-1.0,-1.0,-1.0,-1.0
42,420.0,-572.75,-348.14,893.55,0.0,0.08,1116.9940127861025,604.8133333333334,-1.0,-1.0,-1.0,-1.0
43,430.0,-496.09,-350.59,939.94,0.0,0.24,1119.1540733071563,595.54,-1.0,-1.0,-1.0,-1.0
44,440.0,-468.26,-347.17,974.12,0.0,0.09,1135.2110864944898,596.5166666666668,-1.0,-1.0,-1.0,-1.0
45,450.0,-486.82,-328.61,979.49,0.0,0.21,1142.0940874551447,598.3066666666667,-1.0,-1.0,-1.0,-1.0
46,460.0,-475.1,-346.19,953.12,0.0,0.1,1119.8237631431116,591.4699999999998,-1.0,-1.0,-1.0,-1.0
47,470.0,-481.45,-325.68,915.04,0.0,0.23,1084.0478617201363,574.0566666666667,-1.0,-1.0,-1.0,-1.0
48,480.0,-520.51,-312.5,904.3,0.0,0.1,1089.1948402834084,579.1033333333334,-1.0,-1.0,-1.0,-1.0
