,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-1092.77,83.5,511.72,0.0,0.0,1209.5353989445698,562.6633333333333,-1.0,-1.0,-1.0,-1.0
1,10.0,-1057.62,96.68,464.84,0.0,0.0,1159.3029424615465,539.7133333333333,-1.0,-1.0,-1.0,-1.0
2,20.0,-998.54,106.93,405.27,0.0,0.0,1082.9404089791828,503.58,-1.0,-1.0,-1.0,-1.0
3,30.0,-995.61,137.21,353.03,0.0,0.0,1065.2211212231948,495.2833333333333,-1.0,-1.0,-1.0,-1.0
4,40.0,-984.86,159.67,294.43,0.0,0.0,1040.2560999100174,479.65333333333336,-1.0,-1.0,-1.0,-1.0
5,50.0,-998.05,138.18,288.57,0.0,0.0,1048.0792717156464,474.9333333333333,-1.0,-1.0,-1.0,-1.0
6,60.0,-1009.77,137.7,295.9,0.0,0.0,1061.2038225053661,481.1233333333333,-1.0,-1.0,-1.0,-1.0
7,70.0,-1040.53,125.0,313.48,0.0,0.0,1093.8909412276894,493.0033333333333,-1.0,-1.0,-1.0,-1.0
8,80.0,-1055.18,137.21,301.27,0.0,0.0,1105.8910567501666,497.8866666666667,-1.0,-1.0,-1.0,-1.0
9,90.0,-1051.27,144.04,296.39,0.0,0.0,1101.7092023760174,497.2333333333333,-1.0,-1.0,-1.0,-1.0
10,100.0,-1128.42,161.13,322.27,0.0,0.0,1184.5473929733666,537.2733333333333,-1.0,-1.0,-1.0,-1.0
11,110.0,-1113.28,172.85,345.7,0.0,0.0,1178.4642425207476,543.9433333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,-1055.66,165.53,370.12,0.0,0.0,1130.8435041596165,530.4366666666666,-1.0,-1.0,-1.0,-1.0
13,130.0,-977.54,200.68,388.67,0.0,0.0,1070.9441082054657,522.2966666666667,-1.0,-1.0,-1.0,-1.0
14,140.0,-891.11,228.03,388.67,0.0,0.0,998.568516377319,502.60333333333335,-1.0,-1.0,-1.0,-1.0
15,150.0,-869.63,235.84,377.44,0.0,0.0,976.9021425403877,494.3033333333333,-1.0,-1.0,-1.0,-1.0
16,160.0,-915.04,-14.16,339.84,0.0,0.0,976.21203270601,423.01333333333326,-1.0,-1.0,-1.0,-1.0
17,170.0,-825.68,332.03,323.73,0.0,0.0,946.9912862323497,493.8133333333333,-1.0,-1.0,-1.0,-1.0
18,180.0,-717.77,459.47,348.63,0.0,0.0,920.7873428213487,508.6233333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,-933.11,60.55,382.81,0.0,0.0,1010.3979763934607,458.82333333333327,-1.0,-1.0,-1.0,-1.0
20,200.0,-715.82,262.7,364.75,0.0,0.0,845.2526988421864,447.75666666666666,-1.0,-1.0,-1.0,-1.0
21,210.0,-671.39,336.43,352.05,0.0,0.02,829.3906675988101,453.29,-1.0,-1.0,-1.0,-1.0
22,220.0,-812.01,282.71,357.91,0.0,0.01,931.3349302479747,484.21,-1.0,-1.0,-1.0,-1.0
23,230.0,-719.73,361.82,330.57,0.0,0.1,870.7476730947951,470.70666666666665,-1.0,-1.0,-1.0,-1.0
24,240.0,-545.9,372.07,367.68,0.0,0.0,756.0631437254431,428.55,-1.0,-1.0,-1.0,-1.0
25,250.0,-495.12,357.91,426.27,0.01,0.2,744.9493240482872,426.4333333333333,-1.0,-1.0,-1.0,-1.0
26,260.0,-530.27,414.55,470.21,0.03,0.49,821.0575007269588,471.67666666666673,-1.0,-1.0,-1.0,-1.0
27,270.0,-545.41,418.46,520.51,0.08,1.46,862.2711289379922,494.7933333333333,-1.0,-1.0,-1.0,-1.0
28,280.0,-556.15,427.73,553.22,0.12,2.48,893.4809140658798,512.3666666666667,-1.0,-1.0,-1.0,-1.0
29,290.0,-669.43,430.18,571.78,0.19,4.93,979.8590335859543,557.13,-1.0,-1.0,-1.0,-1.0
30,300.0,-702.15,427.73,557.13,0.19,2.18,993.1572948430676,562.3366666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-644.53,395.51,500.0,0.19,2.8,906.5578199982614,513.3466666666667,-1.0,-1.0,-1.0,-1.0
32,320.0,-611.82,428.71,467.29,0.16,2.72,881.1787109321242,502.6066666666666,-1.0,-1.0,-1.0,-1.0
33,330.0,-624.02,431.64,435.55,0.12,2.68,874.8816219923698,497.07,-1.0,-1.0,-1.0,-1.0
34,340.0,-670.9,420.41,423.34,0.14,2.19,897.8129725616577,504.88333333333327,-1.0,-1.0,-1.0,-1.0
35,350.0,-676.76,453.12,410.64,0.17,2.06,912.1113098739647,513.5066666666668,-1.0,-1.0,-1.0,-1.0
36,360.0,-646.48,478.03,423.83,0.18,1.97,908.8899494438257,516.1133333333332,-1.0,-1.0,-1.0,-1.0
