,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-1151.37,-224.61,578.61,0.0,0.07,1308.0107266761995,651.5300000000002,-1.0,-1.0,-1.0,-1.0
1,10.0,-1171.39,-235.84,589.84,0.0,0.07,1332.54878458539,665.69,-1.0,-1.0,-1.0,-1.0
2,20.0,-1166.02,-221.19,586.91,0.0,0.07,1324.0056663776027,658.04,-1.0,-1.0,-1.0,-1.0
3,30.0,-1146.0,-209.47,601.56,0.0,0.1,1311.1323787093354,652.3433333333334,-1.0,-1.0,-1.0,-1.0
4,40.0,-1077.64,-231.93,597.66,0.0,0.07,1253.9126644627208,635.7433333333332,-1.0,-1.0,-1.0,-1.0
5,50.0,-1037.11,-221.19,606.45,0.0,0.07,1221.5988583409858,621.5833333333334,-1.0,-1.0,-1.0,-1.0
6,60.0,-987.3,-196.29,633.79,0.0,0.08,1189.5296625977846,605.7933333333333,-1.0,-1.0,-1.0,-1.0
7,70.0,-968.26,-238.28,659.18,0.0,0.07,1195.3338690089895,621.9066666666666,-1.0,-1.0,-1.0,-1.0
8,80.0,-970.7,-208.5,702.64,0.0,0.07,1216.3197398710588,627.2800000000002,-1.0,-1.0,-1.0,-1.0
9,90.0,-1043.95,-204.59,768.07,0.0,0.08,1312.105253209513,672.2033333333334,-1.0,-1.0,-1.0,-1.0
10,100.0,-1044.43,-222.17,790.04,0.0,0.09,1328.2909076704545,685.5466666666667,-1.0,-1.0,-1.0,-1.0
11,110.0,-1054.2,-226.56,779.3,0.0,0.07,1330.40428577181,686.6866666666666,-1.0,-1.0,-1.0,-1.0
12,120.0,-1005.37,-220.21,766.6,0.0,0.08,1283.330370948962,664.06,-1.0,-1.0,-1.0,-1.0
13,130.0,-1035.16,-196.78,711.43,0.0,0.07,1271.381625988043,647.79,-1.0,-1.0,-1.0,-1.0
14,140.0,-1068.36,-174.8,708.98,0.0,0.08,1294.0636653580846,650.7133333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,-1003.91,-196.78,750.49,0.0,0.09,1268.7761412479351,650.3933333333333,-1.0,-1.0,-1.0,-1.0
16,160.0,-922.36,-206.54,810.06,0.0,0.07,1244.8308900408922,646.32,-1.0,-1.0,-1.0,-1.0
17,170.0,-887.21,-208.5,842.29,0.0,0.07,1240.994068559556,646.0,-1.0,-1.0,-1.0,-1.0
18,180.0,-950.68,-196.78,824.22,0.0,0.07,1273.5200976820115,657.2266666666667,-1.0,-1.0,-1.0,-1.0
19,190.0,-937.01,-201.66,754.39,0.0,0.07,1219.7371716070638,631.02,-1.0,-1.0,-1.0,-1.0
20,200.0,-911.13,-203.61,706.54,0.0,0.08,1170.8175266026724,607.0933333333334,-1.0,-1.0,-1.0,-1.0
21,210.0,-791.5,-181.15,713.87,0.0,0.08,1081.155839553207,562.1733333333333,-1.0,-1.0,-1.0,-1.0
22,220.0,-691.41,-192.38,768.07,0.0,0.07,1051.1847494137269,550.62,-1.0,-1.0,-1.0,-1.0
23,230.0,-654.79,-201.17,816.41,0.0,0.1,1065.7131889490718,557.4566666666666,-1.0,-1.0,-1.0,-1.0
24,240.0,-524.41,-244.63,854.98,0.0,0.09,1032.3955082234718,541.34,-1.0,-1.0,-1.0,-1.0
25,250.0,-431.64,-239.75,894.53,0.0,0.07,1021.7519625623432,521.9733333333334,-1.0,-1.0,-1.0,-1.0
26,260.0,-217.29,-259.77,938.48,0.0,0.08,997.7174486797353,471.8466666666666,-1.0,-1.0,-1.0,-1.0
27,270.0,-225.1,-252.44,959.47,0.0,0.09,1017.3390017590007,479.0033333333333,-1.0,-1.0,-1.0,-1.0
28,280.0,-205.57,-307.62,920.9,0.0,0.06,992.4444061507927,478.03,-1.0,-1.0,-1.0,-1.0
29,290.0,-202.15,-263.67,853.03,0.0,0.07,915.4488911457593,439.6166666666666,-1.0,-1.0,-1.0,-1.0
30,300.0,-281.25,-253.91,760.74,0.0,0.08,849.8806964509782,431.9666666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-157.23,-267.09,756.35,0.0,0.08,817.3883186711197,393.55666666666673,-1.0,-1.0,-1.0,-1.0
32,320.0,-26.37,-315.92,792.97,0.0,0.06,853.9919462149513,378.42,-1.0,-1.0,-1.0,-1.0
33,330.0,39.55,-339.36,833.98,0.0,0.07,901.2502718446193,404.29666666666674,-1.0,-1.0,-1.0,-1.0
34,340.0,136.23,-350.1,839.36,0.0,0.09,919.59438476972,441.8966666666667,-1.0,-1.0,-1.0,-1.0
35,350.0,169.43,-398.93,849.61,0.0,0.07,953.7760858293733,472.6566666666667,-1.0,-1.0,-1.0,-1.0
36,360.0,167.48,-416.5,780.76,0.0,0.08,900.6153329807347,454.91333333333336,-1.0,-1.0,-1.0,-1.0
37,370.0,218.75,-393.55,726.07,0.0,0.09,854.3481783792836,446.1233333333333,-1.0,-1.0,-1.0,-1.0
38,380.0,262.7,-420.41,714.36,0.0,0.08,869.5205964783122,465.82333333333327,-1.0,-1.0,-1.0,-1.0
39,390.0,354.0,-446.29,719.24,0.0,0.07,917.4949273429256,506.51,-1.0,-1.0,-1.0,-1.0
40,400.0,402.83,-458.5,740.72,0.0,0.08,959.771002531333,534.0166666666668,-1.0,-1.0,-1.0,-1.0
41,410.0,403.32,-489.75,786.62,0.0,0.09,1010.5904755636676,559.8966666666666,-1.0,-1.0,-1.0,-1.0
42,420.0,453.12,-532.23,855.96,0.0,0.08,1105.103628127245,613.77,-1.0,-1.0,-1.0,-1.0
