,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,284.67,-889.65,222.66,0.4,15.97,960.2560111761862,465.66,-1.0,-1.0,-1.0,-1.0
1,10.0,249.02,-922.85,215.33,0.4,12.54,979.8112531503198,462.4,-1.0,-1.0,-1.0,-1.0
2,20.0,297.36,-957.03,220.21,0.33,10.81,1026.0710670319088,491.5333333333333,-1.0,-1.0,-1.0,-1.0
3,30.0,333.5,-895.02,195.31,0.4,15.37,974.8995058466282,474.61,-1.0,-1.0,-1.0,-1.0
4,40.0,270.02,-914.55,190.43,0.4,12.48,972.4073672077973,458.33333333333326,-1.0,-1.0,-1.0,-1.0
5,50.0,316.41,-901.86,186.04,0.4,14.33,973.6927797308554,468.1033333333333,-1.0,-1.0,-1.0,-1.0
6,60.0,334.96,-887.7,221.68,0.41,12.7,974.346711391792,481.4466666666667,-1.0,-1.0,-1.0,-1.0
7,70.0,336.43,-833.01,200.68,0.41,12.6,920.5233660260884,456.7066666666667,-1.0,-1.0,-1.0,-1.0
8,80.0,347.17,-807.62,193.85,0.41,22.27,900.1971427415219,449.5466666666666,-1.0,-1.0,-1.0,-1.0
9,90.0,316.41,-816.89,178.71,0.42,12.17,894.0703687629962,437.3366666666666,-1.0,-1.0,-1.0,-1.0
10,100.0,317.87,-855.96,170.41,0.43,11.63,928.8425198062372,448.08,-1.0,-1.0,-1.0,-1.0
11,110.0,343.26,-902.83,179.69,0.43,9.15,982.4550537301947,475.2600000000001,-1.0,-1.0,-1.0,-1.0
12,120.0,309.08,-941.89,186.04,0.43,12.45,1008.6119670616645,479.0033333333333,-1.0,-1.0,-1.0,-1.0
13,130.0,314.94,-979.98,214.36,0.43,15.68,1051.4267514192322,503.09333333333336,-1.0,-1.0,-1.0,-1.0
14,140.0,299.32,-961.91,229.98,0.43,12.74,1033.3218815548232,497.07,-1.0,-1.0,-1.0,-1.0
15,150.0,320.8,-909.67,235.35,0.43,11.54,992.8755064961567,488.6066666666666,-1.0,-1.0,-1.0,-1.0
16,160.0,322.27,-867.19,233.89,0.43,17.36,954.2436696672397,474.45,-1.0,-1.0,-1.0,-1.0
17,170.0,332.03,-794.92,234.86,0.43,12.46,892.9170996794719,453.93666666666667,-1.0,-1.0,-1.0,-1.0
18,180.0,352.54,-740.72,235.35,0.44,11.05,853.42849290377,442.87,-1.0,-1.0,-1.0,-1.0
19,190.0,333.5,-721.68,216.31,0.44,9.8,823.9140055248483,423.82999999999987,-1.0,-1.0,-1.0,-1.0
20,200.0,341.8,-728.03,218.75,0.43,12.93,833.4905418779507,429.5266666666666,-1.0,-1.0,-1.0,-1.0
21,210.0,344.24,-755.86,228.03,0.43,11.02,861.2915871526902,442.71,-1.0,-1.0,-1.0,-1.0
22,220.0,333.5,-807.13,221.68,0.43,12.5,901.0122692283384,454.10333333333335,-1.0,-1.0,-1.0,-1.0
23,230.0,320.8,-862.79,241.7,0.42,12.89,951.702744610942,475.0966666666666,-1.0,-1.0,-1.0,-1.0
24,240.0,310.55,-926.27,272.46,0.42,15.04,1014.2247615790103,503.0933333333333,-1.0,-1.0,-1.0,-1.0
25,250.0,312.99,-926.76,306.64,0.42,12.41,1025.1219085064956,515.4633333333333,-1.0,-1.0,-1.0,-1.0
26,260.0,314.45,-940.92,334.47,0.42,11.44,1046.938121285112,529.9466666666666,-1.0,-1.0,-1.0,-1.0
27,270.0,319.34,-957.03,360.84,0.42,16.67,1071.4895996228802,545.7366666666667,-1.0,-1.0,-1.0,-1.0
28,280.0,312.99,-926.27,380.86,0.42,12.21,1049.2822273344764,540.04,-1.0,-1.0,-1.0,-1.0
29,290.0,302.73,-881.84,385.25,0.44,11.96,1008.8135610706273,523.2733333333333,-1.0,-1.0,-1.0,-1.0
30,300.0,295.41,-837.89,408.69,0.45,15.45,977.9336563898394,513.9966666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,295.41,-803.71,403.32,0.46,12.14,946.5114128207857,500.8133333333333,-1.0,-1.0,-1.0,-1.0
32,320.0,290.53,-779.3,393.07,0.48,10.53,919.9022751357884,487.63333333333327,-1.0,-1.0,-1.0,-1.0
33,330.0,259.28,-777.83,364.26,0.48,10.81,897.1794552373566,467.12333333333333,-1.0,-1.0,-1.0,-1.0
