,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-213.38,37.6,1041.99,0.0,0.2,1064.2781330554528,430.99,-1.0,-1.0,-1.0,-1.0
1,10.0,-244.63,36.62,1041.5,0.0,0.1,1070.470509308874,440.91666666666674,-1.0,-1.0,-1.0,-1.0
2,20.0,-242.19,32.23,1020.51,0.0,0.2,1049.3500031448038,431.6433333333334,-1.0,-1.0,-1.0,-1.0
3,30.0,-247.07,31.25,1006.84,0.0,0.1,1037.1822081968048,428.3866666666667,-1.0,-1.0,-1.0,-1.0
4,40.0,-256.35,46.39,984.37,0.0,0.21,1018.2591278746288,429.0366666666667,-1.0,-1.0,-1.0,-1.0
5,50.0,-245.12,4.88,958.98,0.0,0.1,989.8233525230652,402.9933333333333,-1.0,-1.0,-1.0,-1.0
6,60.0,-242.19,21.0,924.32,0.0,0.2,955.753346057444,395.8366666666666,-1.0,-1.0,-1.0,-1.0
7,70.0,-186.52,21.48,905.76,0.0,0.1,925.01474496356,371.2533333333333,-1.0,-1.0,-1.0,-1.0
8,80.0,-201.17,44.92,925.29,0.0,0.2,947.9708642147183,390.46,-1.0,-1.0,-1.0,-1.0
9,90.0,-221.19,27.83,942.38,0.0,0.11,968.3902051342734,397.1333333333334,-1.0,-1.0,-1.0,-1.0
10,100.0,-249.51,12.7,963.38,0.0,0.19,995.2474840460536,408.53,-1.0,-1.0,-1.0,-1.0
11,110.0,-264.16,11.72,982.91,0.0,0.1,1017.8555556168076,419.5966666666666,-1.0,-1.0,-1.0,-1.0
12,120.0,-246.09,17.09,980.96,0.0,0.21,1011.5012989611038,414.71333333333337,-1.0,-1.0,-1.0,-1.0
13,130.0,-225.1,7.32,967.29,0.0,0.1,993.1633986912727,399.90333333333336,-1.0,-1.0,-1.0,-1.0
14,140.0,-222.17,-14.16,971.19,0.0,0.2,996.3784575150148,402.50666666666666,-1.0,-1.0,-1.0,-1.0
15,150.0,-241.21,3.42,984.86,0.0,0.1,1013.9739543499134,409.83,-1.0,-1.0,-1.0,-1.0
16,160.0,-260.25,3.42,991.21,0.0,0.18,1024.8117012407697,418.29333333333335,-1.0,-1.0,-1.0,-1.0
17,170.0,-268.07,-5.37,1005.86,0.0,0.1,1040.9825653679318,426.4333333333333,-1.0,-1.0,-1.0,-1.0
18,180.0,-242.19,-14.65,991.7,0.0,0.19,1020.9502968313394,416.18,-1.0,-1.0,-1.0,-1.0
19,190.0,-258.79,8.3,974.12,0.0,0.1,1007.9439113859461,413.73666666666674,-1.0,-1.0,-1.0,-1.0
20,200.0,-286.13,-11.72,958.5,0.0,0.18,1000.3649260644836,418.7833333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,-242.19,-5.37,982.42,0.0,0.1,1011.8467717001423,409.9933333333333,-1.0,-1.0,-1.0,-1.0
22,220.0,-259.77,-7.32,976.07,0.0,0.21,1010.072611350293,414.3866666666667,-1.0,-1.0,-1.0,-1.0
