,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-404.79,-967.77,239.75,0.0,0.02,1076.0640220265707,537.4366666666666,-1.0,-1.0,-1.0,-1.0
1,10.0,-402.83,-898.44,223.63,0.0,0.01,1009.6914476215,508.3,-1.0,-1.0,-1.0,-1.0
2,20.0,-377.93,-913.09,222.17,0.0,0.02,1012.8790361637464,504.3966666666667,-1.0,-1.0,-1.0,-1.0
3,30.0,-375.49,-919.43,218.75,0.0,0.02,1016.9541914462027,504.55666666666673,-1.0,-1.0,-1.0,-1.0
4,40.0,-382.81,-912.6,226.07,0.0,0.03,1015.1304847161276,507.16,-1.0,-1.0,-1.0,-1.0
5,50.0,-383.3,-900.88,226.56,0.0,0.01,1004.9045218327957,503.58,-1.0,-1.0,-1.0,-1.0
6,60.0,-332.03,-859.37,242.68,0.0,0.01,952.7089273225059,478.0266666666667,-1.0,-1.0,-1.0,-1.0
7,70.0,-396.0,-903.32,201.17,0.0,0.01,1006.6143210286647,500.16333333333336,-1.0,-1.0,-1.0,-1.0
8,80.0,-396.48,-957.03,206.05,0.0,0.01,1056.2004609921357,519.8533333333334,-1.0,-1.0,-1.0,-1.0
9,90.0,-324.22,-848.63,188.96,0.0,0.01,927.8994379241752,453.93666666666667,-1.0,-1.0,-1.0,-1.0
10,100.0,-320.8,-886.23,171.39,0.0,0.02,957.9617868161548,459.47333333333336,-1.0,-1.0,-1.0,-1.0
11,110.0,-380.37,-886.23,172.85,0.0,0.01,979.7765420237413,479.81666666666666,-1.0,-1.0,-1.0,-1.0
12,120.0,-323.24,-878.91,169.43,0.0,0.01,951.6687504588978,457.1933333333334,-1.0,-1.0,-1.0,-1.0
13,130.0,-284.67,-854.98,180.18,0.0,0.0,918.9628075716665,439.9433333333334,-1.0,-1.0,-1.0,-1.0
14,140.0,-299.8,-883.3,179.69,0.0,0.01,949.9407487312036,454.26333333333326,-1.0,-1.0,-1.0,-1.0
15,150.0,-298.34,-872.56,182.13,0.0,0.02,939.9675771535952,451.00999999999993,-1.0,-1.0,-1.0,-1.0
16,160.0,-268.55,-851.56,183.59,0.0,0.02,911.5803991969113,434.56666666666666,-1.0,-1.0,-1.0,-1.0
17,170.0,-267.09,-861.82,186.04,0.0,0.01,921.239199176848,438.31666666666666,-1.0,-1.0,-1.0,-1.0
18,180.0,-272.95,-855.96,184.08,0.0,0.02,917.0903284300844,437.66333333333336,-1.0,-1.0,-1.0,-1.0
19,190.0,-277.83,-833.98,178.71,0.0,0.0,897.0225266959578,430.17333333333335,-1.0,-1.0,-1.0,-1.0
20,200.0,-271.48,-817.38,187.5,0.0,0.01,881.4577158321323,425.4533333333334,-1.0,-1.0,-1.0,-1.0
21,210.0,-279.79,-830.57,195.8,0.0,0.01,898.0348595683802,435.3866666666667,-1.0,-1.0,-1.0,-1.0
22,220.0,-274.9,-862.3,192.87,0.0,0.02,925.381076584128,443.35666666666657,-1.0,-1.0,-1.0,-1.0
23,230.0,-286.62,-869.63,204.1,0.0,0.01,938.1173547589876,453.45,-1.0,-1.0,-1.0,-1.0
24,240.0,-282.71,-880.86,208.98,0.0,0.01,948.4260245796717,457.51666666666665,-1.0,-1.0,-1.0,-1.0
25,250.0,-268.07,-879.88,209.47,0.0,0.01,943.3599632165867,452.47333333333336,-1.0,-1.0,-1.0,-1.0
26,260.0,-271.97,-901.37,210.45,0.0,0.02,964.7407736278177,461.2633333333334,-1.0,-1.0,-1.0,-1.0
27,270.0,-279.3,-907.23,198.24,0.0,0.01,969.7287561478211,461.59,-1.0,-1.0,-1.0,-1.0
28,280.0,-267.09,-926.76,200.2,0.0,0.01,985.0386823368918,464.6833333333333,-1.0,-1.0,-1.0,-1.0
29,290.0,-283.2,-935.06,211.91,0.0,0.01,999.7226073766659,476.72333333333336,-1.0,-1.0,-1.0,-1.0
30,300.0,-273.93,-966.31,215.33,0.0,0.02,1027.2096523592443,485.19,-1.0,-1.0,-1.0,-1.0
