,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,166.02,-943.85,267.09,0.44,6.81,994.8630714827043,458.98666666666674,-1.0,-1.0,-1.0,-1.0
1,10.0,164.06,-958.98,261.72,0.44,6.98,1007.4997183126159,461.5866666666666,-1.0,-1.0,-1.0,-1.0
2,20.0,159.67,-957.52,262.7,0.44,6.76,1005.6591615950208,459.96333333333337,-1.0,-1.0,-1.0,-1.0
3,30.0,169.43,-955.57,275.88,0.44,6.9,1008.9253313303219,466.96,-1.0,-1.0,-1.0,-1.0
4,40.0,154.3,-956.54,268.55,0.44,6.8,1005.4334210180203,459.7966666666666,-1.0,-1.0,-1.0,-1.0
5,50.0,166.02,-949.71,266.11,0.44,6.86,1000.1631149967493,460.61333333333334,-1.0,-1.0,-1.0,-1.0
6,60.0,166.5,-960.94,256.84,0.44,6.85,1008.5111398492336,461.42666666666673,-1.0,-1.0,-1.0,-1.0
7,70.0,172.36,-944.82,260.74,0.44,6.89,995.1774462878467,459.30666666666673,-1.0,-1.0,-1.0,-1.0
8,80.0,181.64,-958.98,265.62,0.44,6.74,1011.5284051374927,468.7466666666666,-1.0,-1.0,-1.0,-1.0
9,90.0,172.85,-955.08,260.25,0.44,6.85,1004.880585641896,462.72666666666674,-1.0,-1.0,-1.0,-1.0
10,100.0,175.29,-959.96,265.62,0.44,6.77,1011.3376143009809,466.95666666666665,-1.0,-1.0,-1.0,-1.0
11,110.0,169.43,-945.31,268.55,0.44,6.87,997.2144320556135,461.0966666666666,-1.0,-1.0,-1.0,-1.0
12,120.0,177.73,-953.61,261.72,0.45,6.68,1004.7175440888848,464.3533333333333,-1.0,-1.0,-1.0,-1.0
13,130.0,166.99,-959.47,265.14,0.45,6.95,1009.3401609962816,463.8666666666666,-1.0,-1.0,-1.0,-1.0
14,140.0,172.36,-963.87,264.16,0.45,6.71,1014.166580054776,466.79666666666674,-1.0,-1.0,-1.0,-1.0
15,150.0,169.92,-954.1,253.91,0.45,6.88,1001.8232900566845,459.31,-1.0,-1.0,-1.0,-1.0
16,160.0,158.2,-978.03,268.07,0.45,6.74,1026.3680849480852,468.1,-1.0,-1.0,-1.0,-1.0
17,170.0,168.95,-965.82,255.37,0.45,6.45,1013.1960381880696,463.38,-1.0,-1.0,-1.0,-1.0
18,180.0,175.78,-951.66,261.72,0.45,6.64,1002.5231779864245,463.0533333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,174.8,-953.12,260.25,0.45,6.77,1003.3557877941403,462.72333333333336,-1.0,-1.0,-1.0,-1.0
20,200.0,166.02,-952.64,252.44,0.45,6.74,999.4056051473796,457.03333333333336,-1.0,-1.0,-1.0,-1.0
21,210.0,173.83,-949.22,257.81,0.45,6.84,998.8500755368647,460.2866666666666,-1.0,-1.0,-1.0,-1.0
22,220.0,173.34,-957.03,253.42,0.44,6.76,1005.0745608660086,461.26333333333326,-1.0,-1.0,-1.0,-1.0
23,230.0,160.16,-963.87,259.77,0.44,6.88,1011.0277223696687,461.26666666666665,-1.0,-1.0,-1.0,-1.0
24,240.0,161.62,-968.75,255.86,0.44,6.66,1014.9196650474362,462.07666666666665,-1.0,-1.0,-1.0,-1.0
25,250.0,168.46,-959.47,253.42,0.44,6.93,1006.5699920522168,460.4500000000001,-1.0,-1.0,-1.0,-1.0
26,260.0,171.39,-955.08,255.86,0.44,6.68,1003.5022063254272,460.7766666666666,-1.0,-1.0,-1.0,-1.0
27,270.0,169.92,-966.31,247.07,0.44,6.93,1011.7664786896232,461.1,-1.0,-1.0,-1.0,-1.0
28,280.0,168.95,-950.68,235.84,0.44,6.77,993.9602962392412,451.82333333333327,-1.0,-1.0,-1.0,-1.0
29,290.0,162.6,-951.17,261.23,0.44,6.86,999.7020765208003,458.33333333333326,-1.0,-1.0,-1.0,-1.0
30,300.0,173.34,-946.29,249.02,0.44,6.77,993.7416566190633,456.2166666666666,-1.0,-1.0,-1.0,-1.0
31,310.0,160.64,-955.08,242.68,0.45,6.85,998.4370778371564,452.8,-1.0,-1.0,-1.0,-1.0
32,320.0,168.95,-969.24,271.0,0.45,6.81,1020.4956051350737,469.73,-1.0,-1.0,-1.0,-1.0
33,330.0,177.25,-958.5,251.95,0.45,6.85,1006.7862806971498,462.56666666666666,-1.0,-1.0,-1.0,-1.0
34,340.0,167.48,-973.63,260.74,0.45,6.73,1021.7584229650372,467.2833333333333,-1.0,-1.0,-1.0,-1.0
35,350.0,152.34,-953.12,245.61,0.45,6.88,995.9766473667944,450.35666666666674,-1.0,-1.0,-1.0,-1.0
36,360.0,162.6,-962.89,256.84,0.45,6.68,1009.7339737277341,460.7766666666666,-1.0,-1.0,-1.0,-1.0
