,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-514.65,-307.62,860.84,0.0,0.14,1049.0663432309702,561.0366666666667,-1.0,-1.0,-1.0,-1.0
1,10.0,-501.95,-310.06,851.07,0.0,0.01,1035.5728612705143,554.36,-1.0,-1.0,-1.0,-1.0
2,20.0,-503.42,-313.48,854.98,0.0,0.13,1040.524967119963,557.2933333333334,-1.0,-1.0,-1.0,-1.0
3,30.0,-499.51,-309.08,841.8,0.0,0.02,1026.483281159513,550.13,-1.0,-1.0,-1.0,-1.0
4,40.0,-483.4,-315.43,834.47,0.0,0.15,1014.6486218391074,544.4333333333333,-1.0,-1.0,-1.0,-1.0
5,50.0,-466.31,-303.71,825.2,0.0,0.03,995.3089069228707,531.74,-1.0,-1.0,-1.0,-1.0
6,60.0,-484.37,-322.75,830.08,0.0,0.0,1013.8119479469552,545.7333333333332,-1.0,-1.0,-1.0,-1.0
7,70.0,-475.59,-310.06,818.36,0.0,0.04,996.0101110430555,534.67,-1.0,-1.0,-1.0,-1.0
8,80.0,-470.7,-307.62,826.17,0.0,0.15,999.37251478115,534.8299999999998,-1.0,-1.0,-1.0,-1.0
9,90.0,-489.26,-318.36,837.89,0.0,0.05,1021.1699610250979,548.5033333333333,-1.0,-1.0,-1.0,-1.0
10,100.0,-493.16,-313.48,835.94,0.0,0.16,1019.9373410165939,547.5266666666668,-1.0,-1.0,-1.0,-1.0
11,110.0,-483.4,-310.06,828.12,0.0,0.08,1007.7675813400627,540.5266666666666,-1.0,-1.0,-1.0,-1.0
12,120.0,-481.93,-316.41,817.87,0.0,0.18,1000.641369272728,538.7366666666667,-1.0,-1.0,-1.0,-1.0
13,130.0,-460.94,-318.36,822.75,0.0,0.1,995.3573909405603,534.0166666666668,-1.0,-1.0,-1.0,-1.0
14,140.0,-486.82,-299.32,817.87,0.0,0.13,997.7462160790187,534.67,-1.0,-1.0,-1.0,-1.0
15,150.0,-478.03,-299.32,822.75,0.0,0.04,997.5082484871992,533.3666666666667,-1.0,-1.0,-1.0,-1.0
16,160.0,-480.47,-309.57,818.36,0.0,0.12,998.1974230581843,536.1333333333333,-1.0,-1.0,-1.0,-1.0
17,170.0,-461.43,-310.06,819.34,0.0,0.05,990.1378106607183,530.2766666666666,-1.0,-1.0,-1.0,-1.0
18,180.0,-458.98,-308.59,813.48,0.0,0.17,983.6870126722217,527.0166666666668,-1.0,-1.0,-1.0,-1.0
19,190.0,-460.45,-317.87,825.68,0.0,0.05,997.3981159998247,534.6666666666666,-1.0,-1.0,-1.0,-1.0
20,200.0,-478.52,-314.45,820.31,0.0,0.16,1000.3842706680267,537.76,-1.0,-1.0,-1.0,-1.0
21,210.0,-492.68,-333.01,837.4,0.0,0.02,1027.0676718210927,554.3633333333332,-1.0,-1.0,-1.0,-1.0
22,220.0,-490.72,-312.5,839.84,0.0,0.14,1021.6621721488957,547.6866666666666,-1.0,-1.0,-1.0,-1.0
23,230.0,-494.14,-314.94,825.2,0.0,0.05,1012.085264787508,544.76,-1.0,-1.0,-1.0,-1.0
24,240.0,-504.88,-318.36,837.89,0.0,0.14,1028.7451366106184,553.71,-1.0,-1.0,-1.0,-1.0
25,250.0,-489.75,-316.41,845.7,0.0,0.04,1027.2189837614958,550.62,-1.0,-1.0,-1.0,-1.0
26,260.0,-473.14,-297.36,844.24,0.0,0.16,1012.4354827839647,538.2466666666667,-1.0,-1.0,-1.0,-1.0
27,270.0,-485.84,-312.99,856.93,0.0,0.02,1033.6016014886973,551.92,-1.0,-1.0,-1.0,-1.0
28,280.0,-497.07,-296.39,850.1,0.0,0.14,1028.3946844475618,547.8533333333334,-1.0,-1.0,-1.0,-1.0
29,290.0,-484.37,-311.52,850.59,0.0,0.0,1027.2109595404443,548.8266666666667,-1.0,-1.0,-1.0,-1.0
30,300.0,-480.47,-310.55,844.24,0.0,0.13,1019.8205239158507,545.0866666666667,-1.0,-1.0,-1.0,-1.0
31,310.0,-491.21,-313.48,850.1,0.0,0.01,1030.6439659261582,551.5966666666667,-1.0,-1.0,-1.0,-1.0
32,320.0,-476.07,-303.71,831.05,0.0,0.13,1004.7519651635422,536.9433333333333,-1.0,-1.0,-1.0,-1.0
33,330.0,-490.72,-322.27,815.92,0.0,0.01,1005.1813357300264,542.9699999999998,-1.0,-1.0,-1.0,-1.0
34,340.0,-480.47,-316.41,836.43,0.0,0.13,1015.1757748784197,544.4366666666666,-1.0,-1.0,-1.0,-1.0
35,350.0,-485.35,-323.24,818.36,0.0,0.01,1004.8690510210773,542.3166666666667,-1.0,-1.0,-1.0,-1.0
