,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-122.56,-50.29,985.84,0.0,0.0,994.7012331851207,386.23,-1.0,-1.0,-1.0,-1.0
1,10.0,-146.48,-59.57,988.28,0.27,15.83,1000.8508049154981,398.11,-1.0,-1.0,-1.0,-1.0
2,20.0,-146.48,-51.76,997.56,0.0,0.0,1009.5847867316544,398.6,-1.0,-1.0,-1.0,-1.0
3,30.0,-127.44,-46.88,981.93,0.26,16.01,991.2745396205836,385.41666666666674,-1.0,-1.0,-1.0,-1.0
4,40.0,-126.95,-59.57,999.02,0.0,0.0,1008.8140798977777,395.18,-1.0,-1.0,-1.0,-1.0
5,50.0,-139.65,-67.87,1005.86,0.25,15.73,1017.7734517072058,404.46,-1.0,-1.0,-1.0,-1.0
6,60.0,-139.16,-55.66,988.28,0.0,0.0,999.5803617518704,394.3666666666666,-1.0,-1.0,-1.0,-1.0
7,70.0,-133.79,-49.32,983.4,0.27,16.08,993.6839469871696,388.8366666666666,-1.0,-1.0,-1.0,-1.0
8,80.0,-147.46,-57.13,975.59,0.0,0.0,988.323902675636,393.3933333333334,-1.0,-1.0,-1.0,-1.0
9,90.0,-152.83,-59.57,988.77,0.27,15.33,1002.2832467421573,400.39,-1.0,-1.0,-1.0,-1.0
10,100.0,-141.11,-51.27,993.16,0.0,0.0,1004.4438414366431,395.18,-1.0,-1.0,-1.0,-1.0
11,110.0,-128.91,-60.06,989.75,0.27,15.91,999.9150234894963,392.9066666666667,-1.0,-1.0,-1.0,-1.0
12,120.0,-149.41,-45.41,975.59,0.0,0.0,988.0087369552963,390.1366666666667,-1.0,-1.0,-1.0,-1.0
13,130.0,-152.34,-44.92,982.91,0.25,16.15,995.6592540121344,393.39,-1.0,-1.0,-1.0,-1.0
14,140.0,-136.23,-44.92,994.14,0.0,0.0,1004.4355424316684,391.76333333333326,-1.0,-1.0,-1.0,-1.0
15,150.0,-107.42,-59.57,980.96,0.26,15.95,988.6203330399389,382.65,-1.0,-1.0,-1.0,-1.0
16,160.0,-138.67,-54.69,980.96,0.0,0.0,992.221188344615,391.44,-1.0,-1.0,-1.0,-1.0
17,170.0,-124.02,-62.5,997.07,0.26,15.33,1006.6954829043386,394.53,-1.0,-1.0,-1.0,-1.0
18,180.0,-144.53,-57.13,975.59,0.0,0.0,987.8909888747847,392.41666666666674,-1.0,-1.0,-1.0,-1.0
