,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,804.69,376.46,380.86,0.39,18.4,966.5932274229939,520.6700000000002,-1.0,-1.0,-1.0,-1.0
1,10.0,805.18,380.37,360.35,0.39,18.35,960.6499319731407,515.3000000000002,-1.0,-1.0,-1.0,-1.0
2,20.0,803.71,370.12,365.23,0.39,18.45,957.2520730716648,513.02,-1.0,-1.0,-1.0,-1.0
3,30.0,797.85,367.68,374.02,0.39,18.46,954.8005892855324,513.1833333333333,-1.0,-1.0,-1.0,-1.0
4,40.0,778.81,361.82,367.19,0.39,18.46,933.9631816083544,502.6066666666666,-1.0,-1.0,-1.0,-1.0
5,50.0,792.97,373.54,375.0,0.4,18.32,953.3931783372482,513.8366666666667,-1.0,-1.0,-1.0,-1.0
6,60.0,775.39,347.66,364.75,0.39,18.44,924.7376331695384,495.9333333333333,-1.0,-1.0,-1.0,-1.0
7,70.0,804.2,366.7,388.67,0.4,18.52,965.5417644514399,519.8566666666667,-1.0,-1.0,-1.0,-1.0
8,80.0,815.92,355.47,396.97,0.4,18.41,974.5099015402562,522.7866666666666,-1.0,-1.0,-1.0,-1.0
9,90.0,865.23,372.56,378.91,0.4,18.43,1015.3800739624547,538.9,-1.0,-1.0,-1.0,-1.0
10,100.0,842.77,369.63,397.46,0.4,18.4,1002.428082906699,536.62,-1.0,-1.0,-1.0,-1.0
11,110.0,867.19,366.7,377.93,0.39,19.13,1014.5533357098583,537.2733333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,873.54,371.58,385.74,0.39,18.43,1024.6653968979338,543.62,-1.0,-1.0,-1.0,-1.0
13,130.0,879.39,359.37,394.04,0.39,18.48,1028.4654056408506,544.2666666666668,-1.0,-1.0,-1.0,-1.0
14,140.0,856.93,360.35,403.32,0.39,18.45,1013.3351715005258,540.1999999999998,-1.0,-1.0,-1.0,-1.0
15,150.0,863.77,351.07,410.64,0.39,18.45,1018.8100742532927,541.8266666666667,-1.0,-1.0,-1.0,-1.0
16,160.0,864.26,346.68,429.2,0.39,18.4,1025.3511642359413,546.7133333333334,-1.0,-1.0,-1.0,-1.0
17,170.0,849.12,354.49,429.69,0.38,18.5,1015.530122940723,544.4333333333334,-1.0,-1.0,-1.0,-1.0
18,180.0,843.75,360.35,419.92,0.38,18.36,1009.0089154214644,541.34,-1.0,-1.0,-1.0,-1.0
19,190.0,881.35,356.93,431.15,0.38,18.46,1044.0628189433812,556.4766666666667,-1.0,-1.0,-1.0,-1.0
20,200.0,881.35,330.08,430.66,0.37,18.4,1034.9872774580372,547.3633333333332,-1.0,-1.0,-1.0,-1.0
21,210.0,935.06,340.82,424.8,0.37,18.39,1082.104669613804,566.8933333333333,-1.0,-1.0,-1.0,-1.0
22,220.0,957.52,331.54,416.5,0.38,18.46,1095.5526331491335,568.52,-1.0,-1.0,-1.0,-1.0
23,230.0,989.26,335.94,418.46,0.39,18.44,1125.4331622979664,581.22,-1.0,-1.0,-1.0,-1.0
24,240.0,1021.48,329.59,444.34,0.4,18.44,1161.6750811220838,598.4699999999998,-1.0,-1.0,-1.0,-1.0
25,250.0,1007.32,333.01,451.17,0.43,18.26,1152.8849081326375,597.1666666666666,-1.0,-1.0,-1.0,-1.0
26,260.0,988.28,341.31,476.56,0.46,18.79,1149.0427790556798,602.05,-1.0,-1.0,-1.0,-1.0
27,270.0,967.29,359.86,483.4,0.5,18.49,1139.6599158082206,603.5166666666668,-1.0,-1.0,-1.0,-1.0
28,280.0,936.04,362.79,471.68,0.54,18.74,1109.1751386052608,590.17,-1.0,-1.0,-1.0,-1.0
29,290.0,949.22,386.23,458.5,0.57,18.4,1122.6818210428098,597.9833333333332,-1.0,-1.0,-1.0,-1.0
30,300.0,965.82,367.68,464.84,0.61,18.52,1133.1694844108713,599.4466666666666,-1.0,-1.0,-1.0,-1.0
31,310.0,962.89,364.26,450.2,0.64,18.46,1123.6202827023017,592.45,-1.0,-1.0,-1.0,-1.0
32,320.0,959.47,384.77,425.78,0.67,18.62,1117.9978721804441,590.0066666666668,-1.0,-1.0,-1.0,-1.0
33,330.0,997.56,398.44,409.18,0.68,18.52,1149.481909209536,601.7266666666667,-1.0,-1.0,-1.0,-1.0
34,340.0,990.72,411.62,383.79,0.68,18.65,1139.4085776840545,595.3766666666667,-1.0,-1.0,-1.0,-1.0
35,350.0,1002.44,392.09,363.28,0.67,18.57,1136.0426400888305,585.9366666666666,-1.0,-1.0,-1.0,-1.0
36,360.0,912.11,399.41,381.35,0.64,18.88,1066.255514733687,564.29,-1.0,-1.0,-1.0,-1.0
37,370.0,840.33,408.2,391.11,0.61,18.98,1012.792565632272,546.5466666666666,-1.0,-1.0,-1.0,-1.0
38,380.0,854.0,382.32,339.36,0.56,19.04,995.3139163098243,525.2266666666667,-1.0,-1.0,-1.0,-1.0
39,390.0,857.91,408.69,312.5,0.52,19.03,1000.3466070317827,526.3666666666667,-1.0,-1.0,-1.0,-1.0
40,400.0,847.17,420.41,284.18,0.46,19.55,987.5220753988237,517.2533333333333,-1.0,-1.0,-1.0,-1.0
41,410.0,847.17,428.22,261.23,0.41,20.29,984.5356723857193,512.2066666666666,-1.0,-1.0,-1.0,-1.0
42,420.0,866.7,449.22,230.96,0.37,21.39,1003.1500485969186,515.6266666666667,-1.0,-1.0,-1.0,-1.0
43,430.0,861.33,430.66,223.14,0.32,22.49,988.5084036567417,505.04333333333335,-1.0,-1.0,-1.0,-1.0
44,440.0,864.75,436.52,212.4,0.29,23.54,991.6935176252792,504.55666666666673,-1.0,-1.0,-1.0,-1.0
45,450.0,831.05,438.48,225.59,0.26,24.77,966.333100436904,498.3733333333333,-1.0,-1.0,-1.0,-1.0
46,460.0,820.31,423.83,225.59,0.23,24.99,950.4899857967993,489.90999999999985,-1.0,-1.0,-1.0,-1.0
47,470.0,822.75,450.2,207.03,0.21,24.99,960.4473038121353,493.32666666666665,-1.0,-1.0,-1.0,-1.0
48,480.0,803.22,440.92,200.2,0.19,24.99,937.8981047000788,481.4466666666667,-1.0,-1.0,-1.0,-1.0
49,490.0,770.02,451.66,184.08,0.18,24.99,911.4894417380818,468.5866666666666,-1.0,-1.0,-1.0,-1.0
50,500.0,771.0,454.1,174.8,0.18,24.99,911.703268613204,466.63333333333327,-1.0,-1.0,-1.0,-1.0
51,510.0,750.49,479.49,155.76,0.17,24.99,904.1056784469392,461.91333333333336,-1.0,-1.0,-1.0,-1.0
52,520.0,779.79,510.74,163.09,0.17,24.99,946.3224290906352,484.54,-1.0,-1.0,-1.0,-1.0
53,530.0,780.27,494.14,146.0,0.17,24.99,935.0463156977839,473.47,-1.0,-1.0,-1.0,-1.0
54,540.0,829.1,497.07,136.72,0.18,24.99,976.308226586256,487.63000000000005,-1.0,-1.0,-1.0,-1.0
55,550.0,807.13,502.93,138.18,0.19,24.99,960.9844609565756,482.7466666666666,-1.0,-1.0,-1.0,-1.0
56,560.0,786.13,503.42,115.72,0.2,24.99,940.6504088661208,468.42333333333335,-1.0,-1.0,-1.0,-1.0
57,570.0,808.11,527.83,115.72,0.21,24.99,972.1303407465483,483.8866666666667,-1.0,-1.0,-1.0,-1.0
58,580.0,787.6,521.0,112.3,0.23,24.99,950.9816244281484,473.63333333333327,-1.0,-1.0,-1.0,-1.0
59,590.0,785.64,550.29,99.61,0.25,24.99,964.3502713226144,478.51333333333326,-1.0,-1.0,-1.0,-1.0
60,600.0,742.68,544.43,122.56,0.27,24.99,928.9771584382471,469.88999999999993,-1.0,-1.0,-1.0,-1.0
61,610.0,736.33,557.13,119.14,0.28,24.99,931.0048578820627,470.86666666666673,-1.0,-1.0,-1.0,-1.0
62,620.0,754.39,550.29,109.37,0.3,24.99,940.1516649456087,471.34999999999985,-1.0,-1.0,-1.0,-1.0
63,630.0,732.42,573.24,117.68,0.31,24.99,937.4922593813774,474.44666666666666,-1.0,-1.0,-1.0,-1.0
64,640.0,745.12,565.92,116.7,0.32,24.99,942.9147102469024,475.91333333333336,-1.0,-1.0,-1.0,-1.0
65,650.0,754.39,583.01,79.1,0.33,24.99,956.693128542272,472.16666666666674,-1.0,-1.0,-1.0,-1.0
66,660.0,751.46,583.5,95.7,0.33,24.99,956.2023172948286,476.8866666666667,-1.0,-1.0,-1.0,-1.0
67,670.0,748.05,579.1,69.34,0.33,24.99,948.5481791137444,465.4966666666666,-1.0,-1.0,-1.0,-1.0
68,680.0,730.47,604.98,93.26,0.33,24.99,953.0396890476284,476.23666666666674,-1.0,-1.0,-1.0,-1.0
69,690.0,718.75,619.63,73.73,0.32,24.99,951.829297878564,470.7033333333334,-1.0,-1.0,-1.0,-1.0
70,700.0,758.3,630.37,91.8,0.32,24.99,990.3597663980498,493.49,-1.0,-1.0,-1.0,-1.0
71,710.0,717.29,636.72,96.68,0.31,24.99,963.983570866226,483.5633333333333,-1.0,-1.0,-1.0,-1.0
72,720.0,729.49,639.65,86.43,0.3,24.99,974.0523227732688,485.19,-1.0,-1.0,-1.0,-1.0
73,730.0,722.17,651.37,77.64,0.3,24.99,975.6230601005698,483.72666666666674,-1.0,-1.0,-1.0,-1.0
74,740.0,722.17,643.55,69.34,0.29,24.99,969.7907748581648,478.3533333333333,-1.0,-1.0,-1.0,-1.0
75,750.0,732.91,662.11,67.38,0.28,24.99,989.9933255330562,487.4666666666667,-1.0,-1.0,-1.0,-1.0
76,760.0,720.7,659.18,86.43,0.27,24.99,980.5084942518346,488.77,-1.0,-1.0,-1.0,-1.0
77,770.0,706.54,658.2,84.47,0.26,24.99,969.3096473779677,483.07,-1.0,-1.0,-1.0,-1.0
78,780.0,718.75,658.69,75.2,0.25,24.99,977.8185509592257,484.21333333333337,-1.0,-1.0,-1.0,-1.0
79,790.0,700.2,672.36,71.78,0.25,24.99,973.3963108621277,481.44666666666666,-1.0,-1.0,-1.0,-1.0
80,800.0,707.52,663.57,75.68,0.24,24.99,972.9528034288198,482.2566666666667,-1.0,-1.0,-1.0,-1.0
81,810.0,688.96,658.2,66.41,0.24,24.99,955.1457531183397,471.19000000000005,-1.0,-1.0,-1.0,-1.0
82,820.0,693.36,659.67,79.59,0.24,24.99,960.3370067845976,477.54,-1.0,-1.0,-1.0,-1.0
83,830.0,668.46,658.69,81.05,0.24,24.99,941.9556200798422,469.4,-1.0,-1.0,-1.0,-1.0
84,840.0,659.67,663.09,72.75,0.24,24.99,938.1606576168073,465.17,-1.0,-1.0,-1.0,-1.0
85,850.0,637.7,671.39,70.31,0.24,24.99,928.6384216690584,459.8,-1.0,-1.0,-1.0,-1.0
86,860.0,633.3,670.9,70.31,0.25,24.99,925.2670944651604,458.16999999999985,-1.0,-1.0,-1.0,-1.0
87,870.0,633.79,674.8,66.89,0.25,24.99,928.1805191879432,458.4933333333333,-1.0,-1.0,-1.0,-1.0
88,880.0,642.58,669.43,61.04,0.26,24.99,929.9308914645217,457.6833333333333,-1.0,-1.0,-1.0,-1.0
89,890.0,635.74,666.99,59.57,0.27,24.99,923.35778146935,454.1,-1.0,-1.0,-1.0,-1.0
90,900.0,632.32,660.64,61.52,0.27,24.99,916.5470541112444,451.4933333333333,-1.0,-1.0,-1.0,-1.0
91,910.0,620.61,663.57,66.89,0.28,24.99,911.019313242041,450.35666666666674,-1.0,-1.0,-1.0,-1.0
92,920.0,607.91,659.67,74.22,0.28,24.99,900.126483001139,447.26666666666665,-1.0,-1.0,-1.0,-1.0
93,930.0,603.52,653.81,77.15,0.29,24.99,893.1159101706787,444.82666666666665,-1.0,-1.0,-1.0,-1.0
94,940.0,593.75,658.69,84.96,0.29,24.99,890.8590125266737,445.8,-1.0,-1.0,-1.0,-1.0
95,950.0,583.5,658.2,86.91,0.3,24.99,883.8850819535309,442.87000000000006,-1.0,-1.0,-1.0,-1.0
96,960.0,584.47,662.6,77.15,0.31,24.99,886.9025106515373,441.4066666666668,-1.0,-1.0,-1.0,-1.0
97,970.0,577.15,640.62,75.2,0.32,24.99,865.5351794699046,430.99,-1.0,-1.0,-1.0,-1.0
98,980.0,568.36,647.46,92.29,0.32,24.99,866.4611851087158,436.0366666666667,-1.0,-1.0,-1.0,-1.0
99,990.0,562.99,635.25,73.73,0.32,24.99,852.0190229683842,423.99,-1.0,-1.0,-1.0,-1.0
100,1000.0,571.29,649.9,69.34,0.33,24.99,868.0727559945651,430.17666666666673,0.8373570820509676,0.840907622241546,-1.0,-1.0
101,1010.0,572.27,646.48,67.38,0.33,24.99,866.007741131683,428.71,-1.0,-1.0,-1.0,-1.0
102,1020.0,607.91,646.48,77.64,0.33,24.99,890.7967939434897,444.01,-1.0,-1.0,-1.0,-1.0
103,1030.0,617.19,646.97,65.43,0.33,24.99,896.5348637392749,443.1966666666667,-1.0,-1.0,-1.0,-1.0
104,1040.0,642.58,666.99,82.52,0.33,24.99,929.8356128370219,464.03,-1.0,-1.0,-1.0,-1.0
105,1050.0,610.35,666.02,70.8,0.33,24.99,906.1580452106576,449.0566666666666,-1.0,-1.0,-1.0,-1.0
106,1060.0,587.89,639.16,88.38,0.33,24.99,872.8981510462718,438.4766666666666,-1.0,-1.0,-1.0,-1.0
107,1070.0,614.75,650.39,80.57,0.33,24.99,898.5634309830332,448.57,-1.0,-1.0,-1.0,-1.0
108,1080.0,599.61,635.74,113.77,0.33,24.99,881.2724394873585,449.70666666666665,-1.0,-1.0,-1.0,-1.0
109,1090.0,564.94,649.9,139.16,0.32,24.99,872.2916480168774,451.33333333333337,-1.0,-1.0,-1.0,-1.0
110,1100.0,553.22,640.14,193.36,0.32,24.99,867.8822947842641,462.24000000000007,-1.0,-1.0,-1.0,-1.0
111,1110.0,594.73,624.02,241.7,0.32,24.99,895.2785171665854,486.81666666666666,-1.0,-1.0,-1.0,-1.0
112,1120.0,620.61,630.37,264.16,0.31,24.99,923.2029108489639,505.04666666666674,-1.0,-1.0,-1.0,-1.0
113,1130.0,648.44,627.44,264.16,0.31,24.99,940.1786494065902,513.3466666666667,-1.0,-1.0,-1.0,-1.0
114,1140.0,674.32,620.12,286.13,0.31,24.99,959.7534338047457,526.8566666666667,-1.0,-1.0,-1.0,-1.0
115,1150.0,656.25,603.03,282.23,0.31,24.99,934.8598912671354,513.8366666666667,-1.0,-1.0,-1.0,-1.0
116,1160.0,641.6,606.93,273.44,0.32,24.99,924.5453036493127,507.32333333333327,-1.0,-1.0,-1.0,-1.0
117,1170.0,605.96,595.21,288.09,0.34,24.99,896.9160015296861,496.42,-1.0,-1.0,-1.0,-1.0
118,1180.0,590.33,591.31,307.13,0.37,24.99,890.2055166645509,496.25666666666666,-1.0,-1.0,-1.0,-1.0
119,1190.0,531.74,591.31,331.05,0.41,24.99,861.3878604902671,484.7,-1.0,-1.0,-1.0,-1.0
120,1200.0,536.13,586.91,358.89,0.45,24.99,872.1816078661598,493.9766666666666,-1.0,-1.0,-1.0,-1.0
121,1210.0,584.96,548.34,394.04,0.51,24.99,893.3770082109793,509.11333333333334,-1.0,-1.0,-1.0,-1.0
122,1220.0,633.3,555.18,403.81,0.57,24.99,934.0001276766507,530.7633333333333,-1.0,-1.0,-1.0,-1.0
123,1230.0,666.02,554.69,411.13,0.64,24.99,959.3182544911779,543.9466666666667,-1.0,-1.0,-1.0,-1.0
124,1240.0,683.59,537.6,425.78,0.71,24.99,968.2962648384016,548.99,-1.0,-1.0,-1.0,-1.0
125,1250.0,758.79,527.34,426.27,0.78,24.99,1017.6226474484537,570.8000000000002,-1.0,-1.0,-1.0,-1.0
126,1260.0,765.14,501.46,409.18,0.85,24.99,1002.1624736538482,558.5933333333334,-1.0,-1.0,-1.0,-1.0
127,1270.0,728.52,489.75,422.36,0.91,24.99,974.1583149057446,546.8766666666667,-1.0,-1.0,-1.0,-1.0
128,1280.0,712.4,489.26,442.87,0.96,24.99,971.0936847184211,548.1766666666666,-1.0,-1.0,-1.0,-1.0
