,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-421.39,364.26,815.43,0.0,0.0,987.5125136422322,533.6933333333333,-1.0,-1.0,-1.0,-1.0
1,10.0,-427.73,369.63,812.99,0.0,0.09,990.2181728790885,536.7833333333333,-1.0,-1.0,-1.0,-1.0
2,20.0,-437.99,363.28,814.94,0.0,0.07,993.9490943202272,538.7366666666667,-1.0,-1.0,-1.0,-1.0
3,30.0,-434.08,368.65,819.82,0.0,0.1,998.214957461568,540.85,-1.0,-1.0,-1.0,-1.0
4,40.0,-432.62,363.77,806.64,0.0,0.07,984.965363299644,534.3433333333334,-1.0,-1.0,-1.0,-1.0
5,50.0,-441.41,365.72,816.41,0.0,0.09,997.556612228098,541.18,-1.0,-1.0,-1.0,-1.0
6,60.0,-441.89,362.79,821.29,0.0,0.04,1000.7000651044248,541.99,-1.0,-1.0,-1.0,-1.0
7,70.0,-439.45,363.77,813.96,0.0,0.12,993.9697163394867,539.0600000000002,-1.0,-1.0,-1.0,-1.0
8,80.0,-439.94,370.61,814.45,0.0,0.03,997.1097122182697,541.6666666666666,-1.0,-1.0,-1.0,-1.0
9,90.0,-424.8,367.68,815.43,0.0,0.1,990.2371974936107,535.9699999999998,-1.0,-1.0,-1.0,-1.0
10,100.0,-442.38,363.28,817.87,0.0,0.06,998.2904185155741,541.1766666666666,-1.0,-1.0,-1.0,-1.0
11,110.0,-425.29,357.91,812.01,0.0,0.1,984.0383083498323,531.7366666666667,-1.0,-1.0,-1.0,-1.0
12,120.0,-431.64,358.4,811.52,0.0,0.06,986.5740519596083,533.8533333333334,-1.0,-1.0,-1.0,-1.0
13,130.0,-418.95,374.02,814.94,0.0,0.1,989.7157503546158,535.97,-1.0,-1.0,-1.0,-1.0
14,140.0,-416.5,371.09,817.38,0.0,0.04,989.5908763221294,534.9899999999999,-1.0,-1.0,-1.0,-1.0
15,150.0,-427.73,367.19,816.41,0.0,0.1,992.1223397847667,537.11,-1.0,-1.0,-1.0,-1.0
16,160.0,-419.43,361.33,813.96,0.0,0.07,984.3839573052783,531.5733333333334,-1.0,-1.0,-1.0,-1.0
17,170.0,-429.69,367.68,812.99,0.0,0.1,990.3407588300099,536.7866666666667,-1.0,-1.0,-1.0,-1.0
18,180.0,-435.06,370.61,811.52,0.0,0.05,992.5692349151268,539.0633333333334,-1.0,-1.0,-1.0,-1.0
19,190.0,-444.34,367.68,811.04,0.0,0.09,995.1947043669394,541.02,-1.0,-1.0,-1.0,-1.0
20,200.0,-439.94,368.65,831.05,0.0,0.1,1009.9970933621539,546.5466666666666,-1.0,-1.0,-1.0,-1.0
21,210.0,-444.82,363.28,810.06,0.0,0.1,992.9926456928067,539.3866666666668,-1.0,-1.0,-1.0,-1.0
22,220.0,-447.75,365.23,796.39,0.0,0.04,983.9258343493174,536.4566666666666,-1.0,-1.0,-1.0,-1.0
23,230.0,-440.43,375.0,813.48,0.0,0.09,998.1749823052068,542.97,-1.0,-1.0,-1.0,-1.0
24,240.0,-431.64,367.19,819.34,0.0,0.04,996.2226765638292,539.39,-1.0,-1.0,-1.0,-1.0
25,250.0,-435.06,349.61,812.01,0.0,0.08,985.3246144291737,532.2266666666667,-1.0,-1.0,-1.0,-1.0
26,260.0,-423.34,354.49,820.8,0.0,0.04,989.238371526297,532.8766666666667,-1.0,-1.0,-1.0,-1.0
27,270.0,-440.43,367.19,809.08,0.0,0.09,991.6741034230954,538.9,-1.0,-1.0,-1.0,-1.0
28,280.0,-436.52,360.35,812.01,0.0,0.08,989.8293150841714,536.2933333333334,-1.0,-1.0,-1.0,-1.0
29,290.0,-426.27,362.79,819.82,0.0,0.09,992.6870248975757,536.2933333333334,-1.0,-1.0,-1.0,-1.0
30,300.0,-424.8,363.77,816.89,0.0,0.11,989.9964267612282,535.1533333333333,-1.0,-1.0,-1.0,-1.0
31,310.0,-423.83,352.54,819.82,0.0,0.1,987.9378284588561,532.0633333333334,-1.0,-1.0,-1.0,-1.0
32,320.0,-426.27,366.21,805.66,0.0,0.06,982.2952268030217,532.7133333333333,-1.0,-1.0,-1.0,-1.0
33,330.0,-436.52,360.84,806.15,0.0,0.1,985.2071043694316,534.5033333333332,-1.0,-1.0,-1.0,-1.0
34,340.0,-437.99,369.63,806.15,0.0,0.05,989.1104081446117,537.9233333333333,-1.0,-1.0,-1.0,-1.0
35,350.0,-434.57,368.16,809.57,0.0,0.11,989.8466827746608,537.4333333333334,-1.0,-1.0,-1.0,-1.0
36,360.0,-431.15,352.05,805.66,0.0,0.05,979.2433612744077,529.62,-1.0,-1.0,-1.0,-1.0
37,370.0,-437.99,371.58,802.25,0.0,0.1,986.6671166102576,537.2733333333333,-1.0,-1.0,-1.0,-1.0
38,380.0,-433.59,370.12,815.43,0.0,0.06,994.9448162586708,539.7133333333333,-1.0,-1.0,-1.0,-1.0
39,390.0,-430.18,359.37,818.85,0.0,0.09,992.3290541952299,536.1333333333333,-1.0,-1.0,-1.0,-1.0
40,400.0,-427.25,362.3,822.27,0.0,0.05,994.9531674405583,537.2733333333333,-1.0,-1.0,-1.0,-1.0
41,410.0,-420.9,368.65,823.73,0.0,0.1,995.7864958915641,537.76,-1.0,-1.0,-1.0,-1.0
42,420.0,-444.34,369.14,833.5,0.0,0.09,1014.1127280534448,548.9933333333332,-1.0,-1.0,-1.0,-1.0
43,430.0,-430.66,357.91,828.61,0.0,0.08,1000.0810646142642,539.0600000000002,-1.0,-1.0,-1.0,-1.0
44,440.0,-444.34,365.72,808.59,0.0,0.07,992.4751594372526,539.5500000000002,-1.0,-1.0,-1.0,-1.0
45,450.0,-437.5,356.93,824.71,0.0,0.1,999.4757921030404,539.7133333333334,-1.0,-1.0,-1.0,-1.0
46,460.0,-426.76,361.33,825.68,0.0,0.03,997.2115767980232,537.9233333333333,-1.0,-1.0,-1.0,-1.0
47,470.0,-433.59,370.12,811.04,0.0,0.1,991.3500815050149,538.25,-1.0,-1.0,-1.0,-1.0
48,480.0,-434.08,362.79,807.62,0.0,0.05,986.0487284612256,534.83,-1.0,-1.0,-1.0,-1.0
49,490.0,-421.39,350.1,814.94,0.0,0.1,981.9708476833721,528.8100000000002,-1.0,-1.0,-1.0,-1.0
50,500.0,-431.15,366.7,817.38,0.0,0.05,994.2179222383792,538.41,-1.0,-1.0,-1.0,-1.0
51,510.0,-425.29,351.56,822.27,0.0,0.08,990.2494486744237,533.04,-1.0,-1.0,-1.0,-1.0
52,520.0,-423.34,369.63,813.48,0.0,0.05,988.732927994208,535.4833333333332,-1.0,-1.0,-1.0,-1.0
53,530.0,-432.62,375.49,809.57,0.0,0.1,991.7441148804463,539.2266666666667,-1.0,-1.0,-1.0,-1.0
54,540.0,-432.62,363.77,815.43,0.0,0.08,992.176779712164,537.2733333333333,-1.0,-1.0,-1.0,-1.0
55,550.0,-433.11,365.23,821.29,0.0,0.1,997.7447013640312,539.8766666666667,-1.0,-1.0,-1.0,-1.0
56,560.0,-426.76,361.33,800.78,0.0,0.05,976.694463432654,529.6233333333333,-1.0,-1.0,-1.0,-1.0
57,570.0,-437.5,351.07,812.01,0.0,0.1,986.9228110647763,533.5266666666666,-1.0,-1.0,-1.0,-1.0
58,580.0,-446.29,367.68,798.34,0.0,0.03,985.7535706757546,537.4366666666666,-1.0,-1.0,-1.0,-1.0
59,590.0,-441.41,365.72,817.38,0.0,0.1,998.3506252314363,541.5033333333333,-1.0,-1.0,-1.0,-1.0
60,600.0,-447.27,367.19,813.96,0.0,0.07,998.7040755899617,542.8066666666667,-1.0,-1.0,-1.0,-1.0
61,610.0,-454.59,370.12,820.8,0.0,0.1,1008.6394412772087,548.5033333333333,-1.0,-1.0,-1.0,-1.0
62,620.0,-441.89,364.26,815.92,0.0,0.05,996.8337705455208,540.6899999999998,-1.0,-1.0,-1.0,-1.0
63,630.0,-432.62,362.79,828.61,0.0,0.08,1002.6819937547498,541.34,-1.0,-1.0,-1.0,-1.0
64,640.0,-450.68,369.63,822.75,0.0,0.06,1008.2937874449094,547.6866666666666,-1.0,-1.0,-1.0,-1.0
65,650.0,-431.15,365.23,823.24,0.0,0.1,998.5025653447266,539.8733333333333,-1.0,-1.0,-1.0,-1.0
66,660.0,-432.13,367.19,823.24,0.0,0.07,999.644402075058,540.8533333333334,-1.0,-1.0,-1.0,-1.0
67,670.0,-431.15,364.75,818.36,0.0,0.1,994.3067809283008,538.0866666666667,-1.0,-1.0,-1.0,-1.0
68,680.0,-431.15,364.75,828.61,0.0,0.07,1002.7599000259236,541.5033333333333,-1.0,-1.0,-1.0,-1.0
69,690.0,-440.92,365.72,817.87,0.0,0.1,998.5353782916256,541.5033333333333,-1.0,-1.0,-1.0,-1.0
70,700.0,-428.22,361.33,815.43,0.0,0.02,989.3724385690152,534.9933333333332,-1.0,-1.0,-1.0,-1.0
71,710.0,-428.71,355.47,812.01,0.0,0.1,984.6377126131214,532.0633333333334,-1.0,-1.0,-1.0,-1.0
72,720.0,-441.41,350.59,824.22,0.0,0.05,998.5463157009793,538.74,-1.0,-1.0,-1.0,-1.0
73,730.0,-439.94,364.75,818.36,0.0,0.1,998.1497160746981,541.0166666666668,-1.0,-1.0,-1.0,-1.0
74,740.0,-435.55,359.86,813.96,0.0,0.06,990.824860255333,536.4566666666667,-1.0,-1.0,-1.0,-1.0
75,750.0,-447.27,381.35,821.78,0.0,0.1,1010.3467938287328,550.1333333333333,-1.0,-1.0,-1.0,-1.0
76,760.0,-445.31,364.26,816.41,0.0,0.06,998.7550409384676,541.9933333333332,-1.0,-1.0,-1.0,-1.0
77,770.0,-435.55,375.0,804.2,0.0,0.09,988.4667128942683,538.25,-1.0,-1.0,-1.0,-1.0
78,780.0,-424.8,365.72,801.76,0.0,0.07,978.2766766104567,530.76,-1.0,-1.0,-1.0,-1.0
79,790.0,-429.2,355.96,819.82,0.0,0.1,991.4761691538533,534.9933333333332,-1.0,-1.0,-1.0,-1.0
80,800.0,-436.04,355.47,811.04,0.0,0.04,987.0540431506273,534.1833333333333,-1.0,-1.0,-1.0,-1.0
81,810.0,-422.85,371.09,803.71,0.0,0.1,981.0502916262757,532.5500000000002,-1.0,-1.0,-1.0,-1.0
82,820.0,-423.34,375.49,802.25,0.0,0.05,981.7405758142016,533.6933333333333,-1.0,-1.0,-1.0,-1.0
83,830.0,-431.64,373.54,818.36,0.0,0.1,997.77668383261,541.18,-1.0,-1.0,-1.0,-1.0
84,840.0,-428.71,366.7,819.82,0.0,0.05,995.171335248358,538.41,-1.0,-1.0,-1.0,-1.0
85,850.0,-436.04,359.86,816.89,0.0,0.1,993.4482237640773,537.5966666666667,-1.0,-1.0,-1.0,-1.0
86,860.0,-441.89,380.86,818.36,0.0,0.05,1005.0045777507682,547.0366666666667,-1.0,-1.0,-1.0,-1.0
87,870.0,-435.55,358.89,812.99,0.0,0.1,989.6759948084019,535.8100000000002,-1.0,-1.0,-1.0,-1.0
88,880.0,-448.73,380.86,813.48,0.0,0.06,1004.0730366362798,547.69,-1.0,-1.0,-1.0,-1.0
89,890.0,-434.57,371.58,810.55,0.0,0.08,991.9244345210981,538.9,-1.0,-1.0,-1.0,-1.0
90,900.0,-439.94,368.16,815.43,0.0,0.05,997.003046183912,541.1766666666666,-1.0,-1.0,-1.0,-1.0
91,910.0,-434.57,364.75,811.04,0.0,0.1,989.7876181282527,536.7866666666666,-1.0,-1.0,-1.0,-1.0
92,920.0,-444.82,380.86,821.78,0.0,0.03,1009.0795510761279,549.1533333333333,-1.0,-1.0,-1.0,-1.0
93,930.0,-437.99,361.33,816.41,0.0,0.0,994.4445168535043,538.5766666666667,-1.0,-1.0,-1.0,-1.0
94,940.0,-434.57,361.33,820.31,0.0,0.04,996.1520716737981,538.7366666666667,-1.0,-1.0,-1.0,-1.0
95,950.0,-426.27,371.09,814.45,0.0,0.1,991.3338002408673,537.27,-1.0,-1.0,-1.0,-1.0
96,960.0,-439.94,354.98,816.89,0.0,0.05,993.411936761382,537.27,-1.0,-1.0,-1.0,-1.0
97,970.0,-437.99,383.3,809.57,0.0,0.13,997.0745784543902,543.62,-1.0,-1.0,-1.0,-1.0
98,980.0,-435.06,369.63,804.2,0.0,0.08,986.2257249230523,536.2966666666667,-1.0,-1.0,-1.0,-1.0
99,990.0,-443.85,359.86,791.99,0.0,0.1,976.6013527535173,531.9,-1.0,-1.0,-1.0,-1.0
100,1000.0,-436.04,370.12,797.85,0.0,0.1,981.6742425570717,534.6700000000002,0.7806042991236134,0.7457628206496518,-1.0,-1.0
101,1010.0,-436.52,373.05,808.59,0.0,0.07,991.7327265952254,539.3866666666668,-1.0,-1.0,-1.0,-1.0
102,1020.0,-438.96,378.42,788.09,0.0,0.05,978.2501858420472,535.1566666666666,-1.0,-1.0,-1.0,-1.0
103,1030.0,-432.62,376.95,813.96,0.0,0.1,995.8826479560734,541.1766666666666,-1.0,-1.0,-1.0,-1.0
104,1040.0,-429.69,361.82,818.85,0.0,0.08,993.0068131689733,536.7866666666667,-1.0,-1.0,-1.0,-1.0
105,1050.0,-434.08,371.58,810.55,0.0,0.09,991.7098594347037,538.7366666666667,-1.0,-1.0,-1.0,-1.0
