,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-334.47,-37.11,955.57,0.0,0.06,1013.0949402203132,442.3833333333334,-1.0,-1.0,-1.0,-1.0
1,10.0,-353.52,-49.32,955.57,0.0,0.07,1020.0602323882644,452.8033333333333,-1.0,-1.0,-1.0,-1.0
2,20.0,-355.47,-45.41,962.89,0.0,0.09,1027.4133253467178,454.59,-1.0,-1.0,-1.0,-1.0
3,30.0,-346.19,-40.04,936.04,0.0,0.09,998.8100917091297,440.75666666666666,-1.0,-1.0,-1.0,-1.0
4,40.0,-364.75,-39.06,928.71,0.0,0.1,998.5341807870177,444.17333333333335,-1.0,-1.0,-1.0,-1.0
5,50.0,-341.8,-46.88,933.11,0.0,0.07,994.8463431605908,440.5966666666666,-1.0,-1.0,-1.0,-1.0
6,60.0,-359.86,-42.48,935.06,0.0,0.1,1002.8165204064003,445.8,-1.0,-1.0,-1.0,-1.0
7,70.0,-342.29,-32.71,943.36,0.0,0.06,1004.0719485176351,439.4533333333334,-1.0,-1.0,-1.0,-1.0
8,80.0,-335.45,-21.48,954.59,0.0,0.08,1012.0425687687252,437.17333333333335,-1.0,-1.0,-1.0,-1.0
9,90.0,-351.07,-31.74,940.92,0.0,0.1,1004.7825729479983,441.2433333333333,-1.0,-1.0,-1.0,-1.0
10,100.0,-337.89,-41.02,942.87,0.0,0.09,1002.4251240865823,440.5933333333333,-1.0,-1.0,-1.0,-1.0
11,110.0,-335.45,-48.83,931.64,0.0,0.09,991.395057986472,438.64,-1.0,-1.0,-1.0,-1.0
12,120.0,-342.29,-46.88,924.8,0.0,0.1,987.2260219929376,437.99,-1.0,-1.0,-1.0,-1.0
13,130.0,-334.47,-54.69,934.57,0.0,0.1,994.1238664774124,441.2433333333333,-1.0,-1.0,-1.0,-1.0
14,140.0,-342.29,-47.85,941.89,0.0,0.1,1003.2989777229916,444.01,-1.0,-1.0,-1.0,-1.0
15,150.0,-350.1,-45.9,942.38,0.0,0.07,1006.3582286641273,446.1266666666667,-1.0,-1.0,-1.0,-1.0
16,160.0,-337.4,-40.04,945.31,0.0,0.07,1004.5162804554241,440.91666666666674,-1.0,-1.0,-1.0,-1.0
17,170.0,-328.12,-52.25,935.06,0.0,0.09,992.3356289582672,438.4766666666666,-1.0,-1.0,-1.0,-1.0
18,180.0,-344.73,-34.18,929.2,0.0,0.08,991.6751914311459,436.0366666666667,-1.0,-1.0,-1.0,-1.0
19,190.0,-339.36,-46.88,933.59,0.0,0.08,994.4612773255678,439.94333333333327,-1.0,-1.0,-1.0,-1.0
20,200.0,-342.77,-25.88,930.66,0.0,0.08,992.11344255584,433.1033333333333,-1.0,-1.0,-1.0,-1.0
21,210.0,-345.21,-44.43,933.59,0.0,0.07,996.3605055902208,441.07666666666665,-1.0,-1.0,-1.0,-1.0
22,220.0,-359.86,-47.85,936.52,0.0,0.07,1004.419510214731,448.07666666666665,-1.0,-1.0,-1.0,-1.0
23,230.0,-350.59,-41.5,934.57,0.0,0.06,999.0278689806406,442.22,-1.0,-1.0,-1.0,-1.0
24,240.0,-357.42,-50.29,957.52,0.0,0.09,1023.2901303638181,455.07666666666665,-1.0,-1.0,-1.0,-1.0
25,250.0,-344.24,-41.99,940.92,0.0,0.1,1002.7934902560944,442.3833333333334,-1.0,-1.0,-1.0,-1.0
26,260.0,-349.61,-46.39,934.08,0.0,0.09,998.4411002157314,443.36,-1.0,-1.0,-1.0,-1.0
27,270.0,-350.1,-32.71,937.5,0.0,0.1,1001.272292685661,440.1033333333333,-1.0,-1.0,-1.0,-1.0
28,280.0,-368.16,-31.25,934.08,0.0,0.09,1004.501764309053,444.4966666666666,-1.0,-1.0,-1.0,-1.0
29,290.0,-355.96,-41.5,937.01,0.0,0.09,1003.2036242458456,444.82333333333327,-1.0,-1.0,-1.0,-1.0
30,300.0,-364.75,-47.85,943.85,0.0,0.1,1013.0079010057127,452.15,-1.0,-1.0,-1.0,-1.0
31,310.0,-361.82,-57.62,943.36,0.0,0.1,1012.0088272342293,454.26666666666665,-1.0,-1.0,-1.0,-1.0
32,320.0,-343.26,-57.62,954.1,0.0,0.09,1015.6053869490847,451.66,-1.0,-1.0,-1.0,-1.0
33,330.0,-340.82,-51.27,934.08,0.0,0.1,995.63664642278,442.05666666666673,-1.0,-1.0,-1.0,-1.0
