,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,202.15,-18.07,983.89,0.41,8.82,1004.6047379442323,401.37,-1.0,-1.0,-1.0,-1.0
1,10.0,209.96,-22.46,979.98,0.41,9.03,1002.471173450888,404.1333333333334,-1.0,-1.0,-1.0,-1.0
2,20.0,205.57,-10.25,982.91,0.41,8.8,1004.2291349587503,399.57666666666665,-1.0,-1.0,-1.0,-1.0
3,30.0,206.05,-10.25,970.7,0.41,9.05,992.3810533257878,395.66666666666674,-1.0,-1.0,-1.0,-1.0
4,40.0,212.4,-26.37,954.59,0.41,8.66,978.2899391284773,397.7866666666667,-1.0,-1.0,-1.0,-1.0
5,50.0,205.08,-22.95,962.4,0.41,9.12,984.2755045717636,396.81,-1.0,-1.0,-1.0,-1.0
6,60.0,197.27,-23.44,980.47,0.42,8.69,1000.393076445454,400.3933333333334,-1.0,-1.0,-1.0,-1.0
7,70.0,195.31,-14.65,976.56,0.42,9.06,996.0070542922876,395.50666666666666,-1.0,-1.0,-1.0,-1.0
8,80.0,199.71,-11.72,976.56,0.42,8.73,996.8404466613499,395.9966666666666,-1.0,-1.0,-1.0,-1.0
9,90.0,183.59,-6.84,970.7,0.42,8.99,987.932469200198,387.04333333333335,-1.0,-1.0,-1.0,-1.0
10,100.0,195.8,-20.02,978.52,0.42,8.77,998.1181447103343,398.1133333333333,-1.0,-1.0,-1.0,-1.0
11,110.0,192.38,-8.79,975.59,0.42,8.92,994.415997759489,392.2533333333333,-1.0,-1.0,-1.0,-1.0
12,120.0,189.45,-2.44,976.07,0.42,8.83,994.2886406874013,389.32,-1.0,-1.0,-1.0,-1.0
13,130.0,193.85,-17.09,965.82,0.42,8.98,985.2300051257068,392.2533333333333,-1.0,-1.0,-1.0,-1.0
14,140.0,191.41,-11.72,973.63,0.42,8.69,992.3358924275592,392.2533333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,200.68,-16.6,976.56,0.42,9.08,997.1045361445308,397.94666666666666,-1.0,-1.0,-1.0,-1.0
16,160.0,191.41,-5.37,975.1,0.43,8.75,993.7236210335348,390.6266666666667,-1.0,-1.0,-1.0,-1.0
17,170.0,186.52,-18.07,970.21,0.43,8.91,988.1415280211636,391.6,-1.0,-1.0,-1.0,-1.0
18,180.0,190.92,-6.84,965.33,0.44,8.77,984.0524584085953,387.6966666666667,-1.0,-1.0,-1.0,-1.0
19,190.0,189.45,-11.23,970.7,0.45,8.92,989.0783110552977,390.46,-1.0,-1.0,-1.0,-1.0
20,200.0,190.43,-3.91,985.84,0.47,8.67,1004.0714011463527,393.3933333333334,-1.0,-1.0,-1.0,-1.0
21,210.0,191.89,-11.23,971.19,0.48,8.93,990.0292425479159,391.43666666666667,-1.0,-1.0,-1.0,-1.0
22,220.0,196.78,-3.91,972.17,0.5,8.75,991.8932227815652,390.95333333333326,-1.0,-1.0,-1.0,-1.0
23,230.0,208.5,-18.07,969.73,0.52,8.93,992.0559700944297,398.76666666666665,-1.0,-1.0,-1.0,-1.0
24,240.0,208.01,-13.67,989.26,0.53,8.81,1010.9848547827014,403.6466666666667,-1.0,-1.0,-1.0,-1.0
25,250.0,207.52,-17.09,978.03,0.54,8.99,999.9496484323598,400.88,-1.0,-1.0,-1.0,-1.0
26,260.0,222.17,-14.16,977.54,0.55,8.59,1002.5689333407453,404.6233333333333,-1.0,-1.0,-1.0,-1.0
27,270.0,211.91,-7.81,967.29,0.55,8.98,990.2609697953363,395.67,-1.0,-1.0,-1.0,-1.0
28,280.0,209.47,-11.72,970.21,0.55,8.53,992.6341135584653,397.1333333333334,-1.0,-1.0,-1.0,-1.0
29,290.0,220.21,-6.84,963.87,0.55,8.92,988.7287831351932,396.97333333333336,-1.0,-1.0,-1.0,-1.0
30,300.0,221.68,-20.02,965.33,0.55,8.69,990.6587867172028,402.3433333333333,-1.0,-1.0,-1.0,-1.0
31,310.0,203.12,-13.18,973.14,0.54,8.98,994.1996310600804,396.48,-1.0,-1.0,-1.0,-1.0
32,320.0,196.29,-13.67,978.03,0.53,8.73,997.6268410081998,395.9966666666666,-1.0,-1.0,-1.0,-1.0
33,330.0,193.85,-6.84,968.75,0.52,8.78,987.9783249646724,389.8133333333333,-1.0,-1.0,-1.0,-1.0
34,340.0,201.66,-5.37,964.36,0.51,8.72,985.23388192855,390.46333333333337,-1.0,-1.0,-1.0,-1.0
35,350.0,201.66,-4.39,972.66,0.5,8.94,993.3546714542597,392.90333333333336,-1.0,-1.0,-1.0,-1.0
36,360.0,216.31,0.0,965.33,0.48,8.67,989.2684291940183,393.88000000000005,-1.0,-1.0,-1.0,-1.0
37,370.0,200.2,-16.6,969.24,0.47,8.89,989.8392685683873,395.3466666666666,-1.0,-1.0,-1.0,-1.0
38,380.0,219.24,-3.91,970.21,0.46,8.73,994.6803053242786,397.7866666666667,-1.0,-1.0,-1.0,-1.0
39,390.0,201.66,-8.79,977.05,0.45,9.06,997.6826761049828,395.83333333333326,-1.0,-1.0,-1.0,-1.0
40,400.0,205.08,-22.95,979.49,0.44,8.69,1000.9920923763583,402.50666666666666,-1.0,-1.0,-1.0,-1.0
41,410.0,205.57,-10.25,957.03,0.43,8.86,978.9129217146948,390.95,-1.0,-1.0,-1.0,-1.0
42,420.0,210.94,-22.46,972.17,0.43,8.69,995.0450462667508,401.8566666666666,-1.0,-1.0,-1.0,-1.0
43,430.0,192.38,-20.51,969.73,0.42,9.03,988.8412397346705,394.20666666666665,-1.0,-1.0,-1.0,-1.0
44,440.0,208.01,-8.79,970.21,0.41,8.73,992.2967642293307,395.67,-1.0,-1.0,-1.0,-1.0
45,450.0,208.98,-7.32,976.56,0.41,8.94,998.6969792684863,397.62,-1.0,-1.0,-1.0,-1.0
46,460.0,191.89,-11.72,973.63,0.41,8.65,992.4285905796953,392.41333333333336,-1.0,-1.0,-1.0,-1.0
47,470.0,182.62,-20.51,977.05,0.41,9.1,994.1817877028324,393.39333333333326,-1.0,-1.0,-1.0,-1.0
48,480.0,207.03,-15.14,978.52,0.41,8.76,1000.2959716503909,400.23,-1.0,-1.0,-1.0,-1.0
49,490.0,216.31,-22.95,976.07,0.41,8.97,1000.0146816422248,405.11,-1.0,-1.0,-1.0,-1.0
50,500.0,202.64,-3.91,963.87,0.41,8.79,984.9485441382203,390.14,-1.0,-1.0,-1.0,-1.0
51,510.0,211.91,-14.16,980.96,0.41,8.92,1003.6876383118407,402.3433333333333,-1.0,-1.0,-1.0,-1.0
52,520.0,218.26,-12.21,966.31,0.41,8.76,990.7277768388246,398.92666666666673,-1.0,-1.0,-1.0,-1.0
53,530.0,210.94,-16.11,968.26,0.42,8.84,991.1017320638684,398.43666666666667,-1.0,-1.0,-1.0,-1.0
54,540.0,199.22,-10.25,970.21,0.42,8.84,990.505484588551,393.22666666666674,-1.0,-1.0,-1.0,-1.0
55,550.0,203.61,-2.93,969.24,0.43,8.92,990.399815529062,391.92666666666673,-1.0,-1.0,-1.0,-1.0
56,560.0,203.61,-12.21,974.61,0.43,8.69,995.7262516876816,396.81,-1.0,-1.0,-1.0,-1.0
57,570.0,203.61,-12.21,964.36,0.43,8.91,985.6958586704117,393.3933333333334,-1.0,-1.0,-1.0,-1.0
58,580.0,201.66,-3.91,971.68,0.43,8.61,992.3931005906883,392.41666666666674,-1.0,-1.0,-1.0,-1.0
59,590.0,188.96,-1.46,977.05,0.43,8.92,995.1556238599068,389.1566666666667,-1.0,-1.0,-1.0,-1.0
60,600.0,197.75,-13.67,975.1,0.43,8.69,995.0436881866043,395.50666666666666,-1.0,-1.0,-1.0,-1.0
61,610.0,187.99,0.0,972.66,0.44,8.97,990.6602423131757,386.8833333333334,-1.0,-1.0,-1.0,-1.0
62,620.0,197.27,-10.25,984.86,0.44,8.64,1004.474855334866,397.46,-1.0,-1.0,-1.0,-1.0
