,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,98.63,59.08,986.33,0.37,11.49,993.0081531387344,381.3466666666666,-1.0,-1.0,-1.0,-1.0
1,10.0,94.24,58.59,986.33,0.37,11.5,992.5526860575212,379.72,-1.0,-1.0,-1.0,-1.0
2,20.0,95.21,52.73,988.77,0.37,11.41,994.7419313068087,378.90333333333336,-1.0,-1.0,-1.0,-1.0
3,30.0,85.94,51.27,983.89,0.38,11.44,988.9660401651818,373.7,-1.0,-1.0,-1.0,-1.0
4,40.0,88.87,60.55,977.54,0.38,11.49,983.4371515252003,375.65333333333336,-1.0,-1.0,-1.0,-1.0
5,50.0,100.1,54.2,994.63,0.39,11.46,1001.1226133196672,382.97666666666674,-1.0,-1.0,-1.0,-1.0
6,60.0,93.75,48.83,980.47,0.39,11.49,986.1515361748416,374.35,-1.0,-1.0,-1.0,-1.0
7,70.0,106.93,63.96,982.91,0.38,11.44,990.7759457112387,384.6,-1.0,-1.0,-1.0,-1.0
8,80.0,92.29,55.18,978.03,0.39,11.44,983.923247718032,375.16666666666674,-1.0,-1.0,-1.0,-1.0
9,90.0,85.45,58.59,986.82,0.39,11.41,992.244023917504,376.9533333333334,-1.0,-1.0,-1.0,-1.0
10,100.0,94.73,55.18,975.1,0.39,11.41,981.2434026784587,375.0033333333333,-1.0,-1.0,-1.0,-1.0
11,110.0,92.77,62.01,984.86,0.39,11.43,991.1613050356638,379.88000000000005,-1.0,-1.0,-1.0,-1.0
12,120.0,92.77,58.11,988.77,0.39,11.43,994.8111166950237,379.8833333333334,-1.0,-1.0,-1.0,-1.0
13,130.0,88.38,59.08,990.72,0.39,11.41,996.4073410006572,379.3933333333334,-1.0,-1.0,-1.0,-1.0
14,140.0,99.61,51.27,990.72,0.38,11.59,997.0340432502794,380.5333333333333,-1.0,-1.0,-1.0,-1.0
15,150.0,101.56,52.73,996.09,0.38,11.43,1002.6415982792656,383.46,-1.0,-1.0,-1.0,-1.0
16,160.0,90.82,52.25,987.3,0.38,11.43,992.8442097831863,376.79,-1.0,-1.0,-1.0,-1.0
17,170.0,96.19,61.52,981.45,0.37,11.46,988.0694960376017,379.72,-1.0,-1.0,-1.0,-1.0
18,180.0,89.84,62.01,977.54,0.38,11.36,983.6162449349847,376.4633333333333,-1.0,-1.0,-1.0,-1.0
19,190.0,90.82,59.57,977.54,0.39,11.49,983.5554427178978,375.9766666666666,-1.0,-1.0,-1.0,-1.0
20,200.0,97.17,44.92,979.98,0.41,11.43,985.8096244711757,374.02333333333326,-1.0,-1.0,-1.0,-1.0
21,210.0,78.61,53.22,985.35,0.44,11.41,989.9123814762596,372.3933333333334,-1.0,-1.0,-1.0,-1.0
22,220.0,102.05,54.2,990.72,0.48,11.41,997.4356926138147,382.32333333333327,-1.0,-1.0,-1.0,-1.0
23,230.0,85.94,63.48,988.28,0.53,11.44,994.03860709733,379.23333333333335,-1.0,-1.0,-1.0,-1.0
24,240.0,89.84,66.41,987.3,0.59,11.43,993.6009277874091,381.1833333333333,-1.0,-1.0,-1.0,-1.0
25,250.0,77.15,47.85,974.12,0.65,11.46,978.3412080659793,366.3733333333333,-1.0,-1.0,-1.0,-1.0
26,260.0,84.96,65.92,981.93,0.72,11.43,987.8006746808792,377.6033333333333,-1.0,-1.0,-1.0,-1.0
27,270.0,108.89,62.01,989.75,0.79,11.43,997.6509082339372,386.8833333333334,-1.0,-1.0,-1.0,-1.0
28,280.0,85.94,67.87,993.16,0.86,11.41,999.1790660837526,382.32333333333327,-1.0,-1.0,-1.0,-1.0
29,290.0,94.24,56.64,977.54,0.93,11.46,983.7040809105143,376.14,-1.0,-1.0,-1.0,-1.0
30,300.0,97.66,58.59,981.93,0.96,11.47,988.5124119605176,379.39333333333326,-1.0,-1.0,-1.0,-1.0
31,310.0,89.84,63.48,991.21,0.96,11.46,997.2954427350003,381.51,-1.0,-1.0,-1.0,-1.0
32,320.0,82.52,55.18,986.33,0.96,11.46,991.3128929354243,374.67666666666673,-1.0,-1.0,-1.0,-1.0
33,330.0,99.61,56.64,990.23,0.91,11.42,996.8378476964044,382.16,-1.0,-1.0,-1.0,-1.0
34,340.0,107.91,59.08,987.79,0.84,11.43,995.4215682814996,384.92666666666673,-1.0,-1.0,-1.0,-1.0
35,350.0,83.01,60.06,986.33,0.77,11.49,991.6373997586012,376.4666666666667,-1.0,-1.0,-1.0,-1.0
36,360.0,81.54,51.76,979.98,0.7,11.51,984.7277134314846,371.0933333333333,-1.0,-1.0,-1.0,-1.0
37,370.0,90.33,62.99,986.33,0.64,11.44,992.4586227646976,379.8833333333334,-1.0,-1.0,-1.0,-1.0
38,380.0,90.33,55.18,987.79,0.59,11.41,993.445230196411,377.76666666666665,-1.0,-1.0,-1.0,-1.0
39,390.0,89.36,56.15,980.96,0.53,11.43,986.62077501946,375.49,-1.0,-1.0,-1.0,-1.0
40,400.0,93.26,65.43,987.79,0.48,11.56,994.3377678636168,382.16,-1.0,-1.0,-1.0,-1.0
41,410.0,91.8,56.15,981.45,0.44,11.43,987.3318413785713,376.4666666666667,-1.0,-1.0,-1.0,-1.0
42,420.0,88.38,42.48,986.82,0.4,11.52,991.680032671829,372.56,-1.0,-1.0,-1.0,-1.0
43,430.0,90.33,64.45,983.89,0.37,11.46,990.1276905025937,379.55666666666673,-1.0,-1.0,-1.0,-1.0
44,440.0,88.87,68.36,984.37,0.35,11.51,990.7347088903264,380.5333333333333,-1.0,-1.0,-1.0,-1.0
45,450.0,93.26,64.94,992.19,0.33,11.43,998.6769384040067,383.46333333333337,-1.0,-1.0,-1.0,-1.0
46,460.0,80.57,52.25,981.93,0.31,11.49,986.6144699425404,371.58333333333326,-1.0,-1.0,-1.0,-1.0
47,470.0,74.22,56.64,989.75,0.3,11.49,994.1437323143973,373.5366666666667,-1.0,-1.0,-1.0,-1.0
