,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,50.29,475.1,-178.71,0.38,14.83,510.08465787553354,234.7,-1.0,-1.0,-1.0,-1.0
1,10.0,55.18,511.23,-184.08,0.38,15.25,546.1560140655781,250.16333333333333,-1.0,-1.0,-1.0,-1.0
2,20.0,106.93,525.39,-173.34,0.37,17.78,563.4850775308961,268.55333333333334,-1.0,-1.0,-1.0,-1.0
3,30.0,152.34,562.5,-176.76,0.37,14.91,608.9809711312827,297.2,-1.0,-1.0,-1.0,-1.0
4,40.0,198.73,595.21,-198.24,0.38,15.06,658.0787601799651,330.7266666666667,-1.0,-1.0,-1.0,-1.0
5,50.0,333.5,579.1,-249.51,0.37,15.58,713.3262227760872,387.37000000000006,-1.0,-1.0,-1.0,-1.0
6,60.0,558.59,550.78,-301.27,0.36,14.69,840.3243477372293,470.2133333333333,-1.0,-1.0,-1.0,-1.0
7,70.0,816.89,504.39,-341.31,0.36,14.51,1018.9264253615173,554.1966666666666,-1.0,-1.0,-1.0,-1.0
8,80.0,1082.52,493.16,-402.83,0.35,17.64,1255.9173320326465,659.5033333333333,-1.0,-1.0,-1.0,-1.0
9,90.0,1288.09,470.21,-476.07,0.35,14.06,1451.521938208307,744.79,-1.0,-1.0,-1.0,-1.0
10,100.0,1589.84,436.52,-602.54,0.33,14.53,1755.333412090136,876.2999999999997,-1.0,-1.0,-1.0,-1.0
11,110.0,1812.99,426.76,-698.73,0.33,14.33,1989.291444359021,979.4933333333332,-1.0,-1.0,-1.0,-1.0
12,120.0,1999.94,354.49,-805.66,0.33,10.39,2185.0654908491874,1053.3633333333337,-1.0,-1.0,-1.0,-1.0
13,130.0,1999.94,318.85,-834.96,0.31,14.32,2190.566942072303,1051.25,-1.0,-1.0,-1.0,-1.0
14,140.0,1999.94,222.17,-823.24,0.3,12.2,2174.1305411819226,1015.1166666666667,-1.0,-1.0,-1.0,-1.0
15,150.0,1999.94,112.79,-754.88,0.3,21.09,2140.636681480536,955.87,-1.0,-1.0,-1.0,-1.0
16,160.0,1999.94,-29.3,-639.16,0.29,15.42,2099.796180394659,889.4666666666667,-1.0,-1.0,-1.0,-1.0
17,170.0,1999.94,-178.22,-517.58,0.29,14.75,2073.5022132614185,898.5799999999998,-1.0,-1.0,-1.0,-1.0
18,180.0,1999.94,-198.24,-402.83,0.29,15.84,2049.714885075483,867.0033333333334,-1.0,-1.0,-1.0,-1.0
19,190.0,1999.94,-232.42,-309.08,0.29,7.9,2036.9853967075962,847.1466666666665,-1.0,-1.0,-1.0,-1.0
20,200.0,1792.97,-233.89,-185.55,0.3,14.44,1817.6563909331162,737.4700000000001,-1.0,-1.0,-1.0,-1.0
21,210.0,1579.59,-216.8,-114.26,0.32,15.07,1598.4874587246534,636.8833333333333,-1.0,-1.0,-1.0,-1.0
22,220.0,1346.68,-236.82,-58.11,0.34,16.6,1368.5786447625142,547.2033333333333,-1.0,-1.0,-1.0,-1.0
23,230.0,1115.72,-297.85,-29.3,0.36,14.36,1155.164157555107,480.9566666666667,-1.0,-1.0,-1.0,-1.0
24,240.0,905.76,-362.3,20.51,0.39,15.06,975.7474712752271,429.52333333333326,-1.0,-1.0,-1.0,-1.0
25,250.0,730.96,-418.95,51.27,0.43,20.74,844.0676732347946,400.3933333333334,-1.0,-1.0,-1.0,-1.0
26,260.0,547.36,-484.86,102.05,0.45,14.67,738.3132070469823,378.09,-1.0,-1.0,-1.0,-1.0
27,270.0,364.26,-560.06,158.69,0.49,15.08,686.6841102719649,361.0033333333333,-1.0,-1.0,-1.0,-1.0
28,280.0,167.97,-581.05,182.13,0.51,17.99,631.6679193215373,310.3833333333333,-1.0,-1.0,-1.0,-1.0
29,290.0,-75.68,-638.18,208.98,0.52,14.97,675.7764535702618,307.61333333333334,-1.0,-1.0,-1.0,-1.0
30,300.0,-251.46,-687.99,212.89,0.54,13.28,762.8135576928349,384.11333333333334,-1.0,-1.0,-1.0,-1.0
31,310.0,-358.4,-720.7,243.65,0.55,17.3,840.9663325603468,440.91666666666674,-1.0,-1.0,-1.0,-1.0
32,320.0,-416.5,-719.24,256.35,0.55,14.56,869.7664917091254,464.03,-1.0,-1.0,-1.0,-1.0
33,330.0,-412.11,-688.48,258.3,0.55,13.74,842.9461741416234,452.96333333333337,-1.0,-1.0,-1.0,-1.0
34,340.0,-318.36,-690.92,235.35,0.55,18.66,796.3122242562899,414.87666666666667,-1.0,-1.0,-1.0,-1.0
35,350.0,-220.7,-688.48,218.75,0.55,14.78,755.3573742937842,375.97666666666674,-1.0,-1.0,-1.0,-1.0
36,360.0,-127.93,-702.64,208.01,0.55,11.61,743.8663956652431,346.19333333333327,-1.0,-1.0,-1.0,-1.0
37,370.0,11.23,-694.34,177.73,0.55,14.86,716.8138540792862,294.43333333333334,-1.0,-1.0,-1.0,-1.0
38,380.0,163.09,-718.75,151.37,0.54,14.62,752.4046700413282,344.40333333333336,-1.0,-1.0,-1.0,-1.0
39,390.0,330.08,-729.49,118.16,0.54,13.91,809.3641035405511,392.57666666666665,-1.0,-1.0,-1.0,-1.0
40,400.0,490.23,-774.9,80.57,0.53,17.76,920.4819323593484,448.56666666666666,-1.0,-1.0,-1.0,-1.0
41,410.0,653.32,-778.81,56.15,0.53,13.92,1018.0986499352604,496.09333333333336,-1.0,-1.0,-1.0,-1.0
42,420.0,812.5,-764.65,31.25,0.51,15.02,1116.1641613132003,536.1333333333333,-1.0,-1.0,-1.0,-1.0
43,430.0,972.66,-707.03,-10.74,0.5,12.97,1202.5282716427084,563.4766666666667,-1.0,-1.0,-1.0,-1.0
44,440.0,1160.16,-661.13,-79.59,0.48,13.74,1337.6840698012368,633.6266666666667,-1.0,-1.0,-1.0,-1.0
45,450.0,1433.59,-563.48,-181.64,0.47,11.52,1551.026462733631,726.2366666666667,-1.0,-1.0,-1.0,-1.0
46,460.0,1761.72,-431.15,-310.55,0.46,15.72,1840.1056989749256,834.4733333333335,-1.0,-1.0,-1.0,-1.0
47,470.0,1999.94,-283.69,-400.39,0.45,14.14,2059.260102998162,894.6733333333333,-1.0,-1.0,-1.0,-1.0
48,480.0,1999.94,-197.75,-407.71,0.44,13.13,2050.6322220720126,868.4666666666667,-1.0,-1.0,-1.0,-1.0
49,490.0,1999.94,-88.87,-375.0,0.44,16.9,2036.7333847364512,821.27,-1.0,-1.0,-1.0,-1.0
50,500.0,1999.94,-5.37,-358.4,0.36,13.67,2031.8069299271524,787.9033333333333,-1.0,-1.0,-1.0,-1.0
51,510.0,1999.94,39.06,-350.59,0.42,15.83,2030.8124077078119,796.5300000000002,-1.0,-1.0,-1.0,-1.0
52,520.0,1999.94,34.67,-330.08,0.42,13.0,2027.2924847934494,788.23,-1.0,-1.0,-1.0,-1.0
53,530.0,1999.94,103.52,-296.39,0.41,14.83,2024.4316303841929,799.9499999999998,-1.0,-1.0,-1.0,-1.0
54,540.0,1999.94,189.94,-271.48,0.41,16.25,2027.199693567459,820.4533333333335,-1.0,-1.0,-1.0,-1.0
55,550.0,1974.12,265.62,-233.89,0.41,16.63,2005.5942488200344,824.5433333333333,-1.0,-1.0,-1.0,-1.0
56,560.0,1842.77,333.01,-192.87,0.42,12.5,1882.523776715715,789.5499999999997,-1.0,-1.0,-1.0,-1.0
57,570.0,1639.65,425.29,-185.06,0.42,15.16,1703.9867693735187,750.0,-1.0,-1.0,-1.0,-1.0
58,580.0,1405.76,468.26,-178.71,0.43,13.8,1492.436219508224,684.2433333333332,-1.0,-1.0,-1.0,-1.0
59,590.0,1187.5,494.14,-158.69,0.43,8.9,1295.9603025170175,613.4433333333333,-1.0,-1.0,-1.0,-1.0
60,600.0,982.42,525.88,-133.79,0.43,14.62,1122.3184017470264,547.3633333333332,-1.0,-1.0,-1.0,-1.0
61,610.0,815.43,563.48,-134.28,0.43,13.19,1000.2334296053097,504.39666666666665,-1.0,-1.0,-1.0,-1.0
62,620.0,626.95,572.27,-146.48,0.42,18.16,861.40330031873,448.56666666666666,-1.0,-1.0,-1.0,-1.0
63,630.0,449.22,548.34,-202.15,0.41,15.04,737.1159925683339,399.90333333333336,-1.0,-1.0,-1.0,-1.0
64,640.0,312.99,532.71,-246.09,0.39,14.96,665.0586232055036,363.93,-1.0,-1.0,-1.0,-1.0
65,650.0,192.87,513.18,-261.23,0.39,12.99,607.2838398969627,322.4266666666667,-1.0,-1.0,-1.0,-1.0
66,660.0,121.09,487.3,-241.7,0.35,11.42,557.2638227087776,283.36333333333334,-1.0,-1.0,-1.0,-1.0
67,670.0,29.3,475.1,-190.43,0.36,15.06,512.6812702839845,231.61,-1.0,-1.0,-1.0,-1.0
68,680.0,-21.48,524.9,-175.78,0.35,13.71,553.967516015154,240.72,-1.0,-1.0,-1.0,-1.0
69,690.0,-41.99,531.74,-147.46,0.35,20.08,553.4031435581118,240.39666666666668,-1.0,-1.0,-1.0,-1.0
70,700.0,41.99,504.88,-167.97,0.35,14.28,533.7423492660106,238.28,-1.0,-1.0,-1.0,-1.0
71,710.0,147.46,506.84,-165.53,0.36,15.13,553.2010648037474,273.27666666666664,-1.0,-1.0,-1.0,-1.0
