,time,acc_x,acc_y,acc_z,pulse,eda,VM,SMA,SCR_VM,SCR_SMA,SCR_VM_AVG,SCR_SMA_AVG
0,0.0,-810.06,-137.21,519.04,0.0,0.15,971.8159853079179,488.77,-1.0,-1.0,-1.0,-1.0
1,10.0,-784.67,-127.93,521.0,0.0,0.21,950.5335837307381,477.8666666666666,-1.0,-1.0,-1.0,-1.0
2,20.0,-771.0,-138.18,485.84,0.0,0.16,921.7240465562347,465.00666666666666,-1.0,-1.0,-1.0,-1.0
3,30.0,-772.95,-139.16,455.57,0.0,0.28,907.9434084787443,455.8933333333334,-1.0,-1.0,-1.0,-1.0
4,40.0,-773.44,-118.65,475.1,0.0,0.21,915.4273680090628,455.73,-1.0,-1.0,-1.0,-1.0
5,50.0,-814.94,-96.68,501.46,0.0,0.24,961.7361164061584,471.0266666666667,-1.0,-1.0,-1.0,-1.0
6,60.0,-858.89,-85.45,490.23,0.0,0.18,992.6324533783893,478.19000000000005,-1.0,-1.0,-1.0,-1.0
7,70.0,-899.41,-93.75,486.82,0.0,0.27,1026.9961650366567,493.32666666666665,-1.0,-1.0,-1.0,-1.0
8,80.0,-899.9,-91.31,493.16,0.0,0.2,1030.2253693731288,494.79,-1.0,-1.0,-1.0,-1.0
9,90.0,-889.16,-97.66,483.4,0.0,0.24,1016.7686763467883,490.07333333333327,-1.0,-1.0,-1.0,-1.0
10,100.0,-881.35,-108.4,436.04,0.0,0.18,989.2720880020823,475.26333333333326,-1.0,-1.0,-1.0,-1.0
11,110.0,-861.33,-124.51,406.25,0.0,0.25,960.4328042606627,464.03,-1.0,-1.0,-1.0,-1.0
12,120.0,-851.56,-141.11,382.32,0.0,0.16,944.0524604596927,458.33,-1.0,-1.0,-1.0,-1.0
13,130.0,-859.37,-135.74,357.42,0.0,0.21,940.5802469220796,450.8433333333333,-1.0,-1.0,-1.0,-1.0
14,140.0,-866.21,-88.87,349.61,0.0,0.16,938.3201975338696,434.8966666666667,-1.0,-1.0,-1.0,-1.0
15,150.0,-878.42,-96.19,351.07,0.0,0.24,950.8545406107075,441.89333333333326,-1.0,-1.0,-1.0,-1.0
16,160.0,-918.46,-119.14,336.43,0.0,0.19,985.3670666812444,458.0100000000001,-1.0,-1.0,-1.0,-1.0
17,170.0,-921.87,-166.5,322.75,0.0,0.29,990.8249640577291,470.3733333333333,-1.0,-1.0,-1.0,-1.0
18,180.0,-912.6,-178.22,330.08,0.0,0.15,986.6883676217128,473.63333333333327,-1.0,-1.0,-1.0,-1.0
19,190.0,-904.3,-203.12,332.52,0.0,0.23,984.6754667401843,479.98,-1.0,-1.0,-1.0,-1.0
20,200.0,-900.39,-218.26,339.84,0.0,0.13,986.8286605586604,486.16333333333336,-1.0,-1.0,-1.0,-1.0
21,210.0,-882.81,-234.37,366.21,0.0,0.2,984.0693863239521,494.4633333333333,-1.0,-1.0,-1.0,-1.0
22,220.0,-861.33,-256.35,313.48,0.0,0.16,951.7743439492367,477.0533333333333,-1.0,-1.0,-1.0,-1.0
23,230.0,-869.14,-301.27,248.54,0.0,0.23,952.8589004149563,472.9833333333333,-1.0,-1.0,-1.0,-1.0
24,240.0,-859.37,-332.03,192.87,0.0,0.0,941.2542455149936,461.42333333333335,-1.0,-1.0,-1.0,-1.0
25,250.0,-884.28,-371.09,97.17,0.0,0.21,963.8988097305651,450.8466666666666,-1.0,-1.0,-1.0,-1.0
26,260.0,-907.71,-382.81,-4.39,0.0,0.12,985.1396917696496,431.6366666666667,-1.0,-1.0,-1.0,-1.0
27,270.0,-919.43,-415.53,-13.18,0.0,0.21,1009.0542196532354,449.38000000000005,-1.0,-1.0,-1.0,-1.0
28,280.0,-936.04,-437.5,93.26,0.0,0.13,1037.4365326129594,488.9333333333333,-1.0,-1.0,-1.0,-1.0
29,290.0,-928.22,-390.14,232.42,0.0,0.21,1033.3540750391417,516.9266666666667,-1.0,-1.0,-1.0,-1.0
30,300.0,-899.41,-325.2,381.35,0.0,0.13,1029.6218774870704,535.32,-1.0,-1.0,-1.0,-1.0
31,310.0,-850.1,-287.6,459.96,0.0,0.2,1008.4378868328977,532.5533333333334,-1.0,-1.0,-1.0,-1.0
32,320.0,-804.2,-242.19,475.1,0.0,0.18,964.9423019538527,507.16333333333336,-1.0,-1.0,-1.0,-1.0
33,330.0,-773.93,-223.14,495.12,0.0,0.2,945.464393248101,497.3966666666667,-1.0,-1.0,-1.0,-1.0
34,340.0,-764.16,-228.03,497.07,0.0,0.18,939.6897208121412,496.42,-1.0,-1.0,-1.0,-1.0
35,350.0,-779.79,-221.68,530.76,0.0,0.21,968.9791762984382,510.7433333333333,-1.0,-1.0,-1.0,-1.0
36,360.0,-793.46,-205.57,557.13,0.0,0.12,991.0759977922984,518.7199999999998,-1.0,-1.0,-1.0,-1.0
37,370.0,-809.08,-191.41,586.91,0.0,0.21,1017.6991611473402,529.1333333333333,-1.0,-1.0,-1.0,-1.0
38,380.0,-807.62,-190.43,600.59,0.0,0.14,1024.3153798513426,532.88,-1.0,-1.0,-1.0,-1.0
39,390.0,-821.29,-182.62,605.96,0.0,0.21,1036.8485183960097,536.6233333333333,-1.0,-1.0,-1.0,-1.0
40,400.0,-845.21,-150.88,593.75,0.0,0.12,1043.879198470781,529.9466666666667,-1.0,-1.0,-1.0,-1.0
41,410.0,-892.09,-123.05,545.41,0.0,0.2,1052.8237928067542,520.1833333333333,-1.0,-1.0,-1.0,-1.0
42,420.0,-929.69,-153.81,514.16,0.0,0.0,1073.4717126221815,532.5533333333333,-1.0,-1.0,-1.0,-1.0
43,430.0,-991.7,-152.83,506.35,0.0,0.16,1123.9289218629442,550.2933333333334,-1.0,-1.0,-1.0,-1.0
44,440.0,-1040.53,-164.55,502.93,0.0,0.18,1167.3551166204738,569.3366666666667,-1.0,-1.0,-1.0,-1.0
45,450.0,-1077.64,-188.48,482.42,0.0,0.23,1195.6428130507875,582.8466666666667,-1.0,-1.0,-1.0,-1.0
46,460.0,-1081.54,-204.59,437.99,0.0,0.19,1184.6607446015926,574.7066666666666,-1.0,-1.0,-1.0,-1.0
47,470.0,-1067.87,-239.75,394.53,0.0,0.23,1163.391731232434,567.3833333333333,-1.0,-1.0,-1.0,-1.0
48,480.0,-1169.92,-243.16,333.01,0.0,0.21,1240.4576784800038,582.0300000000002,-1.0,-1.0,-1.0,-1.0
49,490.0,-1144.53,-297.85,296.39,0.0,0.26,1219.2253997928358,579.59,-1.0,-1.0,-1.0,-1.0
50,500.0,-1107.91,-322.75,296.87,0.0,0.16,1191.5384708434724,575.8433333333334,-1.0,-1.0,-1.0,-1.0
51,510.0,-1145.02,-325.68,297.85,0.0,0.26,1227.1319755022278,589.5166666666668,-1.0,-1.0,-1.0,-1.0
52,520.0,-1164.55,-333.5,270.02,0.0,0.12,1241.0921613240496,589.3566666666667,-1.0,-1.0,-1.0,-1.0
53,530.0,-1163.09,-339.36,244.14,0.0,0.2,1235.9400864524134,582.1966666666666,-1.0,-1.0,-1.0,-1.0
54,540.0,-1149.41,-362.79,263.18,0.0,0.13,1233.7032238751754,591.7933333333334,-1.0,-1.0,-1.0,-1.0
55,550.0,-1110.84,-372.07,267.58,0.0,0.19,1201.6657800320352,583.4966666666667,-1.0,-1.0,-1.0,-1.0
56,560.0,-1024.41,-347.66,319.82,0.0,0.1,1128.0816265235421,563.9633333333334,-1.0,-1.0,-1.0,-1.0
57,570.0,-984.86,-240.72,409.18,0.0,0.23,1093.3085613860344,544.92,-1.0,-1.0,-1.0,-1.0
58,580.0,-981.93,-170.9,476.56,0.0,0.14,1104.7636708816958,543.13,-1.0,-1.0,-1.0,-1.0
59,590.0,-973.63,-147.46,502.44,0.0,0.21,1105.5070248985305,541.1766666666666,-1.0,-1.0,-1.0,-1.0
60,600.0,-1001.46,-93.75,470.21,0.0,0.12,1110.3191605119675,521.8066666666667,-1.0,-1.0,-1.0,-1.0
61,610.0,-1054.69,-102.54,475.1,0.0,0.13,1161.2947333472239,544.11,-1.0,-1.0,-1.0,-1.0
62,620.0,-1104.0,-118.16,490.72,0.0,0.08,1213.9126426559696,570.96,-1.0,-1.0,-1.0,-1.0
63,630.0,-1081.54,-128.42,511.72,0.0,0.11,1203.361054048202,573.8933333333333,-1.0,-1.0,-1.0,-1.0
64,640.0,-1088.38,-135.25,500.0,0.0,0.05,1205.3479111443305,574.5433333333334,-1.0,-1.0,-1.0,-1.0
65,650.0,-1160.64,-123.54,471.19,0.0,0.12,1258.7165516112038,585.1233333333333,-1.0,-1.0,-1.0,-1.0
66,660.0,-1202.15,-96.68,414.06,0.0,0.1,1275.130318242022,570.9633333333334,-1.0,-1.0,-1.0,-1.0
67,670.0,-1031.25,-74.22,363.77,0.0,0.13,1096.044608490001,489.7466666666666,-1.0,-1.0,-1.0,-1.0
68,680.0,-894.04,-7.32,336.91,0.0,0.08,955.44201922461,412.75666666666666,-1.0,-1.0,-1.0,-1.0
69,690.0,-764.16,-11.23,305.18,0.0,0.11,822.9225060113498,360.19,-1.0,-1.0,-1.0,-1.0
70,700.0,-716.31,-86.43,345.7,0.0,0.09,800.0491553648437,382.8133333333333,-1.0,-1.0,-1.0,-1.0
71,710.0,-856.45,-11.23,400.88,0.0,0.11,945.6941840785527,422.8533333333333,-1.0,-1.0,-1.0,-1.0
72,720.0,-838.87,-125.98,414.55,0.0,0.06,944.1533454900217,459.8,-1.0,-1.0,-1.0,-1.0
73,730.0,-848.14,-106.45,425.78,0.0,0.1,954.9668426181088,460.1233333333333,-1.0,-1.0,-1.0,-1.0
74,740.0,-916.02,-64.45,454.59,0.0,0.1,1024.645553838009,478.3533333333333,-1.0,-1.0,-1.0,-1.0
75,750.0,-973.14,-10.74,477.05,0.0,0.1,1083.8327867803225,486.97666666666674,-1.0,-1.0,-1.0,-1.0
76,760.0,-941.89,16.11,525.39,0.0,0.03,1078.6338379172053,494.4633333333333,-1.0,-1.0,-1.0,-1.0
77,770.0,-887.21,48.83,612.3,0.0,0.13,1079.0909336103236,516.1133333333332,-1.0,-1.0,-1.0,-1.0
78,780.0,-864.75,42.97,666.5,0.0,0.1,1092.6395715879962,524.74,-1.0,-1.0,-1.0,-1.0
79,790.0,-916.02,110.35,754.39,0.0,0.1,1191.7944600475369,593.5866666666666,-1.0,-1.0,-1.0,-1.0
80,800.0,-894.53,41.5,763.18,0.0,0.09,1176.583989054755,566.4033333333333,-1.0,-1.0,-1.0,-1.0
81,810.0,-887.21,11.72,748.54,0.0,0.11,1160.8579043535,549.1566666666666,-1.0,-1.0,-1.0,-1.0
82,820.0,-1068.85,147.95,693.36,0.0,0.05,1282.6057908024584,636.7199999999998,-1.0,-1.0,-1.0,-1.0
83,830.0,-1096.19,96.19,652.83,0.0,0.09,1279.481160900777,615.07,-1.0,-1.0,-1.0,-1.0
84,840.0,-933.59,15.14,652.83,0.0,0.05,1139.3008894054285,533.8533333333334,-1.0,-1.0,-1.0,-1.0
85,850.0,-882.32,10.25,704.1,0.0,0.12,1128.8713190173628,532.2233333333334,-1.0,-1.0,-1.0,-1.0
86,860.0,-759.77,-55.66,828.61,0.0,0.1,1125.5856345032128,548.0133333333333,-1.0,-1.0,-1.0,-1.0
87,870.0,-932.62,-164.55,945.31,0.0,0.09,1338.0836158476793,680.8266666666667,-1.0,-1.0,-1.0,-1.0
88,880.0,-865.23,-209.96,946.78,0.0,0.1,1299.653231789157,673.99,-1.0,-1.0,-1.0,-1.0
89,890.0,-799.32,-59.08,866.21,0.0,0.16,1180.136717884839,574.87,-1.0,-1.0,-1.0,-1.0
90,900.0,-717.77,93.26,741.21,0.0,0.16,1035.9939500788603,517.4133333333333,-1.0,-1.0,-1.0,-1.0
91,910.0,-621.09,139.16,687.01,0.0,0.13,936.5367231454406,482.42,-1.0,-1.0,-1.0,-1.0
92,920.0,-535.16,271.0,629.39,0.0,0.11,869.4647765723462,478.51666666666665,-1.0,-1.0,-1.0,-1.0
93,930.0,-449.71,370.12,561.52,0.0,0.18,809.0318960955742,460.45,-1.0,-1.0,-1.0,-1.0
94,940.0,-449.71,361.82,479.49,0.0,0.1,750.3755437112807,430.34,-1.0,-1.0,-1.0,-1.0
95,950.0,-486.82,323.24,450.68,0.0,0.13,737.9635982892381,420.2466666666666,-1.0,-1.0,-1.0,-1.0
