,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00296.87,-00896.48,00427.73,0.00,0.10
1,10,-00269.04,-00892.09,00404.30,0.00,0.00
2,20,-00277.34,-00893.07,00404.30,0.00,0.10
3,30,-00280.76,-00890.62,00415.53,0.00,0.00
4,40,-00292.48,-00901.37,00421.87,0.00,0.13
5,50,-00301.27,-00891.60,00419.92,0.00,0.00
6,60,-00289.06,-00898.93,00431.15,0.00,0.10
7,70,-00291.99,-00886.23,00428.71,0.00,0.00
8,80,-00302.25,-00884.28,00420.90,0.00,0.10
9,90,-00286.13,-00888.67,00418.95,0.00,0.00
10,100,-00289.06,-00881.35,00418.46,0.00,0.12
11,110,-00294.43,-00869.63,00407.23,0.00,0.00
12,120,-00291.99,-00883.79,00412.11,0.00,0.10
13,130,-00291.02,-00876.46,00417.48,0.00,0.00
14,140,-00290.53,-00859.37,00429.20,0.00,0.13
15,150,-00303.22,-00892.09,00418.46,0.00,0.00
16,160,-00271.97,-00877.44,00422.85,0.00,0.10
17,170,-00295.90,-00869.63,00437.99,0.00,0.01
18,180,-00276.86,-00862.79,00437.01,0.00,0.12
19,190,-00294.43,-00891.11,00418.46,0.00,0.00
20,200,-00271.48,-00902.34,00424.80,0.00,0.13
21,210,-00284.18,-00876.95,00439.94,0.00,0.00
22,220,-00276.86,-00879.39,00422.36,0.00,0.10
23,230,-00282.23,-00896.97,00437.01,0.00,0.00
24,240,-00279.30,-00897.46,00430.66,0.00,0.10
25,250,-00281.74,-00875.00,00443.36,0.00,0.00
26,260,-00318.36,-00902.83,00450.20,0.00,0.10
27,270,-00318.36,-00918.95,00474.12,0.00,0.00
28,280,-00285.64,-00922.85,00474.12,0.00,0.11
29,290,-00320.80,-00957.03,00495.61,0.00,0.00
30,300,-00298.83,-00975.10,00496.58,0.00,0.11
31,310,-00286.62,-00969.24,00489.75,0.00,0.00
32,320,-00285.16,-00974.61,00482.91,0.00,0.11
33,330,-00282.71,-00969.24,00483.40,0.00,0.00
34,340,-00266.60,-00957.03,00478.52,0.00,0.10
35,350,-00239.26,-00936.04,00473.63,0.00,0.00
36,360,-00237.30,-00914.55,00462.89,0.00,0.10
37,370,-00221.19,-00892.58,00461.43,0.00,0.00
38,380,-00242.19,-00862.79,00468.75,0.00,0.10
39,390,-00255.86,-00857.91,00463.38,0.00,0.00
40,400,-00264.65,-00858.40,00472.66,0.00,0.12
41,410,-00265.62,-00830.08,00458.98,0.00,0.00
42,420,-00277.34,-00839.36,00465.33,0.00,0.10
43,430,-00270.51,-00810.06,00476.07,0.00,0.00
44,440,-00268.07,-00820.31,00458.98,0.00,0.10
45,450,-00277.34,-00800.29,00454.59,0.00,0.00
46,460,-00277.34,-00822.27,00449.71,0.00,0.10
47,470,-00275.88,-00808.11,00452.15,0.00,0.00
48,480,-00277.34,-00797.85,00439.94,0.00,0.10
49,490,-00271.97,-00775.39,00461.43,0.00,0.00
50,500,-00278.32,-00815.43,00402.34,0.00,0.10
51,510,-00264.16,-00739.26,00418.46,0.00,0.00
52,520,-00333.50,-00698.73,00445.80,0.00,0.10
53,530,-00399.90,-00922.85,00387.21,0.00,0.01
54,540,-00300.29,-00642.09,00383.30,0.00,0.10
55,550,-00289.06,-00775.88,00397.95,0.00,0.00
56,560,-00320.80,-00792.97,00390.14,0.00,0.10
57,570,-00338.38,-00763.18,00383.79,0.00,0.00
58,580,-00335.94,-00755.86,00369.14,0.00,0.10
59,590,-00355.47,-00754.88,00374.51,0.00,0.00
60,600,-00353.03,-00763.67,00364.75,0.00,0.10
61,610,-00369.14,-00764.16,00356.93,0.00,0.00
62,620,-00376.95,-00769.04,00356.93,0.00,0.10
63,630,-00375.49,-00767.09,00347.66,0.00,0.00
64,640,-00391.60,-00780.27,00339.36,0.00,0.10
65,650,-00382.32,-00782.71,00345.21,0.00,0.00
66,660,-00382.32,-00796.87,00340.33,0.00,0.10
67,670,-00383.79,-00811.52,00334.96,0.00,0.00
68,680,-00387.70,-00828.61,00342.77,0.00,0.10
69,690,-00382.81,-00826.17,00349.12,0.00,0.00
70,700,-00386.23,-00836.43,00345.70,0.00,0.09
71,710,-00390.62,-00859.37,00336.43,0.00,0.00
72,720,-00421.39,-00877.44,00332.03,0.00,0.10
73,730,-00445.80,-00912.11,00305.18,0.00,0.00
74,740,-00479.49,-00917.48,00283.69,0.00,0.10
75,750,-00477.54,-00954.10,00246.09,0.00,0.00
76,760,-00503.91,-00977.05,00222.66,0.00,0.10
77,770,-00478.03,-01029.79,00178.22,0.00,0.00
78,780,-00487.30,-01037.60,00159.67,0.00,0.10
79,790,-00488.28,-01077.64,00150.88,0.00,0.00
80,800,-00491.70,-01092.29,00144.53,0.00,0.10
81,810,-00507.81,-00992.68,00161.13,0.00,0.00
82,820,-00508.30,-01075.20,00153.32,0.00,0.10
83,830,-00531.74,-01036.62,00161.62,0.00,0.00
84,840,-00548.83,-01045.90,00184.57,0.00,0.10
85,850,-00568.36,-01002.44,00199.71,0.00,0.01
86,860,-00533.69,-01016.60,00204.59,0.00,0.11
87,870,-00562.99,-00979.49,00217.77,0.00,0.00
88,880,-00556.64,-01034.67,00195.80,0.00,0.10
89,890,-00539.06,-00956.54,00192.38,0.00,0.00
90,900,-00570.31,-00973.63,00211.43,0.00,0.10
91,910,-00527.83,-00977.54,00199.22,0.00,0.00
92,920,-00519.04,-00958.98,00230.47,0.00,0.09
93,930,-00547.36,-00957.52,00242.19,0.00,0.00
94,940,-00557.13,-00970.70,00248.05,0.00,0.07
95,950,-00548.34,-00950.68,00241.70,0.00,0.00
96,960,-00562.99,-00933.11,00240.72,0.00,0.09
97,970,-00539.55,-00914.55,00217.77,0.00,0.00
98,980,-00524.90,-00875.49,00198.73,0.00,0.10
99,990,-00531.25,-00862.79,00191.41,0.00,0.00
100,1000,-00526.37,-00811.04,00168.95,0.00,0.09
101,1010,-00525.88,-00808.11,00169.92,0.00,0.00
102,1020,-00521.97,-00794.92,00168.95,0.00,0.09
103,1030,-00539.55,-00748.05,00186.04,0.00,0.00
104,1040,-00539.55,-00785.64,00191.89,0.00,0.09
105,1050,-00551.27,-00731.93,00201.66,0.00,0.01
106,1060,-00570.80,-00713.38,00193.85,0.00,0.10
107,1070,-00548.34,-00700.20,00196.78,0.00,0.00
108,1080,-00549.80,-00678.22,00200.20,0.00,0.10
109,1090,-00556.64,-00675.29,00180.66,0.00,0.02
110,1100,-00564.94,-00651.86,00197.75,0.00,0.08
111,1110,-00563.96,-00637.21,00177.25,0.00,0.01
112,1120,-00567.87,-00672.36,00176.76,0.00,0.12
113,1130,-00578.12,-00673.83,00186.52,0.00,0.04
114,1140,-00563.48,-00680.66,00199.71,0.00,0.09
115,1150,-00576.66,-00709.47,00191.41,0.00,0.00
116,1160,-00581.05,-00733.40,00193.85,0.00,0.09
117,1170,-00556.64,-00747.56,00201.66,0.00,0.01
118,1180,-00546.87,-00734.37,00196.29,0.00,0.10
119,1190,-00533.20,-00744.14,00206.05,0.00,0.01
120,1200,-00538.09,-00773.93,00217.29,0.00,0.10
121,1210,-00540.53,-00783.69,00210.45,0.00,0.01
122,1220,-00525.88,-00789.06,00197.75,0.00,0.10
123,1230,-00521.00,-00772.95,00212.89,0.00,0.01
124,1240,-00521.97,-00777.83,00206.05,0.00,0.08
125,1250,-00526.86,-00785.16,00225.59,0.00,0.01
126,1260,-00545.41,-00775.88,00227.54,0.00,0.09
127,1270,-00541.02,-00788.09,00225.10,0.00,0.00
128,1280,-00552.73,-00794.43,00244.14,0.00,0.10
129,1290,-00544.92,-00811.52,00223.14,0.00,0.01
130,1300,-00524.41,-00836.91,00232.91,0.00,0.10
131,1310,-00543.95,-00828.12,00249.02,0.00,0.00
132,1320,-00547.85,-00864.26,00271.97,0.00,0.10
133,1330,-00561.52,-00864.75,00277.34,0.00,0.01
134,1340,-00548.83,-00883.30,00275.88,0.00,0.09
135,1350,-00532.71,-00891.11,00269.04,0.00,0.00
136,1360,-00509.28,-00910.16,00268.07,0.00,0.09
137,1370,-00516.11,-00908.20,00250.98,0.00,0.04
138,1380,-00509.28,-00916.99,00256.84,0.00,0.10
139,1390,-00500.00,-00926.76,00263.67,0.00,0.01
140,1400,-00475.59,-00925.78,00274.90,0.00,0.09
141,1410,-00467.29,-00934.57,00260.25,0.00,0.00
142,1420,-00457.03,-00916.02,00287.11,0.00,0.10
143,1430,-00469.24,-00905.27,00312.99,0.00,0.03
144,1440,-00456.54,-00898.93,00313.96,0.00,0.09
145,1450,-00443.36,-00872.07,00320.31,0.00,0.06
146,1460,-00423.83,-00862.30,00283.20,0.00,0.10
147,1470,-00422.85,-00853.52,00260.25,0.00,0.01
148,1480,-00409.67,-00827.15,00274.90,0.00,0.10
149,1490,-00398.44,-00804.20,00271.97,0.00,0.02
150,1500,-00500.49,-00799.80,00261.72,0.00,0.09
151,1510,-00588.87,-00798.34,00250.98,0.00,0.00
152,1520,-00628.42,-00817.38,00332.52,0.00,0.09
153,1530,-00590.33,-00823.73,00403.32,0.00,0.00
154,1540,-00520.51,-00835.94,00487.30,0.00,0.13
155,1550,-00433.11,-00836.43,00532.71,0.00,0.01
156,1560,-00357.42,-00847.66,00521.97,0.00,0.10
157,1570,-00325.68,-00864.26,00517.58,0.00,0.00
158,1580,-00325.68,-00883.79,00501.46,0.00,0.10
159,1590,-00340.82,-00907.23,00498.05,0.00,0.00
160,1600,-00339.36,-00951.66,00507.32,0.00,0.10
161,1610,-00428.22,-01006.84,00485.84,0.00,0.00
162,1620,-00468.26,-01040.53,00437.50,0.00,0.10
163,1630,-00440.92,-01025.39,00440.43,0.00,0.00
164,1640,-00400.39,-01042.48,00458.98,0.00,0.08
165,1650,-00354.49,-01050.29,00488.28,0.00,0.00
166,1660,-00290.53,-01039.55,00499.02,0.00,0.09
167,1670,-00229.00,-01035.64,00492.19,0.00,0.00
168,1680,-00184.08,-01032.71,00516.11,0.00,0.09
169,1690,-00159.18,-01036.62,00497.56,0.00,0.00
170,1700,-00123.54,-01042.97,00479.98,0.00,0.07
171,1710,-00129.88,-01045.41,00459.47,0.00,0.01
172,1720,-00172.36,-01047.36,00402.83,0.00,0.10
173,1730,-00217.29,-01017.58,00406.74,0.00,0.01
174,1740,-00180.66,-00987.30,00427.73,0.00,0.10
175,1750,-00129.88,-01012.21,00444.82,0.00,0.00
176,1760,-00057.62,-01008.30,00479.49,0.00,0.09
177,1770,00000.49,-01015.62,00460.45,0.00,0.04
178,1780,00033.69,-01041.02,00456.54,0.00,0.08
179,1790,00057.13,-01071.78,00460.45,0.00,0.00
180,1800,00074.22,-01070.80,00442.87,0.00,0.09
181,1810,00062.01,-01079.59,00446.29,0.00,0.00
182,1820,00028.32,-01075.20,00451.17,0.00,0.10
