,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00122.56,-00050.29,00985.84,0.00,0.00
1,10,-00146.48,-00059.57,00988.28,0.27,15.83
2,20,-00146.48,-00051.76,00997.56,0.00,0.00
3,30,-00127.44,-00046.88,00981.93,0.26,16.01
4,40,-00126.95,-00059.57,00999.02,0.00,0.00
5,50,-00139.65,-00067.87,01005.86,0.25,15.73
6,60,-00139.16,-00055.66,00988.28,0.00,0.00
7,70,-00133.79,-00049.32,00983.40,0.27,16.08
8,80,-00147.46,-00057.13,00975.59,0.00,0.00
9,90,-00152.83,-00059.57,00988.77,0.27,15.33
10,100,-00141.11,-00051.27,00993.16,0.00,0.00
11,110,-00128.91,-00060.06,00989.75,0.27,15.91
12,120,-00149.41,-00045.41,00975.59,0.00,0.00
13,130,-00152.34,-00044.92,00982.91,0.25,16.15
14,140,-00136.23,-00044.92,00994.14,0.00,0.00
15,150,-00107.42,-00059.57,00980.96,0.26,15.95
16,160,-00138.67,-00054.69,00980.96,0.00,0.00
17,170,-00124.02,-00062.50,00997.07,0.26,15.33
18,180,-00144.53,-00057.13,00975.59,0.00,0.00
19,190,-00152.83,-00066.41,00988.28,0.25,15.78
20,200,-00122.07,-00048.83,00994.63,0.00,0.00
21,210,-00127.93,-00058.59,00987.30,0.27,16.04
22,220,-00115.72,-00052.25,00987.79,0.00,0.00
23,230,-00142.09,-00046.39,00988.28,0.25,15.62
24,240,-00128.42,-00044.92,00995.12,0.00,0.00
25,250,-00151.37,-00049.32,00997.07,0.27,15.92
26,260,-00144.53,-00056.15,00996.09,0.00,0.00
27,270,-00134.77,-00061.52,00984.86,0.27,15.72
28,280,-00134.77,-00048.83,00982.42,0.00,0.00
29,290,-00154.30,-00059.57,00978.03,0.26,15.40
30,300,-00144.53,-00064.94,00994.14,0.00,0.00
31,310,-00126.95,-00057.13,00996.09,0.24,15.52
32,320,-00130.37,-00046.39,00985.35,0.00,0.00
33,330,-00140.14,-00042.48,00998.05,0.25,15.62
34,340,-00147.46,-00048.83,00984.37,0.00,0.00
35,350,-00139.16,-00062.50,00986.82,0.26,15.70
36,360,-00142.58,-00046.39,00991.21,0.00,0.00
37,370,-00146.48,-00054.20,00995.12,0.27,15.76
38,380,-00129.88,-00057.13,00992.68,0.00,0.00
39,390,-00139.16,-00064.94,00995.12,0.27,15.49
40,400,-00137.70,-00072.75,00989.75,0.00,0.00
41,410,-00131.35,-00048.34,00989.26,0.27,15.69
42,420,-00137.70,-00053.71,00994.14,0.00,0.00
43,430,-00160.16,-00048.34,00989.26,0.26,15.37
44,440,-00140.62,-00064.45,00987.30,0.00,0.00
45,450,-00134.28,-00044.92,00987.30,0.27,15.72
46,460,-00144.53,-00063.96,00986.82,0.00,0.00
47,470,-00140.14,-00060.55,00991.21,0.26,15.52
48,480,-00150.39,-00065.92,00982.91,0.00,0.00
49,490,-00133.30,-00045.41,00987.30,0.27,15.61
50,500,-00116.70,-00055.18,00987.79,0.00,0.00
51,510,-00129.39,-00042.48,00992.68,0.25,15.30
52,520,-00144.53,-00060.55,00994.14,0.00,0.00
53,530,-00152.34,-00053.71,00994.63,0.26,15.69
54,540,-00145.02,-00054.20,00990.23,0.00,0.00
55,550,-00139.65,-00062.50,00992.68,0.28,15.33
56,560,-00133.30,-00056.64,00994.14,0.00,0.00
57,570,-00159.18,-00058.11,00982.91,0.25,15.11
58,580,-00141.11,-00069.82,01006.84,0.00,0.00
59,590,-00144.04,-00063.96,00990.72,0.26,15.67
60,600,-00134.28,-00062.50,01001.46,0.00,0.00
61,610,-00115.23,-00056.15,00989.75,0.27,15.50
62,620,-00117.19,-00050.29,00998.05,0.00,0.00
63,630,-00146.00,-00055.18,00986.82,0.23,14.96
64,640,-00143.07,-00040.53,00999.51,0.00,0.00
65,650,-00145.51,-00052.25,00987.79,0.27,14.98
66,660,-00141.60,-00048.34,00994.63,0.00,0.00
67,670,-00133.79,-00064.45,01002.93,0.25,15.75
68,680,-00138.67,-00049.32,00992.68,0.00,0.00
69,690,-00130.37,-00055.66,00996.58,0.26,14.86
70,700,-00128.91,-00054.20,00974.12,0.00,0.00
71,710,-00132.81,-00051.27,00995.61,0.28,15.53
72,720,-00116.21,-00060.06,01001.46,0.00,0.00
73,730,-00074.22,-00055.66,01001.46,0.27,15.50
74,740,-00109.37,-00051.76,00995.12,0.00,0.00
75,750,-00136.72,-00052.73,01007.81,0.27,15.34
76,760,-00167.48,-00070.80,00989.26,0.00,0.00
77,770,-00166.50,-00056.64,00996.58,0.26,15.53
78,780,-00154.30,-00092.29,00974.61,0.00,0.00
79,790,-00203.12,-00075.20,00991.21,0.26,15.17
80,800,-00104.00,-00089.84,00987.79,0.00,0.00
81,810,-00119.14,-00077.64,00991.21,0.26,15.51
82,820,-00142.09,-00040.04,00987.79,0.00,0.00
83,830,-00164.06,-00044.92,00969.24,0.25,15.08
84,840,-00123.05,-00048.34,00980.96,0.00,0.00
85,850,-00137.21,-00044.43,00993.65,0.26,14.76
86,860,-00122.56,-00045.41,00999.51,0.00,0.00
87,870,-00079.59,-00054.69,00995.12,0.26,14.73
88,880,-00137.70,-00038.57,00981.93,0.00,0.00
89,890,-00179.69,-00045.41,00980.96,0.26,14.92
90,900,-00196.29,-00051.76,00964.36,0.00,0.00
91,910,-00244.63,-00063.48,00961.91,0.27,14.81
92,920,-00236.33,-00043.95,00965.82,0.00,0.00
93,930,-00209.47,-00041.99,00980.96,0.24,14.69
94,940,-00173.83,-00040.53,00983.89,0.00,0.00
95,950,-00136.72,-00033.69,00988.77,0.27,14.69
96,960,-00138.67,-00030.27,00986.33,0.00,0.00
97,970,-00110.84,-00055.18,00978.03,0.24,4.58
98,980,-00120.61,-00049.80,00981.93,0.00,0.00
99,990,-00151.86,-00041.99,00995.12,0.24,4.06
100,1000,-00206.05,-00027.34,00990.72,0.00,0.00
101,1010,-00186.52,-00028.32,01008.30,0.23,4.79
102,1020,-00113.28,-00017.58,01000.49,0.00,0.00
103,1030,-00063.48,-00022.95,01004.39,0.24,14.61
104,1040,-00018.55,-00020.02,00997.07,0.00,0.00
105,1050,-00048.34,-00030.76,01010.74,0.27,14.51
106,1060,-00012.21,-00039.55,01033.20,0.00,0.00
107,1070,-00119.63,-00029.79,00991.70,0.26,14.81
108,1080,-00197.27,-00040.53,00972.66,0.00,0.00
109,1090,-00236.82,-00044.43,00975.59,0.27,15.14
110,1100,-00280.76,-00033.20,00972.66,0.00,0.00
111,1110,-00258.30,-00039.55,00980.47,0.28,14.80
112,1120,-00243.65,-00035.16,00985.35,0.00,0.00
113,1130,-00253.42,-00040.04,00986.33,0.27,14.98
114,1140,-00172.85,-00041.50,00990.23,0.00,0.00
115,1150,-00139.16,-00041.02,00982.91,0.26,14.70
116,1160,-00134.28,-00046.39,00980.47,0.00,0.00
117,1170,-00143.07,-00035.16,00994.14,0.24,14.76
118,1180,-00103.52,-00056.15,00995.12,0.00,0.00
119,1190,-00104.00,-00054.20,00998.54,0.27,14.71
120,1200,-00134.28,-00065.92,00980.96,0.00,0.00
121,1210,-00126.46,-00091.31,01011.72,0.23,14.94
122,1220,-00126.95,-00101.56,01014.16,0.00,0.00
123,1230,-00151.37,-00060.06,00987.30,0.24,14.52
124,1240,-00224.12,-00066.89,00962.89,0.00,0.00
125,1250,-00173.34,-00045.90,00971.19,0.24,14.37
126,1260,-00140.14,-00043.46,00977.54,0.00,0.00
127,1270,-00163.09,-00053.22,00960.94,0.27,15.30
128,1280,-00150.88,-00053.71,00972.66,0.00,0.00
129,1290,-00156.25,-00056.15,00986.33,0.26,14.67
130,1300,-00139.65,-00056.64,00992.68,0.00,0.00
131,1310,-00148.44,-00053.22,00962.89,0.26,14.75
132,1320,-00146.00,-00056.64,00979.98,0.00,0.00
133,1330,-00168.46,-00033.69,00982.42,0.26,14.84
134,1340,-00184.57,-00025.39,00995.61,0.00,0.00
135,1350,-00171.39,-00041.02,00998.54,0.25,14.49
136,1360,-00199.71,-00039.55,00987.79,0.00,0.00
137,1370,-00174.32,-00018.55,00990.23,0.27,14.56
138,1380,-00153.81,-00032.23,00971.19,0.00,0.00
139,1390,-00144.04,-00012.70,00974.61,0.25,14.13
140,1400,-00127.93,-00026.86,00986.33,0.00,0.00
141,1410,-00110.35,-00031.74,00994.14,0.25,14.36
142,1420,-00115.72,-00025.39,01004.88,0.00,0.00
143,1430,-00156.74,-00033.69,00979.49,0.26,14.37
144,1440,-00150.39,-00048.34,00995.61,0.00,0.00
145,1450,-00206.05,-00039.06,00998.05,0.27,14.22
146,1460,-00221.19,-00037.60,00986.33,0.00,0.00
147,1470,-00215.33,-00034.67,01000.98,0.26,14.07
148,1480,-00221.19,-00028.81,01031.74,0.00,0.00
149,1490,-00182.62,-00001.46,01016.60,0.25,14.04
150,1500,-00164.06,-00060.55,01021.97,0.00,0.00
151,1510,-00135.25,-00043.46,01028.81,0.23,2.57
152,1520,-00144.04,-00053.71,01080.57,0.00,0.35
153,1530,-00189.45,-00052.73,01120.12,0.26,14.41
154,1540,-00178.71,-00062.01,01082.52,0.00,0.00
155,1550,-00118.16,-00040.04,01006.35,0.26,14.63
156,1560,-00161.62,-00037.60,00934.57,0.00,0.00
157,1570,-00115.72,-00060.06,00877.44,0.26,14.04
158,1580,-00143.55,-00021.48,00825.68,0.00,0.00
159,1590,-00061.04,-00040.04,00817.38,0.25,14.31
160,1600,-00039.55,-00046.88,00867.68,0.00,0.00
161,1610,-00067.38,-00038.09,00925.29,0.23,13.75
162,1620,-00104.98,00006.35,01013.67,0.00,0.00
163,1630,-00244.14,-00041.02,01100.59,0.23,14.44
164,1640,-00250.49,-00084.96,01177.73,0.00,0.00
165,1650,-00242.68,-00127.93,01323.24,0.25,14.59
166,1660,-00220.70,-00105.47,01316.41,0.00,0.00
167,1670,-00129.88,-00082.03,01302.25,0.25,14.57
168,1680,-00393.07,-00058.59,01237.79,0.00,0.00
169,1690,-00179.69,00007.32,01185.55,0.23,14.32
170,1700,-00140.14,00023.93,01212.89,0.00,0.00
171,1710,-00218.75,-00022.95,01239.26,0.25,14.73
172,1720,-00246.58,-00015.14,01223.63,0.00,0.00
173,1730,-00196.78,-00024.90,01181.64,0.23,14.22
174,1740,-00112.79,-00047.85,01156.74,0.00,0.00
175,1750,-00049.32,-00045.90,01078.13,0.22,14.23
176,1760,-00033.20,-00045.90,01001.95,0.00,0.00
177,1770,-00018.07,-00003.91,00916.99,0.25,14.28
178,1780,00001.46,00016.60,00874.51,0.00,0.00
179,1790,00025.88,00024.90,00842.77,0.24,14.73
180,1800,00036.62,00011.72,00768.55,0.00,0.00
181,1810,00092.29,00012.21,00668.95,0.22,14.04
182,1820,00090.82,-00010.25,00635.25,0.00,0.00
183,1830,00045.90,-00043.46,00626.46,0.25,14.48
184,1840,-00012.21,-00034.67,00654.30,0.00,0.00
185,1850,-00075.68,-00001.46,00727.05,0.24,13.79
186,1860,-00095.21,00025.88,00784.67,0.00,0.00
187,1870,-00055.66,00027.83,00874.02,0.24,14.34
188,1880,-00067.38,00025.39,00944.34,0.00,0.00
189,1890,-00102.05,00017.09,00994.63,0.22,14.03
190,1900,-00075.68,00019.53,00982.42,0.00,0.00
191,1910,-00063.96,00014.65,00959.96,0.25,14.17
192,1920,-00047.36,00026.86,00914.06,0.00,0.00
193,1930,-00009.77,00045.41,00887.21,0.25,14.34
194,1940,-00019.53,00030.27,00880.37,0.00,0.00
195,1950,-00002.93,00006.84,00893.07,0.22,14.06
196,1960,-00024.41,00010.25,00903.32,0.00,0.00
197,1970,-00030.27,-00009.28,00901.37,0.22,13.65
198,1980,-00017.58,-00019.53,00902.83,0.00,0.00
199,1990,-00060.06,-00021.48,00884.28,0.22,13.96
200,2000,-00052.73,00002.93,00841.31,0.00,0.10
201,2010,-00076.17,00020.02,00815.92,0.25,14.59
202,2020,-00094.24,00017.09,00826.17,0.00,0.00
