,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-01151.37,-00224.61,00578.61,0.00,0.07
1,10,-01171.39,-00235.84,00589.84,0.00,0.07
2,20,-01166.02,-00221.19,00586.91,0.00,0.07
3,30,-01146.00,-00209.47,00601.56,0.00,0.10
4,40,-01077.64,-00231.93,00597.66,0.00,0.07
5,50,-01037.11,-00221.19,00606.45,0.00,0.07
6,60,-00987.30,-00196.29,00633.79,0.00,0.08
7,70,-00968.26,-00238.28,00659.18,0.00,0.07
8,80,-00970.70,-00208.50,00702.64,0.00,0.07
9,90,-01043.95,-00204.59,00768.07,0.00,0.08
10,100,-01044.43,-00222.17,00790.04,0.00,0.09
11,110,-01054.20,-00226.56,00779.30,0.00,0.07
12,120,-01005.37,-00220.21,00766.60,0.00,0.08
13,130,-01035.16,-00196.78,00711.43,0.00,0.07
14,140,-01068.36,-00174.80,00708.98,0.00,0.08
15,150,-01003.91,-00196.78,00750.49,0.00,0.09
16,160,-00922.36,-00206.54,00810.06,0.00,0.07
17,170,-00887.21,-00208.50,00842.29,0.00,0.07
18,180,-00950.68,-00196.78,00824.22,0.00,0.07
19,190,-00937.01,-00201.66,00754.39,0.00,0.07
20,200,-00911.13,-00203.61,00706.54,0.00,0.08
21,210,-00791.50,-00181.15,00713.87,0.00,0.08
22,220,-00691.41,-00192.38,00768.07,0.00,0.07
23,230,-00654.79,-00201.17,00816.41,0.00,0.10
24,240,-00524.41,-00244.63,00854.98,0.00,0.09
25,250,-00431.64,-00239.75,00894.53,0.00,0.07
26,260,-00217.29,-00259.77,00938.48,0.00,0.08
27,270,-00225.10,-00252.44,00959.47,0.00,0.09
28,280,-00205.57,-00307.62,00920.90,0.00,0.06
29,290,-00202.15,-00263.67,00853.03,0.00,0.07
30,300,-00281.25,-00253.91,00760.74,0.00,0.08
31,310,-00157.23,-00267.09,00756.35,0.00,0.08
32,320,-00026.37,-00315.92,00792.97,0.00,0.06
33,330,00039.55,-00339.36,00833.98,0.00,0.07
34,340,00136.23,-00350.10,00839.36,0.00,0.09
35,350,00169.43,-00398.93,00849.61,0.00,0.07
36,360,00167.48,-00416.50,00780.76,0.00,0.08
37,370,00218.75,-00393.55,00726.07,0.00,0.09
38,380,00262.70,-00420.41,00714.36,0.00,0.08
39,390,00354.00,-00446.29,00719.24,0.00,0.07
40,400,00402.83,-00458.50,00740.72,0.00,0.08
41,410,00403.32,-00489.75,00786.62,0.00,0.09
42,420,00453.12,-00532.23,00855.96,0.00,0.08
43,430,00564.94,-00549.32,00890.14,0.00,0.09
44,440,00575.68,-00541.99,00882.32,0.00,0.09
45,450,00530.76,-00503.42,00839.84,0.00,0.07
46,460,00467.77,-00489.26,00844.24,0.00,0.09
47,470,00392.09,-00520.51,00871.58,0.00,0.08
48,480,00397.46,-00473.14,00895.51,0.00,0.09
49,490,00367.19,-00456.54,00954.59,0.00,0.07
50,500,00222.66,-00438.96,01000.00,0.00,0.07
51,510,00201.17,-00388.67,01041.02,0.00,0.08
52,520,00205.57,-00333.01,01056.15,0.00,0.09
53,530,00250.00,-00253.91,01091.31,0.00,0.09
54,540,00286.62,-00316.41,01123.05,0.00,0.07
55,550,00196.29,-00366.21,01142.58,0.00,0.08
56,560,00134.28,-00399.41,01102.54,0.00,0.09
57,570,00033.69,-00381.84,01050.29,0.00,0.07
58,580,-00044.92,-00359.86,01018.55,0.00,0.09
59,590,-00054.20,-00333.50,01032.23,0.00,0.07
