,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00050.29,00475.10,-00178.71,0.38,14.83
1,10,00055.18,00511.23,-00184.08,0.38,15.25
2,20,00106.93,00525.39,-00173.34,0.37,17.78
3,30,00152.34,00562.50,-00176.76,0.37,14.91
4,40,00198.73,00595.21,-00198.24,0.38,15.06
5,50,00333.50,00579.10,-00249.51,0.37,15.58
6,60,00558.59,00550.78,-00301.27,0.36,14.69
7,70,00816.89,00504.39,-00341.31,0.36,14.51
8,80,01082.52,00493.16,-00402.83,0.35,17.64
9,90,01288.09,00470.21,-00476.07,0.35,14.06
10,100,01589.84,00436.52,-00602.54,0.33,14.53
11,110,01812.99,00426.76,-00698.73,0.33,14.33
12,120,01999.94,00354.49,-00805.66,0.33,10.39
13,130,01999.94,00318.85,-00834.96,0.31,14.32
14,140,01999.94,00222.17,-00823.24,0.30,12.20
15,150,01999.94,00112.79,-00754.88,0.30,21.09
16,160,01999.94,-00029.30,-00639.16,0.29,15.42
17,170,01999.94,-00178.22,-00517.58,0.29,14.75
18,180,01999.94,-00198.24,-00402.83,0.29,15.84
19,190,01999.94,-00232.42,-00309.08,0.29,7.90
20,200,01792.97,-00233.89,-00185.55,0.30,14.44
21,210,01579.59,-00216.80,-00114.26,0.32,15.07
22,220,01346.68,-00236.82,-00058.11,0.34,16.60
23,230,01115.72,-00297.85,-00029.30,0.36,14.36
24,240,00905.76,-00362.30,00020.51,0.39,15.06
25,250,00730.96,-00418.95,00051.27,0.43,20.74
26,260,00547.36,-00484.86,00102.05,0.45,14.67
27,270,00364.26,-00560.06,00158.69,0.49,15.08
28,280,00167.97,-00581.05,00182.13,0.51,17.99
29,290,-00075.68,-00638.18,00208.98,0.52,14.97
30,300,-00251.46,-00687.99,00212.89,0.54,13.28
31,310,-00358.40,-00720.70,00243.65,0.55,17.30
32,320,-00416.50,-00719.24,00256.35,0.55,14.56
33,330,-00412.11,-00688.48,00258.30,0.55,13.74
34,340,-00318.36,-00690.92,00235.35,0.55,18.66
35,350,-00220.70,-00688.48,00218.75,0.55,14.78
36,360,-00127.93,-00702.64,00208.01,0.55,11.61
37,370,00011.23,-00694.34,00177.73,0.55,14.86
38,380,00163.09,-00718.75,00151.37,0.54,14.62
39,390,00330.08,-00729.49,00118.16,0.54,13.91
40,400,00490.23,-00774.90,00080.57,0.53,17.76
41,410,00653.32,-00778.81,00056.15,0.53,13.92
42,420,00812.50,-00764.65,00031.25,0.51,15.02
43,430,00972.66,-00707.03,-00010.74,0.50,12.97
44,440,01160.16,-00661.13,-00079.59,0.48,13.74
45,450,01433.59,-00563.48,-00181.64,0.47,11.52
46,460,01761.72,-00431.15,-00310.55,0.46,15.72
47,470,01999.94,-00283.69,-00400.39,0.45,14.14
48,480,01999.94,-00197.75,-00407.71,0.44,13.13
49,490,01999.94,-00088.87,-00375.00,0.44,16.90
50,500,01999.94,-00005.37,-00358.40,0.36,13.67
51,510,01999.94,00039.06,-00350.59,0.42,15.83
52,520,01999.94,00034.67,-00330.08,0.42,13.00
53,530,01999.94,00103.52,-00296.39,0.41,14.83
54,540,01999.94,00189.94,-00271.48,0.41,16.25
55,550,01974.12,00265.62,-00233.89,0.41,16.63
56,560,01842.77,00333.01,-00192.87,0.42,12.50
57,570,01639.65,00425.29,-00185.06,0.42,15.16
58,580,01405.76,00468.26,-00178.71,0.43,13.80
