,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00804.69,00376.46,00380.86,0.39,18.40
1,10,00805.18,00380.37,00360.35,0.39,18.35
2,20,00803.71,00370.12,00365.23,0.39,18.45
3,30,00797.85,00367.68,00374.02,0.39,18.46
4,40,00778.81,00361.82,00367.19,0.39,18.46
5,50,00792.97,00373.54,00375.00,0.40,18.32
6,60,00775.39,00347.66,00364.75,0.39,18.44
7,70,00804.20,00366.70,00388.67,0.40,18.52
8,80,00815.92,00355.47,00396.97,0.40,18.41
9,90,00865.23,00372.56,00378.91,0.40,18.43
10,100,00842.77,00369.63,00397.46,0.40,18.40
11,110,00867.19,00366.70,00377.93,0.39,19.13
12,120,00873.54,00371.58,00385.74,0.39,18.43
13,130,00879.39,00359.37,00394.04,0.39,18.48
14,140,00856.93,00360.35,00403.32,0.39,18.45
15,150,00863.77,00351.07,00410.64,0.39,18.45
16,160,00864.26,00346.68,00429.20,0.39,18.40
17,170,00849.12,00354.49,00429.69,0.38,18.50
18,180,00843.75,00360.35,00419.92,0.38,18.36
19,190,00881.35,00356.93,00431.15,0.38,18.46
20,200,00881.35,00330.08,00430.66,0.37,18.40
21,210,00935.06,00340.82,00424.80,0.37,18.39
22,220,00957.52,00331.54,00416.50,0.38,18.46
23,230,00989.26,00335.94,00418.46,0.39,18.44
24,240,01021.48,00329.59,00444.34,0.40,18.44
25,250,01007.32,00333.01,00451.17,0.43,18.26
26,260,00988.28,00341.31,00476.56,0.46,18.79
27,270,00967.29,00359.86,00483.40,0.50,18.49
28,280,00936.04,00362.79,00471.68,0.54,18.74
29,290,00949.22,00386.23,00458.50,0.57,18.40
30,300,00965.82,00367.68,00464.84,0.61,18.52
31,310,00962.89,00364.26,00450.20,0.64,18.46
32,320,00959.47,00384.77,00425.78,0.67,18.62
33,330,00997.56,00398.44,00409.18,0.68,18.52
34,340,00990.72,00411.62,00383.79,0.68,18.65
35,350,01002.44,00392.09,00363.28,0.67,18.57
36,360,00912.11,00399.41,00381.35,0.64,18.88
37,370,00840.33,00408.20,00391.11,0.61,18.98
38,380,00854.00,00382.32,00339.36,0.56,19.04
39,390,00857.91,00408.69,00312.50,0.52,19.03
40,400,00847.17,00420.41,00284.18,0.46,19.55
41,410,00847.17,00428.22,00261.23,0.41,20.29
42,420,00866.70,00449.22,00230.96,0.37,21.39
43,430,00861.33,00430.66,00223.14,0.32,22.49
44,440,00864.75,00436.52,00212.40,0.29,23.54
45,450,00831.05,00438.48,00225.59,0.26,24.77
46,460,00820.31,00423.83,00225.59,0.23,24.99
47,470,00822.75,00450.20,00207.03,0.21,24.99
48,480,00803.22,00440.92,00200.20,0.19,24.99
49,490,00770.02,00451.66,00184.08,0.18,24.99
50,500,00771.00,00454.10,00174.80,0.18,24.99
51,510,00750.49,00479.49,00155.76,0.17,24.99
52,520,00779.79,00510.74,00163.09,0.17,24.99
53,530,00780.27,00494.14,00146.00,0.17,24.99
54,540,00829.10,00497.07,00136.72,0.18,24.99
55,550,00807.13,00502.93,00138.18,0.19,24.99
56,560,00786.13,00503.42,00115.72,0.20,24.99
57,570,00808.11,00527.83,00115.72,0.21,24.99
58,580,00787.60,00521.00,00112.30,0.23,24.99
59,590,00785.64,00550.29,00099.61,0.25,24.99
60,600,00742.68,00544.43,00122.56,0.27,24.99
61,610,00736.33,00557.13,00119.14,0.28,24.99
62,620,00754.39,00550.29,00109.37,0.30,24.99
63,630,00732.42,00573.24,00117.68,0.31,24.99
64,640,00745.12,00565.92,00116.70,0.32,24.99
65,650,00754.39,00583.01,00079.10,0.33,24.99
66,660,00751.46,00583.50,00095.70,0.33,24.99
67,670,00748.05,00579.10,00069.34,0.33,24.99
68,680,00730.47,00604.98,00093.26,0.33,24.99
69,690,00718.75,00619.63,00073.73,0.32,24.99
70,700,00758.30,00630.37,00091.80,0.32,24.99
71,710,00717.29,00636.72,00096.68,0.31,24.99
72,720,00729.49,00639.65,00086.43,0.30,24.99
73,730,00722.17,00651.37,00077.64,0.30,24.99
74,740,00722.17,00643.55,00069.34,0.29,24.99
75,750,00732.91,00662.11,00067.38,0.28,24.99
76,760,00720.70,00659.18,00086.43,0.27,24.99
77,770,00706.54,00658.20,00084.47,0.26,24.99
78,780,00718.75,00658.69,00075.20,0.25,24.99
79,790,00700.20,00672.36,00071.78,0.25,24.99
80,800,00707.52,00663.57,00075.68,0.24,24.99
81,810,00688.96,00658.20,00066.41,0.24,24.99
82,820,00693.36,00659.67,00079.59,0.24,24.99
83,830,00668.46,00658.69,00081.05,0.24,24.99
84,840,00659.67,00663.09,00072.75,0.24,24.99
85,850,00637.70,00671.39,00070.31,0.24,24.99
86,860,00633.30,00670.90,00070.31,0.25,24.99
87,870,00633.79,00674.80,00066.89,0.25,24.99
88,880,00642.58,00669.43,00061.04,0.26,24.99
89,890,00635.74,00666.99,00059.57,0.27,24.99
90,900,00632.32,00660.64,00061.52,0.27,24.99
91,910,00620.61,00663.57,00066.89,0.28,24.99
92,920,00607.91,00659.67,00074.22,0.28,24.99
93,930,00603.52,00653.81,00077.15,0.29,24.99
94,940,00593.75,00658.69,00084.96,0.29,24.99
95,950,00583.50,00658.20,00086.91,0.30,24.99
96,960,00584.47,00662.60,00077.15,0.31,24.99
97,970,00577.15,00640.62,00075.20,0.32,24.99
98,980,00568.36,00647.46,00092.29,0.32,24.99
99,990,00562.99,00635.25,00073.73,0.32,24.99
100,1000,00571.29,00649.90,00069.34,0.33,24.99
101,1010,00572.27,00646.48,00067.38,0.33,24.99
102,1020,00607.91,00646.48,00077.64,0.33,24.99
103,1030,00617.19,00646.97,00065.43,0.33,24.99
104,1040,00642.58,00666.99,00082.52,0.33,24.99
105,1050,00610.35,00666.02,00070.80,0.33,24.99
106,1060,00587.89,00639.16,00088.38,0.33,24.99
107,1070,00614.75,00650.39,00080.57,0.33,24.99
108,1080,00599.61,00635.74,00113.77,0.33,24.99
109,1090,00564.94,00649.90,00139.16,0.32,24.99
110,1100,00553.22,00640.14,00193.36,0.32,24.99
111,1110,00594.73,00624.02,00241.70,0.32,24.99
112,1120,00620.61,00630.37,00264.16,0.31,24.99
113,1130,00648.44,00627.44,00264.16,0.31,24.99
114,1140,00674.32,00620.12,00286.13,0.31,24.99
115,1150,00656.25,00603.03,00282.23,0.31,24.99
116,1160,00641.60,00606.93,00273.44,0.32,24.99
117,1170,00605.96,00595.21,00288.09,0.34,24.99
118,1180,00590.33,00591.31,00307.13,0.37,24.99
119,1190,00531.74,00591.31,00331.05,0.41,24.99
120,1200,00536.13,00586.91,00358.89,0.45,24.99
121,1210,00584.96,00548.34,00394.04,0.51,24.99
122,1220,00633.30,00555.18,00403.81,0.57,24.99
123,1230,00666.02,00554.69,00411.13,0.64,24.99
124,1240,00683.59,00537.60,00425.78,0.71,24.99
125,1250,00758.79,00527.34,00426.27,0.78,24.99
126,1260,00765.14,00501.46,00409.18,0.85,24.99
127,1270,00728.52,00489.75,00422.36,0.91,24.99
128,1280,00712.40,00489.26,00442.87,0.96,24.99
129,1290,00740.72,00487.79,00442.87,0.96,24.99
130,1300,00744.14,00484.86,00463.87,0.96,24.99
131,1310,00771.00,00448.73,00484.37,0.91,24.99
132,1320,00797.36,00458.50,00519.04,0.86,24.99
133,1330,00817.87,00458.01,00537.11,0.80,24.99
134,1340,00887.70,00472.66,00527.83,0.74,24.99
135,1350,00922.36,00470.70,00500.49,0.68,24.99
136,1360,00986.33,00458.50,00484.86,0.63,24.99
137,1370,00980.96,00429.69,00496.09,0.58,24.99
138,1380,00914.06,00431.15,00496.09,0.53,24.99
139,1390,00888.18,00433.11,00479.00,0.49,24.99
140,1400,00839.36,00410.16,00514.65,0.45,24.99
141,1410,00790.04,00408.20,00537.11,0.42,24.99
142,1420,00752.44,00404.30,00575.20,0.39,24.99
143,1430,00771.48,00382.81,00594.24,0.36,24.99
144,1440,00919.43,00420.90,00565.43,0.34,24.99
145,1450,00873.05,00383.79,00560.06,0.33,24.99
146,1460,00878.91,00390.14,00567.38,0.32,24.99
147,1470,00908.69,00413.57,00541.99,0.32,24.99
148,1480,00907.71,00414.55,00523.44,0.32,24.99
149,1490,00903.32,00415.53,00504.39,0.32,24.99
150,1500,00881.35,00404.30,00506.35,0.34,24.99
151,1510,00836.91,00388.67,00500.00,0.35,24.99
152,1520,00807.13,00397.95,00501.95,0.37,24.99
153,1530,00770.51,00378.91,00496.58,0.39,24.99
154,1540,00763.18,00363.28,00507.81,0.41,24.99
155,1550,00763.67,00348.63,00503.42,0.43,24.99
156,1560,00767.58,00333.50,00509.28,0.45,24.99
157,1570,00749.51,00345.70,00493.65,0.46,24.99
158,1580,00762.70,00331.54,00502.44,0.47,24.99
159,1590,00778.81,00343.75,00491.70,0.48,24.99
160,1600,00764.65,00344.73,00486.82,0.48,24.99
161,1610,00778.81,00352.05,00489.26,0.48,24.99
162,1620,00757.32,00333.01,00495.12,0.47,24.99
163,1630,00758.79,00348.63,00516.60,0.46,24.99
164,1640,00761.23,00330.08,00523.44,0.46,24.99
165,1650,00758.30,00343.75,00530.76,0.45,24.99
166,1660,00757.32,00344.24,00521.00,0.44,24.99
167,1670,00739.75,00341.80,00536.62,0.43,24.99
168,1680,00726.56,00328.12,00538.09,0.42,24.99
169,1690,00767.58,00331.54,00534.18,0.41,24.99
170,1700,00772.46,00348.63,00548.83,0.40,24.99
171,1710,00778.32,00347.17,00552.73,0.40,24.99
172,1720,00742.19,00334.96,00543.95,0.39,24.99
173,1730,00751.46,00348.63,00536.13,0.39,24.99
174,1740,00734.86,00348.63,00535.16,0.39,24.99
175,1750,00753.91,00355.96,00527.83,0.39,24.99
176,1760,00740.23,00364.26,00531.74,0.38,24.99
177,1770,00746.58,00358.89,00535.16,0.38,24.99
178,1780,00727.54,00356.45,00533.20,0.38,24.99
179,1790,00733.89,00342.77,00522.46,0.38,24.99
180,1800,00742.68,00344.24,00523.44,0.38,24.99
181,1810,00771.97,00348.63,00528.81,0.38,24.99
182,1820,00771.97,00354.98,00513.67,0.39,24.99
183,1830,00756.35,00351.07,00499.51,0.39,24.99
184,1840,00762.21,00360.84,00489.26,0.39,24.99
185,1850,00767.09,00351.56,00491.70,0.39,24.99
186,1860,00757.32,00361.33,00500.49,0.40,24.99
187,1870,00745.61,00336.91,00494.14,0.40,24.99
188,1880,00736.33,00350.59,00490.72,0.40,24.99
189,1890,00740.72,00348.14,00483.40,0.40,24.99
190,1900,00735.35,00347.17,00490.72,0.41,24.99
191,1910,00752.44,00354.00,00490.23,0.41,24.99
192,1920,00746.09,00350.10,00493.65,0.41,24.99
193,1930,00762.21,00365.23,00496.58,0.41,24.99
194,1940,00757.32,00365.72,00485.35,0.41,24.99
195,1950,00753.42,00355.96,00495.61,0.42,24.99
196,1960,00771.00,00354.00,00506.35,0.42,24.99
197,1970,00757.81,00341.31,00503.91,0.42,24.99
198,1980,00758.79,00340.82,00501.95,0.42,24.99
199,1990,00757.81,00356.45,00530.27,0.42,24.99
200,2000,00761.23,00335.94,00526.37,0.42,24.99
201,2010,00749.02,00363.77,00536.62,0.42,24.99
202,2020,00771.00,00362.79,00517.58,0.42,24.99
203,2030,00767.58,00344.73,00533.69,0.42,24.99
204,2040,00764.16,00349.12,00526.86,0.42,24.99
205,2050,00775.88,00351.07,00527.34,0.42,24.99
206,2060,00771.00,00329.59,00533.20,0.42,24.99
207,2070,00768.07,00349.61,00534.18,0.43,24.99
208,2080,00770.51,00355.47,00538.57,0.43,24.99
209,2090,00748.05,00357.42,00523.93,0.44,24.99
210,2100,00762.21,00370.12,00518.55,0.44,24.99
211,2110,00767.58,00366.70,00531.74,0.48,24.99
212,2120,00772.95,00367.68,00518.55,0.52,24.99
213,2130,00779.79,00351.56,00515.14,0.56,24.99
214,2140,00791.50,00350.59,00511.72,0.61,24.99
215,2150,00791.99,00349.61,00498.05,0.67,24.99
216,2160,00813.96,00344.73,00500.00,0.75,24.99
217,2170,00794.43,00345.21,00501.95,0.84,24.99
218,2180,00807.62,00344.24,00504.39,0.95,24.99
219,2190,00800.29,00336.43,00499.02,0.96,24.99
220,2200,00797.36,00334.47,00500.00,0.96,24.99
221,2210,00773.44,00327.15,00496.58,0.96,24.99
222,2220,00777.34,00329.10,00514.65,0.96,24.99
223,2230,00787.11,00339.36,00508.30,0.96,24.99
224,2240,00769.53,00352.05,00494.63,0.96,24.99
225,2250,00777.34,00341.31,00508.79,0.96,24.99
226,2260,00753.91,00354.00,00497.56,0.96,24.99
227,2270,00750.00,00358.89,00500.98,0.96,24.99
228,2280,00740.72,00356.45,00503.91,0.96,24.99
229,2290,00738.77,00374.02,00494.14,0.96,24.99
230,2300,00740.23,00357.42,00501.95,0.96,24.99
231,2310,00725.59,00361.82,00497.07,0.84,24.99
232,2320,00714.36,00356.93,00507.32,0.75,24.99
233,2330,00710.45,00369.63,00505.86,0.67,24.99
234,2340,00718.26,00365.23,00510.74,0.61,24.99
235,2350,00730.96,00364.75,00520.02,0.55,24.99
236,2360,00724.61,00365.72,00512.21,0.50,24.99
237,2370,00718.26,00360.84,00519.53,0.46,24.99
238,2380,00726.07,00358.40,00512.21,0.43,24.99
239,2390,00739.75,00356.93,00502.44,0.40,24.99
240,2400,00753.91,00359.37,00515.62,0.38,24.99
241,2410,00772.95,00354.98,00508.79,0.37,24.99
242,2420,00750.98,00337.40,00515.14,0.37,24.99
243,2430,00791.02,00342.29,00523.44,0.38,24.99
244,2440,00779.30,00348.14,00523.44,0.39,24.99
