,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00186.04,00129.39,-00648.44,0.00,7.51
1,10,-00107.42,00157.71,-00564.94,0.00,8.10
2,20,-00265.62,00213.87,-00309.08,0.00,7.45
3,30,-00039.55,00199.71,-00095.21,0.00,8.12
4,40,00225.10,00228.03,00052.25,0.00,7.43
5,50,00347.66,00149.41,00163.57,0.00,8.14
6,60,00410.64,-00016.11,00248.54,0.00,7.26
7,70,00502.44,-00125.49,00157.23,0.00,8.53
8,80,00668.95,-00239.75,-00119.63,0.00,5.99
9,90,00869.63,-00299.80,-00331.05,0.00,10.58
10,100,00750.49,-00370.61,-00207.03,0.00,5.60
11,110,00646.48,-00482.42,-00108.40,0.00,11.08
12,120,00709.47,-00756.84,00028.32,0.00,5.55
13,130,00855.47,-01329.59,00155.27,0.00,11.55
14,140,00663.57,-01700.68,-00058.11,0.00,5.29
15,150,00671.87,-01930.66,-00379.39,0.00,11.43
16,160,00755.37,-02000.00,-00633.79,0.00,5.27
17,170,01059.08,-02000.00,-00607.42,0.05,11.43
18,180,01007.81,-02000.00,-00391.11,0.23,4.46
19,190,01120.12,-02000.00,00099.61,0.40,10.91
20,200,01291.99,-01996.09,00546.87,0.52,4.30
21,210,01586.43,-01982.42,00734.37,0.60,10.75
22,220,01650.88,-01816.89,00705.57,0.64,4.41
23,230,01652.83,-01595.70,00547.36,0.64,10.64
24,240,01506.35,-01313.96,00368.65,0.64,4.43
25,250,01452.15,-01030.76,00204.59,0.62,10.72
26,260,01311.04,-00755.37,00088.38,0.62,4.61
27,270,01145.51,-00469.73,00030.76,0.62,10.82
28,280,01030.76,-00250.98,00046.88,0.63,4.84
29,290,00890.62,-00013.67,00165.53,0.65,10.52
30,300,00840.33,00091.80,00190.92,0.68,6.71
31,310,00626.46,00101.56,00221.68,0.71,8.59
32,320,00464.84,00110.35,00176.27,0.75,8.02
33,330,00428.71,00071.29,00051.76,0.79,8.69
34,340,00440.43,00030.27,-00078.61,0.84,8.02
