,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00057.13,00139.16,01001.95,0.32,6.05
1,10,-00046.88,00126.95,01001.46,0.29,5.63
2,20,-00064.45,00143.55,00995.61,0.27,6.15
3,30,-00041.50,00144.04,01012.21,0.26,5.58
4,40,-00053.22,00142.09,01010.74,0.25,6.02
5,50,-00045.41,00143.07,00993.65,0.25,5.68
6,60,-00070.80,00143.55,00996.09,0.26,6.11
7,70,-00075.68,00147.95,00995.61,0.27,5.58
8,80,-00076.17,00145.51,01010.25,0.29,6.00
9,90,-00078.61,00160.64,00998.05,0.31,5.53
10,100,-00071.29,00136.72,01009.77,0.33,5.96
11,110,-00062.99,00151.86,01001.46,0.34,5.67
12,120,-00048.34,00152.34,01002.93,0.36,5.96
13,130,-00042.97,00158.20,01004.88,0.38,5.63
14,140,-00045.41,00162.11,00994.14,0.40,5.99
15,150,-00044.43,00165.53,00983.89,0.42,5.60
16,160,-00043.95,00173.83,00974.61,0.43,6.01
17,170,-00056.15,00167.48,00985.84,0.43,5.66
18,180,-00081.05,00187.99,00994.14,0.44,5.93
19,190,-00092.29,00181.64,00982.91,0.44,5.80
20,200,-00084.47,00169.92,00989.26,0.43,6.07
21,210,-00101.56,00195.31,00987.30,0.43,5.58
22,220,-00086.43,00188.96,00987.30,0.42,6.04
23,230,-00094.24,00187.99,00985.35,0.41,5.76
24,240,-00093.75,00207.52,00980.96,0.41,5.91
25,250,-00074.71,00200.68,00982.91,0.39,5.79
26,260,-00070.31,00207.52,00980.47,0.38,5.86
27,270,-00064.94,00193.85,00998.54,0.37,5.68
28,280,-00071.78,00197.75,00983.89,0.36,5.96
29,290,-00073.73,00202.15,00984.86,0.35,5.76
30,300,-00083.01,00201.66,00980.47,0.35,5.89
31,310,-00093.75,00209.47,00967.29,0.35,5.66
32,320,-00104.49,00204.10,00967.77,0.34,6.13
33,330,-00089.84,00222.17,00973.63,0.34,5.76
34,340,-00112.30,00228.03,00962.40,0.33,6.02
35,350,-00095.70,00228.52,00956.05,0.33,5.72
36,360,-00101.07,00239.75,00958.01,0.33,6.11
37,370,-00100.10,00234.86,00958.01,0.33,5.59
38,380,-00083.98,00244.63,00942.87,0.32,6.00
39,390,-00091.31,00238.28,00953.12,0.33,5.72
40,400,-00087.40,00242.68,00937.99,0.33,5.91
41,410,-00102.05,00230.96,00948.73,0.33,5.55
42,420,-00081.05,00239.26,00938.96,0.33,5.96
43,430,-00105.96,00256.84,00938.48,0.33,5.57
44,440,-00120.12,00263.67,00946.29,0.33,5.97
45,450,-00118.65,00255.37,00930.66,0.33,5.57
46,460,-00107.91,00269.04,00940.92,0.34,6.21
47,470,-00106.93,00270.02,00931.64,0.35,5.62
48,480,-00093.26,00271.48,00939.94,0.37,6.13
49,490,-00094.24,00266.11,00960.45,0.40,5.54
50,500,-00092.29,00278.81,00954.10,0.43,6.09
51,510,-00104.98,00261.23,00949.71,0.48,5.69
52,520,-00110.84,00277.34,00940.92,0.53,5.96
53,530,-00122.56,00270.02,00935.06,0.59,5.66
54,540,-00133.79,00281.74,00927.25,0.65,5.88
55,550,-00132.81,00292.48,00938.96,0.71,5.62
56,560,-00138.67,00296.87,00938.48,0.77,5.91
57,570,-00121.09,00289.55,00937.99,0.83,5.73
58,580,-00126.46,00289.06,00939.45,0.86,5.88
59,590,-00124.02,00287.60,00928.71,0.89,5.63
60,600,-00116.70,00293.95,00933.11,0.89,5.90
61,610,-00126.95,00308.11,00933.59,0.87,5.66
62,620,-00112.30,00311.04,00932.62,0.84,5.96
63,630,-00108.40,00312.01,00929.20,0.79,5.64
64,640,-00117.68,00306.64,00958.01,0.73,6.04
65,650,-00117.19,00323.73,00952.64,0.68,5.53
66,660,-00131.35,00323.24,00947.75,0.62,5.88
67,670,-00146.97,00325.20,00933.11,0.57,5.57
68,680,-00138.67,00329.59,00925.29,0.52,6.12
69,690,-00140.62,00346.19,00913.09,0.47,5.66
70,700,-00136.23,00337.40,00900.88,0.42,6.05
71,710,-00126.46,00339.84,00915.04,0.38,5.55
72,720,-00123.05,00347.66,00923.34,0.34,6.13
73,730,-00116.21,00344.24,00905.27,0.31,5.63
74,740,-00100.10,00364.26,00899.90,0.28,6.02
