,time,acc_x,acc_y,acc_z,pulse,eda
0,0,01027.34,00305.66,-00118.65,0.73,0.00
1,10,01039.55,00281.74,-00138.67,0.76,0.00
2,20,01028.32,00289.06,-00163.09,0.77,0.00
3,30,01016.11,00287.11,-00167.97,0.76,0.00
4,40,00995.12,00297.36,-00187.01,0.73,0.00
5,50,00998.54,00303.22,-00196.29,0.70,0.00
6,60,01008.30,00290.04,-00188.96,0.66,0.00
7,70,00999.02,00302.73,-00186.52,0.62,0.00
8,80,01003.42,00279.79,-00191.89,0.58,0.00
9,90,01012.21,00274.90,-00208.98,0.54,0.00
10,100,01010.74,00293.95,-00233.40,0.50,0.00
11,110,01000.00,00295.90,-00242.68,0.46,0.00
12,120,00981.93,00298.34,-00227.54,0.42,0.00
13,130,00944.82,00324.71,-00237.30,0.38,0.00
14,140,00979.00,00337.89,-00251.46,0.35,0.00
15,150,01008.79,00337.89,-00249.02,0.33,0.00
16,160,01025.39,00320.31,-00202.64,0.31,0.00
17,170,01038.57,00299.32,-00203.12,0.30,0.00
18,180,01047.85,00306.64,-00192.87,0.29,0.00
19,190,01032.71,00315.43,-00210.94,0.29,0.00
20,200,01051.76,00332.52,-00214.84,0.29,0.00
21,210,01065.43,00349.12,-00204.10,0.30,0.00
22,220,01077.64,00364.26,-00224.12,0.31,0.00
23,230,01100.10,00371.58,-00223.14,0.32,0.00
24,240,01089.84,00386.72,-00239.75,0.33,0.00
25,250,01104.00,00426.27,-00280.76,0.34,0.00
26,260,01132.32,00494.63,-00378.42,0.35,0.00
27,270,01128.91,00553.22,-00509.28,0.36,0.00
28,280,01122.07,00593.26,-00652.83,0.36,0.00
29,290,01032.23,00499.02,-00786.13,0.36,0.00
30,300,01149.90,00680.18,-00945.80,0.35,0.00
31,310,01176.76,00583.01,-01153.32,0.34,0.00
32,320,01287.11,00690.92,-01267.09,0.33,0.00
33,330,01250.98,00538.09,-01333.50,0.31,0.00
34,340,01215.33,00459.96,-01296.88,0.28,0.00
35,350,01189.45,00377.44,-01229.49,0.25,0.00
36,360,01175.29,00297.36,-01152.83,0.21,0.00
37,370,01140.63,00191.41,-01123.54,0.18,0.00
38,380,01120.61,00158.69,-01140.63,0.17,0.00
39,390,01054.69,00168.95,-01201.17,0.17,0.00
40,400,00951.17,00124.51,-01299.80,0.18,0.00
41,410,00842.29,00143.55,-01458.50,0.19,0.00
42,420,00778.81,00087.40,-01559.08,0.20,0.00
43,430,00734.86,-00055.18,-01443.36,0.22,0.00
44,440,00745.61,-00178.71,-01232.42,0.24,5.10
45,450,00709.96,-00318.85,-00908.69,0.22,8.62
46,460,00713.38,-00414.55,-00637.70,0.16,11.05
47,470,00746.58,-00474.12,-00366.21,0.08,13.07
48,480,00576.66,-00465.82,-00175.29,0.00,14.51
49,490,00722.17,-00543.95,-00111.82,0.00,15.72
50,500,00756.35,-00492.68,-00271.00,0.00,16.61
51,510,00796.39,-00524.41,-00433.59,0.00,17.34
