,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00178.71,00020.02,00980.47,0.43,7.10
1,10,00174.32,00026.37,00981.45,0.43,6.59
2,20,00180.18,00026.37,00973.63,0.44,7.15
3,30,00186.04,00028.32,00989.75,0.44,6.32
4,40,00158.20,00033.20,00980.47,0.45,7.18
5,50,00173.83,00035.64,00981.45,0.45,6.49
6,60,00180.18,00018.07,00975.10,0.45,7.04
7,70,00165.53,00010.74,00970.70,0.45,6.58
8,80,00162.11,00033.69,00976.07,0.45,7.09
9,90,00156.25,00028.81,00980.96,0.45,6.55
10,100,00174.80,00032.23,00978.52,0.44,7.20
11,110,00159.67,00021.48,00974.61,0.44,6.60
12,120,00168.46,00024.90,00976.56,0.44,7.18
13,130,00173.83,00038.57,00986.33,0.43,6.68
14,140,00176.76,00025.39,00973.14,0.43,7.20
15,150,00164.06,00021.48,00969.24,0.42,6.63
16,160,00163.57,00027.34,00973.63,0.42,7.02
17,170,00182.13,00035.64,00966.31,0.42,6.54
18,180,00159.18,00021.00,00980.96,0.41,7.06
19,190,00178.71,00027.83,00974.61,0.41,6.73
20,200,00166.99,00026.37,00970.70,0.41,7.15
21,210,00187.01,00033.69,00975.59,0.41,6.75
22,220,00182.62,00036.62,00991.70,0.41,6.99
23,230,00176.27,00029.30,00973.63,0.41,6.56
24,240,00166.02,00034.67,00970.21,0.41,7.15
25,250,00168.46,00038.57,00980.96,0.41,6.72
26,260,00171.87,00027.83,00981.93,0.41,7.06
27,270,00159.18,00017.58,00988.28,0.41,6.63
28,280,00178.22,00019.04,00975.59,0.41,7.10
29,290,00166.02,00036.13,00984.37,0.41,6.64
30,300,00160.64,00023.93,00981.93,0.41,7.24
31,310,00170.41,00018.07,00987.30,0.42,6.65
32,320,00187.50,00027.83,00983.89,0.41,7.00
33,330,00164.06,00030.76,00976.07,0.41,6.63
34,340,00167.48,00042.97,00972.66,0.42,7.23
35,350,00169.43,00036.13,00977.05,0.42,6.67
36,360,00179.69,00028.32,00983.40,0.42,7.04
37,370,00157.71,00025.88,00971.19,0.42,6.51
38,380,00169.43,00024.90,00975.59,0.42,7.17
39,390,00168.46,00020.51,00969.24,0.43,6.66
40,400,00181.15,00024.90,00963.87,0.44,7.13
41,410,00171.39,00029.79,00976.07,0.45,6.57
42,420,00174.32,00037.11,00967.29,0.47,7.03
43,430,00162.11,00028.81,00979.98,0.49,6.74
