Var1,time,acc_x,acc_y,acc_z,pulse,eda
0,0,237.79,57.62,957.52,0.45,8.79
1,10,238.28,61.52,955.57,0.45,8.51
2,20,253.42,60.06,948.73,0.45,8.67
3,30,234.37,62.01,971.68,0.43,8.73
4,40,247.56,53.71,956.05,0.44,8.34
5,50,244.63,60.06,964.84,0.44,8.59
6,60,248.05,62.01,960.94,0.45,8.69
7,70,234.37,57.13,964.84,0.44,8.5
8,80,240.72,69.34,956.05,0.44,8.73
9,90,245.61,60.55,960.94,0.45,8.77
10,100,251.46,58.59,958.5,0.44,8.48
11,110,240.72,58.59,946.29,0.44,8.54
12,120,245.12,58.59,957.03,0.45,8.86
13,130,243.16,59.08,953.12,0.45,8.55
14,140,235.35,54.2,957.52,0.45,8.69
15,150,262.7,57.13,958.5,0.45,8.69
16,160,249.51,44.92,958.01,0.46,8.59
17,170,260.25,57.13,949.71,0.46,8.69
18,180,253.91,59.57,959.47,0.46,8.66
19,190,248.05,61.52,956.05,0.47,8.5
20,200,244.14,71.29,947.27,0.47,8.67
21,210,241.21,55.18,953.12,0.48,8.47
22,220,251.46,64.94,952.15,0.5,8.62
23,230,241.21,62.01,965.33,0.5,8.72
24,240,229.49,65.92,947.75,0.51,8.53
25,250,233.89,72.27,951.66,0.52,8.56
26,260,244.14,60.55,960.45,0.52,8.69
27,270,250.49,66.89,960.94,0.53,8.5
28,280,249.02,45.41,955.08,0.53,8.59
29,290,243.65,71.78,957.52,0.52,8.69
30,300,244.14,64.94,961.43,0.52,8.58
31,310,234.86,62.01,959.47,0.52,8.75
32,320,237.3,60.55,963.87,0.51,8.56
33,330,249.02,60.55,951.66,0.5,8.5
34,340,241.7,58.11,959.47,0.5,8.64
35,350,252.93,53.22,954.59,0.48,8.71
36,360,247.56,58.59,951.66,0.47,8.65
37,370,245.61,68.36,961.43,0.47,8.61
38,380,230.96,63.48,956.54,0.45,8.71
39,390,239.75,43.46,948.24,0.45,8.55
40,400,257.81,60.55,947.27,0.44,8.69
41,410,249.02,60.06,958.5,0.44,8.58
42,420,262.21,57.62,963.87,0.44,8.59
43,430,243.16,63.48,963.38,0.43,8.67
44,440,238.28,58.11,957.03,0.44,8.59
45,450,250.49,56.15,957.03,0.43,8.59
46,460,247.07,57.62,946.29,0.43,8.72
47,470,245.12,61.52,954.59,0.43,8.53
48,480,251.95,62.5,956.05,0.43,8.68
49,490,240.72,53.22,968.75,0.43,8.69
50,500,257.81,57.13,944.82,0.44,8.61
51,510,235.35,65.43,964.84,0.44,8.58
52,520,250.98,67.38,964.84,0.44,8.7
53,530,246.09,64.94,959.47,0.45,8.44
54,540,246.09,75.68,961.91,0.45,8.56
55,550,236.33,50.78,961.43,0.45,8.69
56,560,251.46,63.48,950.2,0.46,8.76
57,570,254.88,57.13,961.91,0.45,8.62
58,580,251.95,63.96,947.27,0.46,8.66
59,590,253.42,43.95,963.87,0.46,8.5
60,600,258.3,60.55,962.89,0.45,8.59
61,610,241.7,63.48,954.59,0.45,8.6
62,620,247.07,58.11,951.66,0.45,8.67
63,630,249.02,56.64,962.4,0.44,8.47
64,640,235.84,59.08,962.4,0.44,8.55
65,650,232.42,63.96,966.8,0.44,8.67
66,660,238.77,63.48,954.59,0.43,8.63
67,670,228.52,64.94,958.5,0.43,8.51
68,680,255.86,70.31,953.12,0.43,8.53
69,690,238.28,71.29,957.03,0.43,8.73
70,700,244.14,62.99,954.59,0.42,8.78
71,710,250.98,55.18,963.87,0.42,8.59
72,720,248.54,64.45,956.05,0.43,8.59
73,730,253.42,54.69,954.59,0.42,8.52
74,740,255.37,61.04,952.15,0.43,8.58
75,750,243.16,62.01,963.87,0.43,8.63
76,760,245.61,54.2,958.5,0.43,8.12
77,770,242.68,63.48,970.7,0.44,8.56
78,780,238.28,41.99,960.94,0.44,8.47
79,790,250.98,56.64,952.64,0.44,8.61
80,800,250.49,62.99,961.91,0.44,8.59
81,810,248.54,68.36,951.66,0.44,8.65
82,820,246.58,61.52,960.45,0.44,8.59
83,830,266.6,56.15,952.15,0.44,8.56
84,840,245.12,56.64,946.29,0.45,8.71
85,850,250,60.55,948.73,0.44,8.5
86,860,250.98,50.78,971.68,0.44,8.44
87,870,236.33,55.18,949.71,0.45,8.61
88,880,238.77,62.99,967.77,0.45,8.59
89,890,229.98,52.73,961.91,0.45,8.59
90,900,249.51,59.08,954.1,0.45,8.7
91,910,252.44,79.1,958.98,0.45,8.61
92,920,244.14,59.08,964.36,0.44,8.55
93,930,262.21,62.99,959.96,0.45,8.64
94,940,246.58,60.55,959.47,0.44,8.64
95,950,236.82,68.36,957.03,0.44,8.56
96,960,249.51,48.83,958.5,0.45,8.5
97,970,249.02,65.92,951.66,0.45,8.59
98,980,239.75,63.48,956.54,0.45,8.7
99,990,243.16,54.69,958.01,0.45,8.47
100,1000,246.58,80.08,960.45,0.46,8.59
101,1010,238.28,64.45,959.96,0.46,8.66
102,1020,248.05,62.5,961.91,0.47,8.59
103,1030,250.49,62.5,958.98,0.48,8.44
104,1040,241.7,61.04,961.43,0.49,8.61
105,1050,233.89,69.34,956.05,0.5,8.7
106,1060,228.03,48.34,973.63,0.51,8.53
107,1070,239.26,55.66,963.38,0.51,8.46
108,1080,245.12,62.5,959.96,0.51,8.5
109,1090,228.52,62.5,960.94,0.51,8.67
110,1100,241.7,57.13,946.29,0.5,8.6
111,1110,236.33,46.88,955.57,0.5,8.48
112,1120,255.37,68.85,952.15,0.5,8.56
113,1130,247.07,58.11,968.26,0.48,8.68
114,1140,243.65,63.96,961.43,0.48,8.66
115,1150,243.16,50.78,957.52,0.47,8.53
116,1160,244.63,67.38,968.26,0.46,8.53
117,1170,236.33,69.34,953.12,0.45,8.5
118,1180,234.86,47.36,960.45,0.44,8.64
119,1190,236.82,58.11,963.87,0.43,8.68
120,1200,249.51,60.06,959.47,0.43,8.46
121,1210,252.44,62.5,954.59,0.43,8.48
122,1220,243.65,62.99,957.03,0.42,8.69
123,1230,243.65,48.34,958.01,0.41,8.65
124,1240,259.28,62.99,962.4,0.42,8.54
125,1250,254.88,72.75,966.8,0.41,8.59
126,1260,240.72,65.92,970.21,0.41,8.67
127,1270,238.77,72.75,949.22,0.41,8.5
128,1280,240.72,70.31,965.82,0.41,8.48
129,1290,223.14,61.04,957.52,0.41,8.83
130,1300,234.86,62.01,962.4,0.41,8.54
131,1310,230.47,71.78,958.01,0.42,8.52
132,1320,251.46,60.55,965.82,0.42,8.5
133,1330,249.02,58.59,954.1,0.42,8.54
134,1340,253.42,58.11,959.47,0.43,8.35
135,1350,261.23,62.01,952.64,0.43,8.47
136,1360,246.09,69.82,953.12,0.43,8.43
137,1370,252.93,70.31,953.61,0.44,8.44
138,1380,250,59.57,961.91,0.44,8.66
139,1390,247.07,62.01,948.24,0.44,8.64
140,1400,234.37,48.83,961.91,0.44,8.58
141,1410,244.63,63.48,966.31,0.44,8.7
142,1420,256.35,58.11,949.22,0.44,8.69
143,1430,255.86,63.96,952.15,0.45,8.65
144,1440,250.98,61.04,959.96,0.44,8.61
145,1450,253.91,57.62,964.84,0.44,8.58
146,1460,253.91,72.27,955.08,0.45,8.61
147,1470,245.12,56.15,956.54,0.44,8.61
148,1480,257.81,61.52,956.05,0.44,8.42
149,1490,251.46,55.66,956.54,0.44,8.5
150,1500,243.16,65.43,950.68,0.43,8.69
151,1510,249.02,65.43,966.8,0.43,8.39
152,1520,246.58,53.71,950.2,0.44,8.48
153,1530,242.68,52.73,956.54,0.43,8.54
154,1540,225.1,59.08,947.27,0.43,8.62
155,1550,249.02,58.11,963.87,0.43,8.46
156,1560,232.91,51.27,968.26,0.43,8.51
157,1570,238.28,62.01,962.89,0.43,8.6
158,1580,253.42,67.87,962.4,0.43,8.6
159,1590,246.09,65.43,972.17,0.43,8.5
160,1600,246.58,61.52,959.96,0.43,8.44
161,1610,239.26,74.71,950.68,0.43,8.62
162,1620,244.14,59.57,964.84,0.43,8.51
163,1630,225.59,57.62,952.64,0.43,8.45
164,1640,241.21,70.31,967.29,0.43,8.52
165,1650,238.28,50.78,953.61,0.43,8.6
166,1660,255.86,63.96,959.47,0.42,8.53
167,1670,253.42,54.69,950.2,0.42,8.39
168,1680,245.61,50.29,953.61,0.43,8.62
169,1690,250.49,66.41,946.29,0.43,8.47
170,1700,237.3,72.75,958.01,0.43,8.59
171,1710,251.46,71.78,962.4,0.43,8.51
172,1720,242.68,63.96,964.36,0.43,8.44
173,1730,248.05,67.87,954.1,0.43,8.38
174,1740,233.89,69.82,968.75,0.44,8.53
175,1750,238.28,69.82,959.96,0.44,8.67
176,1760,244.14,51.76,970.21,0.44,8.48
177,1770,252.44,57.13,962.4,0.45,8.61
178,1780,242.68,57.13,953.61,0.46,8.59
179,1790,242.68,53.71,955.57,0.47,8.39
180,1800,254.39,62.01,958.01,0.48,8.67
181,1810,246.58,63.96,966.8,0.49,8.58
182,1820,256.84,64.94,953.12,0.49,8.46
183,1830,250.98,47.36,951.66,0.5,8.65
184,1840,248.05,59.57,944.34,0.5,8.69
185,1850,247.56,59.57,968.26,0.5,8.5
186,1860,239.75,49.32,958.5,0.51,8.37
187,1870,256.35,46.88,959.96,0.51,8.63
188,1880,247.56,63.48,949.22,0.5,8.53
189,1890,250,60.55,963.38,0.49,8.38
190,1900,251.95,57.13,964.36,0.49,8.49
191,1910,239.75,62.5,962.89,0.48,8.51
192,1920,242.19,57.62,956.54,0.47,8.56
193,1930,243.65,50.29,960.94,0.46,8.44
194,1940,240.72,58.59,956.05,0.45,8.39
195,1950,255.37,58.59,953.12,0.44,8.61
196,1960,246.09,67.87,948.73,0.44,8.66
197,1970,250,61.04,959.96,0.43,8.45
198,1980,244.14,60.55,963.38,0.43,8.5
199,1990,233.89,59.57,967.77,0.43,8.39
200,2000,250.49,70.8,952.64,0.42,8.5
201,2010,250.98,62.01,958.01,0.42,8.42
202,2020,243.16,75.2,955.57,0.42,8.43
203,2030,236.33,71.78,963.38,0.42,8.5
204,2040,260.74,63.96,966.31,0.42,8.56
205,2050,234.86,72.75,963.38,0.42,8.59
206,2060,239.26,64.94,952.15,0.42,8.5
207,2070,242.68,52.73,956.54,0.42,8.46
208,2080,236.33,53.22,961.91,0.43,8.54
209,2090,251.95,60.55,952.64,0.43,8.64
210,2100,252.93,54.69,958.5,0.43,8.58
211,2110,249.51,65.92,951.66,0.43,8.49
212,2120,242.19,64.45,946.29,0.44,8.51
213,2130,248.54,54.69,945.31,0.43,8.65
214,2140,238.28,57.13,951.66,0.44,8.58
215,2150,234.37,61.52,960.45,0.44,8.5
216,2160,249.02,50.78,957.52,0.44,8.48
217,2170,262.21,47.36,953.12,0.44,8.54
218,2180,242.68,58.59,954.1,0.44,8.59
219,2190,248.05,66.41,954.59,0.43,8.5
220,2200,250,56.15,954.59,0.43,8.4
221,2210,258.3,65.92,959.96,0.43,8.5
222,2220,252.93,62.5,964.36,0.43,8.64
223,2230,244.63,61.52,960.45,0.43,8.63
224,2240,235.84,66.89,964.36,0.42,8.55
225,2250,239.26,59.57,958.5,0.42,8.46
226,2260,228.52,65.43,954.1,0.43,8.4
227,2270,235.84,64.45,958.98,0.42,8.72
228,2280,247.07,62.5,959.96,0.41,8.56
229,2290,239.26,56.15,966.31,0.41,8.51
230,2300,236.82,71.78,960.94,0.42,8.47
231,2310,239.26,68.36,962.4,0.41,8.52
232,2320,239.26,62.01,960.94,0.42,8.64
233,2330,241.21,64.94,962.89,0.42,8.56
234,2340,250.98,50.78,962.4,0.41,8.43
235,2350,240.23,65.92,951.66,0.41,8.59
236,2360,248.54,58.59,967.77,0.42,8.58
237,2370,236.33,56.64,965.82,0.42,8.45
238,2380,230.47,60.55,957.52,0.42,8.48
239,2390,256.35,55.18,949.71,0.42,8.59
240,2400,247.56,53.71,947.27,0.42,8.58
241,2410,243.16,72.27,959.96,0.42,8.42
242,2420,258.3,58.59,956.54,0.42,8.58
243,2430,246.09,62.99,967.77,0.43,8.67
244,2440,256.84,56.64,945.8,0.42,8.51
245,2450,244.14,71.29,960.94,0.42,8.53
246,2460,244.14,52.73,953.12,0.43,8.67
