,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00577.64,00386.72,-00946.29,0.00,0.11
1,10,00531.74,00245.12,-01135.74,0.00,0.14
2,20,00286.13,00182.13,-01199.22,0.00,0.12
3,30,00266.11,00161.13,-01152.34,0.00,0.13
4,40,00329.59,00120.12,-01001.46,0.00,0.12
5,50,00442.38,00083.01,-00790.53,0.00,0.13
6,60,00585.94,00020.51,-00618.65,0.00,0.11
7,70,00763.18,-00002.44,-00607.42,0.00,0.12
8,80,00890.62,00046.88,-00699.71,0.00,0.10
9,90,00854.00,00079.59,-00833.50,0.00,0.12
10,100,00712.89,00166.50,-00957.03,0.00,0.12
11,110,00378.91,00194.82,-01027.34,0.00,0.14
12,120,00289.55,00150.39,-01072.27,0.00,0.13
13,130,00231.93,00248.54,-01104.49,0.00,0.15
14,140,00331.54,00222.66,-01145.51,0.00,0.13
15,150,00307.62,00253.42,-01143.07,0.00,0.15
16,160,00495.61,00137.21,-01014.16,0.00,0.15
17,170,00519.04,00132.81,-00875.98,0.00,0.13
18,180,00468.26,00127.44,-00824.22,0.00,0.12
19,190,00522.95,00036.62,-00780.76,0.00,0.14
20,200,00476.07,00185.06,-00843.75,0.00,0.13
21,210,00369.63,00376.46,-00873.54,0.00,0.13
22,220,00244.14,00245.12,-00869.63,0.00,0.12
23,230,00107.91,00332.03,-00872.56,0.00,0.13
24,240,00062.50,00375.98,-00911.62,0.00,0.13
25,250,00097.17,00370.12,-00950.20,0.00,0.13
26,260,00182.13,00276.86,-01021.97,0.00,0.13
27,270,00293.95,00195.80,-01081.54,0.00,0.15
28,280,00343.26,00188.96,-01069.82,0.00,0.13
29,290,00373.05,00109.86,-01022.95,0.00,0.14
30,300,00354.49,00113.77,-00958.01,0.00,0.13
31,310,00379.88,00170.41,-00971.19,0.00,0.15
32,320,00389.16,00188.96,-01034.18,0.00,0.16
33,330,00387.70,00169.92,-01155.76,0.00,0.14
34,340,00278.81,00132.81,-01277.34,0.00,0.13
35,350,00303.71,00122.07,-01291.02,0.00,0.13
36,360,00306.15,00217.77,-01221.19,0.00,0.13
37,370,00235.35,00138.18,-01088.87,0.00,0.16
38,380,00308.11,00051.76,-00986.33,0.00,0.12
39,390,00328.12,00039.06,-00899.41,0.00,0.13
40,400,00355.96,00152.34,-00852.54,0.00,0.13
41,410,00363.28,00209.96,-00800.78,0.00,0.14
42,420,00296.39,00244.14,-00751.46,0.00,0.14
43,430,00198.73,00288.57,-00686.52,0.00,0.14
44,440,00155.27,00343.26,-00665.04,0.00,0.13
45,450,00125.98,00378.42,-00655.76,0.00,0.14
46,460,00077.64,00366.21,-00736.82,0.00,0.12
47,470,00117.68,00318.85,-00885.25,0.00,0.16
48,480,00240.23,00321.78,-00986.82,0.00,0.13
49,490,00288.57,00352.54,-00992.68,0.00,0.11
50,500,00232.91,00372.07,-00917.97,0.00,0.14
51,510,00223.14,00393.07,-00856.93,0.00,0.13
52,520,00218.26,00401.86,-00816.89,0.00,0.12
53,530,00261.72,00350.10,-00807.62,0.00,0.16
54,540,00236.82,00298.83,-00830.08,0.00,0.12
55,550,00196.29,00260.74,-00871.09,0.00,0.11
56,560,00194.34,00266.60,-00910.64,0.00,0.11
57,570,00151.37,00296.87,-00954.59,0.00,0.14
58,580,00008.79,00325.20,-00990.72,0.00,0.13
59,590,-00068.85,00334.96,-01075.68,0.00,0.13
60,600,-00025.39,00358.40,-01210.94,0.00,0.12
61,610,00057.62,00435.06,-01322.75,0.00,0.12
62,620,00149.90,00497.07,-01341.80,0.00,0.10
63,630,00239.26,00522.95,-01275.39,0.00,0.10
64,640,00324.22,00547.85,-01161.13,0.00,0.10
65,650,00352.05,00561.52,-01045.41,0.00,0.13
66,660,00435.06,00467.29,-00992.68,0.00,0.12
