,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00022.46,00041.02,01051.27,0.00,0.21
1,10,-00027.83,00048.34,01067.38,0.00,0.12
2,20,-00029.79,00063.96,01081.05,0.00,0.12
3,30,-00033.20,00043.46,01089.84,0.00,0.11
4,40,-00021.00,00043.95,01065.43,0.00,0.10
5,50,-00017.58,00066.41,01055.66,0.00,0.15
6,60,00020.02,00076.66,01022.95,0.00,0.10
7,70,00044.92,00072.75,00992.68,0.00,0.13
8,80,00038.57,00062.99,00961.43,0.00,0.10
9,90,00014.65,00073.24,00945.31,0.00,0.10
10,100,-00002.93,00044.43,00928.71,0.00,0.13
11,110,-00019.04,00057.13,00936.04,0.00,0.23
12,120,-00011.72,00078.12,00948.24,0.00,0.10
13,130,-00001.46,00079.10,00962.40,0.00,0.17
14,140,00002.44,00062.50,00947.75,0.00,0.16
15,150,00022.95,00075.20,00967.29,0.00,0.11
16,160,00042.48,00052.73,00966.80,0.00,0.10
17,170,00090.33,00046.39,00942.38,0.00,0.14
18,180,00110.84,00035.16,00943.36,0.00,0.15
19,190,00077.64,00037.60,00968.26,0.00,0.10
20,200,00007.32,00011.23,01002.44,0.00,0.11
21,210,-00036.13,00013.18,01024.41,0.00,0.13
22,220,-00003.42,00034.18,01041.02,0.00,0.10
23,230,-00010.74,00043.46,01045.41,0.00,0.12
24,240,-00018.07,00035.64,01042.48,0.00,0.10
25,250,-00030.76,00035.16,01048.34,0.00,0.13
26,260,-00035.64,00038.09,01048.83,0.00,0.10
27,270,-00044.43,00026.37,01044.92,0.00,0.10
28,280,-00027.34,00023.44,01044.43,0.00,0.10
29,290,-00001.46,00015.63,01032.71,0.00,0.11
30,300,00035.16,-00003.91,01027.34,0.00,0.10
31,310,-00013.18,-00004.88,01033.20,0.00,0.11
32,320,-00039.06,-00008.79,01051.27,0.00,0.11
33,330,-00075.20,-00024.41,01078.61,0.00,0.12
34,340,-00095.70,-00017.58,01094.24,0.00,0.11
35,350,-00094.24,-00009.28,01098.14,0.00,0.12
36,360,-00117.68,-00006.35,01069.34,0.00,0.12
37,370,-00109.86,00011.23,01028.32,0.00,0.19
38,380,-00106.45,00021.97,00996.58,0.00,0.12
39,390,-00093.75,00040.04,00987.79,0.00,0.12
40,400,-00091.80,00021.97,00974.12,0.00,0.11
41,410,-00082.03,00015.63,00960.45,0.00,0.12
42,420,-00067.87,00020.51,00971.19,0.00,0.12
43,430,-00061.52,00018.07,00978.52,0.00,0.13
44,440,-00037.60,00005.37,01004.88,0.00,0.12
45,450,-00042.48,00012.21,01010.74,0.00,0.13
46,460,-00041.50,00007.32,01019.04,0.00,0.10
47,470,-00026.37,-00000.49,01023.44,0.00,0.13
48,480,-00027.34,00004.39,01021.00,0.00,0.12
49,490,-00029.30,00011.72,01015.14,0.00,0.13
50,500,-00048.34,00002.93,01018.07,0.00,0.13
51,510,-00056.64,00000.00,01017.09,0.00,0.13
52,520,-00074.71,00006.84,01021.48,0.00,0.12
53,530,-00073.73,00003.42,00996.09,0.00,0.11
