,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00406.25,-00499.02,00792.48,0.00,0.13
1,10,-00402.34,-00512.70,00795.41,0.00,0.14
2,20,-00385.74,-00511.23,00778.81,0.00,0.13
3,30,-00409.18,-00500.98,00770.51,0.00,0.13
4,40,-00408.20,-00516.11,00777.34,0.00,0.13
5,50,-00396.48,-00515.62,00777.83,0.00,0.15
6,60,-00386.23,-00502.93,00788.57,0.00,0.14
7,70,-00393.07,-00520.51,00781.25,0.00,0.15
8,80,-00396.00,-00498.54,00780.76,0.00,0.16
9,90,-00400.39,-00509.28,00781.25,0.00,0.15
10,100,-00388.18,-00498.54,00785.16,0.00,0.26
11,110,-00396.00,-00497.56,00783.20,0.00,0.13
12,120,-00385.74,-00495.12,00781.25,0.00,0.16
13,130,-00404.30,-00511.23,00786.13,0.00,0.16
14,140,-00403.81,-00498.05,00782.23,0.00,0.16
15,150,-00396.48,-00494.14,00788.09,0.00,0.12
16,160,-00386.72,-00507.32,00775.88,0.00,0.15
17,170,-00387.70,-00490.72,00790.04,0.00,0.15
18,180,-00393.07,-00498.05,00793.95,0.00,0.15
19,190,-00381.84,-00500.49,00782.23,0.00,0.00
20,200,-00380.37,-00504.39,00799.80,0.00,0.16
21,210,-00387.21,-00500.98,00792.97,0.00,0.13
22,220,-00377.44,-00502.44,00789.06,0.00,0.15
23,230,-00375.49,-00489.26,00795.41,0.00,0.13
24,240,-00386.23,-00505.37,00797.36,0.00,0.16
25,250,-00383.30,-00510.25,00796.87,0.00,0.14
26,260,-00377.93,-00506.35,00799.32,0.00,0.14
27,270,-00389.65,-00512.70,00794.92,0.00,0.15
28,280,-00385.74,-00488.77,00809.08,0.00,0.16
29,290,-00402.34,-00487.30,00779.79,0.00,0.14
30,300,-00393.07,-00501.95,00807.62,0.00,0.15
31,310,-00380.37,-00500.98,00786.13,0.00,0.16
32,320,-00380.37,-00507.32,00804.20,0.00,0.16
33,330,-00387.21,-00498.54,00787.60,0.00,0.15
34,340,-00380.86,-00501.95,00791.02,0.00,0.16
35,350,-00378.42,-00502.93,00783.20,0.00,0.16
36,360,-00383.79,-00500.98,00786.13,0.00,0.16
37,370,-00392.09,-00514.65,00783.69,0.00,0.12
38,380,-00378.91,-00506.35,00776.86,0.00,0.17
39,390,-00382.81,-00502.44,00774.41,0.00,0.16
40,400,-00382.81,-00502.44,00782.23,0.00,0.15
41,410,-00376.46,-00510.74,00787.11,0.00,0.16
42,420,-00378.91,-00512.70,00794.92,0.00,0.15
43,430,-00391.60,-00504.88,00789.55,0.00,0.16
44,440,-00394.04,-00512.21,00793.95,0.00,0.14
45,450,-00395.51,-00506.35,00790.53,0.00,0.13
46,460,-00378.91,-00500.00,00797.36,0.00,0.16
47,470,-00394.04,-00497.56,00796.39,0.00,0.14
48,480,-00384.28,-00499.51,00780.27,0.00,0.16
49,490,-00388.67,-00493.65,00786.13,0.00,0.16
50,500,-00381.84,-00494.14,00802.73,0.00,0.16
51,510,-00376.95,-00500.00,00775.39,0.00,0.16
52,520,-00382.81,-00495.61,00794.92,0.00,0.16
53,530,-00389.16,-00493.65,00790.53,0.00,0.15
54,540,-00368.16,-00487.30,00798.83,0.00,0.24
55,550,-00380.37,-00510.74,00779.30,0.00,0.15
56,560,-00391.11,-00493.65,00779.79,0.00,0.15
57,570,-00384.77,-00479.49,00787.60,0.00,0.15
58,580,-00388.67,-00480.96,00781.25,0.00,0.15
59,590,-00376.95,-00493.65,00783.69,0.00,0.16
60,600,-00378.42,-00497.56,00787.60,0.00,0.16
61,610,-00382.81,-00498.05,00773.93,0.00,0.13
62,620,-00385.74,-00503.42,00793.46,0.00,0.18
63,630,-00388.18,-00504.88,00791.99,0.00,0.14
64,640,-00385.74,-00509.28,00788.09,0.00,0.18
65,650,-00386.23,-00525.88,00788.09,0.00,0.15
66,660,-00394.53,-00509.77,00786.62,0.00,0.22
67,670,-00393.07,-00500.49,00790.53,0.00,0.15
68,680,-00390.62,-00504.88,00804.20,0.00,0.14
69,690,-00381.35,-00502.44,00792.97,0.00,0.18
70,700,-00389.65,-00501.95,00792.48,0.00,0.21
71,710,-00397.46,-00505.86,00788.57,0.00,0.16
72,720,-00381.84,-00506.84,00790.53,0.00,0.20
73,730,-00386.23,-00520.51,00803.22,0.00,0.15
74,740,-00382.32,-00502.44,00780.27,0.00,0.15
75,750,-00376.95,-00506.84,00784.18,0.00,0.15
76,760,-00389.16,-00489.75,00796.39,0.00,0.19
77,770,-00379.88,-00501.95,00789.55,0.00,0.13
78,780,-00381.84,-00497.07,00775.88,0.00,0.24
79,790,-00384.28,-00517.09,00785.64,0.00,0.15
80,800,-00389.65,-00505.86,00788.09,0.00,0.18
81,810,-00376.95,-00506.84,00781.25,0.00,0.21
82,820,-00385.74,-00503.42,00780.76,0.00,0.16
83,830,-00375.98,-00513.18,00785.16,0.00,0.15
84,840,-00382.81,-00499.02,00779.30,0.00,0.15
85,850,-00379.39,-00504.88,00800.29,0.00,0.15
86,860,-00385.25,-00514.65,00784.67,0.00,0.16
87,870,-00375.00,-00518.55,00780.76,0.00,0.21
88,880,-00382.32,-00509.28,00787.60,0.00,0.21
89,890,-00380.37,-00510.74,00791.50,0.00,0.16
90,900,-00385.25,-00509.77,00792.48,0.00,0.15
91,910,-00388.18,-00508.79,00798.34,0.00,0.20
92,920,-00377.93,-00510.74,00788.09,0.00,0.13
93,930,-00382.81,-00511.23,00785.64,0.00,0.16
94,940,-00382.32,-00509.28,00799.80,0.00,0.12
95,950,-00374.51,-00512.70,00787.60,0.00,0.16
96,960,-00384.28,-00501.46,00800.78,0.00,0.15
97,970,-00382.81,-00504.88,00792.48,0.00,0.12
98,980,-00387.70,-00510.74,00778.32,0.00,0.15
99,990,-00372.56,-00502.44,00784.18,0.00,0.16
100,1000,-00402.34,-00509.28,00794.92,0.00,0.16
101,1010,-00370.61,-00516.11,00791.50,0.00,0.20
102,1020,-00367.68,-00513.67,00791.02,0.00,0.13
103,1030,-00365.23,-00510.74,00790.04,0.00,0.16
104,1040,-00389.16,-00503.91,00794.43,0.00,0.13
105,1050,-00383.79,-00500.98,00790.04,0.00,0.16
106,1060,-00377.93,-00502.93,00787.11,0.00,0.14
107,1070,-00376.46,-00502.93,00790.53,0.00,0.13
108,1080,-00382.32,-00496.58,00780.76,0.00,0.16
109,1090,-00377.93,-00500.98,00792.97,0.00,0.14
110,1100,-00380.86,-00501.95,00798.34,0.00,0.16
111,1110,-00388.18,-00511.23,00783.69,0.00,0.13
112,1120,-00389.65,-00507.81,00795.41,0.00,0.15
113,1130,-00388.67,-00499.51,00801.76,0.00,0.13
114,1140,-00372.56,-00510.25,00787.11,0.00,0.14
115,1150,-00386.72,-00501.95,00784.67,0.00,0.15
116,1160,-00386.23,-00506.84,00787.11,0.00,0.16
117,1170,-00375.49,-00508.79,00793.46,0.00,0.16
118,1180,-00379.39,-00513.67,00780.76,0.00,0.13
119,1190,-00396.48,-00523.93,00786.13,0.00,0.14
120,1200,-00379.39,-00506.84,00792.48,0.00,0.14
121,1210,-00376.46,-00515.62,00777.83,0.00,0.15
122,1220,-00384.28,-00498.54,00788.09,0.00,0.16
123,1230,-00376.95,-00519.04,00788.57,0.00,0.14
124,1240,-00375.98,-00506.35,00789.06,0.00,0.16
125,1250,-00379.88,-00507.32,00791.50,0.00,0.17
126,1260,-00387.70,-00514.16,00782.23,0.00,0.16
127,1270,-00377.93,-00500.98,00788.09,0.00,0.24
128,1280,-00396.48,-00499.02,00776.86,0.00,0.15
129,1290,-00383.30,-00511.23,00779.30,0.00,0.16
130,1300,-00380.86,-00512.70,00782.71,0.00,0.16
131,1310,-00388.18,-00497.56,00792.48,0.00,0.16
132,1320,-00368.65,-00493.65,00790.04,0.00,0.16
133,1330,-00388.18,-00490.72,00791.99,0.00,0.13
134,1340,-00382.81,-00503.42,00792.48,0.00,0.13
135,1350,-00375.49,-00491.70,00798.83,0.00,0.13
136,1360,-00382.32,-00493.65,00794.92,0.00,0.17
137,1370,-00394.04,-00512.21,00804.69,0.00,0.13
138,1380,-00390.62,-00502.44,00786.62,0.00,0.18
139,1390,-00382.81,-00485.84,00791.99,0.00,0.15
140,1400,-00376.46,-00500.00,00786.13,0.00,0.15
141,1410,-00374.02,-00500.98,00788.09,0.00,0.18
142,1420,-00384.77,-00508.79,00784.67,0.00,0.16
143,1430,-00387.21,-00501.95,00787.60,0.00,0.16
144,1440,-00377.44,-00504.39,00791.02,0.00,0.14
145,1450,-00377.93,-00500.00,00801.27,0.00,0.17
146,1460,-00376.95,-00512.70,00786.62,0.00,0.16
147,1470,-00392.09,-00504.39,00782.23,0.00,0.16
148,1480,-00392.58,-00498.54,00780.27,0.00,0.16
149,1490,-00388.18,-00513.67,00793.46,0.00,0.16
150,1500,-00374.51,-00508.30,00788.57,0.00,0.18
151,1510,-00380.86,-00502.44,00790.53,0.00,0.16
152,1520,-00380.86,-00501.46,00782.71,0.00,0.14
153,1530,-00390.14,-00506.84,00788.09,0.00,0.14
154,1540,-00383.30,-00508.30,00799.80,0.00,0.14
155,1550,-00380.86,-00511.23,00794.43,0.00,0.15
156,1560,-00398.93,-00504.39,00788.09,0.00,0.15
157,1570,-00377.44,-00501.46,00788.57,0.00,0.16
158,1580,-00372.07,-00517.58,00802.25,0.00,0.16
159,1590,-00382.81,-00507.81,00797.36,0.00,0.16
160,1600,-00387.70,-00505.37,00793.46,0.00,0.16
161,1610,-00381.35,-00504.88,00790.53,0.00,0.15
162,1620,-00376.95,-00511.72,00783.20,0.00,0.16
163,1630,-00387.70,-00509.28,00790.04,0.00,0.16
164,1640,-00387.21,-00508.79,00796.39,0.00,0.14
165,1650,-00387.21,-00503.42,00781.25,0.00,0.15
166,1660,-00373.54,-00496.09,00795.90,0.00,0.13
167,1670,-00382.32,-00497.56,00783.20,0.00,0.16
168,1680,-00380.37,-00487.30,00790.04,0.00,0.16
169,1690,-00385.74,-00511.72,00797.36,0.00,0.15
170,1700,-00399.41,-00493.16,00779.79,0.00,0.15
171,1710,-00375.98,-00500.00,00789.06,0.00,0.16
172,1720,-00389.65,-00511.23,00780.27,0.00,0.15
173,1730,-00390.62,-00501.95,00788.57,0.00,0.13
174,1740,-00389.65,-00511.23,00782.23,0.00,0.15
175,1750,-00380.37,-00497.07,00789.55,0.00,0.18
176,1760,-00373.54,-00513.18,00787.11,0.00,0.16
177,1770,-00377.44,-00512.70,00791.50,0.00,0.15
178,1780,-00395.51,-00504.88,00786.62,0.00,0.14
179,1790,-00385.74,-00502.44,00791.99,0.00,0.17
180,1800,-00378.91,-00512.21,00807.62,0.00,0.15
181,1810,-00379.39,-00502.44,00787.11,0.00,0.17
182,1820,-00383.79,-00507.81,00787.60,0.00,0.14
183,1830,-00386.72,-00503.42,00791.50,0.00,0.16
184,1840,-00389.16,-00505.86,00777.34,0.00,0.16
185,1850,-00383.79,-00511.23,00784.67,0.00,0.14
186,1860,-00388.18,-00504.88,00780.27,0.00,0.18
187,1870,-00376.95,-00508.30,00792.48,0.00,0.13
188,1880,-00378.91,-00500.98,00798.34,0.00,0.16
189,1890,-00383.79,-00498.05,00784.18,0.00,0.26
190,1900,-00383.30,-00505.86,00788.57,0.00,0.16
191,1910,-00384.28,-00514.16,00797.85,0.00,0.16
192,1920,-00392.58,-00498.05,00794.43,0.00,0.17
193,1930,-00376.46,-00503.42,00788.57,0.00,0.16
194,1940,-00382.81,-00502.44,00799.32,0.00,0.23
195,1950,-00388.18,-00494.63,00784.67,0.00,0.16
196,1960,-00392.58,-00498.54,00796.87,0.00,0.21
197,1970,-00382.81,-00498.05,00795.90,0.00,0.16
198,1980,-00381.84,-00500.00,00791.99,0.00,0.16
199,1990,-00393.07,-00496.58,00786.62,0.00,0.15
200,2000,-00385.74,-00502.44,00805.66,0.00,0.13
201,2010,-00387.21,-00508.30,00787.11,0.00,0.18
202,2020,-00390.14,-00504.88,00786.13,0.00,0.20
203,2030,-00388.18,-00495.61,00782.23,0.00,0.16
204,2040,-00394.53,-00516.60,00791.02,0.00,0.00
205,2050,-00388.18,-00508.30,00783.69,0.00,0.17
206,2060,-00376.46,-00512.70,00783.69,0.00,0.16
207,2070,-00385.74,-00509.77,00775.39,0.00,0.16
208,2080,-00382.81,-00510.25,00785.16,0.00,0.16
209,2090,-00381.84,-00504.88,00786.62,0.00,0.17
210,2100,-00382.81,-00502.93,00788.09,0.00,0.21
211,2110,-00392.58,-00503.91,00782.23,0.00,0.23
212,2120,-00376.95,-00515.14,00793.95,0.00,0.16
213,2130,-00385.74,-00507.32,00795.90,0.00,0.21
214,2140,-00372.07,-00513.67,00793.95,0.00,0.20
215,2150,-00389.16,-00514.65,00786.62,0.00,0.18
216,2160,-00385.25,-00507.81,00791.50,0.00,0.18
217,2170,-00381.35,-00516.11,00787.11,0.00,0.16
218,2180,-00384.28,-00507.32,00803.22,0.00,0.13
219,2190,-00390.14,-00521.97,00800.29,0.00,0.21
220,2200,-00375.98,-00499.02,00793.95,0.00,0.13
221,2210,-00372.07,-00495.61,00790.53,0.00,0.18
222,2220,-00377.44,-00513.67,00793.46,0.00,0.21
223,2230,-00376.46,-00506.35,00800.29,0.00,0.16
224,2240,-00378.91,-00499.51,00802.25,0.00,0.15
225,2250,-00371.09,-00504.88,00791.50,0.00,0.16
226,2260,-00376.46,-00500.98,00793.95,0.00,0.16
227,2270,-00383.79,-00509.77,00796.87,0.00,0.02
228,2280,-00382.32,-00508.79,00789.55,0.00,0.11
229,2290,-00386.72,-00497.56,00783.20,0.00,0.21
230,2300,-00380.86,-00503.42,00788.57,0.00,0.13
231,2310,-00386.72,-00504.39,00796.39,0.00,0.16
232,2320,-00374.02,-00503.42,00784.67,0.00,0.18
233,2330,-00392.58,-00494.63,00784.67,0.00,0.15
234,2340,-00382.32,-00500.00,00774.41,0.00,0.20
235,2350,-00377.93,-00495.61,00791.99,0.00,0.13
236,2360,-00389.65,-00504.39,00785.64,0.00,0.22
237,2370,-00376.95,-00509.77,00792.97,0.00,0.16
238,2380,-00391.11,-00514.65,00786.13,0.00,0.16
239,2390,-00389.65,-00513.67,00787.11,0.00,0.16
240,2400,-00371.09,-00509.77,00784.18,0.00,0.10
241,2410,-00381.35,-00512.70,00786.13,0.00,0.12
242,2420,-00371.09,-00508.30,00786.62,0.00,0.12
243,2430,-00373.54,-00501.95,00788.57,0.00,0.17
244,2440,-00378.91,-00517.58,00791.50,0.00,0.16
245,2450,-00370.61,-00500.98,00783.20,0.00,0.14
246,2460,-00374.02,-00503.91,00801.27,0.00,0.13
247,2470,-00383.79,-00508.79,00789.55,0.00,0.16
248,2480,-00385.25,-00502.93,00787.11,0.00,0.16
249,2490,-00382.81,-00513.67,00788.09,0.00,0.14
250,2500,-00372.56,-00511.23,00799.80,0.00,0.13
251,2510,-00365.72,-00515.14,00785.16,0.00,0.15
252,2520,-00373.05,-00496.09,00786.13,0.00,0.13
253,2530,-00378.42,-00503.42,00786.13,0.00,0.16
254,2540,-00375.00,-00501.46,00790.04,0.00,0.14
255,2550,-00394.04,-00514.16,00778.32,0.00,0.16
256,2560,-00367.19,-00510.25,00796.87,0.00,0.16
257,2570,-00367.19,-00501.46,00792.97,0.00,0.15
258,2580,-00390.62,-00508.30,00793.46,0.00,0.14
259,2590,-00384.28,-00506.35,00787.11,0.00,0.12
260,2600,-00382.81,-00521.48,00793.46,0.00,0.16
261,2610,-00374.02,-00502.44,00799.32,0.00,0.16
262,2620,-00373.05,-00508.79,00782.71,0.00,0.14
263,2630,-00368.65,-00515.62,00795.41,0.00,0.15
264,2640,-00365.72,-00503.91,00793.95,0.00,0.16
265,2650,-00370.61,-00511.72,00779.30,0.00,0.14
266,2660,-00369.14,-00513.67,00800.29,0.00,0.13
267,2670,-00388.67,-00511.72,00793.46,0.00,0.16
268,2680,-00379.39,-00509.28,00793.95,0.00,0.13
269,2690,-00375.49,-00516.60,00807.13,0.00,0.13
270,2700,-00373.05,-00518.55,00789.55,0.00,0.16
271,2710,-00378.42,-00506.35,00792.48,0.00,0.15
272,2720,-00362.30,-00517.09,00790.04,0.00,0.12
273,2730,-00371.09,-00502.44,00791.02,0.00,0.13
274,2740,-00383.30,-00500.00,00779.79,0.00,0.16
275,2750,-00373.54,-00500.00,00783.69,0.00,0.17
276,2760,-00375.00,-00511.72,00778.81,0.00,0.15
277,2770,-00382.32,-00502.44,00790.04,0.00,0.14
278,2780,-00383.30,-00515.14,00792.48,0.00,0.15
279,2790,-00376.95,-00505.86,00801.27,0.00,0.14
280,2800,-00367.68,-00512.70,00801.76,0.00,0.26
281,2810,-00372.07,-00500.98,00806.15,0.00,0.15
282,2820,-00383.30,-00505.37,00805.66,0.00,0.12
283,2830,-00377.93,-00514.65,00796.87,0.00,0.18
284,2840,-00371.09,-00512.21,00789.06,0.00,0.14
285,2850,-00374.02,-00510.25,00795.41,0.00,0.15
286,2860,-00367.68,-00515.62,00792.97,0.00,0.15
287,2870,-00371.09,-00513.18,00783.69,0.00,0.14
288,2880,-00382.81,-00506.84,00790.04,0.00,0.13
289,2890,-00375.98,-00519.53,00787.11,0.00,0.18
290,2900,-00379.88,-00501.46,00794.92,0.00,0.12
291,2910,-00368.65,-00514.16,00783.69,0.00,0.15
292,2920,-00375.49,-00508.30,00785.16,0.00,0.14
293,2930,-00368.16,-00506.84,00782.71,0.00,0.16
294,2940,-00373.05,-00516.11,00785.16,0.00,0.15
295,2950,-00383.30,-00504.39,00789.55,0.00,0.16
296,2960,-00372.07,-00509.28,00789.55,0.00,0.14
297,2970,-00373.05,-00516.11,00776.86,0.00,0.16
298,2980,-00379.88,-00500.98,00782.71,0.00,0.14
299,2990,-00383.79,-00512.70,00794.43,0.00,0.15
300,3000,-00380.86,-00512.70,00792.97,0.00,0.15
301,3010,-00387.70,-00517.09,00791.50,0.00,0.16
302,3020,-00388.67,-00514.16,00786.13,0.00,0.13
