,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00324.22,-00067.87,00971.68,0.00,0.00
1,10,-00258.30,-00064.94,00950.68,0.30,20.88
2,20,-00271.97,-00073.24,00951.66,0.00,0.00
3,30,-00306.15,-00072.27,00963.87,0.30,21.26
4,40,-00315.43,-00072.75,00961.43,0.00,0.00
5,50,-00315.43,-00076.66,00965.82,0.31,20.75
6,60,-00330.08,-00088.87,00965.82,0.00,0.00
7,70,-00350.59,-00072.75,00970.21,0.29,20.82
8,80,-00330.57,-00083.50,01001.46,0.00,0.00
9,90,-00297.36,-00095.70,01032.23,0.29,20.33
10,100,-00273.44,-00089.36,01071.29,0.00,0.00
11,110,-00261.72,-00072.27,01089.36,0.30,20.41
12,120,-00281.74,-00063.48,01082.03,0.00,0.00
13,130,-00274.90,-00060.55,01083.01,0.29,20.37
14,140,-00264.65,-00046.88,01055.18,0.00,0.00
15,150,-00271.97,-00032.23,01022.46,0.28,20.72
16,160,-00285.64,-00054.69,00989.26,0.00,0.00
17,170,-00312.01,-00034.18,00965.82,0.30,20.69
18,180,-00327.64,-00047.85,00936.52,0.00,0.00
19,190,-00308.59,-00042.97,00925.29,0.30,20.14
20,200,-00303.71,-00049.80,00930.18,0.00,0.00
21,210,-00334.47,-00053.71,00929.69,0.31,20.80
22,220,-00334.96,-00047.36,00941.89,0.00,0.00
23,230,-00332.52,-00030.76,00937.50,0.29,20.68
24,240,-00340.82,-00045.41,00957.52,0.00,0.00
25,250,-00342.77,-00044.43,00928.71,0.28,20.88
26,260,-00396.00,-00054.69,00939.45,0.00,0.00
27,270,-00399.41,-00041.99,00931.15,0.29,20.64
28,280,-00394.53,-00044.43,00925.29,0.00,0.00
29,290,-00389.65,-00029.30,00931.15,0.29,20.34
30,300,-00387.70,-00025.88,00924.80,0.00,0.00
31,310,-00360.84,-00015.14,00929.69,0.30,20.66
32,320,-00348.14,-00026.86,00926.76,0.00,0.00
33,330,-00311.04,-00018.55,00930.66,0.30,21.19
34,340,-00312.99,-00029.79,00929.69,0.00,0.00
35,350,-00314.94,-00016.60,00932.62,0.31,20.88
36,360,-00318.85,-00034.18,00932.13,0.00,0.00
37,370,-00362.79,-00036.62,00935.55,0.31,20.80
38,380,-00389.16,-00052.73,00962.89,0.00,0.00
39,390,-00417.97,-00034.18,00962.40,0.28,20.75
40,400,-00423.83,-00043.95,00963.87,0.00,0.00
41,410,-00433.59,-00052.25,00954.10,0.30,20.39
42,420,-00409.67,-00040.53,00944.82,0.00,0.00
43,430,-00368.65,-00046.39,00925.29,0.30,20.90
44,440,-00362.30,-00044.92,00928.71,0.00,0.00
45,450,-00390.62,-00022.46,00933.59,0.31,20.41
46,460,-00383.79,00004.39,00925.29,0.00,0.00
47,470,-00392.09,-00003.42,00935.55,0.31,20.72
48,480,-00401.86,-00019.53,00940.43,0.00,0.00
49,490,-00400.39,-00024.90,00945.80,0.29,20.94
50,500,-00400.88,-00021.97,00930.66,0.00,0.00
51,510,-00375.00,-00024.90,00926.27,0.30,20.92
52,520,-00380.37,-00017.58,00921.87,0.00,0.00
53,530,-00401.37,-00022.46,00936.04,0.30,20.80
54,540,-00406.25,-00020.51,00937.01,0.00,0.00
55,550,-00417.97,-00020.02,00912.11,0.31,21.13
56,560,-00401.86,-00007.81,00885.25,0.00,0.00
57,570,-00386.72,-00031.25,00870.61,0.30,20.26
58,580,-00355.96,-00017.58,00862.30,0.00,0.00
59,590,-00341.31,-00026.86,00858.89,0.31,21.23
60,600,-00375.49,-00024.41,00900.88,0.00,0.00
61,610,-00388.18,-00039.06,00923.83,0.31,20.64
62,620,-00396.48,-00018.55,00965.82,0.00,0.00
63,630,-00395.02,-00017.58,00971.19,0.30,21.13
64,640,-00374.51,-00024.90,00956.54,0.00,0.00
65,650,-00371.09,-00051.27,00944.34,0.30,20.71
66,660,-00365.23,-00052.25,00920.41,0.00,0.00
67,670,-00369.63,-00021.48,00937.99,0.31,21.00
68,680,-00428.71,-00026.37,00975.10,0.00,0.00
69,690,-00430.66,-00049.32,00980.96,0.29,20.61
70,700,-00354.49,-00053.22,00976.56,0.00,0.00
71,710,-00407.71,-00045.41,00974.61,0.29,20.65
72,720,-00438.48,-00072.75,00975.10,0.00,0.00
73,730,-00465.82,-00065.92,00968.75,0.31,20.69
74,740,-00490.72,-00067.87,00969.73,0.00,0.00
75,750,-00516.11,-00058.59,00948.24,0.31,20.64
76,760,-00414.55,-00037.11,00913.57,0.00,0.00
77,770,-00380.37,-00061.52,00935.06,0.29,20.48
78,780,-00426.76,-00053.71,00968.26,0.00,0.00
79,790,-00425.78,-00052.73,00992.68,0.28,20.39
80,800,-00474.61,-00038.57,01017.58,0.00,0.00
81,810,-00481.93,-00044.92,01007.32,0.30,19.85
82,820,-00501.46,-00047.36,01013.18,0.00,0.00
83,830,-00521.97,-00037.60,00982.91,0.30,20.57
84,840,-00540.04,-00034.67,00962.89,0.00,0.00
85,850,-00563.48,-00034.67,00938.48,0.31,20.76
86,860,-00551.76,-00002.44,00912.60,0.00,0.00
87,870,-00582.03,-00021.97,00926.27,0.31,20.53
88,880,-00611.82,-00019.53,00940.43,0.00,0.00
89,890,-00589.84,-00022.46,00927.25,0.30,20.15
90,900,-00588.87,-00013.18,00914.06,0.00,0.00
91,910,-00549.32,-00005.37,00862.79,0.30,20.43
92,920,-00524.41,00016.11,00851.07,0.00,0.00
93,930,-00572.27,00011.23,00803.71,0.29,20.44
94,940,-00600.10,00013.18,00774.41,0.00,0.00
95,950,-00615.72,00039.06,00756.35,0.31,20.04
96,960,-00625.98,00049.32,00752.93,0.00,0.00
97,970,-00620.61,00064.94,00744.14,0.29,20.71
98,980,-00587.40,00075.20,00723.63,0.00,0.00
99,990,-00550.78,00108.89,00730.47,0.29,20.37
100,1000,-00534.67,00154.30,00735.35,0.00,0.00
101,1010,-00514.16,00174.32,00722.66,0.31,20.45
102,1020,-00504.39,00174.80,00724.61,0.00,0.00
103,1030,-00493.16,00159.18,00721.19,0.30,20.25
104,1040,-00511.23,00181.15,00723.63,0.00,0.00
105,1050,-00503.91,00203.12,00715.33,0.30,20.59
106,1060,-00493.16,00221.68,00702.64,0.00,0.00
107,1070,-00505.37,00229.98,00705.57,0.30,20.68
108,1080,-00491.70,00233.89,00707.03,0.00,0.00
109,1090,-00489.75,00241.70,00710.45,0.31,20.40
110,1100,-00438.96,00238.77,00685.06,0.00,0.00
111,1110,-00424.32,00255.37,00661.62,0.29,20.05
112,1120,-00432.13,00250.98,00663.09,0.00,0.00
113,1130,-00431.15,00235.84,00708.98,0.31,20.23
114,1140,-00438.96,00242.19,00755.86,0.00,0.00
115,1150,-00418.95,00238.28,00753.91,0.29,19.92
116,1160,-00437.01,00236.82,00758.79,0.00,0.00
117,1170,-00435.06,00245.12,00763.18,0.30,20.34
118,1180,-00457.52,00245.61,00798.34,0.00,0.00
119,1190,-00478.03,00230.96,00825.20,0.29,20.48
120,1200,-00491.70,00217.77,00840.33,0.00,0.00
121,1210,-00522.95,00218.75,00846.19,0.29,20.18
122,1220,-00533.69,00192.38,00845.70,0.00,0.00
123,1230,-00543.95,00169.92,00808.59,0.30,20.60
124,1240,-00542.48,00139.65,00769.53,0.00,0.00
125,1250,-00579.10,00119.63,00756.84,0.31,20.43
126,1260,-00599.12,00100.10,00758.79,0.00,0.00
127,1270,-00581.54,00075.68,00772.95,0.30,19.95
128,1280,-00569.34,00117.19,00781.25,0.00,0.00
129,1290,-00624.02,00094.24,00839.36,0.28,19.82
130,1300,-00635.25,00117.19,00867.19,0.00,0.00
131,1310,-00658.69,00145.02,00849.12,0.30,20.09
