,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00561.04,-00567.87,00549.80,0.00,0.01
1,10,-00583.98,-00647.46,00521.97,0.00,0.00
2,20,-00532.71,-00626.95,00524.41,0.00,0.00
3,30,-00536.62,-00625.98,00548.83,0.00,0.00
4,40,-00500.00,-00639.16,00545.41,0.00,0.01
5,50,-00470.21,-00662.11,00561.52,0.00,0.00
6,60,-00555.66,-00706.05,00564.45,0.00,0.01
7,70,-00472.66,-00696.78,00567.38,0.00,0.00
8,80,-00503.42,-00713.38,00579.10,0.00,0.00
9,90,-00475.10,-00710.94,00581.05,0.00,0.01
10,100,-00502.93,-00646.00,00492.68,0.00,0.00
11,110,-00486.33,-00724.12,00546.39,0.00,0.00
12,120,-00414.55,-00609.86,00531.25,0.00,0.00
13,130,-00432.13,-00665.04,00554.20,0.00,0.01
14,140,-00507.81,-00652.34,00577.64,0.00,0.00
15,150,-00472.66,-00632.81,00569.34,0.00,0.00
16,160,-00523.93,-00646.00,00581.54,0.00,0.00
17,170,-00472.66,-00672.85,00625.00,0.00,0.00
18,180,-00467.77,-00708.50,00650.39,0.00,0.01
19,190,-00396.48,-00683.11,00673.34,0.00,0.00
20,200,-00538.09,-00619.14,00626.46,0.00,0.00
21,210,-00472.17,-00749.51,00593.26,0.00,0.00
22,220,-00424.32,-00673.83,00598.63,0.00,0.01
23,230,-00516.60,-00611.82,00629.88,0.00,0.00
24,240,-00428.71,-00666.50,00658.20,0.00,0.00
25,250,-00366.70,-00623.05,00694.34,0.00,0.00
26,260,-00389.16,-00662.60,00690.92,0.00,0.00
27,270,-00383.79,-00645.51,00674.80,0.00,0.00
28,280,-00411.13,-00632.32,00698.24,0.00,0.01
29,290,-00382.81,-00652.34,00716.31,0.00,0.00
30,300,-00427.73,-00655.27,00679.20,0.00,0.00
31,310,-00525.39,-00666.50,00682.62,0.00,0.00
32,320,-00491.21,-00625.00,00674.80,0.00,0.01
33,330,-00475.10,-00611.33,00681.64,0.00,0.00
34,340,-00468.26,-00598.63,00647.95,0.00,0.00
35,350,-00440.43,-00622.07,00635.25,0.00,0.00
36,360,-00527.83,-00659.67,00646.97,0.00,0.00
37,370,-00453.12,-00668.95,00646.48,0.00,0.00
38,380,-00452.64,-00712.40,00673.34,0.00,0.00
39,390,-00398.93,-00710.45,00718.26,0.00,0.00
40,400,-00393.07,-00729.00,00703.61,0.00,0.00
41,410,-00383.79,-00692.38,00671.39,0.00,0.00
42,420,-00386.23,-00665.53,00624.02,0.00,0.00
43,430,-00422.85,-00672.36,00658.20,0.00,0.00
44,440,-00437.01,-00637.70,00660.64,0.00,0.01
45,450,-00383.79,-00611.82,00662.60,0.00,0.00
46,460,-00419.43,-00589.36,00653.32,0.00,0.00
47,470,-00452.15,-00578.12,00663.09,0.00,0.00
48,480,-00479.49,-00602.05,00639.16,0.00,0.00
49,490,-00407.71,-00590.82,00615.72,0.00,0.00
50,500,-00438.48,-00617.19,00629.39,0.00,0.00
51,510,-00401.86,-00631.35,00642.58,0.00,0.00
52,520,-00354.98,-00638.18,00659.18,0.00,0.00
53,530,-00333.01,-00638.18,00660.64,0.00,0.00
54,540,-00336.43,-00643.07,00641.60,0.00,0.00
55,550,-00449.71,-00643.07,00636.23,0.00,0.00
56,560,-00475.10,-00664.55,00709.47,0.00,0.00
57,570,-00456.54,-00617.68,00754.88,0.00,0.00
58,580,-00481.93,-00635.74,00719.73,0.00,0.00
59,590,-00541.50,-00664.06,00729.98,0.00,0.00
60,600,-00516.11,-00676.27,00700.20,0.00,0.00
61,610,-00484.37,-00690.43,00668.46,0.00,0.00
62,620,-00425.29,-00669.92,00731.45,0.00,0.01
63,630,-00661.13,-00875.49,00549.32,0.00,0.00
64,640,-00471.19,-00708.01,00727.54,0.00,0.00
65,650,-00556.64,-00693.85,00655.76,0.00,0.00
66,660,-00463.38,-00711.91,00645.51,0.00,0.00
67,670,-00501.46,-00686.04,00693.36,0.00,0.02
68,680,-00455.57,-00705.57,00709.47,0.00,0.00
69,690,-00461.43,-00674.32,00703.12,0.00,0.00
70,700,-00437.01,-00671.87,00670.90,0.00,0.01
71,710,-00438.48,-00647.46,00643.55,0.00,0.00
72,720,-00377.93,-00640.14,00629.88,0.00,0.00
73,730,-00402.34,-00607.91,00595.70,0.00,0.00
74,740,-00383.79,-00603.03,00590.33,0.00,0.00
75,750,-00398.93,-00606.93,00582.52,0.00,0.00
76,760,-00414.55,-00608.89,00568.36,0.00,0.00
77,770,-00441.89,-00639.65,00579.10,0.00,0.01
78,780,-00486.33,-00710.94,00574.71,0.00,0.02
79,790,-00448.73,-00729.98,00605.96,0.00,0.00
80,800,-00403.81,-00733.89,00600.59,0.00,0.01
81,810,-00352.05,-00724.12,00611.82,0.00,0.01
82,820,-00316.41,-00712.40,00614.26,0.00,0.00
83,830,-00369.63,-00736.82,00561.52,0.00,0.04
84,840,-00354.00,-00705.57,00611.33,0.00,0.01
85,850,-00373.54,-00686.04,00677.25,0.00,0.01
86,860,-00457.03,-00717.29,00714.84,0.00,0.00
87,870,-00471.68,-00723.14,00711.91,0.00,0.00
88,880,-00463.38,-00705.57,00705.57,0.00,0.00
89,890,-00455.57,-00694.82,00671.39,0.00,0.01
90,900,-00444.82,-00666.02,00656.25,0.00,0.01
91,910,-00403.32,-00669.43,00642.58,0.00,0.04
92,920,-00450.20,-00653.32,00635.25,0.00,0.00
93,930,-00491.21,-00704.10,00685.55,0.00,0.00
94,940,-00472.66,-00770.02,00718.75,0.00,0.00
95,950,-00532.23,-00771.00,00691.89,0.00,0.05
96,960,-00583.01,-00776.37,00654.79,0.00,0.00
97,970,-00594.24,-00724.12,00592.29,0.00,0.02
98,980,-00565.92,-00744.14,00543.46,0.00,0.00
99,990,-00426.27,-00760.25,00511.23,0.00,0.11
100,1000,-00390.14,-00759.28,00509.28,0.00,0.00
101,1010,-00465.33,-00743.16,00521.48,0.00,0.10
102,1020,-00408.69,-00749.51,00503.42,0.00,0.00
103,1030,-00577.15,-00704.59,00484.86,0.00,0.28
104,1040,-00716.80,-00676.27,00498.54,0.00,0.00
105,1050,-00733.89,-00675.29,00535.16,0.00,0.13
106,1060,-00724.12,-00645.51,00562.50,0.00,0.00
107,1070,-00740.72,-00569.82,00584.96,0.00,0.13
108,1080,-00741.70,-00516.11,00583.98,0.00,0.00
109,1090,-00734.86,-00442.38,00625.49,0.00,0.13
110,1100,-00774.90,-00402.83,00644.04,0.00,0.00
111,1110,-00849.12,-00366.21,00674.80,0.00,0.13
112,1120,-00851.07,-00327.64,00685.06,0.00,0.00
113,1130,-00870.12,-00255.37,00628.42,0.00,0.13
114,1140,-00856.45,-00225.10,00620.61,0.00,0.00
115,1150,-00863.77,-00188.96,00591.31,0.00,0.13
116,1160,-00895.51,-00155.27,00604.00,0.00,0.00
117,1170,-00958.01,-00180.66,00595.21,0.00,0.12
118,1180,-00997.56,-00167.48,00559.08,0.00,0.00
119,1190,-00989.75,-00178.71,00512.70,0.00,0.12
120,1200,-01012.21,-00169.92,00471.68,0.00,0.00
121,1210,-01011.23,-00175.78,00386.23,0.00,0.13
122,1220,-01026.86,-00180.18,00279.79,0.00,0.00
123,1230,-01105.96,-00184.08,00214.36,0.00,0.14
124,1240,-01199.71,-00202.15,00166.02,0.00,0.00
125,1250,-01252.44,-00177.25,00139.65,0.00,0.12
126,1260,-01258.30,-00162.60,00163.57,0.00,0.00
127,1270,-01235.84,-00166.50,00188.48,0.00,0.13
128,1280,-01177.73,-00160.64,00219.73,0.00,0.00
129,1290,-01127.44,-00162.11,00242.19,0.00,0.13
130,1300,-01089.36,-00169.92,00251.46,0.00,0.00
131,1310,-01101.56,-00210.45,00249.02,0.00,0.14
132,1320,-01103.03,-00237.30,00254.88,0.00,0.00
133,1330,-01111.33,-00276.86,00251.46,0.00,0.13
134,1340,-01078.13,-00279.30,00258.79,0.00,0.00
135,1350,-01047.85,-00308.11,00232.42,0.00,0.14
136,1360,-00998.54,-00291.02,00195.31,0.00,0.00
137,1370,-00973.14,-00287.60,00159.67,0.00,0.13
138,1380,-00966.80,-00274.90,00121.58,0.00,0.00
139,1390,-00936.04,-00253.91,00089.36,0.00,0.15
140,1400,-00904.30,-00223.14,00064.45,0.00,0.00
141,1410,-00874.02,-00191.89,00017.09,0.00,0.15
142,1420,-00853.52,-00176.27,-00007.32,0.00,0.00
143,1430,-00836.91,-00151.37,-00017.58,0.00,0.15
144,1440,-00818.36,-00163.57,-00022.46,0.00,0.00
145,1450,-00791.99,-00153.32,-00002.44,0.00,0.16
146,1460,-00775.88,-00153.32,-00007.81,0.00,0.00
147,1470,-00746.58,-00149.90,00010.74,0.00,0.15
148,1480,-00696.29,-00150.39,00015.14,0.00,0.00
149,1490,-00668.95,-00149.90,-00015.63,0.00,0.14
150,1500,-00624.51,-00149.90,00006.84,0.00,0.00
151,1510,-00636.72,-00194.82,00033.20,0.00,0.16
152,1520,-00631.35,-00244.63,00060.55,0.00,0.00
153,1530,-00615.23,-00268.55,00065.43,0.00,0.16
154,1540,-00566.41,-00316.41,00036.13,0.00,0.00
155,1550,-00464.36,-00334.96,00011.23,0.00,0.16
156,1560,-00413.57,-00356.93,-00003.91,0.00,0.00
157,1570,-00402.34,-00370.61,-00003.42,0.00,0.16
158,1580,-00409.18,-00434.57,-00007.32,0.00,0.00
159,1590,-00430.18,-00494.14,00030.76,0.00,0.18
160,1600,-00474.61,-00554.69,00068.85,0.00,0.00
