,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00634.28,-00889.16,00242.68,0.00,0.05
1,10,-00596.19,-00867.19,00282.23,0.00,0.07
2,20,-00601.07,-00844.73,00303.22,0.00,0.06
3,30,-00576.17,-00803.22,00295.41,0.00,0.06
4,40,-00576.66,-00771.48,00255.37,0.00,0.07
5,50,-00573.73,-00750.49,00222.17,0.00,0.05
6,60,-00604.98,-00732.42,00203.61,0.00,0.02
7,70,-00618.65,-00732.42,00216.31,0.00,0.01
8,80,-00651.37,-00748.05,00240.23,0.00,0.07
9,90,-00685.55,-00779.79,00263.67,0.00,0.06
10,100,-00721.68,-00797.85,00260.74,0.00,0.06
11,110,-00703.12,-00806.64,00233.40,0.00,0.07
12,120,-00692.87,-00799.80,00233.89,0.00,0.07
13,130,-00682.62,-00831.54,00231.93,0.00,0.04
14,140,-00686.52,-00831.05,00256.35,0.00,0.07
15,150,-00690.92,-00850.59,00253.91,0.00,0.06
16,160,-00692.38,-00875.00,00270.51,0.00,0.07
17,170,-00741.21,-00881.35,00291.50,0.00,0.06
18,180,-00810.06,-00901.37,00291.02,0.00,0.07
19,190,-00826.66,-00892.09,00246.09,0.00,0.05
20,200,-00769.04,-00883.79,00136.72,0.00,0.07
21,210,-00698.73,-00857.91,00051.76,0.00,0.08
22,220,-00675.29,-00833.98,00007.32,0.00,0.03
23,230,-00748.54,-00815.92,00061.52,0.00,0.05
24,240,-00805.66,-00795.41,00166.99,0.00,0.06
25,250,-00896.00,-00762.21,00248.05,0.00,0.05
26,260,-00933.11,-00727.05,00287.60,0.00,0.06
27,270,-00817.38,-00733.89,00261.72,0.00,0.06
28,280,-00724.12,-00712.89,00176.76,0.00,0.05
29,290,-00709.96,-00642.58,00099.12,0.00,0.05
30,300,-00713.87,-00653.81,00055.66,0.00,0.08
31,310,-00725.59,-00607.42,00087.40,0.00,0.06
32,320,-00753.42,-00598.14,00139.16,0.00,0.18
33,330,-00822.27,-00560.55,00188.48,0.00,0.07
34,340,-00831.54,-00562.50,00200.20,0.00,0.04
35,350,-00781.74,-00547.36,00165.04,0.00,0.07
36,360,-00727.54,-00527.34,00115.23,0.00,0.07
37,370,-00705.57,-00542.48,00090.33,0.00,0.09
38,380,-00697.75,-00559.08,00052.73,0.00,0.05
39,390,-00738.77,-00558.11,00057.62,0.00,0.10
40,400,-00841.31,-00563.48,00084.96,0.00,0.07
41,410,-00918.95,-00604.98,00095.70,0.00,0.07
42,420,-00908.20,-00625.49,00060.55,0.00,0.05
43,430,-00869.14,-00633.30,00028.81,0.00,0.04
44,440,-00837.40,-00618.65,-00010.74,0.00,0.07
45,450,-00820.31,-00591.80,-00027.34,0.00,0.07
46,460,-00813.48,-00572.27,-00017.09,0.00,0.07
47,470,-00816.41,-00544.92,-00019.04,0.00,0.07
48,480,-00795.41,-00508.30,-00001.95,0.00,0.04
49,490,-00779.79,-00466.80,00032.23,0.00,0.05
50,500,-00787.60,-00446.78,00078.12,0.00,0.06
51,510,-00775.39,-00426.27,00094.73,0.00,0.09
52,520,-00739.26,-00408.20,00068.85,0.00,0.05
53,530,-00700.20,-00401.37,00017.58,0.00,0.05
54,540,-00658.69,-00395.51,-00024.90,0.00,0.05
55,550,-00631.84,-00397.95,-00043.95,0.00,0.04
56,560,-00646.00,-00408.69,-00034.67,0.00,0.05
57,570,-00722.66,-00403.81,-00038.09,0.00,0.08
58,580,-00791.02,-00392.58,-00005.37,0.00,0.05
59,590,-00812.50,-00389.16,00013.67,0.00,0.07
60,600,-00839.84,-00382.32,00040.53,0.00,0.05
61,610,-00838.38,-00362.30,00075.68,0.00,0.05
62,620,-00854.98,-00342.29,00060.55,0.00,0.05
63,630,-00848.14,-00328.61,00059.57,0.00,0.06
64,640,-00796.39,-00333.50,00058.11,0.00,0.07
65,650,-00764.16,-00323.24,00067.38,0.00,0.07
66,660,-00825.20,-00348.14,00067.87,0.00,0.05
67,670,-00879.88,-00360.84,00084.96,0.00,0.07
68,680,-00937.99,-00383.30,00102.54,0.00,0.05
69,690,-00943.36,-00384.28,00096.19,0.00,0.07
70,700,-00993.65,-00431.64,00068.85,0.00,0.07
71,710,-01009.28,-00432.62,00074.22,0.00,0.06
72,720,-01000.00,-00444.34,00080.57,0.00,0.04
73,730,-00993.16,-00433.11,00113.28,0.00,0.08
74,740,-00998.54,-00415.04,00139.65,0.00,0.06
75,750,-01005.37,-00412.60,00171.87,0.00,0.11
76,760,-00954.10,-00403.32,00164.06,0.00,0.05
77,770,-00982.91,-00412.60,00165.04,0.00,0.09
78,780,-00978.52,-00406.25,00148.93,0.00,0.04
79,790,-00986.33,-00403.32,00148.93,0.00,0.06
80,800,-01001.95,-00450.68,00123.54,0.00,0.05
81,810,-01090.82,-00450.68,00092.77,0.00,0.04
82,820,-01169.43,-00480.47,00096.19,0.00,0.05
83,830,-01199.71,-00491.21,00089.84,0.00,0.05
84,840,-01218.75,-00480.96,00065.92,0.00,0.02
85,850,-01216.31,-00460.94,00057.62,0.00,0.07
