,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00351.07,00037.60,00898.93,0.39,24.99
1,10,-00363.77,00028.32,00897.46,0.00,0.00
2,20,-00353.52,00002.44,00911.13,0.37,24.99
3,30,-00347.17,00023.93,00907.23,0.00,0.00
4,40,-00347.17,00036.62,00911.62,0.36,24.99
5,50,-00373.05,00029.30,00921.87,0.00,0.00
6,60,-00355.47,00029.79,00896.97,0.37,24.99
7,70,-00372.07,00022.46,00892.09,0.00,0.00
8,80,-00395.51,00017.09,00914.06,0.39,24.99
9,90,-00404.79,00011.23,00917.97,0.00,0.00
10,100,-00411.62,00010.74,00948.73,0.39,24.99
11,110,-00392.58,00025.88,00949.71,0.00,0.00
12,120,-00383.79,00010.74,00954.10,0.39,24.99
13,130,-00386.72,00016.60,00948.73,0.00,0.00
14,140,-00373.54,00009.28,00944.34,0.39,24.99
15,150,-00357.42,00021.97,00932.62,0.00,0.00
16,160,-00346.19,00022.95,00926.27,0.39,24.99
17,170,-00354.00,00021.97,00935.55,0.00,0.00
18,180,-00322.75,00014.65,00934.57,0.37,24.99
19,190,-00329.10,00027.34,00938.96,0.00,0.00
20,200,-00338.87,00017.58,00955.08,0.38,24.99
21,210,-00333.01,00013.67,00952.64,0.00,0.00
22,220,-00337.89,00021.00,00952.15,0.37,24.99
23,230,-00344.73,00006.84,00928.71,0.00,0.00
24,240,-00334.96,00010.25,00936.04,0.38,24.99
25,250,-00333.01,00007.81,00938.48,0.00,0.00
26,260,-00337.40,00010.25,00934.08,0.39,24.99
27,270,-00345.70,00006.84,00944.82,0.00,0.00
28,280,-00341.31,00015.63,00946.78,0.39,24.99
29,290,-00348.63,00006.84,00955.08,0.00,0.00
30,300,-00349.61,-00002.93,00939.94,0.37,24.99
31,310,-00360.35,00009.77,00937.01,0.00,0.00
32,320,-00352.54,00003.42,00944.34,0.39,24.99
33,330,-00337.89,-00000.98,00955.08,0.00,0.00
34,340,-00321.78,00010.74,00950.20,0.40,24.99
35,350,-00343.75,00001.95,00955.57,0.00,0.00
36,360,-00334.96,00015.63,00945.31,0.39,24.99
37,370,-00322.75,00015.63,00947.27,0.00,0.00
38,380,-00322.75,00010.25,00934.08,0.39,24.99
39,390,-00326.17,00016.11,00936.52,0.00,0.00
40,400,-00324.71,00026.37,00931.64,0.39,24.99
41,410,-00327.64,00018.55,00935.06,0.00,0.00
42,420,-00351.56,-00000.49,00944.82,0.39,24.99
43,430,-00338.87,00014.65,00938.96,0.00,0.00
44,440,-00341.80,-00001.95,00958.50,0.38,24.99
45,450,-00352.54,00017.09,00950.68,0.00,0.00
46,460,-00334.47,00006.35,00945.80,0.39,24.99
47,470,-00346.68,00000.98,00947.27,0.00,0.00
48,480,-00339.84,-00008.79,00944.34,0.37,24.99
49,490,-00334.96,00003.42,00942.38,0.00,0.00
50,500,-00330.08,00008.79,00960.45,0.37,24.99
51,510,-00314.94,00008.79,00944.34,0.00,0.00
52,520,-00309.08,00020.51,00952.15,0.39,24.99
53,530,-00310.55,00005.86,00946.78,0.00,0.00
54,540,-00304.69,-00000.49,00949.71,0.39,24.99
55,550,-00319.82,-00005.86,00940.43,0.00,0.00
56,560,-00332.03,-00001.95,00948.73,0.38,24.99
57,570,-00328.61,-00002.93,00947.27,0.00,0.00
58,580,-00320.31,00001.46,00957.52,0.40,24.99
59,590,-00316.41,00001.46,00959.47,0.00,0.00
60,600,-00313.96,00007.32,00947.75,0.36,24.99
61,610,-00322.75,-00012.21,00948.24,0.00,0.00
62,620,-00319.82,-00008.79,00946.29,0.39,24.99
