,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00404.79,-00967.77,00239.75,0.00,0.02
1,10,-00402.83,-00898.44,00223.63,0.00,0.01
2,20,-00377.93,-00913.09,00222.17,0.00,0.02
3,30,-00375.49,-00919.43,00218.75,0.00,0.02
4,40,-00382.81,-00912.60,00226.07,0.00,0.03
5,50,-00383.30,-00900.88,00226.56,0.00,0.01
6,60,-00332.03,-00859.37,00242.68,0.00,0.01
7,70,-00396.00,-00903.32,00201.17,0.00,0.01
8,80,-00396.48,-00957.03,00206.05,0.00,0.01
9,90,-00324.22,-00848.63,00188.96,0.00,0.01
10,100,-00320.80,-00886.23,00171.39,0.00,0.02
11,110,-00380.37,-00886.23,00172.85,0.00,0.01
12,120,-00323.24,-00878.91,00169.43,0.00,0.01
13,130,-00284.67,-00854.98,00180.18,0.00,0.00
14,140,-00299.80,-00883.30,00179.69,0.00,0.01
15,150,-00298.34,-00872.56,00182.13,0.00,0.02
16,160,-00268.55,-00851.56,00183.59,0.00,0.02
17,170,-00267.09,-00861.82,00186.04,0.00,0.01
18,180,-00272.95,-00855.96,00184.08,0.00,0.02
19,190,-00277.83,-00833.98,00178.71,0.00,0.00
20,200,-00271.48,-00817.38,00187.50,0.00,0.01
21,210,-00279.79,-00830.57,00195.80,0.00,0.01
22,220,-00274.90,-00862.30,00192.87,0.00,0.02
23,230,-00286.62,-00869.63,00204.10,0.00,0.01
24,240,-00282.71,-00880.86,00208.98,0.00,0.01
25,250,-00268.07,-00879.88,00209.47,0.00,0.01
26,260,-00271.97,-00901.37,00210.45,0.00,0.02
27,270,-00279.30,-00907.23,00198.24,0.00,0.01
28,280,-00267.09,-00926.76,00200.20,0.00,0.01
29,290,-00283.20,-00935.06,00211.91,0.00,0.01
30,300,-00273.93,-00966.31,00215.33,0.00,0.02
31,310,-00273.93,-00976.56,00248.54,0.00,0.01
32,320,-00274.90,-00988.28,00234.37,0.00,0.02
33,330,-00281.74,-01003.42,00265.62,0.00,0.01
34,340,-00294.43,-00993.16,00256.84,0.00,0.01
35,350,-00288.09,-00975.59,00276.86,0.00,0.01
36,360,-00291.99,-00962.89,00279.79,0.00,0.01
37,370,-00277.83,-00927.25,00265.14,0.00,0.00
38,380,-00258.79,-00932.13,00225.59,0.00,0.02
39,390,-00250.49,-00992.19,00228.52,0.00,0.01
40,400,-00279.79,-01091.80,00255.37,0.00,0.02
41,410,-00319.82,-01096.68,00280.76,0.00,0.01
42,420,-00323.24,-01112.30,00272.95,0.00,0.02
