,time,acc_x,acc_y,acc_z,pulse,eda
0,0,00328.12,00274.90,00901.37,0.44,13.43
1,10,00318.85,00265.14,00907.23,0.44,13.48
2,20,00334.96,00260.25,00896.00,0.44,13.44
3,30,00345.21,00265.62,00884.28,0.44,13.45
4,40,00326.66,00261.72,00904.79,0.45,13.67
5,50,00331.05,00270.02,00903.81,0.45,13.50
6,60,00333.98,00279.30,00891.60,0.45,13.49
7,70,00314.94,00264.16,00889.65,0.45,13.44
8,80,00301.27,00258.79,00894.04,0.46,13.18
9,90,00301.27,00263.67,00889.65,0.46,13.57
10,100,00298.83,00268.07,00890.62,0.47,13.53
11,110,00284.67,00260.74,00889.65,0.47,13.53
12,120,00285.64,00269.04,00888.18,0.47,13.51
13,130,00267.58,00248.05,00892.09,0.47,13.57
14,140,00281.74,00243.16,00911.62,0.47,13.56
15,150,00281.25,00255.86,00924.32,0.46,13.54
16,160,00284.67,00246.58,00922.85,0.45,13.57
17,170,00296.87,00243.65,00934.08,0.45,13.60
18,180,00290.53,00246.09,00933.11,0.45,13.56
19,190,00310.55,00247.56,00937.01,0.44,13.55
20,200,00312.01,00249.51,00917.48,0.44,13.60
21,210,00300.78,00250.98,00932.62,0.43,13.62
22,220,00312.99,00236.82,00930.18,0.43,13.57
23,230,00312.01,00259.77,00934.08,0.44,13.57
24,240,00297.85,00261.72,00936.04,0.43,13.57
25,250,00303.22,00267.58,00936.52,0.43,13.59
26,260,00316.89,00273.44,00943.85,0.43,13.57
27,270,00332.03,00283.20,00924.80,0.43,13.59
28,280,00314.94,00281.25,00904.30,0.43,13.58
29,290,00303.71,00292.97,00889.16,0.42,13.58
30,300,00301.76,00277.83,00887.70,0.42,13.57
31,310,00259.28,00278.81,00875.98,0.42,13.59
32,320,00271.97,00287.11,00858.40,0.42,13.59
33,330,00331.05,00290.04,00850.10,0.43,13.57
34,340,00366.70,00306.64,00842.77,0.43,13.58
35,350,00374.02,00308.11,00868.65,0.44,13.58
36,360,00395.51,00310.06,00863.77,0.45,13.57
37,370,00369.63,00305.18,00855.96,0.45,13.54
38,380,00342.77,00304.69,00857.91,0.45,13.54
39,390,00304.69,00283.20,00871.09,0.45,13.59
40,400,00275.39,00273.44,00883.30,0.45,13.56
41,410,00248.54,00271.00,00909.67,0.45,13.54
42,420,00238.77,00274.90,00924.32,0.44,13.68
43,430,00240.23,00290.04,00934.08,0.43,13.51
44,440,00257.81,00270.02,00919.43,0.43,13.52
45,450,00250.49,00285.64,00913.57,0.42,13.57
46,460,00243.65,00272.46,00913.09,0.41,13.28
47,470,00230.96,00283.20,00915.04,0.41,13.57
48,480,00210.94,00280.76,00930.66,0.40,13.51
49,490,00199.22,00265.14,00924.80,0.40,13.41
50,500,00183.11,00284.18,00929.69,0.39,13.44
51,510,00184.57,00289.06,00926.76,0.39,13.46
52,520,00193.36,00287.60,00932.13,0.38,13.43
53,530,00191.41,00277.34,00916.02,0.37,13.41
54,540,00191.41,00270.51,00908.69,0.37,13.40
55,550,00203.61,00275.88,00917.48,0.37,13.46
56,560,00208.50,00260.74,00909.67,0.37,13.36
57,570,00210.94,00278.32,00920.90,0.37,13.37
58,580,00220.70,00263.18,00920.41,0.37,13.37
59,590,00252.93,00269.04,00917.48,0.37,13.26
60,600,00268.55,00257.32,00934.08,0.38,13.36
61,610,00255.86,00265.14,00919.43,0.39,13.30
62,620,00276.37,00282.71,00930.66,0.39,13.29
63,630,00264.16,00281.74,00930.66,0.40,13.35
64,640,00267.09,00277.34,00926.76,0.40,13.34
65,650,00290.53,00262.21,00937.99,0.41,13.26
66,660,00289.55,00259.77,00925.78,0.41,13.34
67,670,00282.71,00273.44,00907.23,0.41,13.29
68,680,00304.20,00289.06,00896.97,0.41,13.37
69,690,00324.22,00278.81,00886.23,0.40,13.30
70,700,00321.29,00269.53,00906.25,0.40,13.38
71,710,00320.31,00289.55,00894.53,0.40,13.32
72,720,00305.18,00288.57,00902.83,0.40,13.31
73,730,00299.80,00282.71,00917.48,0.40,13.35
74,740,00322.27,00303.22,00910.64,0.40,13.29
75,750,00311.52,00300.29,00892.09,0.40,13.38
76,760,00303.71,00296.39,00892.09,0.40,13.30
77,770,00254.39,00290.53,00866.70,0.39,13.34
78,780,00255.86,00295.41,00873.05,0.39,13.31
79,790,00293.46,00293.95,00866.21,0.39,13.35
80,800,00299.80,00295.41,00890.14,0.39,13.29
81,810,00307.62,00302.25,00889.16,0.39,13.32
82,820,00288.57,00274.41,00882.32,0.39,13.32
83,830,00301.76,00285.16,00894.53,0.39,13.30
84,840,00309.08,00290.53,00896.97,0.40,13.30
85,850,00282.23,00281.25,00901.86,0.40,13.29
86,860,00305.66,00273.93,00918.46,0.41,13.30
87,870,00288.09,00278.81,00903.32,0.41,13.28
88,880,00254.39,00264.65,00896.00,0.41,13.44
89,890,00241.70,00253.42,00906.25,0.41,13.25
90,900,00226.07,00269.53,00928.71,0.41,13.38
91,910,00240.72,00264.65,00945.31,0.41,13.28
92,920,00257.32,00265.14,00946.78,0.41,13.38
93,930,00379.88,00277.83,00937.50,0.41,13.18
94,940,00267.58,00246.09,00908.69,0.41,13.22
95,950,00345.70,00266.11,00906.74,0.41,13.31
96,960,00309.08,00245.61,00928.22,0.41,13.25
97,970,00315.92,00249.02,00910.16,0.41,13.26
98,980,00307.62,00263.67,00929.69,0.42,13.31
99,990,00283.20,00269.53,00919.43,0.42,13.37
100,1000,00302.73,00272.95,00907.23,0.42,13.31
101,1010,00293.95,00250.49,00904.30,0.42,13.30
102,1020,00293.95,00247.56,00904.30,0.42,13.26
103,1030,00310.55,00247.56,00902.83,0.42,13.29
104,1040,00312.01,00261.23,00897.46,0.41,13.28
105,1050,00303.22,00260.74,00883.30,0.41,13.29
106,1060,00301.27,00258.79,00890.62,0.40,13.34
107,1070,00293.95,00268.07,00884.77,0.40,13.31
108,1080,00290.53,00250.49,00884.28,0.40,13.28
109,1090,00299.80,00234.86,00882.32,0.41,13.35
110,1100,00319.82,00246.58,00895.02,0.41,13.21
111,1110,00320.31,00239.26,00908.20,0.42,13.28
112,1120,00338.38,00231.45,00908.20,0.43,13.31
113,1130,00343.26,00239.75,00924.80,0.44,13.28
114,1140,00330.08,00235.35,00912.60,0.45,13.28
115,1150,00348.14,00224.61,00924.32,0.45,13.19
116,1160,00351.07,00230.96,00925.29,0.46,13.19
117,1170,00348.14,00228.03,00937.01,0.46,13.20
118,1180,00325.20,00228.52,00940.92,0.46,13.12
119,1190,00332.03,00225.10,00916.02,0.47,13.23
120,1200,00302.73,00229.98,00928.22,0.47,13.12
121,1210,00291.50,00236.33,00916.99,0.47,13.13
122,1220,00285.64,00214.84,00916.99,0.48,13.07
123,1230,00288.57,00233.89,00922.85,0.48,13.10
124,1240,00285.64,00228.03,00912.60,0.49,13.06
125,1250,00294.43,00233.89,00922.85,0.50,13.02
126,1260,00308.11,00249.02,00932.13,0.50,13.00
127,1270,00301.76,00251.46,00932.62,0.51,13.04
128,1280,00293.95,00244.63,00918.95,0.51,12.96
129,1290,00302.73,00244.14,00912.11,0.52,13.00
130,1300,00299.32,00248.54,00921.87,0.52,12.96
131,1310,00295.90,00242.68,00917.97,0.51,12.98
132,1320,00291.99,00258.79,00928.71,0.51,12.99
133,1330,00296.87,00261.72,00921.87,0.50,12.97
134,1340,00291.99,00265.14,00910.64,0.48,12.99
135,1350,00308.11,00264.65,00916.50,0.47,12.90
136,1360,00319.82,00244.14,00918.46,0.46,12.95
137,1370,00308.59,00239.26,00925.29,0.44,12.90
138,1380,00338.38,00254.39,00926.27,0.42,12.93
139,1390,00356.93,00243.16,00901.86,0.42,12.89
140,1400,00346.19,00244.63,00891.60,0.41,12.93
141,1410,00338.87,00243.65,00877.44,0.40,12.90
142,1420,00345.70,00252.44,00887.21,0.40,12.86
143,1430,00353.52,00267.09,00906.74,0.40,12.88
144,1440,00336.91,00266.11,00907.23,0.40,12.88
145,1450,00324.71,00257.32,00911.13,0.40,12.87
146,1460,00340.33,00271.48,00890.62,0.40,12.85
147,1470,00328.61,00275.39,00882.81,0.40,12.84
148,1480,00341.80,00278.81,00877.93,0.40,12.79
149,1490,00323.73,00280.76,00877.44,0.41,12.90
150,1500,00321.29,00292.97,00887.70,0.41,12.79
151,1510,00312.99,00290.04,00867.68,0.40,12.88
152,1520,00311.52,00270.51,00869.63,0.41,12.80
153,1530,00291.02,00268.55,00855.47,0.41,12.73
154,1540,00291.02,00282.23,00852.54,0.41,12.76
155,1550,00288.09,00287.11,00860.35,0.41,12.83
156,1560,00289.55,00278.32,00854.00,0.41,12.17
157,1570,00297.85,00271.48,00834.47,0.41,12.80
158,1580,00287.11,00271.00,00860.84,0.41,12.73
159,1590,00292.48,00275.39,00864.75,0.41,12.79
160,1600,00293.46,00270.02,00851.56,0.41,12.79
161,1610,00310.55,00269.04,00854.98,0.41,12.71
162,1620,00320.80,00274.41,00880.37,0.42,12.70
163,1630,00326.66,00272.95,00914.55,0.42,12.70
164,1640,00313.96,00277.34,00928.22,0.43,12.73
165,1650,00313.96,00289.55,00935.06,0.43,12.69
166,1660,00335.45,00290.04,00935.55,0.44,12.74
167,1670,00314.45,00307.62,00930.18,0.45,12.66
168,1680,00313.96,00314.45,00906.74,0.45,12.67
169,1690,00304.69,00303.71,00914.55,0.46,12.71
170,1700,00301.27,00298.83,00887.70,0.46,12.69
171,1710,00312.50,00308.11,00877.44,0.46,12.67
172,1720,00318.85,00295.41,00895.51,0.46,12.60
173,1730,00343.75,00293.95,00902.34,0.46,12.71
174,1740,00333.01,00286.62,00889.16,0.46,12.63
175,1750,00337.89,00276.86,00898.93,0.46,12.73
