,time,acc_x,acc_y,acc_z,pulse,eda
0,0,-00584.96,-02000.00,-00063.96,0.44,7.81
1,10,-00776.86,-01981.93,00454.10,0.53,7.75
2,20,-00666.99,-01710.45,00800.29,0.61,7.88
3,30,-00359.86,-01832.03,01191.41,0.69,7.80
4,40,00089.84,-01866.70,01520.51,0.76,7.73
5,50,00455.08,-01945.31,01604.49,0.83,7.75
6,60,00711.43,-01799.32,01509.28,0.86,7.71
7,70,00914.55,-01549.80,01239.75,0.88,7.81
8,80,01048.34,-01335.45,00935.55,0.86,7.91
9,90,01109.86,-01033.69,00673.34,0.84,7.83
10,100,01105.47,-00796.39,00478.52,0.79,7.61
11,110,01097.17,-00638.67,00423.83,0.75,7.81
12,120,01046.88,-00597.66,00441.89,0.70,7.32
13,130,00882.32,-00312.99,00619.14,0.66,7.79
14,140,00605.47,-00085.94,00491.21,0.62,7.79
15,150,00382.32,-00035.16,00511.72,0.59,7.38
16,160,00152.83,00194.34,00304.20,0.57,7.91
17,170,00123.05,00242.19,00152.34,0.55,7.37
18,180,00231.45,00256.84,-00108.89,0.53,7.90
19,190,00371.58,00361.82,-00231.45,0.51,7.46
20,200,00513.67,00319.34,-00335.94,0.50,7.93
21,210,00713.38,00308.11,-00379.88,0.49,7.32
22,220,00676.27,00291.02,-00412.60,0.49,7.97
23,230,00539.06,00276.37,-00438.48,0.49,7.39
24,240,00253.42,00220.70,-00389.65,0.51,7.93
25,250,00020.51,00166.50,-00303.22,0.52,7.46
26,260,-00181.15,00115.23,-00217.29,0.54,8.03
27,270,-00355.47,00028.81,-00097.17,0.56,7.52
28,280,-00411.62,-00042.48,00058.59,0.58,8.00
29,290,-00326.66,-00084.47,00118.65,0.60,7.68
30,300,-00111.82,-00193.36,00101.56,0.61,8.11
31,310,00241.70,-00396.48,00084.47,0.63,7.65
32,320,00748.54,-00799.80,00093.26,0.63,8.24
33,330,01223.63,-01310.06,-00005.86,0.65,7.70
34,340,01274.41,-01804.20,-00093.26,0.65,8.23
35,350,00995.12,-02000.00,-00342.29,0.67,7.82
36,360,00437.99,-02000.00,-00292.97,0.67,7.98
37,370,00043.46,-02000.00,-00026.37,0.69,7.37
38,380,-00068.85,-02000.00,00248.05,0.71,7.81
39,390,00418.95,-02000.00,00421.87,0.75,7.32
40,400,01011.72,-02000.00,00320.80,0.77,7.81
41,410,01455.57,-02000.00,00061.04,0.77,7.30
42,420,01510.25,-02000.00,-00578.12,0.73,7.75
43,430,01444.34,-02000.00,-01116.70,0.68,7.39
44,440,01721.68,-02000.00,-01123.54,0.62,7.65
45,450,01910.16,-02000.00,-00466.31,0.58,7.37
46,460,01999.94,-01831.54,-00056.15,0.55,7.53
47,470,01894.04,-01493.65,-00289.55,0.55,7.19
48,480,01225.10,-01059.08,-00584.47,0.55,7.52
49,490,00846.68,-00722.66,-00861.33,0.55,7.32
50,500,00679.69,-00420.90,-00884.77,0.54,7.32
51,510,00468.75,-00149.90,-01006.84,0.52,7.37
52,520,00374.51,00194.34,-01112.79,0.47,7.12
53,530,00583.50,00233.89,-00803.22,0.44,7.27
54,540,00689.94,00161.62,-00440.43,0.39,7.29
55,550,00298.34,00195.31,-00308.59,0.35,6.75
56,560,-00003.42,00237.30,-00282.23,0.31,7.32
57,570,-00299.80,00252.93,-00507.32,0.27,6.72
58,580,-00038.09,00146.97,-00616.70,0.22,7.25
59,590,00342.29,00073.24,-00775.88,0.18,6.64
60,600,00396.97,-00060.06,-00902.34,0.13,7.29
61,610,00346.19,00050.78,-00708.50,0.07,6.72
62,620,00042.48,00169.43,-00491.70,0.02,7.30
63,630,00145.51,00245.12,-00515.14,0.00,6.71
64,640,00381.84,00357.42,-00408.69,0.00,7.29
65,650,00390.14,00429.69,-00261.72,0.00,6.74
66,660,00233.89,00531.74,-00118.65,0.00,7.23
67,670,00159.67,00568.36,00004.39,0.00,6.57
