,time,acc_x,acc_y,acc_z,pulse,eda
0,0,01999.94,-00273.44,00076.66,0.47,14.73
1,10,01999.94,-00187.01,00036.62,0.47,14.78
2,20,01999.94,-00073.73,00007.81,0.46,14.75
3,30,01959.47,00016.60,00016.11,0.46,14.24
4,40,01727.05,00105.47,00033.20,0.45,14.48
5,50,01523.44,00179.20,00019.53,0.43,14.03
6,60,01307.13,00208.98,00000.49,0.42,14.84
7,70,01102.54,00223.14,-00009.77,0.40,13.96
8,80,00914.55,00237.30,-00032.23,0.38,14.42
9,90,00731.93,00230.96,-00039.55,0.36,14.53
10,100,00570.80,00255.37,-00063.48,0.34,14.67
11,110,00427.25,00269.04,-00070.31,0.32,15.37
12,120,00327.15,00310.55,-00075.68,0.31,14.73
13,130,00333.98,00375.00,-00040.53,0.29,14.48
14,140,00319.34,00444.82,-00025.39,0.29,14.29
15,150,00295.41,00546.39,-00021.48,0.28,14.34
16,160,00283.69,00636.23,-00033.20,0.27,14.70
17,170,00302.73,00722.66,-00047.36,0.27,14.63
18,180,00320.80,00777.83,-00084.96,0.27,13.90
19,190,00360.35,00786.13,-00129.88,0.27,14.39
20,200,00502.93,00759.28,-00153.81,0.27,14.07
21,210,00821.29,00676.27,-00207.52,0.27,14.12
22,220,01138.18,00550.78,-00231.93,0.27,13.79
23,230,01361.33,00409.18,-00215.33,0.27,13.70
24,240,01485.35,00345.21,-00185.55,0.26,13.80
25,250,01642.09,00316.89,-00169.92,0.26,8.30
26,260,01883.30,00245.12,-00217.29,0.27,13.74
27,270,01999.94,00207.03,-00258.79,0.27,14.38
28,280,01999.94,00059.57,-00308.11,0.28,14.06
29,290,01999.94,-00138.18,-00313.96,0.30,13.98
30,300,01999.94,-00314.94,-00289.06,0.32,13.65
31,310,01999.94,-00536.62,-00267.58,0.33,14.18
32,320,01999.94,-00768.55,-00208.01,0.36,13.77
33,330,01815.43,-00985.84,-00123.54,0.39,14.23
34,340,01568.36,-00845.21,-00093.75,0.42,14.27
35,350,01502.93,-00873.05,-00017.09,0.45,14.76
36,360,01449.22,-00678.71,00015.63,0.48,15.53
37,370,01402.83,-00606.45,-00000.49,0.50,15.05
38,380,01296.39,-00492.19,-00008.30,0.51,14.36
39,390,01152.34,-00475.59,-00009.77,0.52,14.36
40,400,01011.23,-00487.79,00001.95,0.53,14.65
41,410,00868.65,-00467.29,00033.69,0.52,13.93
42,420,00655.76,-00451.66,00071.29,0.53,14.31
43,430,00477.05,-00421.39,00090.33,0.52,14.36
44,440,00298.83,-00398.44,00083.01,0.51,14.50
45,450,00169.43,-00382.32,00106.93,0.50,14.73
46,460,00094.24,-00358.89,00106.93,0.49,14.28
47,470,00050.78,-00380.86,00078.12,0.48,14.34
48,480,00000.49,-00358.40,00073.24,0.48,14.70
49,490,-00055.18,-00349.61,00088.87,0.48,14.49
50,500,-00149.90,-00354.00,00100.59,0.47,14.52
51,510,-00270.51,-00352.05,00133.30,0.47,14.55
52,520,-00357.42,-00403.32,00150.88,0.47,14.08
53,530,-00422.36,-00428.71,00165.04,0.47,14.25
54,540,-00376.95,-00467.77,00209.96,0.47,14.46
55,550,-00292.48,-00517.58,00241.21,0.47,14.52
56,560,-00230.96,-00607.91,00265.14,0.47,13.81
57,570,-00086.43,-00664.06,00233.40,0.47,13.84
58,580,00063.48,-00687.01,00208.50,0.47,14.33
59,590,00221.68,-00705.57,00220.21,0.48,13.23
60,600,00483.40,-00679.20,00207.52,0.48,13.44
