,time,acc_x,acc_y,acc_z,pulse,eda
0,0,01825.68,-00855.47,00072.27,0.96,11.04
1,10,01552.25,-00879.39,-00258.79,0.96,10.94
2,20,01148.93,-00731.93,-00555.66,0.96,11.03
3,30,00883.79,-00572.75,-00758.30,0.96,10.96
4,40,00691.41,-00372.56,-00911.62,0.96,10.98
5,50,00538.09,-00149.41,-00965.33,0.96,11.00
6,60,00331.05,-00050.29,-00883.30,0.96,11.04
7,70,00215.82,00041.99,-00801.76,0.96,11.03
8,80,00105.47,00091.80,-00702.15,0.67,11.03
9,90,00069.82,00165.04,-00634.28,0.36,10.93
10,100,00040.53,00233.40,-00546.39,0.08,10.91
11,110,00049.32,00264.65,-00474.61,0.00,10.84
12,120,00082.52,00313.96,-00403.81,0.00,10.75
13,130,00104.00,00330.08,-00304.69,0.00,10.64
14,140,00082.03,00396.00,-00256.35,0.00,10.66
15,150,00043.46,00433.11,-00207.03,0.00,10.58
16,160,00010.25,00476.07,-00199.71,0.00,10.64
17,170,-00003.42,00510.25,-00231.93,0.00,10.64
18,180,00045.41,00525.39,-00202.64,0.00,10.43
19,190,00102.05,00528.81,-00156.74,0.00,10.61
20,200,00198.73,00557.13,-00116.70,0.00,10.63
21,210,00238.28,00544.43,-00053.71,0.00,10.68
22,220,00294.43,00547.36,00021.97,0.00,10.75
23,230,00364.75,00540.04,00113.77,0.00,10.74
24,240,00406.25,00578.12,00193.36,0.00,10.65
25,250,00433.59,00633.30,00299.32,0.00,10.76
26,260,00451.17,00636.23,00431.64,0.00,10.74
27,270,00455.08,00650.88,00541.99,0.00,10.74
28,280,00450.20,00667.48,00584.47,0.00,10.72
29,290,00415.04,00656.25,00554.69,0.00,10.69
30,300,00431.15,00652.83,00482.91,0.00,10.64
31,310,00447.75,00650.88,00433.11,0.00,10.64
32,320,00495.12,00644.04,00382.81,0.09,10.69
33,330,00514.16,00683.59,00318.85,0.22,10.22
34,340,00533.20,00676.27,00332.52,0.34,10.72
35,350,00551.76,00710.45,00364.75,0.44,10.64
36,360,00606.45,00713.38,00413.57,0.53,10.67
37,370,00631.35,00706.54,00453.12,0.59,10.63
38,380,00640.14,00693.36,00490.23,0.62,10.64
39,390,00644.04,00686.52,00493.65,0.64,10.64
40,400,00625.49,00684.08,00439.45,0.63,10.69
41,410,00634.28,00705.08,00374.51,0.60,10.62
42,420,00628.42,00742.19,00333.01,0.56,10.68
43,430,00623.05,00765.62,00273.93,0.51,10.55
44,440,00643.07,00779.79,00223.63,0.47,10.64
45,450,00664.55,00784.67,00201.66,0.43,10.64
46,460,00676.27,00744.14,00200.68,0.41,10.64
47,470,00711.91,00736.82,00228.03,0.39,10.61
48,480,00728.52,00736.82,00236.33,0.39,10.64
49,490,00738.77,00731.45,00252.44,0.40,10.66
50,500,00729.98,00720.70,00254.39,0.41,10.64
51,510,00746.58,00705.57,00269.04,0.42,10.65
52,520,00781.74,00682.62,00256.35,0.44,10.68
53,530,00794.43,00646.00,00235.35,0.46,10.64
54,540,00877.93,00597.17,00200.20,0.47,10.64
55,550,00960.45,00595.21,00156.74,0.48,10.64
56,560,01057.62,00575.68,00125.00,0.49,10.71
57,570,01123.05,00550.78,00095.21,0.50,10.68
58,580,01158.20,00534.67,00075.68,0.51,10.71
59,590,01135.25,00517.09,00090.33,0.52,10.69
60,600,01085.94,00500.49,00110.84,0.53,10.77
61,610,01022.95,00494.14,00149.41,0.53,10.56
62,620,00972.66,00486.82,00199.22,0.53,10.74
63,630,00948.24,00478.03,00207.03,0.53,10.65
64,640,00925.29,00470.21,00208.01,0.52,10.75
65,650,00925.29,00475.59,00189.94,0.51,10.64
66,660,00970.70,00446.29,00099.12,0.49,10.68
67,670,00990.72,00479.49,00065.92,0.48,10.59
68,680,01014.65,00516.11,00054.20,0.46,10.68
69,690,01017.09,00486.82,00072.27,0.45,10.63
70,700,00970.70,00452.64,00092.77,0.43,10.66
71,710,00888.18,00434.57,00140.14,0.42,10.64
72,720,00826.17,00392.09,00185.06,0.40,10.72
73,730,00851.56,00364.26,00230.47,0.39,10.60
74,740,00888.67,00352.05,00217.29,0.39,10.72
75,750,00977.05,00348.14,00193.36,0.39,10.64
76,760,01042.97,00342.29,00164.06,0.39,10.69
77,770,01075.68,00342.29,00152.34,0.41,10.69
78,780,01144.53,00339.84,00116.21,0.42,10.67
79,790,01179.69,00347.66,00096.68,0.45,10.72
80,800,01152.34,00351.07,00120.61,0.49,10.69
81,810,01103.03,00346.19,00167.97,0.52,10.66
82,820,01058.11,00331.05,00206.05,0.56,10.69
83,830,01052.25,00334.96,00201.66,0.59,10.67
84,840,01109.38,00373.54,00149.41,0.62,10.66
85,850,01191.89,00388.67,00105.47,0.63,10.71
86,860,01235.84,00398.44,00017.09,0.64,10.75
87,870,01243.65,00406.25,-00042.97,0.64,10.71
88,880,01304.69,00404.79,-00120.12,0.63,10.71
89,890,01366.21,00401.37,-00170.90,0.62,10.72
90,900,01408.20,00360.35,-00205.57,0.61,10.72
91,910,01471.19,00375.49,-00217.77,0.60,10.83
92,920,01523.44,00352.54,-00237.79,0.59,10.73
93,930,01515.14,00341.31,-00315.43,0.57,10.67
94,940,01546.88,00333.50,-00420.41,0.56,10.74
95,950,01547.36,00266.11,-00563.48,0.53,10.69
96,960,01607.91,00207.52,-00769.53,0.50,10.70
97,970,01577.64,00179.20,-01041.99,0.46,10.61
98,980,01606.93,00151.37,-01341.31,0.42,10.71
99,990,01553.22,00041.50,-01398.44,0.38,10.64
100,1000,01623.54,-00062.50,-01109.38,0.33,10.68
101,1010,01715.33,-00108.89,-00779.30,0.26,10.75
102,1020,01535.64,-00098.63,-00676.27,0.16,10.72
103,1030,01366.70,-00101.07,-00442.87,0.02,10.70
104,1040,01035.16,-00139.16,-00113.77,0.00,10.75
105,1050,00792.97,-00071.78,-00331.54,0.00,10.90
106,1060,00925.29,-00089.84,-00642.09,0.00,10.66
107,1070,01022.46,-00210.94,-00709.47,0.00,10.71
108,1080,01140.63,-00317.38,-00734.37,0.00,10.72
109,1090,01365.23,-00481.45,-00804.20,0.00,10.65
110,1100,01307.13,-00684.08,-00657.23,0.00,10.72
111,1110,00886.72,-00822.27,-00315.92,0.00,10.73
112,1120,00780.27,-00931.15,00041.02,0.00,10.73
113,1130,00603.03,-01062.99,00407.23,0.00,10.73
114,1140,00491.21,-01067.87,00791.50,0.00,10.73
115,1150,00453.61,-01056.15,01131.35,0.03,10.74
116,1160,00335.45,-00964.36,01253.42,0.26,10.72
117,1170,00076.66,-00910.16,01340.33,0.49,10.64
118,1180,-00096.19,-00811.04,01308.11,0.70,10.66
119,1190,-00203.12,-00693.85,01217.77,0.96,10.61
120,1200,-00236.82,-00590.82,01128.91,0.96,10.61
121,1210,-00192.38,-00506.35,01072.27,0.96,10.53
122,1220,-00085.94,-00443.85,01052.25,0.96,10.56
123,1230,00056.15,-00410.16,01069.82,0.96,10.49
124,1240,00167.97,-00359.86,01094.73,0.96,10.55
125,1250,00248.54,-00407.23,01091.80,0.96,10.54
126,1260,00318.85,-00353.52,01071.78,0.96,10.58
127,1270,00419.43,-00281.25,01030.27,0.96,10.63
128,1280,00435.06,-00243.16,00977.05,0.96,10.69
129,1290,00442.87,-00194.34,00883.30,0.96,10.61
130,1300,00477.54,-00125.00,00812.01,0.96,10.65
131,1310,00525.39,-00055.18,00735.84,0.96,10.74
132,1320,00551.27,-00017.58,00686.52,0.96,10.78
133,1330,00587.40,00015.14,00669.43,0.96,10.55
134,1340,00629.39,00018.55,00647.46,0.96,10.75
135,1350,00660.64,-00003.91,00660.16,0.90,10.72
136,1360,00683.11,-00028.81,00691.89,0.81,10.77
137,1370,00749.51,-00038.09,00705.08,0.74,10.77
138,1380,00779.79,-00036.13,00711.43,0.68,10.78
139,1390,00796.87,-00044.43,00715.82,0.64,10.78
140,1400,00766.60,-00064.45,00720.70,0.59,10.89
141,1410,00766.11,-00045.41,00715.33,0.56,10.84
142,1420,00751.46,-00021.00,00695.80,0.54,10.87
143,1430,00757.32,00016.60,00678.71,0.52,10.85
144,1440,00733.40,00031.25,00666.50,0.51,10.88
145,1450,00762.21,00027.83,00657.71,0.52,10.89
146,1460,00779.79,00006.84,00622.07,0.52,10.93
147,1470,00853.52,-00012.70,00610.35,0.53,10.94
148,1480,00862.79,-00047.36,00619.63,0.54,10.97
149,1490,00861.82,-00046.88,00628.42,0.55,10.87
150,1500,00823.73,-00060.55,00646.00,0.55,11.07
151,1510,00821.78,-00048.83,00645.51,0.55,10.94
152,1520,00813.48,-00048.34,00633.30,0.54,10.94
153,1530,00795.90,-00060.55,00621.09,0.52,10.93
154,1540,00808.59,-00047.36,00585.94,0.51,11.05
